#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003,#item+rem+i_mya+is_mymr+rdf_p_skos_preflabel_s5003,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5003,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_mya+is_mymr+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_mya+is_mymr+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_mya+is_mymr+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_mya+is_mymr+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:104:3:4006,4006,1603:45:16:104:0,1603:45:16:104:1:4,1603:45:16:104:2:4002,1603:45:16:104:3:4006,Mindat,မင်းတပ်,MM004006,,,,Mindat,မင်းတပ်ခရိုင်,MM004D002,Chin,ချင်းပြည်နယ်,MM004,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:4007,4007,1603:45:16:104:0,1603:45:16:104:1:4,1603:45:16:104:2:4004,1603:45:16:104:3:4007,Matupi,မတူပီ,MM004007,,,,Matupi,မတူပီခရိုင်,MM004D004,Chin,ချင်းပြည်နယ်,MM004,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:4008,4008,1603:45:16:104:0,1603:45:16:104:1:4,1603:45:16:104:2:4002,1603:45:16:104:3:4008,Kanpetlet,ကန်ပက်လက်,MM004008,,,,Mindat,မင်းတပ်ခရိုင်,MM004D002,Chin,ချင်းပြည်နယ်,MM004,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:4009,4009,1603:45:16:104:0,1603:45:16:104:1:4,1603:45:16:104:2:4004,1603:45:16:104:3:4009,Paletwa,ပလက်ဝ,MM004009,,,,Matupi,မတူပီခရိုင်,MM004D004,Chin,ချင်းပြည်နယ်,MM004,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:5001,5001,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5001,1603:45:16:104:3:5001,Sagaing,စစ်ကိုင်း,MM005001,,,,Sagaing,စစ်ကိုင်းခရိုင်,MM005D001,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:5002,5002,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5001,1603:45:16:104:3:5002,Myinmu,မြင်းမူ,MM005002,,,,Sagaing,စစ်ကိုင်းခရိုင်,MM005D001,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:5003,5003,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5001,1603:45:16:104:3:5003,Myaung,မြောင်,MM005003,,,,Sagaing,စစ်ကိုင်းခရိုင်,MM005D001,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:5004,5004,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5002,1603:45:16:104:3:5004,Shwebo,ရွှေဘို,MM005004,,,,Shwebo,ရွှေဘိုခရိုင်,MM005D002,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:5005,5005,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5002,1603:45:16:104:3:5005,Khin-U,ခင်ဦး,MM005005,,,,Shwebo,ရွှေဘိုခရိုင်,MM005D002,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:5006,5006,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5002,1603:45:16:104:3:5006,Wetlet,ဝက်လက်,MM005006,,,,Shwebo,ရွှေဘိုခရိုင်,MM005D002,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:5007,5007,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5010,1603:45:16:104:3:5007,Kanbalu,ကန့်ဘလူ,MM005007,,,,Kanbalu,ကန့်ဘလူခရိုင်,MM005D010,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:5008,5008,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5010,1603:45:16:104:3:5008,Kyunhla,ကျွန်းလှ,MM005008,,,,Kanbalu,ကန့်ဘလူခရိုင်,MM005D010,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
