#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003,#item+rem+i_mya+is_mymr+rdf_p_skos_preflabel_s5003,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5003,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_mya+is_mymr+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_mya+is_mymr+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_mya+is_mymr+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_mya+is_mymr+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:104:3:8007,8007,1603:45:16:104:0,1603:45:16:104:1:111,1603:45:16:104:2:8002,1603:45:16:104:3:8007,Thayarwady,သာယာဝတီ,MM008007,,,,Thayarwady,သာယာဝတီခရိုင်,MM008D002,Bago,ပဲခူးတိုင်းဒေသကြီး,MM111,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:8008,8008,1603:45:16:104:0,1603:45:16:104:1:111,1603:45:16:104:2:8002,1603:45:16:104:3:8008,Letpadan,လက်ပံတန်း,MM008008,,,,Thayarwady,သာယာဝတီခရိုင်,MM008D002,Bago,ပဲခူးတိုင်းဒေသကြီး,MM111,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:8009,8009,1603:45:16:104:0,1603:45:16:104:1:111,1603:45:16:104:2:8002,1603:45:16:104:3:8009,Minhla,မင်းလှ,MM008009,,,,Thayarwady,သာယာဝတီခရိုင်,MM008D002,Bago,ပဲခူးတိုင်းဒေသကြီး,MM111,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:8010,8010,1603:45:16:104:0,1603:45:16:104:1:111,1603:45:16:104:2:8002,1603:45:16:104:3:8010,Okpho,အုတ်ဖို,MM008010,,,,Thayarwady,သာယာဝတီခရိုင်,MM008D002,Bago,ပဲခူးတိုင်းဒေသကြီး,MM111,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:8011,8011,1603:45:16:104:0,1603:45:16:104:1:111,1603:45:16:104:2:8002,1603:45:16:104:3:8011,Zigon,ဇီးကုန်း,MM008011,,,,Thayarwady,သာယာဝတီခရိုင်,MM008D002,Bago,ပဲခူးတိုင်းဒေသကြီး,MM111,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:8012,8012,1603:45:16:104:0,1603:45:16:104:1:111,1603:45:16:104:2:8002,1603:45:16:104:3:8012,Nattalin,နတ်တလင်း,MM008012,,,,Thayarwady,သာယာဝတီခရိုင်,MM008D002,Bago,ပဲခူးတိုင်းဒေသကြီး,MM111,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:8013,8013,1603:45:16:104:0,1603:45:16:104:1:111,1603:45:16:104:2:8002,1603:45:16:104:3:8013,Monyo,မိုးညို,MM008013,,,,Thayarwady,သာယာဝတီခရိုင်,MM008D002,Bago,ပဲခူးတိုင်းဒေသကြီး,MM111,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:8014,8014,1603:45:16:104:0,1603:45:16:104:1:111,1603:45:16:104:2:8002,1603:45:16:104:3:8014,Gyobingauk,ကြို့ပင်ကောက်,MM008014,,,,Thayarwady,သာယာဝတီခရိုင်,MM008D002,Bago,ပဲခူးတိုင်းဒေသကြီး,MM111,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:9001,9001,1603:45:16:104:0,1603:45:16:104:1:9,1603:45:16:104:2:9001,1603:45:16:104:3:9001,Magway,မကွေး,MM009001,,,,Magway,မကွေးခရိုင်,MM009D001,Magway,မကွေးတိုင်းဒေသကြီး,MM009,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:9002,9002,1603:45:16:104:0,1603:45:16:104:1:9,1603:45:16:104:2:9001,1603:45:16:104:3:9002,Yenangyaung,ရေနံချောင်း,MM009002,,,,Magway,မကွေးခရိုင်,MM009D001,Magway,မကွေးတိုင်းဒေသကြီး,MM009,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:9003,9003,1603:45:16:104:0,1603:45:16:104:1:9,1603:45:16:104:2:9001,1603:45:16:104:3:9003,Chauk,ချောက်,MM009003,,,,Magway,မကွေးခရိုင်,MM009D001,Magway,မကွေးတိုင်းဒေသကြီး,MM009,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:9004,9004,1603:45:16:104:0,1603:45:16:104:1:9,1603:45:16:104:2:9001,1603:45:16:104:3:9004,Taungdwingyi,တောင်တွင်းကြီး,MM009004,,,,Magway,မကွေးခရိုင်,MM009D001,Magway,မကွေးတိုင်းဒေသကြီး,MM009,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:9005,9005,1603:45:16:104:0,1603:45:16:104:1:9,1603:45:16:104:2:9001,1603:45:16:104:3:9005,Myothit,မြို့သစ်,MM009005,,,,Magway,မကွေးခရိုင်,MM009D001,Magway,မကွေးတိုင်းဒေသကြီး,MM009,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:9006,9006,1603:45:16:104:0,1603:45:16:104:1:9,1603:45:16:104:2:9001,1603:45:16:104:3:9006,Natmauk,နတ်မောက်,MM009006,,,,Magway,မကွေးခရိုင်,MM009D001,Magway,မကွေးတိုင်းဒေသကြီး,MM009,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:9007,9007,1603:45:16:104:0,1603:45:16:104:1:9,1603:45:16:104:2:9002,1603:45:16:104:3:9007,Minbu,မင်းဘူး,MM009007,,,,Minbu,မင်းဘူးခရိုင်,MM009D002,Magway,မကွေးတိုင်းဒေသကြီး,MM009,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:9008,9008,1603:45:16:104:0,1603:45:16:104:1:9,1603:45:16:104:2:9002,1603:45:16:104:3:9008,Pwintbyu,ပွင့်ဖြူ,MM009008,,,,Minbu,မင်းဘူးခရိုင်,MM009D002,Magway,မကွေးတိုင်းဒေသကြီး,MM009,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:9009,9009,1603:45:16:104:0,1603:45:16:104:1:9,1603:45:16:104:2:9002,1603:45:16:104:3:9009,Ngape,ငဖဲ,MM009009,,,,Minbu,မင်းဘူးခရိုင်,MM009D002,Magway,မကွေးတိုင်းဒေသကြီး,MM009,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:9010,9010,1603:45:16:104:0,1603:45:16:104:1:9,1603:45:16:104:2:9002,1603:45:16:104:3:9010,Salin,စလင်း,MM009010,,,,Minbu,မင်းဘူးခရိုင်,MM009D002,Magway,မကွေးတိုင်းဒေသကြီး,MM009,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:9011,9011,1603:45:16:104:0,1603:45:16:104:1:9,1603:45:16:104:2:9002,1603:45:16:104:3:9011,Sidoktaya,စေတုတ္ထရာ,MM009011,,,,Minbu,မင်းဘူးခရိုင်,MM009D002,Magway,မကွေးတိုင်းဒေသကြီး,MM009,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:9012,9012,1603:45:16:104:0,1603:45:16:104:1:9,1603:45:16:104:2:9003,1603:45:16:104:3:9012,Thayet,သရက်,MM009012,,,,Thayet,သရက်ခရိုင်,MM009D003,Magway,မကွေးတိုင်းဒေသကြီး,MM009,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:9013,9013,1603:45:16:104:0,1603:45:16:104:1:9,1603:45:16:104:2:9003,1603:45:16:104:3:9013,Minhla,မင်းလှ,MM009013,,,,Thayet,သရက်ခရိုင်,MM009D003,Magway,မကွေးတိုင်းဒေသကြီး,MM009,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:9014,9014,1603:45:16:104:0,1603:45:16:104:1:9,1603:45:16:104:2:9003,1603:45:16:104:3:9014,Mindon,မင်းတုန်း,MM009014,,,,Thayet,သရက်ခရိုင်,MM009D003,Magway,မကွေးတိုင်းဒေသကြီး,MM009,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:9015,9015,1603:45:16:104:0,1603:45:16:104:1:9,1603:45:16:104:2:9003,1603:45:16:104:3:9015,Kamma,ကံမ,MM009015,,,,Thayet,သရက်ခရိုင်,MM009D003,Magway,မကွေးတိုင်းဒေသကြီး,MM009,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:9016,9016,1603:45:16:104:0,1603:45:16:104:1:9,1603:45:16:104:2:9003,1603:45:16:104:3:9016,Aunglan,အောင်လံ,MM009016,,,,Thayet,သရက်ခရိုင်,MM009D003,Magway,မကွေးတိုင်းဒေသကြီး,MM009,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:9017,9017,1603:45:16:104:0,1603:45:16:104:1:9,1603:45:16:104:2:9003,1603:45:16:104:3:9017,Sinbaungwe,ဆင်ပေါင်ဝဲ,MM009017,,,,Thayet,သရက်ခရိုင်,MM009D003,Magway,မကွေးတိုင်းဒေသကြီး,MM009,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:9018,9018,1603:45:16:104:0,1603:45:16:104:1:9,1603:45:16:104:2:9004,1603:45:16:104:3:9018,Pakokku,ပခုက္ကူ,MM009018,,,,Pakokku,ပခုက္ကူခရိုင်,MM009D004,Magway,မကွေးတိုင်းဒေသကြီး,MM009,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:9019,9019,1603:45:16:104:0,1603:45:16:104:1:9,1603:45:16:104:2:9004,1603:45:16:104:3:9019,Yesagyo,ရေစကြို,MM009019,,,,Pakokku,ပခုက္ကူခရိုင်,MM009D004,Magway,မကွေးတိုင်းဒေသကြီး,MM009,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:9020,9020,1603:45:16:104:0,1603:45:16:104:1:9,1603:45:16:104:2:9004,1603:45:16:104:3:9020,Myaing,မြိုင်,MM009020,,,,Pakokku,ပခုက္ကူခရိုင်,MM009D004,Magway,မကွေးတိုင်းဒေသကြီး,MM009,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:9021,9021,1603:45:16:104:0,1603:45:16:104:1:9,1603:45:16:104:2:9004,1603:45:16:104:3:9021,Pauk,ပေါက်,MM009021,,,,Pakokku,ပခုက္ကူခရိုင်,MM009D004,Magway,မကွေးတိုင်းဒေသကြီး,MM009,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:9022,9022,1603:45:16:104:0,1603:45:16:104:1:9,1603:45:16:104:2:9004,1603:45:16:104:3:9022,Seikphyu,ဆိပ်ဖြူ,MM009022,,,,Pakokku,ပခုက္ကူခရိုင်,MM009D004,Magway,မကွေးတိုင်းဒေသကြီး,MM009,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:9023,9023,1603:45:16:104:0,1603:45:16:104:1:9,1603:45:16:104:2:9005,1603:45:16:104:3:9023,Gangaw,ဂန့်ဂေါ,MM009023,,,,Gangaw,ဂန့်ဂေါခရိုင်,MM009D005,Magway,မကွေးတိုင်းဒေသကြီး,MM009,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:9024,9024,1603:45:16:104:0,1603:45:16:104:1:9,1603:45:16:104:2:9005,1603:45:16:104:3:9024,Tilin,ထီးလင်း,MM009024,,,,Gangaw,ဂန့်ဂေါခရိုင်,MM009D005,Magway,မကွေးတိုင်းဒေသကြီး,MM009,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:9025,9025,1603:45:16:104:0,1603:45:16:104:1:9,1603:45:16:104:2:9005,1603:45:16:104:3:9025,Saw,ဆော,MM009025,,,,Gangaw,ဂန့်ဂေါခရိုင်,MM009D005,Magway,မကွေးတိုင်းဒေသကြီး,MM009,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:10001,10001,1603:45:16:104:0,1603:45:16:104:1:10,1603:45:16:104:2:10001,1603:45:16:104:3:10001,Aungmyaythazan,အောင်မြေသာစံ,MM010001,,,,Mandalay,မန္တလေးခရိုင်,MM010D001,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MM010,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:10002,10002,1603:45:16:104:0,1603:45:16:104:1:10,1603:45:16:104:2:10001,1603:45:16:104:3:10002,Chanayethazan,ချမ်းအေးသာစံ,MM010002,,,,Mandalay,မန္တလေးခရိုင်,MM010D001,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MM010,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:10003,10003,1603:45:16:104:0,1603:45:16:104:1:10,1603:45:16:104:2:10001,1603:45:16:104:3:10003,Mahaaungmyay,မဟာအောင်မြေ,MM010003,,,,Mandalay,မန္တလေးခရိုင်,MM010D001,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MM010,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:10004,10004,1603:45:16:104:0,1603:45:16:104:1:10,1603:45:16:104:2:10001,1603:45:16:104:3:10004,Chanmyathazi,ချမ်းမြသာစည်,MM010004,,,,Mandalay,မန္တလေးခရိုင်,MM010D001,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MM010,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:10005,10005,1603:45:16:104:0,1603:45:16:104:1:10,1603:45:16:104:2:10001,1603:45:16:104:3:10005,Pyigyitagon,ပြည်ကြီးတံခွန်,MM010005,,,,Mandalay,မန္တလေးခရိုင်,MM010D001,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MM010,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:10006,10006,1603:45:16:104:0,1603:45:16:104:1:10,1603:45:16:104:2:10001,1603:45:16:104:3:10006,Amarapura,အမရပူရ,MM010006,,,,Mandalay,မန္တလေးခရိုင်,MM010D001,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MM010,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:10007,10007,1603:45:16:104:0,1603:45:16:104:1:10,1603:45:16:104:2:10001,1603:45:16:104:3:10007,Patheingyi,ပုသိမ်ကြီး,MM010007,,,,Mandalay,မန္တလေးခရိုင်,MM010D001,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MM010,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:10008,10008,1603:45:16:104:0,1603:45:16:104:1:10,1603:45:16:104:2:10002,1603:45:16:104:3:10008,Pyinoolwin,ပြင်ဦးလွင်,MM010008,,,,Pyinoolwin,ပြင်ဦးလွင်ခရိုင်,MM010D002,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MM010,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:10009,10009,1603:45:16:104:0,1603:45:16:104:1:10,1603:45:16:104:2:10002,1603:45:16:104:3:10009,Madaya,မတ္တရာ,MM010009,,,,Pyinoolwin,ပြင်ဦးလွင်ခရိုင်,MM010D002,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MM010,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:10010,10010,1603:45:16:104:0,1603:45:16:104:1:10,1603:45:16:104:2:10002,1603:45:16:104:3:10010,Singu,စဉ့်ကူး,MM010010,,,,Pyinoolwin,ပြင်ဦးလွင်ခရိုင်,MM010D002,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MM010,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:10011,10011,1603:45:16:104:0,1603:45:16:104:1:10,1603:45:16:104:2:10002,1603:45:16:104:3:10011,Mogoke,မိုးကုတ်,MM010011,,,,Pyinoolwin,ပြင်ဦးလွင်ခရိုင်,MM010D002,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MM010,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:10012,10012,1603:45:16:104:0,1603:45:16:104:1:10,1603:45:16:104:2:10002,1603:45:16:104:3:10012,Thabeikkyin,သပိတ်ကျင်း,MM010012,,,,Pyinoolwin,ပြင်ဦးလွင်ခရိုင်,MM010D002,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MM010,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:10013,10013,1603:45:16:104:0,1603:45:16:104:1:10,1603:45:16:104:2:10003,1603:45:16:104:3:10013,Kyaukse,ကျောက်ဆည်,MM010013,,,,Kyaukse,ကျောက်ဆည်ခရိုင်,MM010D003,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MM010,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:10014,10014,1603:45:16:104:0,1603:45:16:104:1:10,1603:45:16:104:2:10003,1603:45:16:104:3:10014,Sintgaing,စဉ့်ကိုင်,MM010014,,,,Kyaukse,ကျောက်ဆည်ခရိုင်,MM010D003,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MM010,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:10015,10015,1603:45:16:104:0,1603:45:16:104:1:10,1603:45:16:104:2:10003,1603:45:16:104:3:10015,Myittha,မြစ်သား,MM010015,,,,Kyaukse,ကျောက်ဆည်ခရိုင်,MM010D003,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MM010,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:10016,10016,1603:45:16:104:0,1603:45:16:104:1:10,1603:45:16:104:2:10003,1603:45:16:104:3:10016,Tada-U,တံတားဦး,MM010016,,,,Kyaukse,ကျောက်ဆည်ခရိုင်,MM010D003,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MM010,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:10017,10017,1603:45:16:104:0,1603:45:16:104:1:10,1603:45:16:104:2:10004,1603:45:16:104:3:10017,Myingyan,မြင်းခြံ,MM010017,,,,Myingyan,မြင်းခြံခရိုင်,MM010D004,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MM010,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:10018,10018,1603:45:16:104:0,1603:45:16:104:1:10,1603:45:16:104:2:10004,1603:45:16:104:3:10018,Taungtha,တောင်သာ,MM010018,,,,Myingyan,မြင်းခြံခရိုင်,MM010D004,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MM010,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:10019,10019,1603:45:16:104:0,1603:45:16:104:1:10,1603:45:16:104:2:10004,1603:45:16:104:3:10019,Natogyi,နွားထိုးကြီး,MM010019,,,,Myingyan,မြင်းခြံခရိုင်,MM010D004,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MM010,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:10020,10020,1603:45:16:104:0,1603:45:16:104:1:10,1603:45:16:104:2:10005,1603:45:16:104:3:10020,Kyaukpadaung,ကျောက်ပန်းတောင်း,MM010020,,,,Nyaung-U,ညောင်ဦးခရိုင်,MM010D005,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MM010,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:10021,10021,1603:45:16:104:0,1603:45:16:104:1:10,1603:45:16:104:2:10004,1603:45:16:104:3:10021,Ngazun,ငါန်းဇွန်,MM010021,,,,Myingyan,မြင်းခြံခရိုင်,MM010D004,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MM010,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:10022,10022,1603:45:16:104:0,1603:45:16:104:1:10,1603:45:16:104:2:10005,1603:45:16:104:3:10022,Nyaung-U,ညောင်ဦး,MM010022,,,,Nyaung-U,ညောင်ဦးခရိုင်,MM010D005,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MM010,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:10023,10023,1603:45:16:104:0,1603:45:16:104:1:10,1603:45:16:104:2:10006,1603:45:16:104:3:10023,Yamethin,ရမည်းသင်း,MM010023,,,,Yamethin,ရမည်းသင်းခရိုင်,MM010D006,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MM010,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:10024,10024,1603:45:16:104:0,1603:45:16:104:1:10,1603:45:16:104:2:10006,1603:45:16:104:3:10024,Pyawbwe,ပျော်ဘွယ်,MM010024,,,,Yamethin,ရမည်းသင်းခရိုင်,MM010D006,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MM010,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:10028,10028,1603:45:16:104:0,1603:45:16:104:1:10,1603:45:16:104:2:10007,1603:45:16:104:3:10028,Meiktila,မိတ္ထီလာ,MM010028,,,,Meiktila,မိတ္ထီလာခရိုင်,MM010D007,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MM010,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:10029,10029,1603:45:16:104:0,1603:45:16:104:1:10,1603:45:16:104:2:10007,1603:45:16:104:3:10029,Mahlaing,မလှိုင်,MM010029,,,,Meiktila,မိတ္ထီလာခရိုင်,MM010D007,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MM010,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:3:10030,10030,1603:45:16:104:0,1603:45:16:104:1:10,1603:45:16:104:2:10007,1603:45:16:104:3:10030,Thazi,သာစည်,MM010030,,,,Meiktila,မိတ္ထီလာခရိုင်,MM010D007,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MM010,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
