id	digit	arabic_indic	extended_arabic_indic	nko	devanagari	bengali	gurmukhi	gujarati	oriya	tamil	telugu	kannada	malayalam	sinhala_lith	thai	lao	tibetan	myanmar	myanmar_shan	khmer	mongolian	limbu	new_tai_lue	tai_tham_hora	tai_tham_tham	balinese	sundanese	lepcha	ol_chiki	vai	saurashtra	kayah_li	javanese	myanmar_tai_laing	cham	meetei_mayek	fullwidth	osmanya	hanifi_rohingya	brahmi	sora_sompeng	chakma	sharada	khudawadi	newa	tirhuta	modi	takri	ahom	warang_citi	dives_akuru	bhaiksuki	masaram_gondi	gunjala_gondi	mro	tangsa	pahawh_hmong	nyiakeng_puachue_hmong	wancho	adlam	segmented
9	9	٩	۹	߉	९	৯	੯	૯	୯	௯	౯	೯	൯	෯	๙	໙	༩	၉	႙	៩	᠙	᥏	᧙	᪉	᪙	᭙	᮹	᱉	᱙	꘩	꣙	꤉	꧙	꧹	꩙	꯹	９	𐒩	𐴹	𑁯	𑃹	𑄿	𑇙	𑋹	𑑙	𑓙	𑙙	𑛉	𑜹	𑣩	𑥙	𑱙	𑵙	𑶩	𖩩	𖫉	𖭙	𞅉	𞋹	𞥙	🯹
10	10	١٠	۱۰	߁߀	१०	১০	੧੦	૧૦	୧୦	௧௦	౧౦	೧೦	൧൦	෧෦	๑๐	໑໐	༡༠	၁၀	႑႐	១០	᠑᠐	᥇᥆	᧑᧐	᪁᪀	᪑᪐	᭑᭐	᮱᮰	᱁᱀	᱑᱐	꘡꘠	꣑꣐	꤁꤀	꧑꧐	꧱꧰	꩑꩐	꯱꯰	１０	𐒡𐒠	𐴱𐴰	𑁧𑁦	𑃱𑃰	𑄷𑄶	𑇑𑇐	𑋱𑋰	𑑑𑑐	𑓑𑓐	𑙑𑙐	𑛁𑛀	𑜱𑜰	𑣡𑣠	𑥑𑥐	𑱑𑱐	𑵑𑵐	𑶡𑶠	𖩡𖩠	𖫁𖫀	𖭑𖭐	𞅁𞅀	𞋱𞋰	𞥑𞥐	🯱🯰
11	11	١١	۱۱	߁߁	११	১১	੧੧	૧૧	୧୧	௧௧	౧౧	೧೧	൧൧	෧෧	๑๑	໑໑	༡༡	၁၁	႑႑	១១	᠑᠑	᥇᥇	᧑᧑	᪁᪁	᪑᪑	᭑᭑	᮱᮱	᱁᱁	᱑᱑	꘡꘡	꣑꣑	꤁꤁	꧑꧑	꧱꧱	꩑꩑	꯱꯱	１１	𐒡𐒡	𐴱𐴱	𑁧𑁧	𑃱𑃱	𑄷𑄷	𑇑𑇑	𑋱𑋱	𑑑𑑑	𑓑𑓑	𑙑𑙑	𑛁𑛁	𑜱𑜱	𑣡𑣡	𑥑𑥑	𑱑𑱑	𑵑𑵑	𑶡𑶡	𖩡𖩡	𖫁𖫁	𖭑𖭑	𞅁𞅁	𞋱𞋱	𞥑𞥑	🯱🯱
12	12	١٢	۱۲	߁߂	१२	১২	੧੨	૧૨	୧୨	௧௨	౧౨	೧೨	൧൨	෧෨	๑๒	໑໒	༡༢	၁၂	႑႒	១២	᠑᠒	᥇᥈	᧑᧒	᪁᪂	᪑᪒	᭑᭒	᮱᮲	᱁᱂	᱑᱒	꘡꘢	꣑꣒	꤁꤂	꧑꧒	꧱꧲	꩑꩒	꯱꯲	１２	𐒡𐒢	𐴱𐴲	𑁧𑁨	𑃱𑃲	𑄷𑄸	𑇑𑇒	𑋱𑋲	𑑑𑑒	𑓑𑓒	𑙑𑙒	𑛁𑛂	𑜱𑜲	𑣡𑣢	𑥑𑥒	𑱑𑱒	𑵑𑵒	𑶡𑶢	𖩡𖩢	𖫁𖫂	𖭑𖭒	𞅁𞅂	𞋱𞋲	𞥑𞥒	🯱🯲
13	13	١٣	۱۳	߁߃	१३	১৩	੧੩	૧૩	୧୩	௧௩	౧౩	೧೩	൧൩	෧෩	๑๓	໑໓	༡༣	၁၃	႑႓	១៣	᠑᠓	᥇᥉	᧑᧓	᪁᪃	᪑᪓	᭑᭓	᮱᮳	᱁᱃	᱑᱓	꘡꘣	꣑꣓	꤁꤃	꧑꧓	꧱꧳	꩑꩓	꯱꯳	１３	𐒡𐒣	𐴱𐴳	𑁧𑁩	𑃱𑃳	𑄷𑄹	𑇑𑇓	𑋱𑋳	𑑑𑑓	𑓑𑓓	𑙑𑙓	𑛁𑛃	𑜱𑜳	𑣡𑣣	𑥑𑥓	𑱑𑱓	𑵑𑵓	𑶡𑶣	𖩡𖩣	𖫁𖫃	𖭑𖭓	𞅁𞅃	𞋱𞋳	𞥑𞥓	🯱🯳
14	14	١٤	۱۴	߁߄	१४	১৪	੧੪	૧૪	୧୪	௧௪	౧౪	೧೪	൧൪	෧෪	๑๔	໑໔	༡༤	၁၄	႑႔	១៤	᠑᠔	᥇᥊	᧑᧔	᪁᪄	᪑᪔	᭑᭔	᮱᮴	᱁᱄	᱑᱔	꘡꘤	꣑꣔	꤁꤄	꧑꧔	꧱꧴	꩑꩔	꯱꯴	１４	𐒡𐒤	𐴱𐴴	𑁧𑁪	𑃱𑃴	𑄷𑄺	𑇑𑇔	𑋱𑋴	𑑑𑑔	𑓑𑓔	𑙑𑙔	𑛁𑛄	𑜱𑜴	𑣡𑣤	𑥑𑥔	𑱑𑱔	𑵑𑵔	𑶡𑶤	𖩡𖩤	𖫁𖫄	𖭑𖭔	𞅁𞅄	𞋱𞋴	𞥑𞥔	🯱🯴
15	15	١٥	۱۵	߁߅	१५	১৫	੧੫	૧૫	୧୫	௧௫	౧౫	೧೫	൧൫	෧෫	๑๕	໑໕	༡༥	၁၅	႑႕	១៥	᠑᠕	᥇᥋	᧑᧕	᪁᪅	᪑᪕	᭑᭕	᮱᮵	᱁᱅	᱑᱕	꘡꘥	꣑꣕	꤁꤅	꧑꧕	꧱꧵	꩑꩕	꯱꯵	１５	𐒡𐒥	𐴱𐴵	𑁧𑁫	𑃱𑃵	𑄷𑄻	𑇑𑇕	𑋱𑋵	𑑑𑑕	𑓑𑓕	𑙑𑙕	𑛁𑛅	𑜱𑜵	𑣡𑣥	𑥑𑥕	𑱑𑱕	𑵑𑵕	𑶡𑶥	𖩡𖩥	𖫁𖫅	𖭑𖭕	𞅁𞅅	𞋱𞋵	𞥑𞥕	🯱🯵
16	16	١٦	۱۶	߁߆	१६	১৬	੧੬	૧૬	୧୬	௧௬	౧౬	೧೬	൧൬	෧෬	๑๖	໑໖	༡༦	၁၆	႑႖	១៦	᠑᠖	᥇᥌	᧑᧖	᪁᪆	᪑᪖	᭑᭖	᮱᮶	᱁᱆	᱑᱖	꘡꘦	꣑꣖	꤁꤆	꧑꧖	꧱꧶	꩑꩖	꯱꯶	１６	𐒡𐒦	𐴱𐴶	𑁧𑁬	𑃱𑃶	𑄷𑄼	𑇑𑇖	𑋱𑋶	𑑑𑑖	𑓑𑓖	𑙑𑙖	𑛁𑛆	𑜱𑜶	𑣡𑣦	𑥑𑥖	𑱑𑱖	𑵑𑵖	𑶡𑶦	𖩡𖩦	𖫁𖫆	𖭑𖭖	𞅁𞅆	𞋱𞋶	𞥑𞥖	🯱🯶
17	17	١٧	۱۷	߁߇	१७	১৭	੧੭	૧૭	୧୭	௧௭	౧౭	೧೭	൧൭	෧෭	๑๗	໑໗	༡༧	၁၇	႑႗	១៧	᠑᠗	᥇᥍	᧑᧗	᪁᪇	᪑᪗	᭑᭗	᮱᮷	᱁᱇	᱑᱗	꘡꘧	꣑꣗	꤁꤇	꧑꧗	꧱꧷	꩑꩗	꯱꯷	１７	𐒡𐒧	𐴱𐴷	𑁧𑁭	𑃱𑃷	𑄷𑄽	𑇑𑇗	𑋱𑋷	𑑑𑑗	𑓑𑓗	𑙑𑙗	𑛁𑛇	𑜱𑜷	𑣡𑣧	𑥑𑥗	𑱑𑱗	𑵑𑵗	𑶡𑶧	𖩡𖩧	𖫁𖫇	𖭑𖭗	𞅁𞅇	𞋱𞋷	𞥑𞥗	🯱🯷
18	18	١٨	۱۸	߁߈	१८	১৮	੧੮	૧૮	୧୮	௧௮	౧౮	೧೮	൧൮	෧෮	๑๘	໑໘	༡༨	၁၈	႑႘	១៨	᠑᠘	᥇᥎	᧑᧘	᪁᪈	᪑᪘	᭑᭘	᮱᮸	᱁᱈	᱑᱘	꘡꘨	꣑꣘	꤁꤈	꧑꧘	꧱꧸	꩑꩘	꯱꯸	１８	𐒡𐒨	𐴱𐴸	𑁧𑁮	𑃱𑃸	𑄷𑄾	𑇑𑇘	𑋱𑋸	𑑑𑑘	𑓑𑓘	𑙑𑙘	𑛁𑛈	𑜱𑜸	𑣡𑣨	𑥑𑥘	𑱑𑱘	𑵑𑵘	𑶡𑶨	𖩡𖩨	𖫁𖫈	𖭑𖭘	𞅁𞅈	𞋱𞋸	𞥑𞥘	🯱🯸
19	19	١٩	۱۹	߁߉	१९	১৯	੧੯	૧૯	୧୯	௧௯	౧౯	೧೯	൧൯	෧෯	๑๙	໑໙	༡༩	၁၉	႑႙	១៩	᠑᠙	᥇᥏	᧑᧙	᪁᪉	᪑᪙	᭑᭙	᮱᮹	᱁᱉	᱑᱙	꘡꘩	꣑꣙	꤁꤉	꧑꧙	꧱꧹	꩑꩙	꯱꯹	１９	𐒡𐒩	𐴱𐴹	𑁧𑁯	𑃱𑃹	𑄷𑄿	𑇑𑇙	𑋱𑋹	𑑑𑑙	𑓑𑓙	𑙑𑙙	𑛁𑛉	𑜱𑜹	𑣡𑣩	𑥑𑥙	𑱑𑱙	𑵑𑵙	𑶡𑶩	𖩡𖩩	𖫁𖫉	𖭑𖭙	𞅁𞅉	𞋱𞋹	𞥑𞥙	🯱🯹
20	20	٢٠	۲۰	߂߀	२०	২০	੨੦	૨૦	୨୦	௨௦	౨౦	೨೦	൨൦	෨෦	๒๐	໒໐	༢༠	၂၀	႒႐	២០	᠒᠐	᥈᥆	᧒᧐	᪂᪀	᪒᪐	᭒᭐	᮲᮰	᱂᱀	᱒᱐	꘢꘠	꣒꣐	꤂꤀	꧒꧐	꧲꧰	꩒꩐	꯲꯰	２０	𐒢𐒠	𐴲𐴰	𑁨𑁦	𑃲𑃰	𑄸𑄶	𑇒𑇐	𑋲𑋰	𑑒𑑐	𑓒𑓐	𑙒𑙐	𑛂𑛀	𑜲𑜰	𑣢𑣠	𑥒𑥐	𑱒𑱐	𑵒𑵐	𑶢𑶠	𖩢𖩠	𖫂𖫀	𖭒𖭐	𞅂𞅀	𞋲𞋰	𞥒𞥐	🯲🯰
21	21	٢١	۲۱	߂߁	२१	২১	੨੧	૨૧	୨୧	௨௧	౨౧	೨೧	൨൧	෨෧	๒๑	໒໑	༢༡	၂၁	႒႑	២១	᠒᠑	᥈᥇	᧒᧑	᪂᪁	᪒᪑	᭒᭑	᮲᮱	᱂᱁	᱒᱑	꘢꘡	꣒꣑	꤂꤁	꧒꧑	꧲꧱	꩒꩑	꯲꯱	２１	𐒢𐒡	𐴲𐴱	𑁨𑁧	𑃲𑃱	𑄸𑄷	𑇒𑇑	𑋲𑋱	𑑒𑑑	𑓒𑓑	𑙒𑙑	𑛂𑛁	𑜲𑜱	𑣢𑣡	𑥒𑥑	𑱒𑱑	𑵒𑵑	𑶢𑶡	𖩢𖩡	𖫂𖫁	𖭒𖭑	𞅂𞅁	𞋲𞋱	𞥒𞥑	🯲🯱
22	22	٢٢	۲۲	߂߂	२२	২২	੨੨	૨૨	୨୨	௨௨	౨౨	೨೨	൨൨	෨෨	๒๒	໒໒	༢༢	၂၂	႒႒	២២	᠒᠒	᥈᥈	᧒᧒	᪂᪂	᪒᪒	᭒᭒	᮲᮲	᱂᱂	᱒᱒	꘢꘢	꣒꣒	꤂꤂	꧒꧒	꧲꧲	꩒꩒	꯲꯲	２２	𐒢𐒢	𐴲𐴲	𑁨𑁨	𑃲𑃲	𑄸𑄸	𑇒𑇒	𑋲𑋲	𑑒𑑒	𑓒𑓒	𑙒𑙒	𑛂𑛂	𑜲𑜲	𑣢𑣢	𑥒𑥒	𑱒𑱒	𑵒𑵒	𑶢𑶢	𖩢𖩢	𖫂𖫂	𖭒𖭒	𞅂𞅂	𞋲𞋲	𞥒𞥒	🯲🯲
23	23	٢٣	۲۳	߂߃	२३	২৩	੨੩	૨૩	୨୩	௨௩	౨౩	೨೩	൨൩	෨෩	๒๓	໒໓	༢༣	၂၃	႒႓	២៣	᠒᠓	᥈᥉	᧒᧓	᪂᪃	᪒᪓	᭒᭓	᮲᮳	᱂᱃	᱒᱓	꘢꘣	꣒꣓	꤂꤃	꧒꧓	꧲꧳	꩒꩓	꯲꯳	２３	𐒢𐒣	𐴲𐴳	𑁨𑁩	𑃲𑃳	𑄸𑄹	𑇒𑇓	𑋲𑋳	𑑒𑑓	𑓒𑓓	𑙒𑙓	𑛂𑛃	𑜲𑜳	𑣢𑣣	𑥒𑥓	𑱒𑱓	𑵒𑵓	𑶢𑶣	𖩢𖩣	𖫂𖫃	𖭒𖭓	𞅂𞅃	𞋲𞋳	𞥒𞥓	🯲🯳
24	24	٢٤	۲۴	߂߄	२४	২৪	੨੪	૨૪	୨୪	௨௪	౨౪	೨೪	൨൪	෨෪	๒๔	໒໔	༢༤	၂၄	႒႔	២៤	᠒᠔	᥈᥊	᧒᧔	᪂᪄	᪒᪔	᭒᭔	᮲᮴	᱂᱄	᱒᱔	꘢꘤	꣒꣔	꤂꤄	꧒꧔	꧲꧴	꩒꩔	꯲꯴	２４	𐒢𐒤	𐴲𐴴	𑁨𑁪	𑃲𑃴	𑄸𑄺	𑇒𑇔	𑋲𑋴	𑑒𑑔	𑓒𑓔	𑙒𑙔	𑛂𑛄	𑜲𑜴	𑣢𑣤	𑥒𑥔	𑱒𑱔	𑵒𑵔	𑶢𑶤	𖩢𖩤	𖫂𖫄	𖭒𖭔	𞅂𞅄	𞋲𞋴	𞥒𞥔	🯲🯴
25	25	٢٥	۲۵	߂߅	२५	২৫	੨੫	૨૫	୨୫	௨௫	౨౫	೨೫	൨൫	෨෫	๒๕	໒໕	༢༥	၂၅	႒႕	២៥	᠒᠕	᥈᥋	᧒᧕	᪂᪅	᪒᪕	᭒᭕	᮲᮵	᱂᱅	᱒᱕	꘢꘥	꣒꣕	꤂꤅	꧒꧕	꧲꧵	꩒꩕	꯲꯵	２５	𐒢𐒥	𐴲𐴵	𑁨𑁫	𑃲𑃵	𑄸𑄻	𑇒𑇕	𑋲𑋵	𑑒𑑕	𑓒𑓕	𑙒𑙕	𑛂𑛅	𑜲𑜵	𑣢𑣥	𑥒𑥕	𑱒𑱕	𑵒𑵕	𑶢𑶥	𖩢𖩥	𖫂𖫅	𖭒𖭕	𞅂𞅅	𞋲𞋵	𞥒𞥕	🯲🯵
26	26	٢٦	۲۶	߂߆	२६	২৬	੨੬	૨૬	୨୬	௨௬	౨౬	೨೬	൨൬	෨෬	๒๖	໒໖	༢༦	၂၆	႒႖	២៦	᠒᠖	᥈᥌	᧒᧖	᪂᪆	᪒᪖	᭒᭖	᮲᮶	᱂᱆	᱒᱖	꘢꘦	꣒꣖	꤂꤆	꧒꧖	꧲꧶	꩒꩖	꯲꯶	２６	𐒢𐒦	𐴲𐴶	𑁨𑁬	𑃲𑃶	𑄸𑄼	𑇒𑇖	𑋲𑋶	𑑒𑑖	𑓒𑓖	𑙒𑙖	𑛂𑛆	𑜲𑜶	𑣢𑣦	𑥒𑥖	𑱒𑱖	𑵒𑵖	𑶢𑶦	𖩢𖩦	𖫂𖫆	𖭒𖭖	𞅂𞅆	𞋲𞋶	𞥒𞥖	🯲🯶
27	27	٢٧	۲۷	߂߇	२७	২৭	੨੭	૨૭	୨୭	௨௭	౨౭	೨೭	൨൭	෨෭	๒๗	໒໗	༢༧	၂၇	႒႗	២៧	᠒᠗	᥈᥍	᧒᧗	᪂᪇	᪒᪗	᭒᭗	᮲᮷	᱂᱇	᱒᱗	꘢꘧	꣒꣗	꤂꤇	꧒꧗	꧲꧷	꩒꩗	꯲꯷	２７	𐒢𐒧	𐴲𐴷	𑁨𑁭	𑃲𑃷	𑄸𑄽	𑇒𑇗	𑋲𑋷	𑑒𑑗	𑓒𑓗	𑙒𑙗	𑛂𑛇	𑜲𑜷	𑣢𑣧	𑥒𑥗	𑱒𑱗	𑵒𑵗	𑶢𑶧	𖩢𖩧	𖫂𖫇	𖭒𖭗	𞅂𞅇	𞋲𞋷	𞥒𞥗	🯲🯷
28	28	٢٨	۲۸	߂߈	२८	২৮	੨੮	૨૮	୨୮	௨௮	౨౮	೨೮	൨൮	෨෮	๒๘	໒໘	༢༨	၂၈	႒႘	២៨	᠒᠘	᥈᥎	᧒᧘	᪂᪈	᪒᪘	᭒᭘	᮲᮸	᱂᱈	᱒᱘	꘢꘨	꣒꣘	꤂꤈	꧒꧘	꧲꧸	꩒꩘	꯲꯸	２８	𐒢𐒨	𐴲𐴸	𑁨𑁮	𑃲𑃸	𑄸𑄾	𑇒𑇘	𑋲𑋸	𑑒𑑘	𑓒𑓘	𑙒𑙘	𑛂𑛈	𑜲𑜸	𑣢𑣨	𑥒𑥘	𑱒𑱘	𑵒𑵘	𑶢𑶨	𖩢𖩨	𖫂𖫈	𖭒𖭘	𞅂𞅈	𞋲𞋸	𞥒𞥘	🯲🯸
29	29	٢٩	۲۹	߂߉	२९	২৯	੨੯	૨૯	୨୯	௨௯	౨౯	೨೯	൨൯	෨෯	๒๙	໒໙	༢༩	၂၉	႒႙	២៩	᠒᠙	᥈᥏	᧒᧙	᪂᪉	᪒᪙	᭒᭙	᮲᮹	᱂᱉	᱒᱙	꘢꘩	꣒꣙	꤂꤉	꧒꧙	꧲꧹	꩒꩙	꯲꯹	２９	𐒢𐒩	𐴲𐴹	𑁨𑁯	𑃲𑃹	𑄸𑄿	𑇒𑇙	𑋲𑋹	𑑒𑑙	𑓒𑓙	𑙒𑙙	𑛂𑛉	𑜲𑜹	𑣢𑣩	𑥒𑥙	𑱒𑱙	𑵒𑵙	𑶢𑶩	𖩢𖩩	𖫂𖫉	𖭒𖭙	𞅂𞅉	𞋲𞋹	𞥒𞥙	🯲🯹
30	30	٣٠	۳۰	߃߀	३०	৩০	੩੦	૩૦	୩୦	௩௦	౩౦	೩೦	൩൦	෩෦	๓๐	໓໐	༣༠	၃၀	႓႐	៣០	᠓᠐	᥉᥆	᧓᧐	᪃᪀	᪓᪐	᭓᭐	᮳᮰	᱃᱀	᱓᱐	꘣꘠	꣓꣐	꤃꤀	꧓꧐	꧳꧰	꩓꩐	꯳꯰	３０	𐒣𐒠	𐴳𐴰	𑁩𑁦	𑃳𑃰	𑄹𑄶	𑇓𑇐	𑋳𑋰	𑑓𑑐	𑓓𑓐	𑙓𑙐	𑛃𑛀	𑜳𑜰	𑣣𑣠	𑥓𑥐	𑱓𑱐	𑵓𑵐	𑶣𑶠	𖩣𖩠	𖫃𖫀	𖭓𖭐	𞅃𞅀	𞋳𞋰	𞥓𞥐	🯳🯰
31	31	٣١	۳۱	߃߁	३१	৩১	੩੧	૩૧	୩୧	௩௧	౩౧	೩೧	൩൧	෩෧	๓๑	໓໑	༣༡	၃၁	႓႑	៣១	᠓᠑	᥉᥇	᧓᧑	᪃᪁	᪓᪑	᭓᭑	᮳᮱	᱃᱁	᱓᱑	꘣꘡	꣓꣑	꤃꤁	꧓꧑	꧳꧱	꩓꩑	꯳꯱	３１	𐒣𐒡	𐴳𐴱	𑁩𑁧	𑃳𑃱	𑄹𑄷	𑇓𑇑	𑋳𑋱	𑑓𑑑	𑓓𑓑	𑙓𑙑	𑛃𑛁	𑜳𑜱	𑣣𑣡	𑥓𑥑	𑱓𑱑	𑵓𑵑	𑶣𑶡	𖩣𖩡	𖫃𖫁	𖭓𖭑	𞅃𞅁	𞋳𞋱	𞥓𞥑	🯳🯱
