#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:710:3:2444,2444,Ntabankulu,ZA2444,,,,Alfred Nzo,ZA244,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:2920,2920,Buffalo City,ZA2920,,,,Buffalo City,ZA292,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:2930,2930,Nelson Mandela Bay,ZA2930,,,,Nelson Mandela Bay,ZA293,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:3061,3061,Richtersveld,ZA3061,,,,Namakwa,ZA306,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:3062,3062,Nama Khoi,ZA3062,,,,Namakwa,ZA306,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:3064,3064,Kamiesberg,ZA3064,,,,Namakwa,ZA306,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:3065,3065,Hantam,ZA3065,,,,Namakwa,ZA306,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:3066,3066,Karoo Hoogland,ZA3066,,,,Namakwa,ZA306,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:3067,3067,Khâi-Ma,ZA3067,Khai-Ma,,,Namakwa,ZA306,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:3071,3071,Ubuntu,ZA3071,,,,Pixley ka Seme,ZA307,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:3072,3072,Umsobomvu,ZA3072,,,,Pixley ka Seme,ZA307,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:3073,3073,Emthanjeni,ZA3073,,,,Pixley ka Seme,ZA307,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:3074,3074,Kareeberg,ZA3074,,,,Pixley ka Seme,ZA307,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:3075,3075,Renosterberg,ZA3075,,,,Pixley ka Seme,ZA307,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:3076,3076,Thembelihle,ZA3076,,,,Pixley ka Seme,ZA307,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:3077,3077,Siyathemba,ZA3077,,,,Pixley ka Seme,ZA307,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:3078,3078,Siyancuma,ZA3078,,,,Pixley ka Seme,ZA307,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:3082,3082,Kai Garib,ZA3082,,,,Z F Mgcawu,ZA308,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:3084,3084,Kheis,ZA3084,,,,Z F Mgcawu,ZA308,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:3085,3085,Tsantsabane,ZA3085,,,,Z F Mgcawu,ZA308,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:3086,3086,Kgatelopele,ZA3086,,,,Z F Mgcawu,ZA308,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:3087,3087,Dawid Kruiper,ZA3087,,,,Z F Mgcawu,ZA308,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:3091,3091,Sol Plaatjie,ZA3091,,,,Frances Baard,ZA309,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:3092,3092,Dikgatlong,ZA3092,,,,Frances Baard,ZA309,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:3093,3093,Magareng,ZA3093,,,,Frances Baard,ZA309,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:3094,3094,Phokwane,ZA3094,,,,Frances Baard,ZA309,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:3451,3451,Joe Morolong,ZA3451,,,,John Taolo Gaetsewe,ZA345,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:3452,3452,Ga-Segonyana,ZA3452,,,,John Taolo Gaetsewe,ZA345,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:3453,3453,Gamagara,ZA3453,,,,John Taolo Gaetsewe,ZA345,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:4161,4161,Letsemeng,ZA4161,,,,Xhariep,ZA416,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:4162,4162,Kopanong,ZA4162,,,,Xhariep,ZA416,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:4163,4163,Mohokare,ZA4163,,,,Xhariep,ZA416,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:4181,4181,Masilonyana,ZA4181,,,,Lejweleputswa,ZA418,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:4182,4182,Tokologo,ZA4182,,,,Lejweleputswa,ZA418,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:4183,4183,Tswelopele,ZA4183,,,,Lejweleputswa,ZA418,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:4184,4184,Matjhabeng,ZA4184,,,,Lejweleputswa,ZA418,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:4185,4185,Nala,ZA4185,,,,Lejweleputswa,ZA418,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:4191,4191,Setsoto,ZA4191,,,,Thabo Mofutsanyane,ZA419,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:4192,4192,Dihlabeng,ZA4192,,,,Thabo Mofutsanyane,ZA419,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:4193,4193,Nketoana,ZA4193,,,,Thabo Mofutsanyane,ZA419,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:4194,4194,Maluti a Phofung,ZA4194,,,,Thabo Mofutsanyane,ZA419,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:4195,4195,Phumelela,ZA4195,,,,Thabo Mofutsanyane,ZA419,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:4196,4196,Mantsopa,ZA4196,,,,Thabo Mofutsanyane,ZA419,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:4201,4201,Moqhaka,ZA4201,,,,Fezile Dabi,ZA420,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:4203,4203,Ngwathe,ZA4203,,,,Fezile Dabi,ZA420,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:4204,4204,Metsimaholo,ZA4204,,,,Fezile Dabi,ZA420,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:4205,4205,Mafube,ZA4205,,,,Fezile Dabi,ZA420,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:4940,4940,Mangaung,ZA4940,,,,Mangaung,ZA494,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:5212,5212,Umdoni,ZA5212,,,,Ugu,ZA521,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:5213,5213,Umzumbe,ZA5213,,,,Ugu,ZA521,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:5214,5214,uMuziwabantu,ZA5214,,,,Ugu,ZA521,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:5216,5216,Ray Nkonyeni,ZA5216,,,,Ugu,ZA521,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:5221,5221,uMshwathi,ZA5221,,,,Umgungundlovu,ZA522,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:5222,5222,uMngeni,ZA5222,,,,Umgungundlovu,ZA522,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:5223,5223,Mpofana,ZA5223,,,,Umgungundlovu,ZA522,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:5224,5224,Impendle,ZA5224,,,,Umgungundlovu,ZA522,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:5225,5225,The Msunduzi,ZA5225,,,,Umgungundlovu,ZA522,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:5226,5226,Mkhambathini,ZA5226,,,,Umgungundlovu,ZA522,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:5227,5227,Richmond,ZA5227,,,,Umgungundlovu,ZA522,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:5235,5235,Okhahlamba,ZA5235,,,,Uthukela,ZA523,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:5237,5237,Inkosi Langalibalele,ZA5237,,,,Uthukela,ZA523,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:5238,5238,Alfred Duma,ZA5238,,,,Uthukela,ZA523,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:5241,5241,Endumeni,ZA5241,,,,Umzinyathi,ZA524,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:5242,5242,Nqutu,ZA5242,,,,Umzinyathi,ZA524,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:5244,5244,Msinga,ZA5244,,,,Umzinyathi,ZA524,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:5245,5245,Umvoti,ZA5245,,,,Umzinyathi,ZA524,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:5252,5252,Newcastle,ZA5252,,,,Amajuba,ZA525,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:5253,5253,Emadlangeni,ZA5253,,,,Amajuba,ZA525,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:5254,5254,Dannhauser,ZA5254,,,,Amajuba,ZA525,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:5261,5261,eDumbe,ZA5261,,,,Zululand,ZA526,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:5262,5262,uPhongolo,ZA5262,,,,Zululand,ZA526,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:5263,5263,Abaqulusi,ZA5263,,,,Zululand,ZA526,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:5265,5265,Nongoma,ZA5265,,,,Zululand,ZA526,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:5266,5266,Ulundi,ZA5266,,,,Zululand,ZA526,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:5271,5271,Umhlabuyalingana,ZA5271,,,,Umkhanyakude,ZA527,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:5272,5272,Jozini,ZA5272,,,,Umkhanyakude,ZA527,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:5275,5275,Mtubatuba,ZA5275,,,,Umkhanyakude,ZA527,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:5276,5276,Big Five Hlabisa,ZA5276,,,,Umkhanyakude,ZA527,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:5281,5281,Mfolozi,ZA5281,,,,Uthungulu,ZA528,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:5282,5282,uMhlathuze,ZA5282,,,,Uthungulu,ZA528,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:5284,5284,uMlalazi,ZA5284,,,,Uthungulu,ZA528,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:5285,5285,Mthonjaneni,ZA5285,,,,Uthungulu,ZA528,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:5286,5286,Nkandla,ZA5286,,,,Uthungulu,ZA528,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:5291,5291,Mandeni,ZA5291,,,,iLembe,ZA529,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:5292,5292,KwaDukuza,ZA5292,,,,iLembe,ZA529,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:5293,5293,Ndwedwe,ZA5293,,,,iLembe,ZA529,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:5294,5294,Maphumulo,ZA5294,,,,iLembe,ZA529,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:5433,5433,Greater Kokstad,ZA5433,,,,Sisonke,ZA543,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:5434,5434,Ubuhlebezwe,ZA5434,,,,Sisonke,ZA543,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:5435,5435,Umzimkhulu,ZA5435,,,,Sisonke,ZA543,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:5436,5436,Dr Nkosazana Dlamini Zuma,ZA5436,,,,Sisonke,ZA543,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:5950,5950,eThekwini,ZA5950,,,,eThekwini,ZA595,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:6371,6371,Moretele,ZA6371,,,,Bojanala,ZA637,North West,ZA6,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:6372,6372,Local Municipality of Madibeng,ZA6372,,,,Bojanala,ZA637,North West,ZA6,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:6373,6373,Rustenburg,ZA6373,,,,Bojanala,ZA637,North West,ZA6,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:6374,6374,Kgetlengrivier,ZA6374,,,,Bojanala,ZA637,North West,ZA6,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:6375,6375,Moses Kotane,ZA6375,,,,Bojanala,ZA637,North West,ZA6,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:6381,6381,Ratlou,ZA6381,,,,Ngaka Modiri Molema,ZA638,North West,ZA6,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:6382,6382,Tswaing,ZA6382,,,,Ngaka Modiri Molema,ZA638,North West,ZA6,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:6383,6383,Mafikeng,ZA6383,,,,Ngaka Modiri Molema,ZA638,North West,ZA6,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:6384,6384,Ditsobotla,ZA6384,,,,Ngaka Modiri Molema,ZA638,North West,ZA6,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:6385,6385,Ramotshere Moiloa,ZA6385,,,,Ngaka Modiri Molema,ZA638,North West,ZA6,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:6392,6392,Naledi,ZA6392,,,,Dr Ruth Segomotsi Mompati,ZA639,North West,ZA6,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:6393,6393,Mamusa,ZA6393,,,,Dr Ruth Segomotsi Mompati,ZA639,North West,ZA6,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:6394,6394,Greater Taung,ZA6394,,,,Dr Ruth Segomotsi Mompati,ZA639,North West,ZA6,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:3:6396,6396,Lekwa-Teemane,ZA6396,,,,Dr Ruth Segomotsi Mompati,ZA639,North West,ZA6,South Africa,ZA,2018-12-27,2020-11-12,
