#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt0,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+code+v_pcode,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+rem+i_qcc+is_zxxx+ix_ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:50:3:100636,100636,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100636,Hizla,BD100636,,,,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:100651,100651,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100651,Barisal Sadar (Kotwali),BD100651,,,,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:100662,100662,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100662,Mehendiganj,BD100662,,,,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:100669,100669,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100669,Muladi,BD100669,,,,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:100694,100694,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,1603:45:16:50:3:100694,Wazirpur,BD100694,,,,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:100918,100918,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1009,1603:45:16:50:3:100918,Bhola Sadar,BD100918,,,,Bhola,BD1009,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:100921,100921,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1009,1603:45:16:50:3:100921,Burhanuddin,BD100921,,,,Bhola,BD1009,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:100925,100925,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1009,1603:45:16:50:3:100925,Char Fasson,BD100925,,,,Bhola,BD1009,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:100929,100929,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1009,1603:45:16:50:3:100929,Daulatkhan,BD100929,,,,Bhola,BD1009,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:100954,100954,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1009,1603:45:16:50:3:100954,Lalmohan,BD100954,,,,Bhola,BD1009,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:100965,100965,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1009,1603:45:16:50:3:100965,Manpura,BD100965,,,,Bhola,BD1009,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:100991,100991,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1009,1603:45:16:50:3:100991,Tazumuddin,BD100991,,,,Bhola,BD1009,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:104240,104240,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1042,1603:45:16:50:3:104240,Jhalokati Sadar,BD104240,,,,Jhalokati,BD1042,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:104243,104243,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1042,1603:45:16:50:3:104243,Kanthalia,BD104243,,,,Jhalokati,BD1042,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:104273,104273,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1042,1603:45:16:50:3:104273,Nalchity,BD104273,,,,Jhalokati,BD1042,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:104284,104284,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1042,1603:45:16:50:3:104284,Rajapur,BD104284,,,,Jhalokati,BD1042,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:107838,107838,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1078,1603:45:16:50:3:107838,Bauphal,BD107838,,,,Patuakhali,BD1078,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:107852,107852,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1078,1603:45:16:50:3:107852,Dashmina,BD107852,,,,Patuakhali,BD1078,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:107855,107855,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1078,1603:45:16:50:3:107855,Dumki,BD107855,,,,Patuakhali,BD1078,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:107857,107857,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1078,1603:45:16:50:3:107857,Galachipa,BD107857,,,,Patuakhali,BD1078,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:107866,107866,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1078,1603:45:16:50:3:107866,Kala Para,BD107866,,,,Patuakhali,BD1078,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:107876,107876,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1078,1603:45:16:50:3:107876,Mirzaganj,BD107876,,,,Patuakhali,BD1078,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:107895,107895,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1078,1603:45:16:50:3:107895,Patuakhali Sadar,BD107895,,,,Patuakhali,BD1078,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:107914,107914,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1079,1603:45:16:50:3:107914,Bhandaria,BD107914,,,,Pirojpur,BD1079,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:107947,107947,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1079,1603:45:16:50:3:107947,Kawkhali,BD107947,,,,Pirojpur,BD1079,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:107958,107958,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1079,1603:45:16:50:3:107958,Mathbaria,BD107958,,,,Pirojpur,BD1079,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:107976,107976,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1079,1603:45:16:50:3:107976,Nazirpur,BD107976,,,,Pirojpur,BD1079,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:107980,107980,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1079,1603:45:16:50:3:107980,Pirojpur Sadar,BD107980,,,,Pirojpur,BD1079,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:107987,107987,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1079,1603:45:16:50:3:107987,Nesarabad (Swarupkati),BD107987,,,,Pirojpur,BD1079,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:107990,107990,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1079,1603:45:16:50:3:107990,Zianagar,BD107990,,,,Pirojpur,BD1079,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:200304,200304,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2003,1603:45:16:50:3:200304,Alikadam,BD200304,,,,Bandarban,BD2003,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:200314,200314,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2003,1603:45:16:50:3:200314,Bandarban Sadar,BD200314,,,,Bandarban,BD2003,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:200351,200351,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2003,1603:45:16:50:3:200351,Lama,BD200351,,,,Bandarban,BD2003,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:200373,200373,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2003,1603:45:16:50:3:200373,Naikhongchhari,BD200373,,,,Bandarban,BD2003,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:200389,200389,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2003,1603:45:16:50:3:200389,Rowangchhari,BD200389,,,,Bandarban,BD2003,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:200391,200391,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2003,1603:45:16:50:3:200391,Ruma,BD200391,,,,Bandarban,BD2003,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:200395,200395,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2003,1603:45:16:50:3:200395,Thanchi,BD200395,,,,Bandarban,BD2003,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201202,201202,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2012,1603:45:16:50:3:201202,Akhaura,BD201202,,,,Brahamanbaria,BD2012,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201204,201204,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2012,1603:45:16:50:3:201204,Banchharampur,BD201204,,,,Brahamanbaria,BD2012,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201207,201207,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2012,1603:45:16:50:3:201207,Bijoynagar,BD201207,,,,Brahamanbaria,BD2012,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201213,201213,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2012,1603:45:16:50:3:201213,Brahmanbaria Sadar,BD201213,,,,Brahamanbaria,BD2012,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201233,201233,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2012,1603:45:16:50:3:201233,Ashuganj,BD201233,,,,Brahamanbaria,BD2012,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201263,201263,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2012,1603:45:16:50:3:201263,Kasba,BD201263,,,,Brahamanbaria,BD2012,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201285,201285,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2012,1603:45:16:50:3:201285,Nabinagar,BD201285,,,,Brahamanbaria,BD2012,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201290,201290,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2012,1603:45:16:50:3:201290,Nasirnagar,BD201290,,,,Brahamanbaria,BD2012,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201294,201294,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2012,1603:45:16:50:3:201294,Sarail,BD201294,,,,Brahamanbaria,BD2012,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201322,201322,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2013,1603:45:16:50:3:201322,Chandpur Sadar,BD201322,,,,Chandpur,BD2013,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201345,201345,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2013,1603:45:16:50:3:201345,Faridganj,BD201345,,,,Chandpur,BD2013,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201347,201347,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2013,1603:45:16:50:3:201347,Haim Char,BD201347,,,,Chandpur,BD2013,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201349,201349,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2013,1603:45:16:50:3:201349,Hajiganj,BD201349,,,,Chandpur,BD2013,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201358,201358,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2013,1603:45:16:50:3:201358,Kachua,BD201358,,,,Chandpur,BD2013,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201376,201376,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2013,1603:45:16:50:3:201376,Matlab Dakshin,BD201376,,,,Chandpur,BD2013,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201379,201379,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2013,1603:45:16:50:3:201379,Matlab Uttar,BD201379,,,,Chandpur,BD2013,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201395,201395,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2013,1603:45:16:50:3:201395,Shahrasti,BD201395,,,,Chandpur,BD2013,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201504,201504,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2015,1603:45:16:50:3:201504,Anowara,BD201504,,,,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201506,201506,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2015,1603:45:16:50:3:201506,Bayejid Bostami,BD201506,,,,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201508,201508,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2015,1603:45:16:50:3:201508,Banshkhali,BD201508,,,,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201510,201510,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2015,1603:45:16:50:3:201510,Bakalia,BD201510,,,,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201512,201512,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2015,1603:45:16:50:3:201512,Boalkhali,BD201512,,,,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201518,201518,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2015,1603:45:16:50:3:201518,Chandanaish,BD201518,,,,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201519,201519,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2015,1603:45:16:50:3:201519,Chandgaon,BD201519,,,,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201520,201520,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2015,1603:45:16:50:3:201520,Chittagong Port,BD201520,,,,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201528,201528,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2015,1603:45:16:50:3:201528,Double Mooring,BD201528,,,,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201533,201533,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2015,1603:45:16:50:3:201533,Fatikchhari,BD201533,,,,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201535,201535,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2015,1603:45:16:50:3:201535,Halishahar,BD201535,,,,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201537,201537,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2015,1603:45:16:50:3:201537,Hathazari,BD201537,,,,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201541,201541,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2015,1603:45:16:50:3:201541,Kotwali,BD201541,,,,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201543,201543,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2015,1603:45:16:50:3:201543,Khulshi,BD201543,,,,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201547,201547,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2015,1603:45:16:50:3:201547,Lohagara,BD201547,,,,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201553,201553,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2015,1603:45:16:50:3:201553,Mirsharai,BD201553,,,,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201555,201555,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2015,1603:45:16:50:3:201555,Pahartali,BD201555,,,,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201557,201557,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2015,1603:45:16:50:3:201557,Panchlaish,BD201557,,,,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201561,201561,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2015,1603:45:16:50:3:201561,Patiya,BD201561,,,,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201565,201565,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2015,1603:45:16:50:3:201565,Patenga,BD201565,,,,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201570,201570,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2015,1603:45:16:50:3:201570,Rangunia,BD201570,,,,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201574,201574,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2015,1603:45:16:50:3:201574,Raozan,BD201574,,,,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201578,201578,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2015,1603:45:16:50:3:201578,Sandwip,BD201578,,,,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201582,201582,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2015,1603:45:16:50:3:201582,Satkania,BD201582,,,,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201586,201586,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2015,1603:45:16:50:3:201586,Sitakunda,BD201586,,,,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201909,201909,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2019,1603:45:16:50:3:201909,Barura,BD201909,,,,Comilla,BD2019,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201915,201915,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2019,1603:45:16:50:3:201915,Brahman Para,BD201915,,,,Comilla,BD2019,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201918,201918,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2019,1603:45:16:50:3:201918,Burichang,BD201918,,,,Comilla,BD2019,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201927,201927,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2019,1603:45:16:50:3:201927,Chandina,BD201927,,,,Comilla,BD2019,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
