#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm3+name+i_eng+is_latn,#adm3+name+i_swa+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm3+name+alt1+i_swa+is_latn,#adm3+name+alt2+i_swa+is_latn,#adm2+name+i_eng+is_latn,#adm2+name+i_swa+is_latn,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+name+i_swa+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_swa+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:834:3:101111,101111,Kikore,,TZ0101111,,,,,,Kondoa,,TZ0101,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:101121,101121,Serya,,TZ0101121,,,,,,Kondoa,,TZ0101,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:101133,101133,Kilimani,,TZ0101133,,,,,,Kondoa,,TZ0101,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:101142,101142,Chemchem,,TZ0101142,,,,,,Kondoa,,TZ0101,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:101151,101151,Hondo mairo,,TZ0101151,,,,,,Kondoa,,TZ0101,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:101161,101161,Bolisa,,TZ0101161,,,,,,Kondoa,,TZ0101,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:101171,101171,Kinyasi,,TZ0101171,,,,,,Kondoa,,TZ0101,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:101181,101181,Salanka,,TZ0101181,,,,,,Kondoa,,TZ0101,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:101191,101191,Itololo,,TZ0101191,,,,,,Kondoa,,TZ0101,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:101201,101201,Itaswi,,TZ0101201,,,,,,Kondoa,,TZ0101,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:101211,101211,Suruke,,TZ0101211,,,,,,Kondoa,,TZ0101,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:101221,101221,Kingale,,TZ0101221,,,,,,Kondoa,,TZ0101,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:101232,101232,Kondoa mjini,,TZ0101232,,,,,,Kondoa,,TZ0101,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:101241,101241,Kolo,,TZ0101241,,,,,,Kondoa,,TZ0101,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:101251,101251,Changaa,,TZ0101251,,,,,,Kondoa,,TZ0101,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:101261,101261,Thawi,,TZ0101261,,,,,,Kondoa,,TZ0101,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:101271,101271,Mnenia,,TZ0101271,,,,,,Kondoa,,TZ0101,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:101281,101281,Soera,,TZ0101281,,,,,,Kondoa,,TZ0101,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:102011,102011,Mazae,,TZ0102011,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:102023,102023,Vingh'awe,,TZ0102023,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:102031,102031,Matomondo,,TZ0102031,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:102041,102041,Kimagai,,TZ0102041,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:102053,102053,Kibakwe,,TZ0102053,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:102061,102061,Lumuma,,TZ0102061,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:102071,102071,Luhundwa,,TZ0102071,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:102081,102081,Massa,,TZ0102081,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:102091,102091,Ipera,,TZ0102091,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:102101,102101,Rudi,,TZ0102101,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:102111,102111,Mlunduzi,,TZ0102111,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:102121,102121,Wotta,,TZ0102121,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:102131,102131,Mima,,TZ0102131,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:102141,102141,Berege,,TZ0102141,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:102151,102151,Chunyu,,TZ0102151,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:102161,102161,Mbuga,,TZ0102161,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:102171,102171,Godegode,,TZ0102171,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:102183,102183,Mpwapwa,,TZ0102183,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:102191,102191,Lupeta,,TZ0102191,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:102201,102201,Gulwe,,TZ0102201,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:102211,102211,Nghambi,,TZ0102211,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:102221,102221,Chitemo,,TZ0102221,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:102231,102231,Iwondo,,TZ0102231,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:102241,102241,Kingiti,,TZ0102241,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:102251,102251,Lufu,,TZ0102251,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:102261,102261,Pwaga,,TZ0102261,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:102271,102271,Galigali,,TZ0102271,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:102281,102281,Mtera,,TZ0102281,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:102291,102291,Chipogoro,,TZ0102291,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:102301,102301,Malolo,,TZ0102301,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:103013,103013,Kongwa,,TZ0103013,,,,,,Kongwa,,TZ0103,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:103021,103021,Sejeli,,TZ0103021,,,,,,Kongwa,,TZ0103,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:103031,103031,Hogoro,,TZ0103031,,,,,,Kongwa,,TZ0103,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:103041,103041,Zoissa,,TZ0103041,,,,,,Kongwa,,TZ0103,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:103051,103051,Mkoka,,TZ0103051,,,,,,Kongwa,,TZ0103,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:103061,103061,Njoge,,TZ0103061,,,,,,Kongwa,,TZ0103,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:103071,103071,Mtanana,,TZ0103071,,,,,,Kongwa,,TZ0103,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:103081,103081,Pandambili,,TZ0103081,,,,,,Kongwa,,TZ0103,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:103091,103091,Mlali,,TZ0103091,,,,,,Kongwa,,TZ0103,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:103101,103101,Iduo,,TZ0103101,,,,,,Kongwa,,TZ0103,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:103111,103111,Sagara,,TZ0103111,,,,,,Kongwa,,TZ0103,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:103123,103123,Kibaigwa,,TZ0103123,,,,,,Kongwa,,TZ0103,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:103133,103133,Ugogoni,,TZ0103133,,,,,,Kongwa,,TZ0103,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:103141,103141,Chamkoroma,,TZ0103141,,,,,,Kongwa,,TZ0103,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:103151,103151,Makawa,,TZ0103151,,,,,,Kongwa,,TZ0103,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:103161,103161,Chitego,,TZ0103161,,,,,,Kongwa,,TZ0103,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:103171,103171,Matongoro,,TZ0103171,,,,,,Kongwa,,TZ0103,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:103181,103181,Ngomai,,TZ0103181,,,,,,Kongwa,,TZ0103,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:103191,103191,Songambele,,TZ0103191,,,,,,Kongwa,,TZ0103,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:103201,103201,Chiwe,,TZ0103201,,,,,,Kongwa,,TZ0103,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:103211,103211,Lenjulu,,TZ0103211,,,,,,Kongwa,,TZ0103,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:103221,103221,Nghumbi,,TZ0103221,,,,,,Kongwa,,TZ0103,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:104011,104011,Haneti,,TZ0104011,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:104021,104021,Segala,,TZ0104021,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:104031,104031,Itiso,,TZ0104031,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:104041,104041,Dabalo,,TZ0104041,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:104051,104051,Membe,,TZ0104051,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:104061,104061,Msanga,,TZ0104061,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:104071,104071,Chilonwa,,TZ0104071,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:104083,104083,Buigiri,,TZ0104083,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:104091,104091,Majeleko,,TZ0104091,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:104101,104101,Manchali,,TZ0104101,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:104111,104111,Ikowa,,TZ0104111,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:104121,104121,Msamalo,,TZ0104121,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:104131,104131,Igandu,,TZ0104131,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:104141,104141,Muungano,,TZ0104141,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:104151,104151,Mvumi Makulu,,TZ0104151,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:104161,104161,Handali,,TZ0104161,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:104173,104173,Mvumi Mission,,TZ0104173,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:104181,104181,Idifu,,TZ0104181,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:104191,104191,Makang'wa,,TZ0104191,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:104201,104201,Iringamvumi,,TZ0104201,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:104211,104211,Manzase,,TZ0104211,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:104221,104221,Fufu,,TZ0104221,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:104231,104231,Mlowa Bwawani,,TZ0104231,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:104241,104241,Mpwayungu,,TZ0104241,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:104251,104251,Nghambaku,,TZ0104251,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:104261,104261,Chinugulu,,TZ0104261,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:104271,104271,Manda,,TZ0104271,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:104281,104281,Huzi,,TZ0104281,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:104291,104291,Loje,,TZ0104291,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:104301,104301,Chiboli,,TZ0104301,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:104311,104311,Nhinhi,,TZ0104311,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:104321,104321,Zajilwa,,TZ0104321,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:105012,105012,Viwandani,,TZ0105012,,,,,,Dodoma Urban,,TZ0105,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:105022,105022,Uhuru,,TZ0105022,,,,,,Dodoma Urban,,TZ0105,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:105032,105032,Chamwino,,TZ0105032,,,,,,Dodoma Urban,,TZ0105,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:105042,105042,Kiwanja cha ndege,,TZ0105042,,,,,,Dodoma Urban,,TZ0105,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:105052,105052,Makole,,TZ0105052,,,,,,Dodoma Urban,,TZ0105,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:3:105062,105062,Miyuji,,TZ0105062,,,,,,Dodoma Urban,,TZ0105,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
