#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5003,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:694:3:10209,10209,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:102,1603:45:16:694:3:10209,Malegohun,SL010209,Malegohun,,,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:10210,10210,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:102,1603:45:16:694:3:10210,Niawa,SL010210,Niawa,,,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:10211,10211,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:102,1603:45:16:694:3:10211,Nomo,SL010211,Nomo,,,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:10212,10212,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:102,1603:45:16:694:3:10212,Nongowa,SL010212,Nongowa,,,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:10213,10213,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:102,1603:45:16:694:3:10213,Simbaru,SL010213,Simbaru,,,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:10214,10214,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:102,1603:45:16:694:3:10214,Small Bo,SL010214,Small Bo,,,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:10215,10215,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:102,1603:45:16:694:3:10215,Tunkia,SL010215,Tunkia,,,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:10216,10216,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:102,1603:45:16:694:3:10216,Wandor,SL010216,Wandor,,,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:10291,10291,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:102,1603:45:16:694:3:10291,Kenema Town,SL010291,Kenema Town,,,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:10301,10301,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:103,1603:45:16:694:3:10301,Fiama,SL010301,Fiama,,,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:10302,10302,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:103,1603:45:16:694:3:10302,Gbane,SL010302,Gbane,,,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:10303,10303,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:103,1603:45:16:694:3:10303,Gbane Kandor,SL010303,Gbane Kandor,,,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:10304,10304,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:103,1603:45:16:694:3:10304,Gbense,SL010304,Gbense,,,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:10305,10305,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:103,1603:45:16:694:3:10305,Gorama Kono,SL010305,Gorama Kono,,,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:10306,10306,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:103,1603:45:16:694:3:10306,Kamara,SL010306,Kamara,,,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:10307,10307,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:103,1603:45:16:694:3:10307,Lei,SL010307,Lei,,,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:10308,10308,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:103,1603:45:16:694:3:10308,Mafindor,SL010308,Mafindor,,,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:10309,10309,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:103,1603:45:16:694:3:10309,Nimikoro,SL010309,Nimikoro,,,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:10310,10310,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:103,1603:45:16:694:3:10310,Nimiyama,SL010310,Nimiyama,,,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:10311,10311,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:103,1603:45:16:694:3:10311,Sandor,SL010311,Sandor,,,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:10312,10312,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:103,1603:45:16:694:3:10312,Soa,SL010312,Soa,,,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:10313,10313,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:103,1603:45:16:694:3:10313,Tankoro,SL010313,Tankoro,,,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:10314,10314,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:103,1603:45:16:694:3:10314,Toli,SL010314,Toli,,,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:10391,10391,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:103,1603:45:16:694:3:10391,Koidu Town,SL010391,Koidu Town,,,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:20101,20101,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20101,Biriwa,SL020101,Biriwa,,,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:20102,20102,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20102,Bombali Sebora,SL020102,Bombali Sebora,,,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:20103,20103,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20103,Gbanti Kamarank,SL020103,Gbanti Kamarank,,,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:20104,20104,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20104,Gbendembu Ngowa,SL020104,Gbendembu Ngowa,,,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:20105,20105,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20105,Libeisaygahun,SL020105,Libeisaygahun,,,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:20106,20106,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20106,Magbaimba Ndorhahun,SL020106,Magbaimba Ndorh,,,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:20107,20107,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20107,Makari Gbanti,SL020107,Makari Gbanti,,,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:20108,20108,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20108,Paki Masabong,SL020108,Paki Masabong,,,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:20109,20109,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20109,Safroko Limba,SL020109,Safroko Limba,,,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:20110,20110,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20110,Sanda Loko,SL020110,Sanda Loko,,,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:20111,20111,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20111,Sanda Tendaran,SL020111,Sanda Tendaran,,,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:20112,20112,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20112,Sella Limba,SL020112,Sella Limba,,,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:20113,20113,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20113,Tambakha,SL020113,Tambakha,,,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:20191,20191,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20191,Makeni Town,SL020191,Makeni Town,,,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:20201,20201,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:202,1603:45:16:694:3:20201,Bramaia,SL020201,Bramaia,,,Kambia,SL0202,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:20202,20202,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:202,1603:45:16:694:3:20202,Gbinle Dixing,SL020202,Gbinle Dixing,,,Kambia,SL0202,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:20203,20203,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:202,1603:45:16:694:3:20203,Magbema,SL020203,Magbema,,,Kambia,SL0202,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:20204,20204,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:202,1603:45:16:694:3:20204,Mambolo,SL020204,Mambolo,,,Kambia,SL0202,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:20205,20205,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:202,1603:45:16:694:3:20205,Masungbala,SL020205,Masungbala,,,Kambia,SL0202,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:20206,20206,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:202,1603:45:16:694:3:20206,Samu,SL020206,Samu,,,Kambia,SL0202,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:20207,20207,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:202,1603:45:16:694:3:20207,Tonko Limba,SL020207,Tonko Limba,,,Kambia,SL0202,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:20301,20301,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:203,1603:45:16:694:3:20301,Dembelia - Sink,SL020301,Dembelia - Sink,,,Koinadugu,SL0203,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:20302,20302,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:203,1603:45:16:694:3:20302,Diang,SL020302,Diang,,,Koinadugu,SL0203,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:20303,20303,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:203,1603:45:16:694:3:20303,Folosaba Dembel,SL020303,Folosaba Dembel,,,Koinadugu,SL0203,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:20304,20304,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:203,1603:45:16:694:3:20304,Kasunko,SL020304,Kasunko,,,Koinadugu,SL0203,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:20305,20305,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:203,1603:45:16:694:3:20305,Mongo,SL020305,Mongo,,,Koinadugu,SL0203,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:20306,20306,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:203,1603:45:16:694:3:20306,Neya,SL020306,Neya,,,Koinadugu,SL0203,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:20307,20307,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:203,1603:45:16:694:3:20307,Nieni,SL020307,Nieni,,,Koinadugu,SL0203,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:20308,20308,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:203,1603:45:16:694:3:20308,Sengbe,SL020308,Sengbe,,,Koinadugu,SL0203,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:20309,20309,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:203,1603:45:16:694:3:20309,Sulima,SL020309,Sulima,,,Koinadugu,SL0203,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:20310,20310,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:203,1603:45:16:694:3:20310,Wara Wara Bafod,SL020310,Wara Wara Bafod,,,Koinadugu,SL0203,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:20311,20311,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:203,1603:45:16:694:3:20311,Wara Wara Yagal,SL020311,Wara Wara Yagal,,,Koinadugu,SL0203,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:20401,20401,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:204,1603:45:16:694:3:20401,Bureh Kasseh Ma,SL020401,Bureh Kasseh Ma,,,Port Loko,SL0204,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:20402,20402,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:204,1603:45:16:694:3:20402,Buya Romende,SL020402,Buya Romende,,,Port Loko,SL0204,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:20403,20403,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:204,1603:45:16:694:3:20403,Dibia,SL020403,Dibia,,,Port Loko,SL0204,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:20404,20404,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:204,1603:45:16:694:3:20404,Kaffu Bullom,SL020404,Kaffu Bullom,,,Port Loko,SL0204,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:20405,20405,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:204,1603:45:16:694:3:20405,Tasso Island,SL020405,Tasso Island,,,Port Loko,SL0204,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:20406,20406,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:204,1603:45:16:694:3:20406,Lokomasama,SL020406,Lokomasama,,,Port Loko,SL0204,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:20407,20407,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:204,1603:45:16:694:3:20407,Maforki,SL020407,Maforki,,,Port Loko,SL0204,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:20408,20408,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:204,1603:45:16:694:3:20408,Marampa,SL020408,Marampa,,,Port Loko,SL0204,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:20409,20409,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:204,1603:45:16:694:3:20409,Masimera,SL020409,Masimera,,,Port Loko,SL0204,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:20410,20410,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:204,1603:45:16:694:3:20410,Sanda Magbolont,SL020410,Sanda Magbolont,,,Port Loko,SL0204,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:20411,20411,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:204,1603:45:16:694:3:20411,TMS,SL020411,TMS,,,Port Loko,SL0204,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:20412,20412,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:204,1603:45:16:694:3:20412,Koya,SL020412,Koya,,,Port Loko,SL0204,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:3:20501,20501,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:205,1603:45:16:694:3:20501,Gbonkolenken,SL020501,Gbonkolenken,,,Tonkolili,SL0205,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
