#adm2+name+i_eng+is_latn,#adm2+name+i_rus+is_cyrl,#adm2+name+i_kir+is_zyyy,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm2+name+alt1+i_rus+is_cyrl,#adm2+name+alt2+i_rus+is_cyrl,#adm2+name+alt1+i_kir+is_zyyy,#adm2+name+alt2+i_kir+is_zyyy,#adm1+name+i_eng+is_latn,#adm1+name+i_rus+is_cyrl,#adm1+name+i_kir+is_zyyy,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_rus+is_cyrl,#country+name+i_kir+is_zyyy,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end,#meta+admin2+type_en,#meta+admin2+type_ru,#meta+admin2+type_ky
Kadamjai,Кадамжайский,Кадамжай,KG05258000000,,,,,,,,Batken,Баткенская,Баткен,KG05000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,district,район,району 
Batken (city),г.Баткен,Баткен ш.,KG05410000010,,,,,,,,Batken,Баткенская,Баткен,KG05000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,independent city,города областного значения,шаар
Sulukta (city),г.Сулюкта,Сүлүктү ш.,KG05420000010,,,,,,,,Batken,Баткенская,Баткен,KG05000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,independent city,города областного значения,шаар
Kyzyl-Kia (city),г.Кызыл-Кия,Кызыл-Кыя ш.,KG05430000010,,,,,,,,Batken,Баткенская,Баткен,KG05000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,independent city,города областного значения,шаар
Alai,Алайский,Алай,KG06207000000,,,,,,,,Osh,Ошская,Ош,KG06000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,district,район,району 
Aravan,Араванский,Араван,KG06211000000,,,,,,,,Osh,Ошская,Ош,KG06000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,district,район,району 
Kara-Suu,Кара-Сууский,Кара-Суу,KG06226000000,,,,,,,,Osh,Ошская,Ош,KG06000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,district,район,району 
Nookat,Ноокатский,Ноокат,KG06242000000,,,,,,,,Osh,Ошская,Ош,KG06000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,district,район,району 
Kara-Kulja,Кара-Кулжинский,Кара-Кулжа,KG06246000000,,,,,,,,Osh,Ошская,Ош,KG06000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,district,район,району 
Uzgen,Узгенский,Өзгөн,KG06255000000,,,,,,,,Osh,Ошская,Ош,KG06000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,district,район,району 
