#adm1+name+i_eng+is_latn,#adm1+name+i_tha+is_thai,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#adm1+name+alt1+i_tha+is_thai,#adm1+name+alt2+i_tha+is_thai,#country+name+i_eng+is_latn,#country+name+i_tha+is_thai,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Phetchabun,เพชรบูรณ์,TH67,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Ratchaburi,ราชบุรี,TH70,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Kanchanaburi,กาญจนบุรี,TH71,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Suphan Buri,สุพรรณบุรี,TH72,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Nakhon Pathom,นครปฐม,TH73,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Samut Sakhon,สมุทรสาคร,TH74,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Samut Songkhram,สมุทรสงคราม,TH75,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Phetchaburi,เพชรบุรี,TH76,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Prachuap Khiri Khan,ประจวบคีรีขันธ์,TH77,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Nakhon Si Thammarat,นครศรีธรรมราช,TH80,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Krabi,กระบี่,TH81,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Phangnga,พังงา,TH82,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Phuket,ภูเก็ต,TH83,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Surat Thani,สุราษฎร์ธานี,TH84,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Ranong,ระนอง,TH85,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Chumphon,ชุมพร,TH86,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Songkhla,สงขลา,TH90,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Satun,สตูล,TH91,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Trang,ตรัง,TH92,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Phatthalung,พัทลุง,TH93,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Pattani,ปัตตานี,TH94,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Yala,ยะลา,TH95,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Narathiwat,นราธิวาส,TH96,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
