#adm3+name+i_eng+is_latn,#adm3+name+i_sin+is_sinh,#adm3+name+i_tam+is_taml,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm3+name+alt1+i_sin+is_sinh,#adm3+name+alt2+i_sin+is_sinh,#adm3+name+alt1+i_tam+is_taml,#adm3+name+alt2+i_tam+is_taml,#adm2+name+i_eng+is_latn,#adm2+name+i_sin+is_sinh,#adm2+name+i_tam+is_taml,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+name+i_sin+is_sinh,#adm1+name+i_tam+is_taml,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_sin+is_sinh,#country+name+i_tam+is_taml,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Gampaha,ගම්පහ,கம்பகா,LK1224,,,,,,,,Gampaha,ගම්පහ දිස්ත්‍රික්කය,கம்பஹா மாவட்டம்,LK12,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Attanagalla,අත්තනගල්ල,அத்தனகல்லை,LK1227,,,,,,,,Gampaha,ගම්පහ දිස්ත්‍රික්කය,கம்பஹா மாவட்டம்,LK12,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Dompe,දොම්පෙ,தொம்பே,LK1230,,,,,,,,Gampaha,ගම්පහ දිස්ත්‍රික්කය,கம்பஹா மாவட்டம்,LK12,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Mahara,මහර,மகரை,LK1233,,,,,,,,Gampaha,ගම්පහ දිස්ත්‍රික්කය,கம்பஹா மாவட்டம்,LK12,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Kelaniya,කැළණිය,களனி,LK1236,,,,,,,,Gampaha,ගම්පහ දිස්ත්‍රික්කය,கம்பஹா மாவட்டம்,LK12,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Biyagama,බියගම,பியகமை,LK1239,,,,,,,,Gampaha,ගම්පහ දිස්ත්‍රික්කය,கம்பஹா மாவட்டம்,LK12,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Panadura,පානදුර,பாணந்துறை,LK1303,,,,,,,,Kalutara,කඵතර දිස්ත්‍රික්කය,களுத்துறை மாவட்டம்,LK13,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Bandaragama,බණ්ඩාරගම,பண்டாரகமை,LK1306,,,,,,,,Kalutara,කඵතර දිස්ත්‍රික්කය,களுத்துறை மாவட்டம்,LK13,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Horana,හොරණ,கொரணை,LK1309,,,,,,,,Kalutara,කඵතර දිස්ත්‍රික්කය,களுத்துறை மாவட்டம்,LK13,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Ingiriya,ඉංගිරිය,இங்கிரிய,LK1310,,,,,,,,Kalutara,කඵතර දිස්ත්‍රික්කය,களுத்துறை மாவட்டம்,LK13,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
