#adm3+name+i_fra+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_fra+is_latn,#adm3+name+alt2+i_fra+is_latn,#adm2+name+i_fra+is_latn,#adm2+code+v_pcode,#adm1+name+i_fra+is_latn,#adm1+code+v_pcode,#country+name+i_fra+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Nouna,BF460309,,,,Kossi,BF4603,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Sônô,BF460311,Sono,,,Kossi,BF4603,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Bondokui,BF460401,,,,Mouhoun,BF4604,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Dédougou,BF460402,Dedougou,,,Mouhoun,BF4604,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Douroula,BF460403,,,,Mouhoun,BF4604,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Kona,BF460404,,,,Mouhoun,BF4604,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Ouarkoye,BF460405,,,,Mouhoun,BF4604,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Safané,BF460406,Safane,,,Mouhoun,BF4604,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Tchériba,BF460407,Tcheriba,,,Mouhoun,BF4604,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Gassan,BF460501,,,,Nayala,BF4605,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Gossina,BF460502,,,,Nayala,BF4605,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Kougny,BF460503,,,,Nayala,BF4605,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Toma,BF460504,,,,Nayala,BF4605,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Yaba,BF460505,,,,Nayala,BF4605,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Yé,BF460506,Ye,,,Nayala,BF4605,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Di,BF460601,,,,Sourou,BF4606,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Gomboro,BF460602,,,,Sourou,BF4606,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Kassoum,BF460603,,,,Sourou,BF4606,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Kiembara,BF460604,,,,Sourou,BF4606,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Lanfièra,BF460605,Lanfiera,,,Sourou,BF4606,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Lankoué,BF460606,Lankoue,,,Sourou,BF4606,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Toéni,BF460607,Toeni,,,Sourou,BF4606,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Tougan,BF460608,,,,Sourou,BF4606,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-18,2020-03-23,
Banfora,BF470101,,,,Comoé,BF4701,Cascades,BF47,Burkina Faso,BF,2020-03-18,2020-03-23,
Bérégadougou,BF470102,Beregadougou,,,Comoé,BF4701,Cascades,BF47,Burkina Faso,BF,2020-03-18,2020-03-23,
Mangodara,BF470103,,,,Comoé,BF4701,Cascades,BF47,Burkina Faso,BF,2020-03-18,2020-03-23,
Moussodougou,BF470104,,,,Comoé,BF4701,Cascades,BF47,Burkina Faso,BF,2020-03-18,2020-03-23,
Niangoloko,BF470105,,,,Comoé,BF4701,Cascades,BF47,Burkina Faso,BF,2020-03-18,2020-03-23,
Ouô,BF470106,Ouo,,,Comoé,BF4701,Cascades,BF47,Burkina Faso,BF,2020-03-18,2020-03-23,
Sidéradougou,BF470107,Sideradougou,,,Comoé,BF4701,Cascades,BF47,Burkina Faso,BF,2020-03-18,2020-03-23,
Soubakaniédougou,BF470108,Soubakaniedougou,,,Comoé,BF4701,Cascades,BF47,Burkina Faso,BF,2020-03-18,2020-03-23,
Tiéfora,BF470109,Tiefora,,,Comoé,BF4701,Cascades,BF47,Burkina Faso,BF,2020-03-18,2020-03-23,
Dakôrô,BF470201,Dakoro,,,Léraba,BF4702,Cascades,BF47,Burkina Faso,BF,2020-03-18,2020-03-23,
Douna,BF470202,,,,Léraba,BF4702,Cascades,BF47,Burkina Faso,BF,2020-03-18,2020-03-23,
Kankalaba,BF470203,,,,Léraba,BF4702,Cascades,BF47,Burkina Faso,BF,2020-03-18,2020-03-23,
Loumana,BF470204,,,,Léraba,BF4702,Cascades,BF47,Burkina Faso,BF,2020-03-18,2020-03-23,
Niankôrôdougou,BF470205,Niankorodougou,,,Léraba,BF4702,Cascades,BF47,Burkina Faso,BF,2020-03-18,2020-03-23,
Ouéléni,BF470206,Oueleni,,,Léraba,BF4702,Cascades,BF47,Burkina Faso,BF,2020-03-18,2020-03-23,
Sindou,BF470207,,,,Léraba,BF4702,Cascades,BF47,Burkina Faso,BF,2020-03-18,2020-03-23,
Wolonkoto,BF470208,,,,Léraba,BF4702,Cascades,BF47,Burkina Faso,BF,2020-03-18,2020-03-23,
Bagré,BF480101,Bagre,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2020-03-18,2020-03-23,
Bané,BF480102,Bane,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2020-03-18,2020-03-23,
Béguédo,BF480103,Beguedo,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2020-03-18,2020-03-23,
Bissiga,BF480104,,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2020-03-18,2020-03-23,
Bitou,BF480105,,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2020-03-18,2020-03-23,
Boussouma,BF480106,,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2020-03-18,2020-03-23,
Garango,BF480107,,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2020-03-18,2020-03-23,
Komtoèga,BF480108,Komtoega,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2020-03-18,2020-03-23,
Niaogho,BF480109,,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2020-03-18,2020-03-23,
Tenkodogo,BF480110,,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2020-03-18,2020-03-23,
Zabré,BF480111,Zabre,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2020-03-18,2020-03-23,
Zoaga,BF480112,,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2020-03-18,2020-03-23,
Zonsé,BF480113,Zonse,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2020-03-18,2020-03-23,
Komin-Yanga,BF480201,,,,Koulpélogo,BF4802,Centre-Est,BF48,Burkina Faso,BF,2020-03-18,2020-03-23,
Dourtenga,BF480202,,,,Koulpélogo,BF4802,Centre-Est,BF48,Burkina Faso,BF,2020-03-18,2020-03-23,
Lalgaye,BF480203,,,,Koulpélogo,BF4802,Centre-Est,BF48,Burkina Faso,BF,2020-03-18,2020-03-23,
Ouargaye,BF480204,,,,Koulpélogo,BF4802,Centre-Est,BF48,Burkina Faso,BF,2020-03-18,2020-03-23,
Sangha,BF480205,,,,Koulpélogo,BF4802,Centre-Est,BF48,Burkina Faso,BF,2020-03-18,2020-03-23,
Soudougui,BF480206,,,,Koulpélogo,BF4802,Centre-Est,BF48,Burkina Faso,BF,2020-03-18,2020-03-23,
Yargatenga,BF480207,,,,Koulpélogo,BF4802,Centre-Est,BF48,Burkina Faso,BF,2020-03-18,2020-03-23,
Yondé,BF480208,Yonde,,,Koulpélogo,BF4802,Centre-Est,BF48,Burkina Faso,BF,2020-03-18,2020-03-23,
Andemtenga,BF480301,,,,Kourittenga,BF4803,Centre-Est,BF48,Burkina Faso,BF,2020-03-18,2020-03-23,
Baskouré,BF480302,Baskoure,,,Kourittenga,BF4803,Centre-Est,BF48,Burkina Faso,BF,2020-03-18,2020-03-23,
Dialgaye,BF480303,,,,Kourittenga,BF4803,Centre-Est,BF48,Burkina Faso,BF,2020-03-18,2020-03-23,
Gounguen,BF480304,,,,Kourittenga,BF4803,Centre-Est,BF48,Burkina Faso,BF,2020-03-18,2020-03-23,
Kando,BF480305,,,,Kourittenga,BF4803,Centre-Est,BF48,Burkina Faso,BF,2020-03-18,2020-03-23,
Koupèla,BF480306,Koupela,,,Kourittenga,BF4803,Centre-Est,BF48,Burkina Faso,BF,2020-03-18,2020-03-23,
Pouytenga,BF480307,,,,Kourittenga,BF4803,Centre-Est,BF48,Burkina Faso,BF,2020-03-18,2020-03-23,
Tensobentenga,BF480308,,,,Kourittenga,BF4803,Centre-Est,BF48,Burkina Faso,BF,2020-03-18,2020-03-23,
Yargo,BF480309,,,,Kourittenga,BF4803,Centre-Est,BF48,Burkina Faso,BF,2020-03-18,2020-03-23,
Bourzanga,BF490101,,,,Bam,BF4901,Centre-Nord,BF49,Burkina Faso,BF,2020-03-18,2020-03-23,
Guibaré,BF490102,Guibare,,,Bam,BF4901,Centre-Nord,BF49,Burkina Faso,BF,2020-03-18,2020-03-23,
Kongoussi,BF490103,,,,Bam,BF4901,Centre-Nord,BF49,Burkina Faso,BF,2020-03-18,2020-03-23,
Nasséré,BF490104,Nassere,,,Bam,BF4901,Centre-Nord,BF49,Burkina Faso,BF,2020-03-18,2020-03-23,
Rollo,BF490105,,,,Bam,BF4901,Centre-Nord,BF49,Burkina Faso,BF,2020-03-18,2020-03-23,
Roukô,BF490106,Rouko,,,Bam,BF4901,Centre-Nord,BF49,Burkina Faso,BF,2020-03-18,2020-03-23,
Sabsé,BF490107,Sabse,,,Bam,BF4901,Centre-Nord,BF49,Burkina Faso,BF,2020-03-18,2020-03-23,
Tikaré,BF490108,Tikare,,,Bam,BF4901,Centre-Nord,BF49,Burkina Faso,BF,2020-03-18,2020-03-23,
Zimtanga,BF490109,,,,Bam,BF4901,Centre-Nord,BF49,Burkina Faso,BF,2020-03-18,2020-03-23,
Boala,BF490201,,,,Namentenga,BF4902,Centre-Nord,BF49,Burkina Faso,BF,2020-03-18,2020-03-23,
Boulsa,BF490202,,,,Namentenga,BF4902,Centre-Nord,BF49,Burkina Faso,BF,2020-03-18,2020-03-23,
Bouroum,BF490203,,,,Namentenga,BF4902,Centre-Nord,BF49,Burkina Faso,BF,2020-03-18,2020-03-23,
Dargo,BF490204,,,,Namentenga,BF4902,Centre-Nord,BF49,Burkina Faso,BF,2020-03-18,2020-03-23,
Nagbingou,BF490205,,,,Namentenga,BF4902,Centre-Nord,BF49,Burkina Faso,BF,2020-03-18,2020-03-23,
Tougouri,BF490206,,,,Namentenga,BF4902,Centre-Nord,BF49,Burkina Faso,BF,2020-03-18,2020-03-23,
Yalgo,BF490207,,,,Namentenga,BF4902,Centre-Nord,BF49,Burkina Faso,BF,2020-03-18,2020-03-23,
Zéguédéguen,BF490208,Zeguedeguen,,,Namentenga,BF4902,Centre-Nord,BF49,Burkina Faso,BF,2020-03-18,2020-03-23,
Barsalogho,BF490301,,,,Sanmatenga,BF4903,Centre-Nord,BF49,Burkina Faso,BF,2020-03-18,2020-03-23,
Boussouma,BF490302,,,,Sanmatenga,BF4903,Centre-Nord,BF49,Burkina Faso,BF,2020-03-18,2020-03-23,
Dablo,BF490303,,,,Sanmatenga,BF4903,Centre-Nord,BF49,Burkina Faso,BF,2020-03-18,2020-03-23,
Kaya,BF490304,,,,Sanmatenga,BF4903,Centre-Nord,BF49,Burkina Faso,BF,2020-03-18,2020-03-23,
Korsimoro,BF490305,,,,Sanmatenga,BF4903,Centre-Nord,BF49,Burkina Faso,BF,2020-03-18,2020-03-23,
Mané,BF490306,Mane,,,Sanmatenga,BF4903,Centre-Nord,BF49,Burkina Faso,BF,2020-03-18,2020-03-23,
Namissiguima,BF490307,,,,Sanmatenga,BF4903,Centre-Nord,BF49,Burkina Faso,BF,2020-03-18,2020-03-23,
Pensa,BF490308,,,,Sanmatenga,BF4903,Centre-Nord,BF49,Burkina Faso,BF,2020-03-18,2020-03-23,
Pibaoré,BF490309,Pibaore,,,Sanmatenga,BF4903,Centre-Nord,BF49,Burkina Faso,BF,2020-03-18,2020-03-23,
Pissila,BF490310,,,,Sanmatenga,BF4903,Centre-Nord,BF49,Burkina Faso,BF,2020-03-18,2020-03-23,
Ziga,BF490311,,,,Sanmatenga,BF4903,Centre-Nord,BF49,Burkina Faso,BF,2020-03-18,2020-03-23,
Bingo,BF500101,,,,Boulkiemdé,BF5001,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-18,2020-03-23,
Imasgho,BF500102,,,,Boulkiemdé,BF5001,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-18,2020-03-23,
Kindi,BF500103,,,,Boulkiemdé,BF5001,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-18,2020-03-23,
Kokologo,BF500104,,,,Boulkiemdé,BF5001,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-18,2020-03-23,
Koudougou,BF500105,,,,Boulkiemdé,BF5001,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-18,2020-03-23,
Nanoro,BF500106,,,,Boulkiemdé,BF5001,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-18,2020-03-23,
Nandiala,BF500107,,,,Boulkiemdé,BF5001,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-18,2020-03-23,
Pella,BF500108,,,,Boulkiemdé,BF5001,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-18,2020-03-23,
Poa,BF500109,,,,Boulkiemdé,BF5001,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-18,2020-03-23,
Ramongo,BF500110,,,,Boulkiemdé,BF5001,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-18,2020-03-23,
Sabou,BF500111,,,,Boulkiemdé,BF5001,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-18,2020-03-23,
Siglé,BF500112,Sigle,,,Boulkiemdé,BF5001,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-18,2020-03-23,
Soa,BF500113,,,,Boulkiemdé,BF5001,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-18,2020-03-23,
Sourgou,BF500114,,,,Boulkiemdé,BF5001,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-18,2020-03-23,
Thiou,BF500115,,,,Boulkiemdé,BF5001,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-18,2020-03-23,
Dassa,BF500201,,,,Sanguié,BF5002,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-18,2020-03-23,
Didyr,BF500202,,,,Sanguié,BF5002,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-18,2020-03-23,
Godyr,BF500203,,,,Sanguié,BF5002,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-18,2020-03-23,
Kordié,BF500204,Kordie,,,Sanguié,BF5002,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-18,2020-03-23,
Kyon,BF500205,,,,Sanguié,BF5002,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-18,2020-03-23,
Pouni,BF500206,,,,Sanguié,BF5002,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-18,2020-03-23,
Réo,BF500207,Reo,,,Sanguié,BF5002,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-18,2020-03-23,
Ténado,BF500208,Tenado,,,Sanguié,BF5002,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-18,2020-03-23,
Zamo,BF500209,,,,Sanguié,BF5002,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-18,2020-03-23,
Zawara,BF500210,,,,Sanguié,BF5002,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-18,2020-03-23,
Bieha,BF500301,,,,Sissili,BF5003,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-18,2020-03-23,
Boura,BF500302,,,,Sissili,BF5003,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-18,2020-03-23,
Léo,BF500303,Leo,,,Sissili,BF5003,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-18,2020-03-23,
Nébiélianayou,BF500304,Nebielianayou,,,Sissili,BF5003,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-18,2020-03-23,
Niabouri,BF500305,,,,Sissili,BF5003,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-18,2020-03-23,
Silly,BF500306,,,,Sissili,BF5003,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-18,2020-03-23,
To,BF500307,,,,Sissili,BF5003,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-18,2020-03-23,
Bakata,BF500401,,,,Ziro,BF5004,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-18,2020-03-23,
Bougnounou,BF500402,,,,Ziro,BF5004,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-18,2020-03-23,
Kassou,BF500403,,,,Ziro,BF5004,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-18,2020-03-23,
Dalô,BF500404,Dalo,,,Ziro,BF5004,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-18,2020-03-23,
Gaô,BF500405,Gao,,,Ziro,BF5004,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-18,2020-03-23,
Sapouy,BF500406,,,,Ziro,BF5004,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-18,2020-03-23,
Doulougou,BF510101,,,,Bazèga,BF5101,Centre-Sud,BF51,Burkina Faso,BF,2020-03-18,2020-03-23,
Gaongo,BF510102,,,,Bazèga,BF5101,Centre-Sud,BF51,Burkina Faso,BF,2020-03-18,2020-03-23,
Ipelsé,BF510103,Ipelse,,,Bazèga,BF5101,Centre-Sud,BF51,Burkina Faso,BF,2020-03-18,2020-03-23,
Kayao,BF510104,,,,Bazèga,BF5101,Centre-Sud,BF51,Burkina Faso,BF,2020-03-18,2020-03-23,
Kombissiri,BF510105,,,,Bazèga,BF5101,Centre-Sud,BF51,Burkina Faso,BF,2020-03-18,2020-03-23,
Saponé,BF510106,Sapone,,,Bazèga,BF5101,Centre-Sud,BF51,Burkina Faso,BF,2020-03-18,2020-03-23,
Toécé,BF510107,Toece,,,Bazèga,BF5101,Centre-Sud,BF51,Burkina Faso,BF,2020-03-18,2020-03-23,
Guiaro,BF510201,,,,Nahouri,BF5102,Centre-Sud,BF51,Burkina Faso,BF,2020-03-18,2020-03-23,
Po,BF510202,,,,Nahouri,BF5102,Centre-Sud,BF51,Burkina Faso,BF,2020-03-18,2020-03-23,
Tiébélé,BF510203,Tiebele,,,Nahouri,BF5102,Centre-Sud,BF51,Burkina Faso,BF,2020-03-18,2020-03-23,
Zecco,BF510204,,,,Nahouri,BF5102,Centre-Sud,BF51,Burkina Faso,BF,2020-03-18,2020-03-23,
Ziou,BF510205,,,,Nahouri,BF5102,Centre-Sud,BF51,Burkina Faso,BF,2020-03-18,2020-03-23,
Béré,BF510301,Bere,,,Zoundwéogo,BF5103,Centre-Sud,BF51,Burkina Faso,BF,2020-03-18,2020-03-23,
Bindé,BF510302,Binde,,,Zoundwéogo,BF5103,Centre-Sud,BF51,Burkina Faso,BF,2020-03-18,2020-03-23,
Gogo,BF510303,,,,Zoundwéogo,BF5103,Centre-Sud,BF51,Burkina Faso,BF,2020-03-18,2020-03-23,
Gomboussougou,BF510304,,,,Zoundwéogo,BF5103,Centre-Sud,BF51,Burkina Faso,BF,2020-03-18,2020-03-23,
Guiba,BF510305,,,,Zoundwéogo,BF5103,Centre-Sud,BF51,Burkina Faso,BF,2020-03-18,2020-03-23,
Manga,BF510306,,,,Zoundwéogo,BF5103,Centre-Sud,BF51,Burkina Faso,BF,2020-03-18,2020-03-23,
Nobéré,BF510307,Nobere,,,Zoundwéogo,BF5103,Centre-Sud,BF51,Burkina Faso,BF,2020-03-18,2020-03-23,
Bilanga,BF520101,,,,Gnagna,BF5201,Est,BF52,Burkina Faso,BF,2020-03-18,2020-03-23,
Bogandé,BF520102,Bogande,,,Gnagna,BF5201,Est,BF52,Burkina Faso,BF,2020-03-18,2020-03-23,
Koala,BF520103,,,,Gnagna,BF5201,Est,BF52,Burkina Faso,BF,2020-03-18,2020-03-23,
Liptougou,BF520104,,,,Gnagna,BF5201,Est,BF52,Burkina Faso,BF,2020-03-18,2020-03-23,
Mani,BF520105,,,,Gnagna,BF5201,Est,BF52,Burkina Faso,BF,2020-03-18,2020-03-23,
Piéla,BF520106,Piela,,,Gnagna,BF5201,Est,BF52,Burkina Faso,BF,2020-03-18,2020-03-23,
Thion,BF520107,,,,Gnagna,BF5201,Est,BF52,Burkina Faso,BF,2020-03-18,2020-03-23,
Diabo,BF520201,,,,Gourma,BF5202,Est,BF52,Burkina Faso,BF,2020-03-18,2020-03-23,
Diapangou,BF520202,,,,Gourma,BF5202,Est,BF52,Burkina Faso,BF,2020-03-18,2020-03-23,
Fada-Ngourma,BF520203,,,,Gourma,BF5202,Est,BF52,Burkina Faso,BF,2020-03-18,2020-03-23,
Matiakoali,BF520204,,,,Gourma,BF5202,Est,BF52,Burkina Faso,BF,2020-03-18,2020-03-23,
Tibga,BF520205,,,,Gourma,BF5202,Est,BF52,Burkina Faso,BF,2020-03-18,2020-03-23,
Yamba,BF520206,,,,Gourma,BF5202,Est,BF52,Burkina Faso,BF,2020-03-18,2020-03-23,
Bartiébougou,BF520301,Bartiebougou,,,Komandjari,BF5203,Est,BF52,Burkina Faso,BF,2020-03-18,2020-03-23,
Foutouri,BF520302,,,,Komandjari,BF5203,Est,BF52,Burkina Faso,BF,2020-03-18,2020-03-23,
Gayéri,BF520303,Gayeri,,,Komandjari,BF5203,Est,BF52,Burkina Faso,BF,2020-03-18,2020-03-23,
Kompienga,BF520401,,,,Kompienga,BF5204,Est,BF52,Burkina Faso,BF,2020-03-18,2020-03-23,
Madjoari,BF520402,,,,Kompienga,BF5204,Est,BF52,Burkina Faso,BF,2020-03-18,2020-03-23,
Pama,BF520403,,,,Kompienga,BF5204,Est,BF52,Burkina Faso,BF,2020-03-18,2020-03-23,
Botou,BF520501,,,,Tapoa,BF5205,Est,BF52,Burkina Faso,BF,2020-03-18,2020-03-23,
Diapaga,BF520502,,,,Tapoa,BF5205,Est,BF52,Burkina Faso,BF,2020-03-18,2020-03-23,
Kantchari,BF520503,,,,Tapoa,BF5205,Est,BF52,Burkina Faso,BF,2020-03-18,2020-03-23,
Lôgbou,BF520504,Logbou,,,Tapoa,BF5205,Est,BF52,Burkina Faso,BF,2020-03-18,2020-03-23,
Namouno,BF520505,,,,Tapoa,BF5205,Est,BF52,Burkina Faso,BF,2020-03-18,2020-03-23,
Partiaga,BF520506,,,,Tapoa,BF5205,Est,BF52,Burkina Faso,BF,2020-03-18,2020-03-23,
Tambaga,BF520507,,,,Tapoa,BF5205,Est,BF52,Burkina Faso,BF,2020-03-18,2020-03-23,
Tansarga,BF520508,,,,Tapoa,BF5205,Est,BF52,Burkina Faso,BF,2020-03-18,2020-03-23,
