#adm2+name+i_nld+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_nld+is_latn,#adm2+name+alt2+i_nld+is_latn,#adm1+name+i_nld+is_latn,#adm1+code+v_pcode,#country+name+i_nld+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Blauwgrond,SR0702,,,,Paramaribo,SR07,Suriname,SR,2019-10-24,2019-10-24,
Centrum,SR0703,,,,Paramaribo,SR07,Suriname,SR,2019-10-24,2019-10-24,
Flora,SR0704,,,,Paramaribo,SR07,Suriname,SR,2019-10-24,2019-10-24,
Latour,SR0705,,,,Paramaribo,SR07,Suriname,SR,2019-10-24,2019-10-24,
Livorno,SR0706,,,,Paramaribo,SR07,Suriname,SR,2019-10-24,2019-10-24,
Munder,SR0707,,,,Paramaribo,SR07,Suriname,SR,2019-10-24,2019-10-24,
Pontbuiten,SR0708,,,,Paramaribo,SR07,Suriname,SR,2019-10-24,2019-10-24,
Rainville,SR0709,,,,Paramaribo,SR07,Suriname,SR,2019-10-24,2019-10-24,
Tammenga,SR0710,,,,Paramaribo,SR07,Suriname,SR,2019-10-24,2019-10-24,
Weg Naar Zee,SR0711,,,,Paramaribo,SR07,Suriname,SR,2019-10-24,2019-10-24,
Welgelegen,SR0712,,,,Paramaribo,SR07,Suriname,SR,2019-10-24,2019-10-24,
Calcutta,SR0801,,,,Saramacca,SR08,Suriname,SR,2019-10-24,2019-10-24,
Groningen,SR0802,,,,Saramacca,SR08,Suriname,SR,2019-10-24,2019-10-24,
Jarikaba,SR0803,,,,Saramacca,SR08,Suriname,SR,2019-10-24,2019-10-24,
Kampong Baroe,SR0804,,,,Saramacca,SR08,Suriname,SR,2019-10-24,2019-10-24,
Tijgerkreek,SR0805,,,,Saramacca,SR08,Suriname,SR,2019-10-24,2019-10-24,
Wayambo,SR0806,,,,Saramacca,SR08,Suriname,SR,2019-10-24,2019-10-24,
Boven Coppename,SR0901,,,,Sipaliwini,SR09,Suriname,SR,2019-10-24,2019-10-24,
Boven Saramacca,SR0902,,,,Sipaliwini,SR09,Suriname,SR,2019-10-24,2019-10-24,
Boven Suriname,SR0903,,,,Sipaliwini,SR09,Suriname,SR,2019-10-24,2019-10-24,
Coeroenie,SR0904,,,,Sipaliwini,SR09,Suriname,SR,2019-10-24,2019-10-24,
Kabalebo,SR0905,,,,Sipaliwini,SR09,Suriname,SR,2019-10-24,2019-10-24,
Tapanahony,SR0906,,,,Sipaliwini,SR09,Suriname,SR,2019-10-24,2019-10-24,
De Nieuwe Grond,SR1001,,,,Wanica,SR10,Suriname,SR,2019-10-24,2019-10-24,
Domburg,SR1002,,,,Wanica,SR10,Suriname,SR,2019-10-24,2019-10-24,
Houttuin,SR1003,,,,Wanica,SR10,Suriname,SR,2019-10-24,2019-10-24,
Kwarasan,SR1004,,,,Wanica,SR10,Suriname,SR,2019-10-24,2019-10-24,
Kwatta,SR1005,,,,Wanica,SR10,Suriname,SR,2019-10-24,2019-10-24,
Lelydorp,SR1006,,,,Wanica,SR10,Suriname,SR,2019-10-24,2019-10-24,
Saramacca Polder,SR1007,,,,Wanica,SR10,Suriname,SR,2019-10-24,2019-10-24,
