#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Alamata town,ET010411,,,,Southern,ET0104,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Mekhoni town,ET010412,,,,Southern,ET0104,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Zata,ET010413,,,,Southern,ET0104,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Chercher,ET010414,,,,Southern,ET0104,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Kafta Humera,ET010501,,,,Western,ET0105,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Welkait,ET010502,,,,Western,ET0105,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Tsegede (TG),ET010503,,,,Western,ET0105,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Setit Humera,ET010504,,,,Western,ET0105,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
May Kadra,ET010505,,,,Western,ET0105,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Dansha town,ET010506,,,,Western,ET0105,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Awra (TG),ET010507,,,,Western,ET0105,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Korarit,ET010508,,,,Western,ET0105,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
May Gaba,ET010509,,,,Western,ET0105,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Saharti,ET010601,,,,South Eastern,ET0106,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Enderta,ET010602,,,,South Eastern,ET0106,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Hintalo,ET010603,,,,South Eastern,ET0106,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Degua Temben,ET010604,,,,South Eastern,ET0106,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Hagere Selam town,ET010605,,,,South Eastern,ET0106,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Samre,ET010606,,,,South Eastern,ET0106,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Adigudom,ET010607,,,,South Eastern,ET0106,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Wajirat,ET010608,,,,South Eastern,ET0106,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Mekelle,ET010701,,,,Mekelle,ET0107,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Dubti,ET020101,,,,Awsi /Zone 1,ET0201,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
Elidar,ET020102,,,,Awsi /Zone 1,ET0201,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
Asayita,ET020103,,,,Awsi /Zone 1,ET0201,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
Afambo,ET020104,,,,Awsi /Zone 1,ET0201,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
Mile,ET020105,,,,Awsi /Zone 1,ET0201,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
Chifra,ET020106,,,,Awsi /Zone 1,ET0201,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
Dubti town,ET020107,,,,Awsi /Zone 1,ET0201,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
Kori,ET020108,,,,Awsi /Zone 1,ET0201,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
Adar,ET020109,,Adaar,,Awsi /Zone 1,ET0201,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
Gerani,ET020110,,,,Awsi /Zone 1,ET0201,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
Asayita town,ET020111,,,,Awsi /Zone 1,ET0201,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
Samera Logiya town,ET020198,,,,Awsi /Zone 1,ET0201,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
Erebti,ET020201,,,,Kilbati /Zone2,ET0202,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
Kunneba,ET020202,,,,Kilbati /Zone2,ET0202,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
Abaala,ET020203,,Aba Ala,,Kilbati /Zone2,ET0202,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
Megale,ET020204,,,,Kilbati /Zone2,ET0202,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
Berahile,ET020205,,,,Kilbati /Zone2,ET0202,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
Dalol,ET020206,,,,Kilbati /Zone2,ET0202,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
Afdera,ET020207,,,,Kilbati /Zone2,ET0202,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
Bidu,ET020208,,,,Kilbati /Zone2,ET0202,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
Abaala town,ET020209,,Aba Ala,,Kilbati /Zone2,ET0202,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
Amibara,ET020301,,,,Gabi /Zone 3,ET0203,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
Awash,ET020302,,,,Gabi /Zone 3,ET0203,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
Gewane,ET020303,,,,Gabi /Zone 3,ET0203,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
Dulecha,ET020304,,,,Gabi /Zone 3,ET0203,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
Gelalu,ET020305,,,,Gabi /Zone 3,ET0203,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
Arguba,ET020306,,,,Gabi /Zone 3,ET0203,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
Hanruka,ET020307,,,,Gabi /Zone 3,ET0203,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
Awash town,ET020396,,,,Gabi /Zone 3,ET0203,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
Awra (AF),ET020401,,,,Fanti /Zone 4,ET0204,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
Euwa,ET020402,,,,Fanti /Zone 4,ET0204,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
Teru,ET020403,,,,Fanti /Zone 4,ET0204,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
Yalo,ET020404,,,,Fanti /Zone 4,ET0204,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
Gulina,ET020405,,,,Fanti /Zone 4,ET0204,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
Telalek,ET020501,,,,Hari /Zone 5,ET0205,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
Samurobi,ET020502,,Samurobi Gelealo,,Hari /Zone 5,ET0205,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
Dawe,ET020503,,,,Hari /Zone 5,ET0205,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
