#adm4+name+i_eng+is_latn,#adm4+code+v_pcode,#adm4+name,#adm4+name+alt1+i_eng+is_latn,#adm4+name+alt2+i_eng+is_latn,#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Chandighat,BD60587421,,,,Maulvi Bazar Sadar,BD605874,Maulvibazar,BD6058,Sylhet,BD60,Bangladesh,BD,2015-01-01,2020-11-13,
Chandina Paurashava,BD20192799,,,,Chandina,BD201927,Comilla,BD2019,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,
Chandipasha,BD45617223,,,,Nandail,BD456172,Mymensingh,BD4561,Mymensingh,BD45,Bangladesh,BD,2015-01-01,2020-11-13,
Chandipur,BD20516523,,,,Ramganj,BD205165,Lakshmipur,BD2051,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,
Chandipur,BD50646043,,,,Naogaon Sadar,BD506460,Naogaon,BD5064,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,
Chandipur,BD55277717,,,,Parbatipur,BD552777,Dinajpur,BD5527,Rangpur,BD55,Bangladesh,BD,2015-01-01,2020-11-13,
Chandipur,BD55329118,,,,Sundarganj,BD553291,Gaibandha,BD5532,Rangpur,BD55,Bangladesh,BD,2015-01-01,2020-11-13,
Chandkhali,BD40476416,,,,Paikgachha,BD404764,Khulna,BD4047,Khulna,BD40,Bangladesh,BD,2015-01-01,2020-11-13,
Chandkhana,BD55734534,,,,Kishoreganj,BD557345,Nilphamari,BD5573,Rangpur,BD55,Bangladesh,BD,2015-01-01,2020-11-13,
Chandla,BD20191544,,,,Brahman Para,BD201915,Comilla,BD2019,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,
Chandnandi,BD20753619,,,,Hatiya,BD207536,Noakhali,BD2075,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,
Chandpai Range,BD40015897,,,,Mongla,BD400158,Bagerhat,BD4001,Khulna,BD40,Bangladesh,BD,2015-01-01,2020-11-13,
Chandpasha,BD10060327,,,,Babuganj,BD100603,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2015-01-01,2020-11-13,
Chandpi,BD40015823,,,,Mongla,BD400158,Bagerhat,BD4001,Khulna,BD40,Bangladesh,BD,2015-01-01,2020-11-13,
Chandpur,BD10065132,,,,Barisal Sadar (Kotwali),BD100651,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2015-01-01,2020-11-13,
Chandpur,BD10066239,,,,Mehendiganj,BD100662,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2015-01-01,2020-11-13,
Chandpur,BD10099157,,,,Tazumuddin,BD100991,Bhola,BD1009,Barisal,BD10,Bangladesh,BD,2015-01-01,2020-11-13,
Chandpur,BD30291820,,,,Boalmari,BD302918,Faridpur,BD3029,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,
Chandpur,BD30333617,,,,Kapasia,BD303336,Gazipur,BD3033,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,
Chandpur,BD30484528,,,,Katiadi,BD304845,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,
Chandpur,BD30686427,,,,Roypura,BD306864,Narsingdi,BD3068,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,
Chandpur,BD40441421,,,,Harinakunda,BD404414,Jhenaidah,BD4044,Khulna,BD40,Bangladesh,BD,2015-01-01,2020-11-13,
Chandpur,BD40507117,,,,Kumarkhali,BD405071,Kushtia,BD4050,Khulna,BD40,Bangladesh,BD,2015-01-01,2020-11-13,
Chandpur Paurashava,BD20132299,,,,Chandpur Sadar,BD201322,Chandpur,BD2013,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,
Chandra,BD20132254,,,,Chandpur Sadar,BD201322,Chandpur,BD2013,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,
Chandra,BD30291031,,,,Bhanga,BD302910,Faridpur,BD3029,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,
Chandra Dighalia,BD30353215,,,,Gopalganj Sadar,BD303532,Gopalganj,BD3035,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,
Chandra Mohan,BD10065133,,,,Barisal Sadar (Kotwali),BD100651,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2015-01-01,2020-11-13,
Chandraganj,BD20514320,,,,Lakshmipur Sadar,BD205143,Lakshmipur,BD2051,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,
Chandraghona,BD20843619,,,,Kaptai,BD208436,Rangamati,BD2084,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,
Chandraghona Kadamtali,BD20157017,,,,Rangunia,BD201570,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,
