#adm4+name+i_eng+is_latn,#adm4+code+v_pcode,#adm4+name+alt1+i_eng+is_latn,#adm4+name+alt2+i_eng+is_latn,#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Serabu,SL01020604,,,Koya,SL010206,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Upper Koya,SL01020605,,,Koya,SL010206,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Korjei,SL01020701,,,Langrama,SL010207,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Njeiwoma,SL01020702,,,Langrama,SL010207,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Bonya,SL01020801,,,Lower Bambara,SL010208,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Fallay,SL01020802,,,Lower Bambara,SL010208,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Gboro,SL01020803,,,Lower Bambara,SL010208,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Korjei Buima,SL01020804,,,Lower Bambara,SL010208,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Korjei Ngieya,SL01020805,,,Lower Bambara,SL010208,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Nyawa,SL01020806,,,Lower Bambara,SL010208,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Sei,SL01020807,,,Lower Bambara,SL010208,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Hulorhun Njagbudor,SL01020901,,,Malegohun,SL010209,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Hulorhun Njeigor,SL01020902,,,Malegohun,SL010209,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Konjo Buiima,SL01020903,,,Malegohun,SL010209,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Konjo Njeigor,SL01020904,,,Malegohun,SL010209,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Konjo Yematanga,SL01020905,,,Malegohun,SL010209,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Lower Torgboma,SL01020906,,,Malegohun,SL010209,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Upper Torgboma,SL01020907,,,Malegohun,SL010209,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Bandawor,SL01021001,,,Niawa,SL010210,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Kpatawa,SL01021002,,,Niawa,SL010210,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Mabondor,SL01021003,,,Niawa,SL010210,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Niawa,SL01021004,,,Niawa,SL010210,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
