#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Lower Orakzai,PK23703,,,,Orakzai,PK237,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Upper Orakzai,PK23704,,,,Orakzai,PK237,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Birmal,PK23801,,,,South Waziristan,PK238,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Ladha,PK23802,,,,South Waziristan,PK238,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Makin,PK23803,,,,South Waziristan,PK238,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Sararogha,PK23804,,Saraogha,,South Waziristan,PK238,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Serwekai,PK23805,,,,South Waziristan,PK238,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Tiarza,PK23806,,,,South Waziristan,PK238,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Toi Khulla,PK23807,,,,South Waziristan,PK238,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Wana,PK23808,,,,South Waziristan,PK238,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Wazir,PK23901,,,,FR Bannu,PK239,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Drazanda,PK24001,,,,FR Dera Ismail Khan,PK240,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Darra Adam Khel,PK24101,,,,FR Kohat,PK241,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Bettani,PK24201,,,,FR Lakki Marwat,PK242,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Hassan Khel,PK24301,,,,FR Peshawar,PK243,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Jandola,PK24401,,,,FR Tank,PK244,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Islamabad,PK50101,,,,Islamabad,PK501,Federal Capital Territory,PK5,Pakistan,PK,2018-12-26,2019-11-10,
Attock,PK60101,,,,Attock,PK601,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Fateh Jang,PK60102,,,,Attock,PK601,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Hassan Abdal,PK60103,,,,Attock,PK601,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Hazro,PK60104,,,,Attock,PK601,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Jand,PK60105,,,,Attock,PK601,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Pindi Gheb,PK60106,,,,Attock,PK601,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Bahawalnagar,PK60201,,,,Bahawalnagar,PK602,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Chishtian,PK60202,,,,Bahawalnagar,PK602,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Fort Abbas,PK60203,,,,Bahawalnagar,PK602,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Haroonabad,PK60204,,,,Bahawalnagar,PK602,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Minchinabad,PK60205,,,,Bahawalnagar,PK602,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Bahawalpur,PK60301,,,,Bahawalpur,PK603,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Hasilpur,PK60302,,,,Bahawalpur,PK603,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Kairpur Tamewali,PK60303,,,,Bahawalpur,PK603,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Yazman,PK60304,,,,Bahawalpur,PK603,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Ahmadupr East,PK60305,,,,Bahawalpur,PK603,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Bhakkar,PK60401,,,,Bhakkar,PK604,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Darya Khan,PK60402,,,,Bhakkar,PK604,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Kalurkot,PK60403,,,,Bhakkar,PK604,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Mankera,PK60404,,,,Bhakkar,PK604,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Chakwal,PK60501,,,,Chakwal,PK605,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Choa Saidan Shah,PK60502,,,,Chakwal,PK605,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Kallar Kahar,PK60503,,,,Chakwal,PK605,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Talagang,PK60504,,,,Chakwal,PK605,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Chiniot,PK60601,,,,Chiniot,PK606,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
De-excluded Area D.G.Khan,PK60701,,,,Dera Ghazi Khan,PK607,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Dera Ghazi Khan,PK60702,,,,Dera Ghazi Khan,PK607,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Taunsa,PK60703,,,,Dera Ghazi Khan,PK607,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Chak Jhumra,PK60801,,,,Faisalabad,PK608,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Faisalabad City,PK60802,,,,Faisalabad,PK608,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Faisalabad Saddar,PK60803,,,,Faisalabad,PK608,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Jaranwala,PK60804,,,,Faisalabad,PK608,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Summundari,PK60805,,,,Faisalabad,PK608,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Tandlianwala,PK60806,,,,Faisalabad,PK608,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Gujranwala,PK60901,,,,Gujranwala,PK609,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Kamoke,PK60902,,,,Gujranwala,PK609,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Nowshera Virkan,PK60903,,,,Gujranwala,PK609,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Wazirabad,PK60904,,,,Gujranwala,PK609,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Gujrat,PK61001,,,,Gujrat,PK610,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Kharian,PK61002,,,,Gujrat,PK610,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Sarai Alamgir,PK61003,,,,Gujrat,PK610,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Hafizabad,PK61101,,,,Hafizabad,PK611,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Pindi Bhattian,PK61102,,,,Hafizabad,PK611,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Ahmedpur Sial,PK61201,,,,Jhang,PK612,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Jhang,PK61202,,,,Jhang,PK612,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Shorkot,PK61203,,,,Jhang,PK612,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Dina,PK61301,,,,Jhelum,PK613,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Jhelum,PK61302,,,,Jhelum,PK613,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Pind Dadan Khan,PK61303,,,,Jhelum,PK613,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Sohawa,PK61304,,,,Jhelum,PK613,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Chunian,PK61401,,,,Kasur,PK614,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Kasur,PK61402,,,,Kasur,PK614,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Pattoki,PK61403,,,,Kasur,PK614,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Jahanian,PK61501,,,,Khanewal,PK615,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Kabirwala,PK61502,,,,Khanewal,PK615,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Khanewal,PK61503,,,,Khanewal,PK615,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Mian Channu,PK61504,,,,Khanewal,PK615,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Khushab,PK61601,,,,Khushab,PK616,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Nurpur,PK61602,,,,Khushab,PK616,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Quaidabad,PK61603,,,,Khushab,PK616,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Lahore Cantt,PK61701,,,,Lahore,PK617,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Lahore City,PK61702,,,,Lahore,PK617,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Chaubara,PK61801,,,,Layyah,PK618,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Karor Lal Esan,PK61802,,,,Layyah,PK618,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Layyah,PK61803,,,,Layyah,PK618,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Dunyapur,PK61901,,,,Lodhran,PK619,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Kahror Pacca,PK61902,,,,Lodhran,PK619,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Lodhran,PK61903,,,,Lodhran,PK619,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Malakwal,PK62001,,,,Mandi Bahauddin,PK620,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Mandi Bahauddin,PK62002,,,,Mandi Bahauddin,PK620,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Phalia,PK62003,,,,Mandi Bahauddin,PK620,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Isakhel,PK62101,,,,Mianwali,PK621,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Mianwali,PK62102,,,,Mianwali,PK621,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Piplan,PK62103,,,,Mianwali,PK621,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Jalalpur Pirwala,PK62201,,,,Multan,PK622,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Multan Saddar,PK62202,,,,Multan,PK622,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Multan City,PK62203,,,,Multan,PK622,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Shuabad,PK62204,,,,Multan,PK622,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Alipur,PK62301,,,,Muzaffargarh,PK623,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Jatoi,PK62302,,,,Muzaffargarh,PK623,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Kot Addu,PK62303,,,,Muzaffargarh,PK623,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Muzaffargarh,PK62304,,,,Muzaffargarh,PK623,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Nankana Sahib,PK62401,,,,Nankana Sahib,PK624,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Safdarabad,PK62402,,,,Nankana Sahib,PK624,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Sangla Hill,PK62403,,,,Nankana Sahib,PK624,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Shahkot,PK62404,,,,Nankana Sahib,PK624,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Narowal,PK62501,,,,Narowal,PK625,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Shakargarh,PK62502,,,,Narowal,PK625,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Depalpur,PK62601,,,,Okara,PK626,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Okara,PK62602,,,,Okara,PK626,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Renala Khurd,PK62603,,,,Okara,PK626,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Arif Wala,PK62701,,,,Pakpattan,PK627,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Pakpattan,PK62702,,,,Pakpattan,PK627,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
Khanpur (Rahim Yar Khan),PK62801,,,,Rahim Yar Khan,PK628,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
