#adm2+name+i_eng+is_latn,#adm2+name+i_fra+is_latn,#adm2+name+i_kin+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm2+name+alt1+i_fra+is_latn,#adm2+name+alt2+i_fra+is_latn,#adm2+name+alt1+i_kin+is_latn,#adm2+name+alt2+i_kin+is_latn,#adm1+name+i_eng+is_latn,#adm1+name+i_fra+is_latn,#adm1+name+i_kin+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_fra+is_latn,#country+name+i_kin+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Kamonyi,,,RW28,,,,,,,,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Karongi,,,RW31,,,,,,,,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Rutsiro,,,RW32,,,,,,,,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Rubavu,,,RW33,,,,,,,,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Nyabihu,,,RW34,,,,,,,,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Ngororero,,,RW35,,,,,,,,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Rusizi,,,RW36,,,,,,,,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Nyamasheke,,,RW37,,,,,,,,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Rulindo,,,RW41,,,,,,,,Northern Province,Province du Nord,Amajyaruguru,RW4,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Gakenke,,,RW42,,,,,,,,Northern Province,Province du Nord,Amajyaruguru,RW4,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Musanze,,,RW43,,,,,,,,Northern Province,Province du Nord,Amajyaruguru,RW4,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Burera,,,RW44,,,,,,,,Northern Province,Province du Nord,Amajyaruguru,RW4,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Gicumbi,,,RW45,,,,,,,,Northern Province,Province du Nord,Amajyaruguru,RW4,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Rwamagana,,,RW51,,,,,,,,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Nyagatare,,,RW52,,,,,,,,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Gatsibo,,,RW53,,,,,,,,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Kayonza,,,RW54,,,,,,,,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Kirehe,,,RW55,,,,,,,,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Ngoma,,,RW56,,,,,,,,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Bugesera,,,RW57,,,,,,,,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
