#adm3+name+i_fra+is_latn,#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_fra+is_latn,#adm3+name+alt2+i_fra+is_latn,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm2+name+i_fra+is_latn,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_fra+is_latn,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_fra+is_latn,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Evodoula,,CM002002004,,,,,,Lekié,,CM002002,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Lobo,,CM002002005,,,,,,Lekié,,CM002002,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Monatele,,CM002002006,,,,,,Lekié,,CM002002,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Obala,,CM002002007,,,,,,Lekié,,CM002002,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Okola,,CM002002008,,,,,,Lekié,,CM002002,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Saa,,CM002002009,,,,,,Lekié,,CM002002,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Bafia,,CM002003001,,,,,,Mbam-et-Inoubou,,CM002003,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Bokito,,CM002003002,,,,,,Mbam-et-Inoubou,,CM002003,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Deuk,,CM002003003,,,,,,Mbam-et-Inoubou,,CM002003,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Kiiki,,CM002003004,,,,,,Mbam-et-Inoubou,,CM002003,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Kon Yambetta,,CM002003005,,,,,,Mbam-et-Inoubou,,CM002003,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Makenene,,CM002003006,,,,,,Mbam-et-Inoubou,,CM002003,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Ndikinimeki,,CM002003007,,,,,,Mbam-et-Inoubou,,CM002003,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Nitoukou,,CM002003008,,,,,,Mbam-et-Inoubou,,CM002003,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Ombessa,,CM002003009,,,,,,Mbam-et-Inoubou,,CM002003,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mbangassina,,CM002004001,,,,,,Mbam-et-Kim,,CM002004,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Ngambe-Tikar,,CM002004002,,,,,,Mbam-et-Kim,,CM002004,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Ngoro,,CM002004003,,,,,,Mbam-et-Kim,,CM002004,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Ntui,,CM002004004,,,,,,Mbam-et-Kim,,CM002004,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Yoko,,CM002004005,,,,,,Mbam-et-Kim,,CM002004,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Afanloum,,CM002005001,,,,,,Mefou-et-Afamba,,CM002005,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Assamba,,CM002005002,,,,,,Mefou-et-Afamba,,CM002005,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Awae,,CM002005003,,,,,,Mefou-et-Afamba,,CM002005,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Edzendouan,,CM002005004,,,,,,Mefou-et-Afamba,,CM002005,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Esse,,CM002005005,,,,,,Mefou-et-Afamba,,CM002005,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mfou,,CM002005006,,,,,,Mefou-et-Afamba,,CM002005,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Nkolafamba,,CM002005007,,,,,,Mefou-et-Afamba,,CM002005,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Soa,,CM002005008,,,,,,Mefou-et-Afamba,,CM002005,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Akono,,CM002006001,,,,,,Mefou-et-Akono,,CM002006,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Bikok,,CM002006002,,,,,,Mefou-et-Akono,,CM002006,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mbankomo,,CM002006003,,,,,,Mefou-et-Akono,,CM002006,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Ngoumou,,CM002006004,,,,,,Mefou-et-Akono,,CM002006,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Yaounde 1er,,CM002007001,,,,,,Mfoundi,,CM002007,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Yaounde 2e,,CM002007002,,,,,,Mfoundi,,CM002007,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Yaounde 3e,,CM002007003,,,,,,Mfoundi,,CM002007,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Yaounde 4e,,CM002007004,,,,,,Mfoundi,,CM002007,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Yaounde 5e,,CM002007005,,,,,,Mfoundi,,CM002007,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Yaounde 6e,,CM002007006,,,,,,Mfoundi,,CM002007,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Yaounde 7e,,CM002007007,,,,,,Mfoundi,,CM002007,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Biyouha,,CM002008001,,,,,,Nyong-et-Kellé,,CM002008,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Bondjock,,CM002008002,,,,,,Nyong-et-Kellé,,CM002008,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Bot-Makak,,CM002008003,,,,,,Nyong-et-Kellé,,CM002008,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Dibang,,CM002008004,,,,,,Nyong-et-Kellé,,CM002008,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Eseka,,CM002008005,,,,,,Nyong-et-Kellé,,CM002008,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Makak,,CM002008006,,,,,,Nyong-et-Kellé,,CM002008,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Matomb,,CM002008007,,,,,,Nyong-et-Kellé,,CM002008,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Messondo,,CM002008008,,,,,,Nyong-et-Kellé,,CM002008,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Ngog-Mapubi,,CM002008009,,,,,,Nyong-et-Kellé,,CM002008,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Nguibassal,,CM002008010,,,,,,Nyong-et-Kellé,,CM002008,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Akonolinga,,CM002009001,,,,,,Nyong-et-Mfoumou,,CM002009,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Ayos,,CM002009002,,,,,,Nyong-et-Mfoumou,,CM002009,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Endom,,CM002009003,,,,,,Nyong-et-Mfoumou,,CM002009,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mengang,,CM002009004,,,,,,Nyong-et-Mfoumou,,CM002009,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Nyakokombo,,CM002009005,,,,,,Nyong-et-Mfoumou,,CM002009,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Akoeman,,CM002010001,,,,,,Nyong-et-So'o,,CM002010,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Dzeng,,CM002010002,,,,,,Nyong-et-So'o,,CM002010,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mbalmayo,,CM002010003,,,,,,Nyong-et-So'o,,CM002010,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mengueme,,CM002010004,,,,,,Nyong-et-So'o,,CM002010,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Ngomedzap,,CM002010005,,,,,,Nyong-et-So'o,,CM002010,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Nkolmetet,,CM002010006,,,,,,Nyong-et-So'o,,CM002010,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Gari Gombo,,CM003001001,,,,,,Boumba-et-Ngoko,,CM003001,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Moloundou,,CM003001002,,,,,,Boumba-et-Ngoko,,CM003001,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Salapoumbe,,CM003001003,,,,,,Boumba-et-Ngoko,,CM003001,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Yokadouma,,CM003001004,,,,,,Boumba-et-Ngoko,,CM003001,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Abong-Mbang,,CM003002001,,,,,,Haut-Nyong,,CM003002,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Bebend,,CM003002002,,,,,,Haut-Nyong,,CM003002,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Dimako,,CM003002003,,,,,,Haut-Nyong,,CM003002,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Dja,,CM003002004,,,,,,Haut-Nyong,,CM003002,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Doumaintang,,CM003002005,,,,,,Haut-Nyong,,CM003002,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Doume,,CM003002006,,,,,,Haut-Nyong,,CM003002,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Lomie,,CM003002007,,,,,,Haut-Nyong,,CM003002,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mboanz,,CM003002008,,,,,,Haut-Nyong,,CM003002,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mboma,,CM003002009,,,,,,Haut-Nyong,,CM003002,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Messamena,,CM003002010,,,,,,Haut-Nyong,,CM003002,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Messok,,CM003002011,,,,,,Haut-Nyong,,CM003002,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Ngoyla,,CM003002012,,,,,,Haut-Nyong,,CM003002,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Nguelemendouka,,CM003002013,,,,,,Haut-Nyong,,CM003002,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Somalomo,,CM003002014,,,,,,Haut-Nyong,,CM003002,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Batouri,,CM003003001,,,,,,Kadey,,CM003003,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Bombe,,CM003003002,,,,,,Kadey,,CM003003,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Kette,,CM003003003,,,,,,Kadey,,CM003003,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mbang,,CM003003004,,,,,,Kadey,,CM003003,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mbotoro,,CM003003005,,,,,,Kadey,,CM003003,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Ndelele,,CM003003006,,,,,,Kadey,,CM003003,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Ndem Nam,,CM003003007,,,,,,Kadey,,CM003003,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Belabo,,CM003004001,,,,,,Lom-et-Djérem,,CM003004,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Bertoua 1er,,CM003004002,,,,,,Lom-et-Djérem,,CM003004,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Bertoua 2e,,CM003004003,,,,,,Lom-et-Djérem,,CM003004,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Betare-Oya,,CM003004004,,,,,,Lom-et-Djérem,,CM003004,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Diang,,CM003004005,,,,,,Lom-et-Djérem,,CM003004,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Garoua-Boulai,,CM003004006,,,,,,Lom-et-Djérem,,CM003004,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mandjou,,CM003004007,,,,,,Lom-et-Djérem,,CM003004,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Ngoura,,CM003004008,,,,,,Lom-et-Djérem,,CM003004,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Bogo,,CM004001001,,,,,,Diamaré,,CM004001,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Dargala,,CM004001002,,,,,,Diamaré,,CM004001,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Gazawa,,CM004001003,,,,,,Diamaré,,CM004001,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Maroua 1er,,CM004001004,,,,,,Diamaré,,CM004001,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Maroua 2e,,CM004001005,,,,,,Diamaré,,CM004001,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Maroua 3e,,CM004001006,,,,,,Diamaré,,CM004001,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Meri,,CM004001007,,,,,,Diamaré,,CM004001,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Ndoukoula,,CM004001008,,,,,,Diamaré,,CM004001,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Pette,,CM004001009,,,,,,Diamaré,,CM004001,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Blangoua,,CM004002001,,,,,,Logone-et-Chari,,CM004002,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Darak,,CM004002002,,,,,,Logone-et-Chari,,CM004002,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Fotokol,,CM004002003,,,,,,Logone-et-Chari,,CM004002,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Goulfey,,CM004002004,,,,,,Logone-et-Chari,,CM004002,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Hile-Alifa,,CM004002005,,,,,,Logone-et-Chari,,CM004002,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Kousseri,,CM004002006,,,,,,Logone-et-Chari,,CM004002,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Logone-Birni,,CM004002007,,,,,,Logone-et-Chari,,CM004002,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Makary,,CM004002008,,,,,,Logone-et-Chari,,CM004002,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Waza,,CM004002009,,,,,,Logone-et-Chari,,CM004002,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Zina,,CM004002010,,,,,,Logone-et-Chari,,CM004002,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Datcheka,,CM004003001,,,,,,Mayo-Danay,,CM004003,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Gobo,,CM004003002,,,,,,Mayo-Danay,,CM004003,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Guere,,CM004003003,,,,,,Mayo-Danay,,CM004003,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Kai-Kai,,CM004003004,,,,,,Mayo-Danay,,CM004003,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Kalfou,,CM004003005,,,,,,Mayo-Danay,,CM004003,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Kar-Hay,,CM004003006,,,,,,Mayo-Danay,,CM004003,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Maga,,CM004003007,,,,,,Mayo-Danay,,CM004003,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Tchatibali,,CM004003008,,,,,,Mayo-Danay,,CM004003,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Vele,,CM004003009,,,,,,Mayo-Danay,,CM004003,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Wina,,CM004003010,,,,,,Mayo-Danay,,CM004003,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Yagoua,,CM004003011,,,,,,Mayo-Danay,,CM004003,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Guidiguis,,CM004004001,,,,,,Mayo-Kani,,CM004004,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Kaele,,CM004004002,,,,,,Mayo-Kani,,CM004004,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mindif,,CM004004003,,,,,,Mayo-Kani,,CM004004,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Moulvoudaye,,CM004004004,,,,,,Mayo-Kani,,CM004004,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Moutourwa,,CM004004005,,,,,,Mayo-Kani,,CM004004,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Porhi,,CM004004006,,,,,,Mayo-Kani,,CM004004,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Taibong,,CM004004007,,,,,,Mayo-Kani,,CM004004,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Kolofata,,CM004005001,,,,,,Mayo-Sava,,CM004005,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mora,,CM004005002,,,,,,Mayo-Sava,,CM004005,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Tokombere,,CM004005003,,,,,,Mayo-Sava,,CM004005,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Bourrha,,CM004006001,,,,,,Mayo-Tsanaga,,CM004006,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Hina,,CM004006002,,,,,,Mayo-Tsanaga,,CM004006,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Koza,,CM004006003,,,,,,Mayo-Tsanaga,,CM004006,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mayo-Moskota,,CM004006004,,,,,,Mayo-Tsanaga,,CM004006,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mogode,,CM004006005,,,,,,Mayo-Tsanaga,,CM004006,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
