#adm3+name+i_fra+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_fra+is_latn,#adm3+name+alt2+i_fra+is_latn,#adm2+name+i_fra+is_latn,#adm2+code+v_pcode,#adm1+name+i_fra+is_latn,#adm1+code+v_pcode,#country+name+i_fra+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Aderbissinat,NE001001001,,,,Aderbissinat,NE001001,Agadez,NE001,Niger,NE,2006-01-01,2019-09-12,
Birni N'Gaoure,NE003001001,,,,Boboye,NE003001,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Fabidji,NE003001002,,,,Boboye,NE003001,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Fakara,NE003001003,,,,Boboye,NE003001,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Harikanassou,NE003001004,,,,Boboye,NE003001,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Kankandi,NE003001005,,,,Boboye,NE003001,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Kiota,NE003001006,,,,Boboye,NE003001,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Koygolo,NE003001007,,,,Boboye,NE003001,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
N'Gonga,NE003001008,,,,Boboye,NE003001,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Dioundiou,NE003002001,,,,Dioundiou,NE003002,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Karakara,NE003002002,,,,Dioundiou,NE003002,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Zabori,NE003002003,,,,Dioundiou,NE003002,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Dan - Kassari,NE003003001,,,,Dogondoutchi,NE003003,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Dogondoutchi,NE003003002,,,,Dogondoutchi,NE003003,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Dongonkiria,NE003003003,,,,Dogondoutchi,NE003003,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Kieche,NE003003004,,,,Dogondoutchi,NE003003,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Matankari,NE003003005,,,,Dogondoutchi,NE003003,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Soucoucoutane,NE003003006,,,,Dogondoutchi,NE003003,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Dosso,NE003004001,,,,Dosso,NE003004,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Farey,NE003004002,,,,Dosso,NE003004,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Garankedey,NE003004003,,,,Dosso,NE003004,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Golle,NE003004004,,,,Dosso,NE003004,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Goroubankassam,NE003004005,,,,Dosso,NE003004,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Karguibangou,NE003004006,,,,Dosso,NE003004,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Mokko,NE003004007,,,,Dosso,NE003004,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Sambera,NE003004008,,,,Dosso,NE003004,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Tessa,NE003004009,,,,Dosso,NE003004,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Tombokoirey I,NE003004010,,,,Dosso,NE003004,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Tombokoirey II,NE003004011,,,,Dosso,NE003004,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Falmeyfalmey Haoussa,NE003005001,,,,Falmey,NE003005,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Guilladjé,NE003005002,,,,Falmey,NE003005,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Bana,NE003006001,,,,Gaya,NE003006,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Bengou,NE003006002,,,,Gaya,NE003006,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Gaya,NE003006003,,,,Gaya,NE003006,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Tanda,NE003006004,,,,Gaya,NE003006,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Tounouga,NE003006005,,,,Gaya,NE003006,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Yelou,NE003006006,,,,Gaya,NE003006,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Falwel,NE003007001,,,,Loga,NE003007,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Loga,NE003007002,,,,Loga,NE003007,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Sokorbé,NE003007003,,,,Loga,NE003007,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Doumega,NE003008001,,,,Tibiri (Doutchi),NE003008,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Guecheme,NE003008002,,,,Tibiri (Doutchi),NE003008,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Kore Mairoua,NE003008003,,,,Tibiri (Doutchi),NE003008,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Tibiri (Doutchi),NE003008004,,,,Tibiri (Doutchi),NE003008,Dosso,NE003,Niger,NE,2006-01-01,2019-09-12,
Aguie,NE004001001,,,,Aguie,NE004001,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Tchadoua,NE004001002,,,,Aguie,NE004001,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Bermo,NE004002001,,,,Bermo,NE004002,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Gadabedji,NE004002002,,,,Bermo,NE004002,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Adjekoria,NE004003001,,,,Dakoro,NE004003,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Azagor,NE004003002,,,,Dakoro,NE004003,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Bader Goula,NE004003003,,,,Dakoro,NE004003,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Birni Lalle,NE004003004,,,,Dakoro,NE004003,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Dakoro,NE004003005,,,,Dakoro,NE004003,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Dan Goulbi,NE004003006,,,,Dakoro,NE004003,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Korahane,NE004003007,,,,Dakoro,NE004003,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Kornaka,NE004003008,,,,Dakoro,NE004003,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Maiyara,NE004003009,,,,Dakoro,NE004003,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Roumbou I,NE004003010,,,,Dakoro,NE004003,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Sabon Machi,NE004003011,,,,Dakoro,NE004003,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Tagriss,NE004003012,,,,Dakoro,NE004003,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Gangara (Aguie) ,NE004004001,,,,Gazaoua,NE004004,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Gazaoua,NE004004002,,,,Gazaoua,NE004004,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Chadakori,NE004005001,,,,Guidan-Roumdji,NE004005,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Guidan-Roumdji,NE004005002,,,,Guidan-Roumdji,NE004005,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Guidan Sori,NE004005003,,,,Guidan-Roumdji,NE004005,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Sae Saboua,NE004005004,,,,Guidan-Roumdji,NE004005,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Tibiri (Maradi),NE004005005,,,,Guidan-Roumdji,NE004005,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Dan-Issa,NE004006001,,,,Madarounfa,NE004006,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Djiratawa,NE004006002,,,,Madarounfa,NE004006,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Gabi,NE004006003,,,,Madarounfa,NE004006,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Madarounfa,NE004006004,,,,Madarounfa,NE004006,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Safo,NE004006005,,,,Madarounfa,NE004006,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Sarkin Yamma,NE004006006,,,,Madarounfa,NE004006,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Maradi Arrondissement 1,NE004007001,,,,Ville De Maradi,NE004007,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Maradi Arrondissement 2,NE004007002,,,,Ville De Maradi,NE004007,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Maradi Arrondissement 3,NE004007003,,,,Ville De Maradi,NE004007,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Anttantane,NE004008001,,,,Mayahi,NE004008,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
El Allassane Maireyrey,NE004008002,,,,Mayahi,NE004008,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Guidan Amoumoune,NE004008003,,,,Mayahi,NE004008,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Issawane,NE004008004,,,,Mayahi,NE004008,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Kanan-Bakache,NE004008005,,,,Mayahi,NE004008,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Mayahi,NE004008006,,,,Mayahi,NE004008,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Sarkin Haoussa,NE004008007,,,,Mayahi,NE004008,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Tchake,NE004008008,,,,Mayahi,NE004008,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Baoudetta,NE004009001,,,,Tessaoua,NE004009,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Hawan Dawaki,NE004009002,,,,Tessaoua,NE004009,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Koona,NE004009003,,,,Tessaoua,NE004009,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Korgom,NE004009004,,,,Tessaoua,NE004009,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Maijirgui,NE004009005,,,,Tessaoua,NE004009,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Ourafane,NE004009006,,,,Tessaoua,NE004009,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Tessaoua,NE004009007,,,,Tessaoua,NE004009,Maradi,NE004,Niger,NE,2006-01-01,2019-09-12,
Abalak,NE005001001,,,,Abalak,NE005001,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Akoubounou,NE005001002,,,,Abalak,NE005001,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Azeye,NE005001003,,,,Abalak,NE005001,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Tabalak,NE005001004,,,,Abalak,NE005001,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Tamaya,NE005001005,,,,Abalak,NE005001,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Bagaroua,NE005002001,,,,Bagaroua,NE005002,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Allela,NE005003001,,,,Birni N'Konni,NE005003,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Bagaza,NE005003002,,,,Birni N'Konni,NE005003,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Birni N'Konni,NE005003003,,,,Birni N'Konni,NE005003,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Tsernaoua,NE005003004,,,,Birni N'Konni,NE005003,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Allakaye,NE005004001,,,,Bouza,NE005004,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Babankatami,NE005004002,,,,Bouza,NE005004,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Bouza,NE005004003,,,,Bouza,NE005004,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Deoule,NE005004004,,,,Bouza,NE005004,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Karofane,NE005004005,,,,Bouza,NE005004,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Tabotaki,NE005004006,,,,Bouza,NE005004,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Tama,NE005004007,,,,Bouza,NE005004,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Badaguichiri,NE005005001,,,,Illela,NE005005,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Illela,NE005005002,,,,Illela,NE005005,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Tajae,NE005005003,,,,Illela,NE005005,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Garhanga,NE005006001,,,,Keita,NE005006,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Ibohamane,NE005006002,,,,Keita,NE005006,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Keita,NE005006003,,,,Keita,NE005006,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Tamaske,NE005006004,,,,Keita,NE005006,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Azarori,NE005007001,,,,Madaoua,NE005007,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Bangui,NE005007002,,,,Madaoua,NE005007,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Galma Koudawatche,NE005007003,,,,Madaoua,NE005007,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Madaoua,NE005007004,,,,Madaoua,NE005007,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Ourno,NE005007005,,,,Madaoua,NE005007,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Sabon Guida,NE005007006,,,,Madaoua,NE005007,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Doguerawa,NE005008001,,,,Malbaza,NE005008,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Malbaza,NE005008002,,,,Malbaza,NE005008,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Affala,NE005009001,,,,Tahoua,NE005009,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Bambeye,NE005009002,,,,Tahoua,NE005009,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Barmou,NE005009003,,,,Tahoua,NE005009,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Kalfou,NE005009004,,,,Tahoua,NE005009,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Takanamat,NE005009005,,,,Tahoua,NE005009,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Tebaram,NE005009006,,,,Tahoua,NE005009,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Tassara,NE005010001,,,,Tassara,NE005010,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Kao,NE005011001,,,,Tchintabaraden,NE005011,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Tchintabaraden,NE005011002,,,,Tchintabaraden,NE005011,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Tillia,NE005012001,,,,Tillia,NE005012,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Tahoua Arrondissement 1,NE005013001,,,,Ville De Tahoua,NE005013,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Tahoua Arrondissement 2,NE005013002,,,,Ville De Tahoua,NE005013,Tahoua,NE005,Niger,NE,2006-01-01,2019-09-12,
Abala,NE006001001,,,,Abala,NE006001,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Sanam,NE006001002,,,,Abala,NE006001,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Ayerou,NE006002001,,,,Ayerou,NE006002,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Inates,NE006002002,,,,Ayerou,NE006002,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Tagazar,NE006003001,,,,Balleyara,NE006003,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Banibangou,NE006004001,,,,Banibangou,NE006004,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Bankilare,NE006005001,,,,Bankilare,NE006005,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
FILINGUE,NE006006001,,,,Filingue,NE006006,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Imanan,NE006006002,,,,Filingue,NE006006,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Kourfeye Centre,NE006006003,,,,Filingue,NE006006,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Tondikandia,NE006006004,,,,Filingue,NE006006,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Dargol,NE006007001,,,,Gotheye,NE006007,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Gotheye,NE006007002,,,,Gotheye,NE006007,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Bitinkodji,NE006008001,,,,Kollo,NE006008,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Diantchandou,NE006008002,,,,Kollo,NE006008,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Hamdallaye,NE006008003,,,,Kollo,NE006008,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Karma,NE006008004,,,,Kollo,NE006008,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Kirtachi,NE006008005,,,,Kollo,NE006008,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Kollo,NE006008006,,,,Kollo,NE006008,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Koure,NE006008007,,,,Kollo,NE006008,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Libore,NE006008008,,,,Kollo,NE006008,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Namaro,NE006008009,,,,Kollo,NE006008,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
N'Dounga,NE006008010,,,,Kollo,NE006008,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Youri,NE006008011,,,,Kollo,NE006008,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Dingazi,NE006009001,,,,Ouallam,NE006009,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Ouallam,NE006009002,,,,Ouallam,NE006009,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Simiri,NE006009003,,,,Ouallam,NE006009,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Tondikiwindi,NE006009004,,,,Ouallam,NE006009,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Ouro Gueladjo,NE006010001,,,,Say,NE006010,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Say,NE006010002,,,,Say,NE006010,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Tamou,NE006010003,,,,Say,NE006010,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Diagourou,NE006011001,,,,Tera,NE006011,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Gourouol,NE006011002,,,,Tera,NE006011,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Kokorou,NE006011003,,,,Tera,NE006011,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Mehana,NE006011004,,,,Tera,NE006011,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Tera,NE006011005,,,,Tera,NE006011,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Anzourou,NE006012001,,,,Tillaberi,NE006012,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Bibiyergou,NE006012002,,,,Tillaberi,NE006012,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Dessa,NE006012003,,,,Tillaberi,NE006012,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Kourteye,NE006012004,,,,Tillaberi,NE006012,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Sakoira,NE006012005,,,,Tillaberi,NE006012,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Sinder,NE006012006,,,,Tillaberi,NE006012,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Tillaberi,NE006012007,,,,Tillaberi,NE006012,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Makalondi,NE006013001,,,,Torodi,NE006013,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Torodi,NE006013002,,,,Torodi,NE006013,Tillaberi,NE006,Niger,NE,2006-01-01,2019-09-12,
Tarka,NE007001001,,,,Belbedji,NE007001,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Albarkaram,NE007002001,,,,Damagaram Takaya,NE007002,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Damagaram Takaya,NE007002002,,,,Damagaram Takaya,NE007002,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Guidimouni,NE007002003,,,,Damagaram Takaya,NE007002,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Mazamni,NE007002004,,,,Damagaram Takaya,NE007002,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Moa,NE007002005,,,,Damagaram Takaya,NE007002,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Wame,NE007002006,,,,Damagaram Takaya,NE007002,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Dogo - Dogo,NE007003001,,,,Dungass,NE007003,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Dungass ,NE007003002,,,,Dungass,NE007003,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Gouchi,NE007003003,,,,Dungass,NE007003,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Malawa,NE007003004,,,,Dungass,NE007003,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Alakoss,NE007004001,,,,Goure,NE007004,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Boune,NE007004002,,,,Goure,NE007004,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Gamou,NE007004003,,,,Goure,NE007004,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Goure,NE007004004,,,,Goure,NE007004,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Guidiguir,NE007004005,,,,Goure,NE007004,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Kelle,NE007004006,,,,Goure,NE007004,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Dan Barto,NE007005001,,,,Kantche,NE007005,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Daouche,NE007005002,,,,Kantche,NE007005,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Doungou,NE007005003,,,,Kantche,NE007005,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Ichirnawa,NE007005004,,,,Kantche,NE007005,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Kantche,NE007005005,,,,Kantche,NE007005,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Kourni,NE007005006,,,,Kantche,NE007005,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Matamey,NE007005007,,,,Kantche,NE007005,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Tsaouni,NE007005008,,,,Kantche,NE007005,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Yaouri,NE007005009,,,,Kantche,NE007005,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Bande,NE007006001,,,,Magaria,NE007006,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
