#adm2+name+i_eng+is_latn,#adm2+name+i_fra+is_latn,#adm2+name+i_hat+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm2+name+alt1+i_fra+is_latn,#adm2+name+alt2+i_fra+is_latn,#adm2+name+alt1+i_hat+is_latn,#adm2+name+alt2+i_hat+is_latn,#adm1+name+i_eng+is_latn,#adm1+name+i_fra+is_latn,#adm1+name+i_hat+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_fra+is_latn,#country+name+i_hat+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Ganthier,Ganthier,,HT0133,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Cornillon / Grand Bois,Cornillon / Grand Bois,,HT0134,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Fonds-Verrettes,Fonds-Verrettes,,HT0135,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Arcahaie,Arcahaie,,HT0141,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Cabaret,Cabaret,,HT0142,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Anse a Galets,Anse à Galets,,HT0151,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Pointe a Raquette,Pointe à Raquette,,HT0152,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Jacmel,Jacmel,,HT0211,,,,,,,,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Marigot,Marigot,,HT0212,,,,,,,,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Cayes-Jacmel,Cayes-Jacmel,,HT0213,,,,,,,,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
La Vallee,La Vallée,,HT0214,,,,,,,,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Bainet,Bainet,,HT0221,,,,,,,,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Cotes de Fer,Côtes de Fer,,HT0222,,,,,,,,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Belle Anse,Belle Anse,,HT0231,,,,,,,,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Grand Gosier,Grand Gosier,,HT0232,,,,,,,,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Thiotte,Thiotte,,HT0233,,,,,,,,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Anse-a-Pitre,Anse-à-Pître,,HT0234,,,,,,,,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Cap-Haitien,Cap-Haïtien,,HT0311,,,,,,,,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Quartier Morin,Quartier Morin,,HT0312,,,,,,,,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Limonade,Limonade,,HT0313,,,,,,,,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Acul du Nord,Acul du Nord,,HT0321,,,,,,,,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Plaine du Nord,Plaine du Nord,,HT0322,,,,,,,,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Milot,Milot,,HT0323,,,,,,,,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Grande Riviere Du Nord,Grande Riviere Du Nord,,HT0331,,,,,,,,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Bahon,Bahon,,HT0332,,,,,,,,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Saint-Raphael,Saint-Raphaël,,HT0341,,,,,,,,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Dondon,Dondon,,HT0342,,,,,,,,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Ranquitte,Ranquitte,,HT0343,,,,,,,,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Pignon,Pignon,,HT0344,,,,,,,,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
La Victoire,La Victoire,,HT0345,,,,,,,,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Borgne,Borgne,,HT0351,,,,,,,,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Port-Margot,Port-Margot,,HT0352,,,,,,,,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Limbe,Limbé,,HT0361,,,,,,,,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Bas Limbe,Bas Limbé,,HT0362,,,,,,,,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Plaisance,Plaisance,,HT0371,,,,,,,,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Pilate,Pilate,,HT0372,,,,,,,,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Fort-Liberte,Fort-Liberté,,HT0411,,,,,,,,North-East,Nord-Est,Nòdès,HT04,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Ferrier,Ferrier,,HT0412,,,,,,,,North-East,Nord-Est,Nòdès,HT04,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Perches,Perches,,HT0413,,,,,,,,North-East,Nord-Est,Nòdès,HT04,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Ouanaminthe,Ouanaminthe,,HT0421,,,,,,,,North-East,Nord-Est,Nòdès,HT04,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Capotille,Capotille,,HT0422,,,,,,,,North-East,Nord-Est,Nòdès,HT04,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Mont-Organise,Mont-Organisé,,HT0423,,,,,,,,North-East,Nord-Est,Nòdès,HT04,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Trou du Nord,Trou du Nord,,HT0431,,,,,,,,North-East,Nord-Est,Nòdès,HT04,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Sainte Suzanne,Sainte Suzanne,,HT0432,,,,,,,,North-East,Nord-Est,Nòdès,HT04,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Terrier Rouge,Terrier Rouge,,HT0433,,,,,,,,North-East,Nord-Est,Nòdès,HT04,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Caracol,Caracol,,HT0434,,,,,,,,North-East,Nord-Est,Nòdès,HT04,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Vallieres,Vallières,,HT0441,,,,,,,,North-East,Nord-Est,Nòdès,HT04,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Carice,Carice,,HT0442,,,,,,,,North-East,Nord-Est,Nòdès,HT04,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Mombin Crochu,Mombin Crochu,,HT0443,,,,,,,,North-East,Nord-Est,Nòdès,HT04,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Gonaives,Gonaïves,,HT0511,,,,,,,,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Ennery,Ennery,,HT0512,,,,,,,,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
L'Estere,L'Estère,,HT0513,LEstere,,,,,,,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Gros Morne,Gros Morne,,HT0521,,,,,,,,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Terre Neuve,Terre Neuve,,HT0522,,,,,,,,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Anse Rouge,Anse Rouge,,HT0523,,,,,,,,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Saint-Marc,Saint-Marc,,HT0531,,,,,,,,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Verrettes,Verrettes,,HT0532,,,,,,,,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
La Chapelle,La Chapelle,,HT0533,,,,,,,,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Dessalines,Dessalines,,HT0541,,,,,,,,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Petite Riviere de l'Artibonite,Petite Rivière de l'Artibonite,,HT0542,Petite Riviere de lArtibonite,,,,,,,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Grande Saline,Grande Saline,,HT0543,,,,,,,,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Desdunes,Desdunes,,HT0544,,,,,,,,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Saint-Michel de l'Attalaye,Saint-Michel de l'Attalaye,,HT0551,Saint-Michel de lAttalaye,,,,,,,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Marmelade,Marmelade,,HT0552,,,,,,,,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Hinche,Hinche,,HT0611,,,,,,,,Centre,Centre,Sant,HT06,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Maissade,Maïssade,,HT0612,,,,,,,,Centre,Centre,Sant,HT06,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Thomonde,Thomonde,,HT0613,,,,,,,,Centre,Centre,Sant,HT06,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Cerca Carvajal,Cerca Carvajal,,HT0614,,,,,,,,Centre,Centre,Sant,HT06,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Mirebalais,Mirebalais,,HT0621,,,,,,,,Centre,Centre,Sant,HT06,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Saut d'Eau,Saut d'Eau,,HT0622,Saut dEau,,,,,,,Centre,Centre,Sant,HT06,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Boucan Carre,Boucan Carré,,HT0623,,,,,,,,Centre,Centre,Sant,HT06,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Lascahobas,Lascahobas,,HT0631,,,,,,,,Centre,Centre,Sant,HT06,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Belladere,Belladère,,HT0632,,,,,,,,Centre,Centre,Sant,HT06,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Savanette,Savanette,,HT0633,,,,,,,,Centre,Centre,Sant,HT06,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Cerca La Source,Cerca La Source,,HT0641,,,,,,,,Centre,Centre,Sant,HT06,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Thomassique,Thomassique,,HT0642,,,,,,,,Centre,Centre,Sant,HT06,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Les Cayes,Les Cayes,,HT0711,,,,,,,,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Torbeck,Torbeck,,HT0712,,,,,,,,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Chantal,Chantal,,HT0713,,,,,,,,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Camp-Perrin,Camp-Perrin,,HT0714,,,,,,,,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Maniche,Maniche,,HT0715,,,,,,,,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Ile a Vache,Île à Vache,,HT0716,,,,,,,,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Port-Salut,Port-Salut,,HT0721,,,,,,,,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Saint Jean du Sud,Saint Jean du Sud,,HT0722,,,,,,,,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Arniquet,Arniquet,,HT0723,,,,,,,,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Aquin,Aquin,,HT0731,,,,,,,,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Saint Louis du Sud,Saint Louis du Sud,,HT0732,,,,,,,,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Cavaillon,Cavaillon,,HT0733,,,,,,,,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Coteaux,Côteaux,,HT0741,,,,,,,,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Port-a-Piment,Port-à-Piment,,HT0742,,,,,,,,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Roche a Bateau,Roche à Bâteau,,HT0743,,,,,,,,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Chardonnieres,Chardonnières,,HT0751,,,,,,,,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Les Anglais,Les Anglais,,HT0752,,,,,,,,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Tiburon,Tiburon,,HT0753,,,,,,,,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Jeremie,Jérémie,,HT0811,,,,,,,,Grande'Anse,Grande'Anse,Grandans,HT08,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Abricots,Abricots,,HT0812,,,,,,,,Grande'Anse,Grande'Anse,Grandans,HT08,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Bonbon,Bonbon,,HT0813,,,,,,,,Grande'Anse,Grande'Anse,Grandans,HT08,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Moron,Moron,,HT0814,,,,,,,,Grande'Anse,Grande'Anse,Grandans,HT08,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Chambellan,Chambellan,,HT0815,,,,,,,,Grande'Anse,Grande'Anse,Grandans,HT08,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Anse d'Hainault,Anse d'Hainault,,HT0821,Anse dHainault,,,,,,,Grande'Anse,Grande'Anse,Grandans,HT08,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Dame Marie,Dame Marie,,HT0822,,,,,,,,Grande'Anse,Grande'Anse,Grandans,HT08,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Les Irois,Les Irois,,HT0823,,,,,,,,Grande'Anse,Grande'Anse,Grandans,HT08,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Corail,Corail,,HT0831,,,,,,,,Grande'Anse,Grande'Anse,Grandans,HT08,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Roseaux,Roseaux,,HT0832,,,,,,,,Grande'Anse,Grande'Anse,Grandans,HT08,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Beaumont,Beaumont,,HT0833,,,,,,,,Grande'Anse,Grande'Anse,Grandans,HT08,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Pestel,Pestel,,HT0834,,,,,,,,Grande'Anse,Grande'Anse,Grandans,HT08,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Port-de-Paix,Port-de-Paix,,HT0911,,,,,,,,North-West,Nord-Ouest,Nòdwès,HT09,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
La Tortue,La Tortue,,HT0912,,,,,,,,North-West,Nord-Ouest,Nòdwès,HT09,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Bassin Bleu,Bassin Bleu,,HT0913,,,,,,,,North-West,Nord-Ouest,Nòdwès,HT09,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Chamsolme,Chamsolme,,HT0914,,,,,,,,North-West,Nord-Ouest,Nòdwès,HT09,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Saint-Louis du Nord,Saint-Louis du Nord,,HT0921,,,,,,,,North-West,Nord-Ouest,Nòdwès,HT09,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Anse-a-Foleur,Anse-à-Foleur,,HT0922,,,,,,,,North-West,Nord-Ouest,Nòdwès,HT09,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Mole Saint Nicolas,Môle Saint Nicolas,,HT0931,,,,,,,,North-West,Nord-Ouest,Nòdwès,HT09,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Baie de Henne,Baie de Henne,,HT0932,,,,,,,,North-West,Nord-Ouest,Nòdwès,HT09,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Bombardopolis,Bombardopolis,,HT0933,,,,,,,,North-West,Nord-Ouest,Nòdwès,HT09,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Jean Rabel,Jean Rabel,,HT0934,,,,,,,,North-West,Nord-Ouest,Nòdwès,HT09,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Miragoane,Miragoâne,,HT1011,,,,,,,,Nippes,Nippes,Nip,HT10,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Petite Riviere de Nippes,Petite Rivière de Nippes,,HT1012,,,,,,,,Nippes,Nippes,Nip,HT10,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Fonds des Negres,Fonds des Nègres,,HT1013,,,,,,,,Nippes,Nippes,Nip,HT10,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Paillant,Paillant,,HT1014,,,,,,,,Nippes,Nippes,Nip,HT10,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Anse-a-Veau,Anse-à-Veau,,HT1021,,,,,,,,Nippes,Nippes,Nip,HT10,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Petit Trou de Nippes,Petit Trou de Nippes,,HT1022,,,,,,,,Nippes,Nippes,Nip,HT10,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
L'Asile,L'Asile,,HT1023,LAsile,,,,,,,Nippes,Nippes,Nip,HT10,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Arnaud,Arnaud,,HT1024,,,,,,,,Nippes,Nippes,Nip,HT10,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Plaisance du Sud,Plaisance du Sud,,HT1025,,,,,,,,Nippes,Nippes,Nip,HT10,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Baraderes,Baradères,,HT1031,,,,,,,,Nippes,Nippes,Nip,HT10,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
Grand-Boucan,Grand-Boucan,,HT1032,,,,,,,,Nippes,Nippes,Nip,HT10,Haiti,Haïti,Ayiti,HT,2017-09-06,2018-11-29,
