#adm2+name+i_eng+is_latn,#adm2+name+i_tur+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm2+name+alt1+i_tur+is_latn,#adm2+name+alt2+i_tur+is_latn,#adm1+name+i_eng+is_latn,#adm1+name+i_tur+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_tur+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Cubuk,Çubuk,TR006008,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Elmadag,Elmadağ,TR006009,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Etimesgut,Etimesgut,TR006010,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Evren,Evren,TR006011,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Golbasi,Gölbaşi,TR006012,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Gudul,Güdül,TR006013,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Haymana,Haymana,TR006014,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Kahramankazan,Kahramankazan,TR006015,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Kalecik,Kalecik,TR006016,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Kecioren,Keçiören,TR006017,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Kizilcahamam,Kizilcahamam,TR006018,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Mamak,Mamak,TR006019,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Nallihan,Nallihan,TR006020,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Polatli,Polatli,TR006021,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Pursaklar,Pursaklar,TR006022,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Sincan,Sincan,TR006023,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Sereflikochisar,Şereflikoçhisar,TR006024,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Yenimahalle,Yenimahalle,TR006025,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Akseki,Akseki,TR007001,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Aksu,Aksu,TR007002,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Alanya,Alanya,TR007003,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Demre,Demre,TR007004,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Dosemealti,Döşemealti,TR007005,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Elmali,Elmali,TR007006,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Finike,Finike,TR007007,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Gazipasa,Gazipaşa,TR007008,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Gundogmus,Gündoğmuş,TR007009,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Ibradi,Ibradi,TR007010,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Kas,Kaş,TR007011,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Kemer,Kemer,TR007012,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Kepez,Kepez,TR007013,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Konyaalti,Konyaalti,TR007014,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Korkuteli,Korkuteli,TR007015,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Kumluca,Kumluca,TR007016,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Manavgat,Manavgat,TR007017,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Muratpasa,Muratpaşa,TR007018,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Serik,Serik,TR007019,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Ardanuc,Ardanuç,TR008001,,,,,,Artvin,Artvin,TR008,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Arhavi,Arhavi,TR008002,,,,,,Artvin,Artvin,TR008,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Artvin,Artvin,TR008003,,,,,,Artvin,Artvin,TR008,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Borcka,Borçka,TR008004,,,,,,Artvin,Artvin,TR008,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Hopa,Hopa,TR008005,,,,,,Artvin,Artvin,TR008,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Kemalpasa,Kemalpaşa,TR008006,,,,,,Artvin,Artvin,TR008,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Murgul,Murgul,TR008007,,,,,,Artvin,Artvin,TR008,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Savsat,Şavşat,TR008008,,,,,,Artvin,Artvin,TR008,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Yusufeli,Yusufeli,TR008009,,,,,,Artvin,Artvin,TR008,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Bozdogan,Bozdoğan,TR009001,,,,,,Aydin,Aydin,TR009,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Buharkent,Buharkent,TR009002,,,,,,Aydin,Aydin,TR009,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Cine,Çine,TR009003,,,,,,Aydin,Aydin,TR009,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Didim,Didim,TR009004,,,,,,Aydin,Aydin,TR009,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Efeler,Efeler,TR009005,,,,,,Aydin,Aydin,TR009,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Germencik,Germencik,TR009006,,,,,,Aydin,Aydin,TR009,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Incirliova,Incirliova,TR009007,,,,,,Aydin,Aydin,TR009,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Karacasu,Karacasu,TR009008,,,,,,Aydin,Aydin,TR009,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Karpuzlu,Karpuzlu,TR009009,,,,,,Aydin,Aydin,TR009,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Kocarli,Koçarli,TR009010,,,,,,Aydin,Aydin,TR009,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Kosk,Köşk,TR009011,,,,,,Aydin,Aydin,TR009,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Kusadasi,Kuşadasi,TR009012,,,,,,Aydin,Aydin,TR009,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Kuyucak,Kuyucak,TR009013,,,,,,Aydin,Aydin,TR009,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Nazilli,Nazilli,TR009014,,,,,,Aydin,Aydin,TR009,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Soke,Söke,TR009015,,,,,,Aydin,Aydin,TR009,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Sultanhisar,Sultanhisar,TR009016,,,,,,Aydin,Aydin,TR009,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Yenipazar,Yenipazar,TR009017,,,,,,Aydin,Aydin,TR009,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Altieylul,Altieylül,TR010001,,,,,,Balikesir,Balikesir,TR010,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Ayvalik,Ayvalik,TR010002,,,,,,Balikesir,Balikesir,TR010,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Balya,Balya,TR010003,,,,,,Balikesir,Balikesir,TR010,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Bandirma,Bandirma,TR010004,,,,,,Balikesir,Balikesir,TR010,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Bigadic,Bigadiç,TR010005,,,,,,Balikesir,Balikesir,TR010,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Burhaniye,Burhaniye,TR010006,,,,,,Balikesir,Balikesir,TR010,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Dursunbey,Dursunbey,TR010007,,,,,,Balikesir,Balikesir,TR010,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Edremit,Edremit,TR010008,,,,,,Balikesir,Balikesir,TR010,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Erdek,Erdek,TR010009,,,,,,Balikesir,Balikesir,TR010,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Gomec,Gömeç,TR010010,,,,,,Balikesir,Balikesir,TR010,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Gonen,Gönen,TR010011,,,,,,Balikesir,Balikesir,TR010,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Havran,Havran,TR010012,,,,,,Balikesir,Balikesir,TR010,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Ivrindi,Ivrindi,TR010013,,,,,,Balikesir,Balikesir,TR010,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Karesi,Karesi,TR010014,,,,,,Balikesir,Balikesir,TR010,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Kepsut,Kepsut,TR010015,,,,,,Balikesir,Balikesir,TR010,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Manyas,Manyas,TR010016,,,,,,Balikesir,Balikesir,TR010,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Marmara,Marmara,TR010017,,,,,,Balikesir,Balikesir,TR010,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Savastepe,Savaştepe,TR010018,,,,,,Balikesir,Balikesir,TR010,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Sindirgi,Sindirgi,TR010019,,,,,,Balikesir,Balikesir,TR010,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Susurluk,Susurluk,TR010020,,,,,,Balikesir,Balikesir,TR010,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Bilecik,Bilecik,TR011001,,,,,,Bilecik,Bilecik,TR011,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Bozuyuk,Bozüyük,TR011002,,,,,,Bilecik,Bilecik,TR011,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Golpazari,Gölpazari,TR011003,,,,,,Bilecik,Bilecik,TR011,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Inhisar,Inhisar,TR011004,,,,,,Bilecik,Bilecik,TR011,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Osmaneli,Osmaneli,TR011005,,,,,,Bilecik,Bilecik,TR011,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Pazaryeri,Pazaryeri,TR011006,,,,,,Bilecik,Bilecik,TR011,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Sogut,Söğüt,TR011007,,,,,,Bilecik,Bilecik,TR011,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Yenipazar,Yenipazar,TR011008,,,,,,Bilecik,Bilecik,TR011,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Adakli,Adakli,TR012001,,,,,,Bingol,Bingöl,TR012,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Bingol,Bingöl,TR012002,,,,,,Bingol,Bingöl,TR012,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Genc,Genç,TR012003,,,,,,Bingol,Bingöl,TR012,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Karliova,Karliova,TR012004,,,,,,Bingol,Bingöl,TR012,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Kigi,Kiği,TR012005,,,,,,Bingol,Bingöl,TR012,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Solhan,Solhan,TR012006,,,,,,Bingol,Bingöl,TR012,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Yayladere,Yayladere,TR012007,,,,,,Bingol,Bingöl,TR012,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Yedisu,Yedisu,TR012008,,,,,,Bingol,Bingöl,TR012,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Adilcevaz,Adilcevaz,TR013001,,,,,,Bitlis,Bitlis,TR013,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Ahlat,Ahlat,TR013002,,,,,,Bitlis,Bitlis,TR013,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Bitlis,Bitlis,TR013003,,,,,,Bitlis,Bitlis,TR013,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Guroymak,Güroymak,TR013004,,,,,,Bitlis,Bitlis,TR013,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Hizan,Hizan,TR013005,,,,,,Bitlis,Bitlis,TR013,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Mutki,Mutki,TR013006,,,,,,Bitlis,Bitlis,TR013,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Tatvan,Tatvan,TR013007,,,,,,Bitlis,Bitlis,TR013,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Bolu,Bolu,TR014001,,,,,,Bolu,Bolu,TR014,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Dortdivan,Dörtdivan,TR014002,,,,,,Bolu,Bolu,TR014,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Gerede,Gerede,TR014003,,,,,,Bolu,Bolu,TR014,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Goynuk,Göynük,TR014004,,,,,,Bolu,Bolu,TR014,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Kibriscik,Kibriscik,TR014005,,,,,,Bolu,Bolu,TR014,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Mengen,Mengen,TR014006,,,,,,Bolu,Bolu,TR014,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Mudurnu,Mudurnu,TR014007,,,,,,Bolu,Bolu,TR014,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Seben,Seben,TR014008,,,,,,Bolu,Bolu,TR014,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Yenicaga,Yeniçağa,TR014009,,,,,,Bolu,Bolu,TR014,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Aglasun,Ağlasun,TR015001,,,,,,Burdur,Burdur,TR015,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Altinyayla,Altinyayla,TR015002,,,,,,Burdur,Burdur,TR015,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Bucak,Bucak,TR015003,,,,,,Burdur,Burdur,TR015,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Burdur,Burdur,TR015004,,,,,,Burdur,Burdur,TR015,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Cavdir,Çavdir,TR015005,,,,,,Burdur,Burdur,TR015,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Celtikci,Çeltikçi,TR015006,,,,,,Burdur,Burdur,TR015,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Golhisar,Gölhisar,TR015007,,,,,,Burdur,Burdur,TR015,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Karamanli,Karamanli,TR015008,,,,,,Burdur,Burdur,TR015,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Kemer,Kemer,TR015009,,,,,,Burdur,Burdur,TR015,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Tefenni,Tefenni,TR015010,,,,,,Burdur,Burdur,TR015,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Yesilova,Yeşilova,TR015011,,,,,,Burdur,Burdur,TR015,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Buyukorhan,Büyükorhan,TR016001,,,,,,Bursa,Bursa,TR016,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Gemlik,Gemlik,TR016002,,,,,,Bursa,Bursa,TR016,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Gursu,Gürsu,TR016003,,,,,,Bursa,Bursa,TR016,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Harmancik,Harmancik,TR016004,,,,,,Bursa,Bursa,TR016,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Inegol,Inegöl,TR016005,,,,,,Bursa,Bursa,TR016,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Iznik,Iznik,TR016006,,,,,,Bursa,Bursa,TR016,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Karacabey,Karacabey,TR016007,,,,,,Bursa,Bursa,TR016,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Keles,Keles,TR016008,,,,,,Bursa,Bursa,TR016,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Kestel,Kestel,TR016009,,,,,,Bursa,Bursa,TR016,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Mudanya,Mudanya,TR016010,,,,,,Bursa,Bursa,TR016,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Mustafakemalpasa,Mustafakemalpaşa,TR016011,,,,,,Bursa,Bursa,TR016,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Nilufer,Nilüfer,TR016012,,,,,,Bursa,Bursa,TR016,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Orhaneli,Orhaneli,TR016013,,,,,,Bursa,Bursa,TR016,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
