#adm2+name+i_fra+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_fra+is_latn,#adm2+name+alt2+i_fra+is_latn,#adm1+name+i_fra+is_latn,#adm1+code+v_pcode,#country+name+i_fra+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Paoua,CF314,Paoua,,,Ouham Pendé,CF31,République centrafricaine,CF,2014-08-02,2020-12-01,
Ngaoundaye,CF315,Ngaoundaye,,,Ouham Pendé,CF31,République centrafricaine,CF,2014-08-02,2020-12-01,
Bossemtélé,CF316,Bossemtele,,,Ouham Pendé,CF31,République centrafricaine,CF,2014-08-02,2020-12-01,
Bossangoa,CF321,Bossangoa,,,Ouham,CF32,République centrafricaine,CF,2014-08-02,2020-12-01,
Nana-Bakassa,CF322,Nana-Bakassa,,,Ouham,CF32,République centrafricaine,CF,2014-08-02,2020-12-01,
Markounda,CF323,Markounda,,,Ouham,CF32,République centrafricaine,CF,2014-08-02,2020-12-01,
Nangha Boguila,CF324,Nangha Boguila,,,Ouham,CF32,République centrafricaine,CF,2014-08-02,2020-12-01,
Bouca,CF325,Bouca,,,Ouham,CF32,République centrafricaine,CF,2014-08-02,2020-12-01,
Batangafo,CF326,Batangafo,,,Ouham,CF32,République centrafricaine,CF,2014-08-02,2020-12-01,
Kabo,CF327,Kabo,,,Ouham,CF32,République centrafricaine,CF,2014-08-02,2020-12-01,
Sibut,CF411,Sibut,,,Kémo,CF41,République centrafricaine,CF,2014-08-02,2020-12-01,
Dékoa,CF412,Dekoa,,,Kémo,CF41,République centrafricaine,CF,2014-08-02,2020-12-01,
Mala,CF413,Mala,,,Kémo,CF41,République centrafricaine,CF,2014-08-02,2020-12-01,
Ndjoukou,CF414,Ndjoukou,,,Kémo,CF41,République centrafricaine,CF,2014-08-02,2020-12-01,
Kaga-Bandoro,CF421,Kaga-Bandoro,,,Nana-Gribizi,CF42,République centrafricaine,CF,2014-08-02,2020-12-01,
Mbrès,CF422,Mbres,,,Nana-Gribizi,CF42,République centrafricaine,CF,2014-08-02,2020-12-01,
Bambari,CF431,Bambari,,,Ouaka,CF43,République centrafricaine,CF,2014-08-02,2020-12-01,
Bakala,CF432,Bakala,,,Ouaka,CF43,République centrafricaine,CF,2014-08-02,2020-12-01,
Grimari,CF433,Grimari,,,Ouaka,CF43,République centrafricaine,CF,2014-08-02,2020-12-01,
Kouango,CF434,Kouango,,,Ouaka,CF43,République centrafricaine,CF,2014-08-02,2020-12-01,
Ippy,CF435,Ippy,,,Ouaka,CF43,République centrafricaine,CF,2014-08-02,2020-12-01,
Ndélé,CF511,Ndele,,,Bamingui-Bangoran,CF51,République centrafricaine,CF,2014-08-02,2020-12-01,
Bamingui,CF512,Bamingui,,,Bamingui-Bangoran,CF51,République centrafricaine,CF,2014-08-02,2020-12-01,
Bria,CF521,Bria,,,Haute-Kotto,CF52,République centrafricaine,CF,2014-08-02,2020-12-01,
Ouadda,CF522,Ouadda,,,Haute-Kotto,CF52,République centrafricaine,CF,2014-08-02,2020-12-01,
Yalinga,CF523,Yalinga,,,Haute-Kotto,CF52,République centrafricaine,CF,2014-08-02,2020-12-01,
Birao,CF531,Birao,,,Vakaga,CF53,République centrafricaine,CF,2014-08-02,2020-12-01,
Ouanda-Djallé,CF532,Ouanda-Djalle,,,Vakaga,CF53,République centrafricaine,CF,2014-08-02,2020-12-01,
Mobaye,CF611,Mobaye,,,Basse-Kotto,CF61,République centrafricaine,CF,2014-08-02,2020-12-01,
Alindao,CF612,Alindao,,,Basse-Kotto,CF61,République centrafricaine,CF,2014-08-02,2020-12-01,
Kembé,CF613,Kembe,,,Basse-Kotto,CF61,République centrafricaine,CF,2014-08-02,2020-12-01,
Mingala,CF614,Mingala,,,Basse-Kotto,CF61,République centrafricaine,CF,2014-08-02,2020-12-01,
Zangba,CF615,Zangba,,,Basse-Kotto,CF61,République centrafricaine,CF,2014-08-02,2020-12-01,
Satéma,CF616,Satema,,,Basse-Kotto,CF61,République centrafricaine,CF,2014-08-02,2020-12-01,
Bangassou,CF621,Bangassou,,,Mbomou,CF62,République centrafricaine,CF,2014-08-02,2020-12-01,
Ouango,CF622,Ouango,,,Mbomou,CF62,République centrafricaine,CF,2014-08-02,2020-12-01,
Gambo,CF623,Gambo,,,Mbomou,CF62,République centrafricaine,CF,2014-08-02,2020-12-01,
Rafai,CF624,Rafai,,,Mbomou,CF62,République centrafricaine,CF,2014-08-02,2020-12-01,
Bakouma,CF625,Bakouma,,,Mbomou,CF62,République centrafricaine,CF,2014-08-02,2020-12-01,
Obo,CF631,Obo,,,Haut-Mbomou,CF63,République centrafricaine,CF,2014-08-02,2020-12-01,
Bambouti,CF632,Bambouti,,,Haut-Mbomou,CF63,République centrafricaine,CF,2014-08-02,2020-12-01,
Zémio,CF633,Zemio,,,Haut-Mbomou,CF63,République centrafricaine,CF,2014-08-02,2020-12-01,
Djéma,CF634,Djema,,,Haut-Mbomou,CF63,République centrafricaine,CF,2014-08-02,2020-12-01,
Bangui,CF711,Bangui,,,Bangui,CF71,République centrafricaine,CF,2014-08-02,2020-12-01,
