#adm2+name+i_eng+is_latn,#adm2+name+i_zho+is_zyyy,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm2+name+alt1+i_zho+is_zyyy,#adm2+name+alt2+i_zho+is_zyyy,#adm1+name+i_eng+is_latn,#adm1+name+i_zho+is_zyyy,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_zho+is_zyyy,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Dongguan,东莞市,CN044020,,,,,,Guangdong Province,广东省,CN044,China,中国,CN,2020-09-10,2020-09-10,
Foshan,佛山市,CN044030,,,,,,Guangdong Province,广东省,CN044,China,中国,CN,2020-09-10,2020-09-10,
Guangzhou,广州市,CN044040,,,,,,Guangdong Province,广东省,CN044,China,中国,CN,2020-09-10,2020-09-10,
Heyuan,河源市,CN044050,,,,,,Guangdong Province,广东省,CN044,China,中国,CN,2020-09-10,2020-09-10,
Huizhou,惠州市,CN044060,,,,,,Guangdong Province,广东省,CN044,China,中国,CN,2020-09-10,2020-09-10,
Jiangmen,江门市,CN044070,,,,,,Guangdong Province,广东省,CN044,China,中国,CN,2020-09-10,2020-09-10,
Jieyang,揭阳市,CN044080,,,,,,Guangdong Province,广东省,CN044,China,中国,CN,2020-09-10,2020-09-10,
Maoming,茂名市,CN044090,,,,,,Guangdong Province,广东省,CN044,China,中国,CN,2020-09-10,2020-09-10,
Meizhou,梅州市,CN044100,,,,,,Guangdong Province,广东省,CN044,China,中国,CN,2020-09-10,2020-09-10,
Qingyuan,清远市,CN044110,,,,,,Guangdong Province,广东省,CN044,China,中国,CN,2020-09-10,2020-09-10,
Shantou,汕头市,CN044120,,,,,,Guangdong Province,广东省,CN044,China,中国,CN,2020-09-10,2020-09-10,
Shanwei,汕尾市,CN044130,,,,,,Guangdong Province,广东省,CN044,China,中国,CN,2020-09-10,2020-09-10,
Shaoguan,韶关市,CN044140,,,,,,Guangdong Province,广东省,CN044,China,中国,CN,2020-09-10,2020-09-10,
Shenzhen,深圳市,CN044150,,,,,,Guangdong Province,广东省,CN044,China,中国,CN,2020-09-10,2020-09-10,
Yangjiang,阳江市,CN044160,,,,,,Guangdong Province,广东省,CN044,China,中国,CN,2020-09-10,2020-09-10,
Yunfu,云浮市,CN044170,,,,,,Guangdong Province,广东省,CN044,China,中国,CN,2020-09-10,2020-09-10,
Zhanjiang,湛江市,CN044180,,,,,,Guangdong Province,广东省,CN044,China,中国,CN,2020-09-10,2020-09-10,
