#adm3+name+i_spa+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_spa+is_latn,#adm3+name+alt2+i_spa+is_latn,#adm2+name+i_spa+is_latn,#adm2+code+v_pcode,#adm1+name+i_spa+is_latn,#adm1+code+v_pcode,#country+name+i_spa+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Giron,EC010250,,,,Giron,EC0102,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Asuncion,EC010251,,,,Giron,EC0102,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
San Gerardo,EC010252,,,,Giron,EC0102,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Gualaceo,EC010350,,,,Gualaceo,EC0103,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Daniel Cordova Toral (El Oriente),EC010352,,,,Gualaceo,EC0103,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Jadan,EC010353,,,,Gualaceo,EC0103,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Mariano Moreno,EC010354,,,,Gualaceo,EC0103,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Remigio Crespo Toral (Gulag),EC010356,,,,Gualaceo,EC0103,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
San Juan,EC010357,,,,Gualaceo,EC0103,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Zhidmad,EC010358,,,,Gualaceo,EC0103,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Luis Cordero Vega,EC010359,,,,Gualaceo,EC0103,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Simon Bolivar (Cab. en Gañanzol),EC010360,Simon Bolivar (Cab. en Gananzol),,,Gualaceo,EC0103,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Nabon,EC010450,,,,Nabon,EC0104,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Cochapata,EC010451,,,,Nabon,EC0104,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
El Progreso (Cab. en Zhota),EC010452,,,,Nabon,EC0104,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Las Nieves (Chaya),EC010453,,,,Nabon,EC0104,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Paute,EC010550,,,,Paute,EC0105,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Bulan (Jose Victor Izquierdo),EC010552,,,,Paute,EC0105,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Chican (Guillermo Ortega),EC010553,,,,Paute,EC0105,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
El Cabo,EC010554,,,,Paute,EC0105,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Guarainag,EC010556,,,,Paute,EC0105,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
San Cristobal (Carlos Ordoñez Lazo),EC010559,San Cristobal (Carlos Ordonez Lazo),,,Paute,EC0105,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Tomebamba,EC010561,,,,Paute,EC0105,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Dug Dug,EC010562,,,,Paute,EC0105,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Pucara,EC010650,,,,Pucara,EC0106,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
San Rafael de Sharug,EC010652,,,,Pucara,EC0106,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
San Fernando,EC010750,,,,San Fernando,EC0107,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Chumblin,EC010751,,,,San Fernando,EC0107,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Santa Isabel (Chaguarurco),EC010850,,,,Santa Isabel,EC0108,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Abdon Calderon (La Union),EC010851,,,,Santa Isabel,EC0108,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Zhaglli (Shaglli),EC010853,,,,Santa Isabel,EC0108,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
San Salvador de Cañaribamba,EC010854,San Salvador de Canaribamba,,,Santa Isabel,EC0108,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Sigsig,EC010950,,,,Sigsig,EC0109,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Cuchil (Cutchil),EC010951,,,,Sigsig,EC0109,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Gima,EC010952,,,,Sigsig,EC0109,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Guel,EC010953,,,,Sigsig,EC0109,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Ludo,EC010954,,,,Sigsig,EC0109,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
San Bartolome,EC010955,,,,Sigsig,EC0109,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
San Jose de Raranga,EC010956,,,,Sigsig,EC0109,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
San Felipe de Oña,EC011050,San Felipe de Ona,,,Oña,EC0110,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Susudel,EC011051,,,,Oña,EC0110,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Chordeleg,EC011150,,,,Chordeleg,EC0111,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Principal,EC011151,,,,Chordeleg,EC0111,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
La Union,EC011152,,,,Chordeleg,EC0111,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Luis Galarza Orellana (Cab. en Delegsol),EC011153,,,,Chordeleg,EC0111,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
San Martin de Puzhio,EC011154,,,,Chordeleg,EC0111,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
El Pan,EC011250,,,,El Pan,EC0112,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
San Vicente,EC011253,,,,El Pan,EC0112,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Sevilla de Oro,EC011350,,,,Sevilla de Oro,EC0113,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Amaluza,EC011351,,,,Sevilla de Oro,EC0113,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Palmas,EC011352,,,,Sevilla de Oro,EC0113,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Guachapala,EC011450,,,,Guachapala,EC0114,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Camilo Ponce Enriquez,EC011550,,,,Camilo Ponce Enriquez,EC0115,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
El Carmen de Pijili,EC011551,,,,Camilo Ponce Enriquez,EC0115,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
Guaranda,EC020150,,,,Guaranda,EC0201,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-31,
Facundo Vela,EC020151,,,,Guaranda,EC0201,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-31,
Julio E. Moreno (Catanahuan Grande),EC020153,,,,Guaranda,EC0201,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-31,
Salinas,EC020155,,,,Guaranda,EC0201,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-31,
San Lorenzo,EC020156,,,,Guaranda,EC0201,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-31,
San Simon (Yacoto),EC020157,,,,Guaranda,EC0201,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-31,
Santa Fe (Santa Fe),EC020158,,,,Guaranda,EC0201,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-31,
Simiatug,EC020159,,,,Guaranda,EC0201,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-31,
San Luis de Pambil,EC020160,,,,Guaranda,EC0201,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-31,
Chillanes,EC020250,,,,Chillanes,EC0202,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-31,
San Jose del Tambo (Tambopamba),EC020251,,,,Chillanes,EC0202,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-31,
San Jose de Chimbo,EC020350,,,,Chimbo,EC0203,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-31,
Asuncion (Asancoto),EC020351,,,,Chimbo,EC0203,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-31,
Magdalena (Chapacoto),EC020353,,,,Chimbo,EC0203,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-31,
San Sebastian,EC020354,,,,Chimbo,EC0203,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-31,
Telimbela,EC020355,,,,Chimbo,EC0203,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-31,
Echeandia,EC020450,,,,Echeandia,EC0204,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-31,
San Miguel,EC020550,,,,San Miguel,EC0205,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-31,
Balsapamba,EC020551,,,,San Miguel,EC0205,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-31,
Bilovan,EC020552,,,,San Miguel,EC0205,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-31,
Regulo de Mora,EC020553,,,,San Miguel,EC0205,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-31,
San Pablo (San Pablo de Atenas),EC020554,,,,San Miguel,EC0205,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-31,
Santiago,EC020555,,,,San Miguel,EC0205,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-31,
San Vicente,EC020556,,,,San Miguel,EC0205,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-31,
Caluma,EC020650,,,,Caluma,EC0206,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-31,
Las Naves,EC020750,,,,Las Naves,EC0207,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-31,
Azogues,EC030150,,,,Azogues,EC0301,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
Cojitambo,EC030151,,,,Azogues,EC0301,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
Guapan,EC030153,,,,Azogues,EC0301,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
Javier Loyola (Chuquipata),EC030154,,,,Azogues,EC0301,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
Luis Cordero,EC030155,,,,Azogues,EC0301,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
Pindilig,EC030156,,,,Azogues,EC0301,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
Rivera,EC030157,,,,Azogues,EC0301,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
San Miguel,EC030158,,,,Azogues,EC0301,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
Taday,EC030160,,,,Azogues,EC0301,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
Biblian,EC030250,,,,Biblian,EC0302,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
Nazon (Cab. en Pampa de Dominguez),EC030251,,,,Biblian,EC0302,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
San Francisco de Sageo,EC030252,,,,Biblian,EC0302,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
Turupamba,EC030253,,,,Biblian,EC0302,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
Jerusalen,EC030254,,,,Biblian,EC0302,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
Cañar,EC030350,Canar,,,Cañar,EC0303,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
Chontamarca,EC030351,,,,Cañar,EC0303,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
Chorocopte,EC030352,,,,Cañar,EC0303,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
General Morales (Socarte),EC030353,,,,Cañar,EC0303,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
Gualleturo,EC030354,,,,Cañar,EC0303,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
Honorato Vasquez (Tambo Viejo),EC030355,,,,Cañar,EC0303,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
Ingapirca,EC030356,,,,Cañar,EC0303,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
Juncal,EC030357,,,,Cañar,EC0303,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
San Antonio,EC030358,,,,Cañar,EC0303,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
Zhud,EC030361,,,,Cañar,EC0303,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
Ventura,EC030362,,,,Cañar,EC0303,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
Ducur,EC030363,,,,Cañar,EC0303,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
La Troncal,EC030450,,,,La Troncal,EC0304,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
Manuel J. Calle,EC030451,,,,La Troncal,EC0304,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
Pancho Negro,EC030452,,,,La Troncal,EC0304,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
El Tambo,EC030550,,,,El Tambo,EC0305,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
Deleg,EC030650,,,,Deleg,EC0306,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
Solano,EC030651,,,,Deleg,EC0306,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
Suscal,EC030750,,,,Suscal,EC0307,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
Tulcan,EC040150,,,,Tulcan,EC0401,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-31,
El Carmelo (El Pun),EC040151,,,,Tulcan,EC0401,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-31,
Julio Andrade (Orejuela),EC040153,,,,Tulcan,EC0401,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-31,
Maldonado,EC040154,,,,Tulcan,EC0401,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-31,
Pioter,EC040155,,,,Tulcan,EC0401,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-31,
Tobar Donoso (La Bocana de Camumbi),EC040156,,,,Tulcan,EC0401,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-31,
Tufiño,EC040157,Tufino,,,Tulcan,EC0401,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-31,
Urbina (Taya),EC040158,,,,Tulcan,EC0401,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-31,
El Chical,EC040159,,,,Tulcan,EC0401,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-31,
Santa Martha de Cuba,EC040161,,,,Tulcan,EC0401,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-31,
Bolivar,EC040250,,,,Bolivar,EC0402,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-31,
Garcia Moreno,EC040251,,,,Bolivar,EC0402,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-31,
Los Andes,EC040252,,,,Bolivar,EC0402,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-31,
Monte Olivo,EC040253,,,,Bolivar,EC0402,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-31,
San Vicente de Pusir,EC040254,,,,Bolivar,EC0402,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-31,
San Rafael,EC040255,,,,Bolivar,EC0402,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-31,
El Angel,EC040350,,,,Espejo,EC0403,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-31,
El Goaltal,EC040351,,,,Espejo,EC0403,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-31,
La Libertad (Alizo),EC040352,,,,Espejo,EC0403,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-31,
San Isidro,EC040353,,,,Espejo,EC0403,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-31,
Mira (Chontahuasi),EC040450,,,,Mira,EC0404,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-31,
Concepcion,EC040451,,,,Mira,EC0404,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-31,
Jijon y Caamaño (Cab. en Rio Blanco),EC040452,Jijon y Caamano (Cab. en Rio Blanco),,,Mira,EC0404,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-31,
Juan Montalvo (San Ignacio de Quil),EC040453,,,,Mira,EC0404,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-31,
San Gabriel,EC040550,,,,Montufar,EC0405,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-31,
Cristobal Colon,EC040551,,,,Montufar,EC0405,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-31,
Chitan de Navarrete,EC040552,,,,Montufar,EC0405,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-31,
Fernandez Salvador,EC040553,,,,Montufar,EC0405,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-31,
La Paz,EC040554,,,,Montufar,EC0405,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-31,
Piartal,EC040555,,,,Montufar,EC0405,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-31,
Huaca,EC040650,,,,San Pedro de Huaca,EC0406,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-31,
Mariscal Sucre,EC040651,,,,San Pedro de Huaca,EC0406,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-31,
Latacunga,EC050150,,,,Latacunga,EC0501,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
Alaques (Alaquez),EC050151,,,,Latacunga,EC0501,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
Belisario Quevedo (Guanailin),EC050152,,,,Latacunga,EC0501,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
Guaitacama (Guaytacama),EC050153,,,,Latacunga,EC0501,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
Joseguango Bajo,EC050154,,,,Latacunga,EC0501,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
Mulalo,EC050156,,,,Latacunga,EC0501,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
11 de Noviembre (Ilinchisi),EC050157,,,,Latacunga,EC0501,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
Poalo,EC050158,,,,Latacunga,EC0501,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
San Juan de Pastocalle,EC050159,,,,Latacunga,EC0501,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
Tanicuchi,EC050161,,,,Latacunga,EC0501,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
Toacaso,EC050162,,,,Latacunga,EC0501,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
La Mana,EC050250,,,,La Mana,EC0502,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
Guasaganda (Cab. en Guasaganda Centro),EC050251,,,,La Mana,EC0502,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
Pucayacu,EC050252,,,,La Mana,EC0502,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
El Corazon,EC050350,,,,Pangua,EC0503,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
Moraspungo,EC050351,,,,Pangua,EC0503,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
Pinllopata,EC050352,,,,Pangua,EC0503,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
Ramon Campaña,EC050353,Ramon Campana,,,Pangua,EC0503,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
Pujili,EC050450,,,,Pujili,EC0504,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
Angamarca,EC050451,,,,Pujili,EC0504,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
Guangaje,EC050453,,,,Pujili,EC0504,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
La Victoria,EC050455,,,,Pujili,EC0504,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
Pilalo,EC050456,,,,Pujili,EC0504,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
Tingo,EC050457,,,,Pujili,EC0504,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
Zumbahua,EC050458,,,,Pujili,EC0504,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
San Miguel,EC050550,,,,Salcedo,EC0505,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
Antonio Jose Holguin (Santa Lucia),EC050551,,,,Salcedo,EC0505,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
Cusubamba,EC050552,,,,Salcedo,EC0505,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
Mulalillo,EC050553,,,,Salcedo,EC0505,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
Mulliquindil (Santa Ana),EC050554,,,,Salcedo,EC0505,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
Pansaleo,EC050555,,,,Salcedo,EC0505,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
Saquisili,EC050650,,,,Saquisili,EC0506,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
Canchagua,EC050651,,,,Saquisili,EC0506,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
Chantilin,EC050652,,,,Saquisili,EC0506,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
Cochapamba,EC050653,,,,Saquisili,EC0506,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
Sigchos,EC050750,,,,Sigchos,EC0507,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
Chugchillan,EC050751,,,,Sigchos,EC0507,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
Isinlivi,EC050752,,,,Sigchos,EC0507,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
Las Pampas,EC050753,,,,Sigchos,EC0507,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
Palo Quemado,EC050754,,,,Sigchos,EC0507,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
Riobamba,EC060150,,,,Riobamba,EC0601,Chimborazo,EC06,Ecuador (el),EC,2018-12-17,2019-07-31,
Cacha (Cab. en Machangara),EC060151,,,,Riobamba,EC0601,Chimborazo,EC06,Ecuador (el),EC,2018-12-17,2019-07-31,
Calpi,EC060152,,,,Riobamba,EC0601,Chimborazo,EC06,Ecuador (el),EC,2018-12-17,2019-07-31,
Cubijies,EC060153,,,,Riobamba,EC0601,Chimborazo,EC06,Ecuador (el),EC,2018-12-17,2019-07-31,
Flores,EC060154,,,,Riobamba,EC0601,Chimborazo,EC06,Ecuador (el),EC,2018-12-17,2019-07-31,
Lican,EC060155,,,,Riobamba,EC0601,Chimborazo,EC06,Ecuador (el),EC,2018-12-17,2019-07-31,
Licto,EC060156,,,,Riobamba,EC0601,Chimborazo,EC06,Ecuador (el),EC,2018-12-17,2019-07-31,
