#adm3+name+i_spa+is_latn,#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_spa+is_latn,#adm3+name+alt2+i_spa+is_latn,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm2+name+i_spa+is_latn,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_spa+is_latn,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_spa+is_latn,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
La Vega,,VE010112,,,,,,Libertador,,VE0101,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Macarao,,VE010113,,,,,,Libertador,,VE0101,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
San Agustin,,VE010114,,,,,,Libertador,,VE0101,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
San Benardino,,VE010115,,,,,,Libertador,,VE0101,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
San Jose,,VE010116,,,,,,Libertador,,VE0101,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
San Juan,,VE010117,,,,,,Libertador,,VE0101,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
San Pedro,,VE010118,,,,,,Libertador,,VE0101,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Santa Rosalia,,VE010119,,,,,,Libertador,,VE0101,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Santa Teresa,,VE010120,,,,,,Libertador,,VE0101,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Sucre,,VE010121,,,,,,Libertador,,VE0101,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
23 De Enero,,VE010122,,,,,,Libertador,,VE0101,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Autonomo Alto Orinoco,,VE020100,,,,,,Autonomo Alto Orinoco,,VE0201,Amazonas,,VE02,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Autonomo Atabapo,,VE020200,,,,,,Autonomo Atabapo,,VE0202,Amazonas,,VE02,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Autonomo Atures,,VE020300,,,,,,Autonomo Atures,,VE0203,Amazonas,,VE02,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Autonomo Autana,,VE020400,,,,,,Autonomo Autana,,VE0204,Amazonas,,VE02,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Autonomo Maroa,,VE020500,,,,,,Autonomo Maroa,,VE0205,Amazonas,,VE02,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Autonomo Manapiare,,VE020600,,,,,,Autonomo Manapiare,,VE0206,Amazonas,,VE02,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Autonomo Rio Negro,,VE020700,,,,,,Autonomo Rio Negro,,VE0207,Amazonas,,VE02,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Capital Anaco,,VE030101,,,,,,Anaco,,VE0301,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
San Joaquin,,VE030102,,,,,,Anaco,,VE0301,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Capital Aragua,,VE030201,,,,,,Aragua,,VE0302,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Cachipo,,VE030202,,,,,,Aragua,,VE0302,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Capital Fernando De Peñalv,,VE030301,,,,,,Fernando De Peñalv,,VE0303,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
San Miguel,,VE030302,,,,,,Fernando De Peñalv,,VE0303,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Sucre,,VE030303,,,,,,Fernando De Peñalv,,VE0303,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Valle De Guanape,,VE030401,,,,,,Francisco Del Carm,,VE0304,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Santa Barbara,,VE030402,,,,,,Francisco Del Carm,,VE0304,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Capital Francisco De Miran,,VE030501,,,,,,Francisco De Miran,,VE0305,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Atapirire,,VE030502,,,,,,Francisco De Miran,,VE0305,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Boca Del Pao,,VE030503,,,,,,Francisco De Miran,,VE0305,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
El Pao,,VE030504,,,,,,Francisco De Miran,,VE0305,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Guanta,,VE030601,,,,,,Guanta,,VE0306,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Chorreron,,VE030602,,,,,,Guanta,,VE0306,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Capital Independencia,,VE030701,,,,,,Independencia,,VE0307,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Mamo,,VE030702,,,,,,Independencia,,VE0307,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Capital Puerto La Cruz,,VE030801,,,,,,Juan Antonio Sotil,,VE0308,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Pozuelos,,VE030802,,,,,,Juan Antonio Sotil,,VE0308,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Capital Onoto,,VE030901,,,,,,Juan Manuel Cajiga,,VE0309,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
San Pablo,,VE030902,,,,,,Juan Manuel Cajiga,,VE0309,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Capital Jose Gregorio Mona,,VE031001,,,,,,Jose Gregorio Mona,,VE0310,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Piar,,VE031002,,,,,,Jose Gregorio Mona,,VE0310,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
San Diego De Cabrutica,,VE031003,,,,,,Jose Gregorio Mona,,VE0310,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Santa Clara,,VE031004,,,,,,Jose Gregorio Mona,,VE0310,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Uverito,,VE031005,,,,,,Jose Gregorio Mona,,VE0310,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Zuata,,VE031006,,,,,,Jose Gregorio Mona,,VE0310,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Capital Libertad,,VE031101,,,,,,Libertad,,VE0311,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
El Carito,,VE031102,,,,,,Libertad,,VE0311,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Santa Ines,,VE031103,,,,,,Libertad,,VE0311,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Capital Clarines,,VE031201,,,,,,Manuel Ezequiel Br,,VE0312,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Guanape,,VE031202,,,,,,Manuel Ezequiel Br,,VE0312,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Sabana De Uchire,,VE031203,,,,,,Manuel Ezequiel Br,,VE0312,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Capital Pedro Maria Freite,,VE031301,,,,,,Pedro Maria Freite,,VE0313,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Libertador,,VE031302,,,,,,Pedro Maria Freite,,VE0313,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Santa Rosa,,VE031303,,,,,,Pedro Maria Freite,,VE0313,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Urica,,VE031304,,,,,,Pedro Maria Freite,,VE0313,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Capital Piritu,,VE031401,,,,,,Piritu,,VE0314,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
San Francisco,,VE031402,,,,,,Piritu,,VE0314,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Capital San Jose De Guanip,,VE031501,,,,,,San Jose De Guanip,,VE0315,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Capital Boca De Uchire,,VE031601,,,,,,San Juan De Capist,,VE0316,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Boca De Chavez,,VE031602,,,,,,San Juan De Capist,,VE0316,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Capital Santa  Ana,,VE031701,,,,,,Santa Ana,,VE0317,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Pueblo Nuevo,,VE031702,,,,,,Santa Ana,,VE0317,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
El Carmen,,VE031801,,,,,,Simon Bolivar,,VE0318,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
San Cristobal,,VE031802,,,,,,Simon Bolivar,,VE0318,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Bergantin,,VE031803,,,,,,Simon Bolivar,,VE0318,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Caigua,,VE031804,,,,,,Simon Bolivar,,VE0318,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
El Pilar,,VE031805,,,,,,Simon Bolivar,,VE0318,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Naricual,,VE031806,,,,,,Simon Bolivar,,VE0318,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Edmundo Barrios,,VE031901,,,,,,Simon Rodriguez,,VE0319,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
El Chaparro,,VE032001,,,,,,Sir Artur Mc Grego,,VE0320,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Tomas Alfaro Calatrava,,VE032002,,,,,,Sir Artur Mc Grego,,VE0320,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Lecherias,,VE032101,,,,,,Diego Bautista Urb,,VE0321,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
El Morro,,VE032102,,,,,,Diego Bautista Urb,,VE0321,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Urbana Achaguas,,VE040101,,,,,,Achaguas,,VE0401,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Apurito,,VE040102,,,,,,Achaguas,,VE0401,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
El Yagual,,VE040103,,,,,,Achaguas,,VE0401,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Guachara,,VE040104,,,,,,Achaguas,,VE0401,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Mucuritas,,VE040105,,,,,,Achaguas,,VE0401,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Queseras Del Medio,,VE040106,,,,,,Achaguas,,VE0401,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Biruaca,,VE040201,,,,,,Biruaca,,VE0402,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Bruzual,,VE040301,,,,,,Muñoz,,VE0403,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Mantecal,,VE040302,,,,,,Muñoz,,VE0403,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Quintero,,VE040303,,,,,,Muñoz,,VE0403,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Rincon Hondo,,VE040304,,,,,,Muñoz,,VE0403,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
San Vicente,,VE040305,,,,,,Muñoz,,VE0403,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Guasdualito,,VE040401,,,,,,Paez,,VE0404,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Aramendi,,VE040402,,,,,,Paez,,VE0404,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
El Amparo,,VE040403,,,,,,Paez,,VE0404,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
San Camilo,,VE040404,,,,,,Paez,,VE0404,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Urdaneta,,VE040405,,,,,,Paez,,VE0404,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
San Juan De Payara,,VE040501,,,,,,Pedro Camejo,,VE0405,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Codazzi,,VE040502,,,,,,Pedro Camejo,,VE0405,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Cunaviche,,VE040503,,,,,,Pedro Camejo,,VE0405,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Elorza,,VE040601,,,,,,Romulo Gallegos,,VE0406,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
La Trinidad,,VE040602,,,,,,Romulo Gallegos,,VE0406,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
San Fernando,,VE040701,,,,,,San Fernando,,VE0407,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
El Recreo,,VE040702,,,,,,San Fernando,,VE0407,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Peñalver,,VE040703,,,,,,San Fernando,,VE0407,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
San Rafael De Atamaica,,VE040704,,,,,,San Fernando,,VE0407,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Capital Bolivar,,VE050101,,,,,,Bolivar,,VE0501,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Capital Camatagua,,VE050201,,,,,,Camatagua,,VE0502,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Carmen De Cura,,VE050202,,,,,,Camatagua,,VE0502,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Choroni,,VE050302,,,,,,Girardot,,VE0503,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Las Delicias,,VE050303,,,,,,Girardot,,VE0503,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Madre Maria De San Jose,,VE050304,,,,,,Girardot,,VE0503,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Joaquin Crespo,,VE050305,,,,,,Girardot,,VE0503,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Pedro Jose Ovalles,,VE050306,,,,,,Girardot,,VE0503,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Jose Casanova Godoy,,VE050307,,,,,,Girardot,,VE0503,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Andres Eloy Blanco,,VE050308,,,,,,Girardot,,VE0503,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Los Tacariguas,,VE050309,,,,,,Girardot,,VE0503,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Capital Jose Angel Lamas,,VE050400,,,,,,Jose Angel Lamas,,VE0504,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Capital Jose Felix Ribas,,VE050501,,,,,,Jose Felix Ribas,,VE0505,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Castor Nieves Rios,,VE050502,,,,,,Jose Felix Ribas,,VE0505,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Las Guacamayas,,VE050503,,,,,,Jose Felix Ribas,,VE0505,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Pao De Zarate,,VE050504,,,,,,Jose Felix Ribas,,VE0505,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Zuata,,VE050505,,,,,,Jose Felix Ribas,,VE0505,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Capital Jose Rafael Reveng,,VE050600,,,,,,Jose Rafael Reveng,,VE0506,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Capital Libertador,,VE050701,,,,,,Libertador,,VE0507,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
San Martin De Porres,,VE050702,,,,,,Libertador,,VE0507,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Capital Mario Briceño Irag,,VE050801,,,,,,Mario Briceño Irag,,VE0508,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Caña De Azucar,,VE050802,,,,,,Mario Briceño Irag,,VE0508,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Capital San Casimiro,,VE050901,,,,,,San Casimiro,,VE0509,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Gõiripa,,VE050902,,,,,,San Casimiro,,VE0509,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Ollas De Caramacate,,VE050903,,,,,,San Casimiro,,VE0509,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Valle Morin,,VE050904,,,,,,San Casimiro,,VE0509,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Capital San Sebastian,,VE051001,,,,,,San Sebastian,,VE0510,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Capital Santiago Mariño,,VE051101,,,,,,Santiago Mariño,,VE0511,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Arevalo Aponte,,VE051102,,,,,,Santiago Mariño,,VE0511,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Chuao,,VE051103,,,,,,Santiago Mariño,,VE0511,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Saman De Gõere,,VE051104,,,,,,Santiago Mariño,,VE0511,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Alfredo Pacheco Miranda,,VE051105,,,,,,Santiago Mariño,,VE0511,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
