#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_qcc+is_zxxx+ix_wikip17,#item+rem+i_qcc+is_zxxx+ix_wikip131,#item+rem+i_qcc+is_zxxx+ix_wikip6204
56846729,Q56846729,Q155,Q36947,03.795.071/0001-16
56846884,Q56846884,Q155,Q36947,05.817.107/0001-40
56878926,Q56878926,Q155,,43.203.520/0001-04
56878989,Q56878989,Q155,,43.203.520/0001-04
56879086,Q56879086,Q155,,43.203.520/0001-04
59616737,Q59616737,Q155,Q1765057,86.046.448/0001-61
59667459,Q59667459,Q155,,23.715.080/0001-67
61819009,Q61819009,Q155,,43.203.520/0001-04
61862277,Q61862277,Q155,,33131350000146
62073183,Q62073183,Q155,,62.270.186/0011-28
62098118,Q62098118,,,3011570/0001
62514815,Q62514815,Q155,Q174,04.090.891/0001-75
63723953,Q63723953,Q155,Q174,11322459000128
63808877,Q63808877,Q155,,02.612.590/0001-39
65171188,Q65171188,Q155,Q40430,18.810.874/0001-70
72611919,Q72611919,Q155,,84.453.844/0021-21
76748500,Q76748500,Q155,,04.410.756/0001-60
95881720,Q95881720,Q155,,27.865.757/0001-02
96186406,Q96186406,,,05.745.283/0001-14
96279390,Q96279390,Q155,,05.852.939/0001-06
96405817,Q96405817,Q155,Q36947,32.141.432/0001-09
98151126,Q98151126,Q155,Q36947,15.231.533/0001-51
99356258,Q99356258,Q155,,43.447.044/0001-77
99656254,Q99656254,Q155,,00.590.976/0001-61
105106278,Q105106278,Q155,Q985576,13.828.397/0001-56
105407949,Q105407949,Q155,Q39109,17.420.035/0001-82
105602307,Q105602307,Q155,,15.141.799/0001-03
105826220,Q105826220,Q155,Q897232,20.953.715/0001-76
105829722,Q105829722,Q155,,84.683.382/0003-57
105830203,Q105830203,Q155,,05.425.976/0001-20
105846483,Q105846483,Q155,,07.614.458/0001-80
106903991,Q106903991,Q155,,10.760.260/0001-19
107453017,Q107453017,,,24.410.913/0001-44
107453074,Q107453074,,,30.680.829/0001-43
107975877,Q107975877,Q155,,34221389000117
108725681,Q108725681,Q155,,10.721.880/0001-49
110818811,Q110818811,Q155,,29.365.880/0001-81
111051477,Q111051477,Q155,Q1772525,13.761.722/0001-00
111952589,Q111952589,Q155,,27.179.472/0001-00
