#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm2+name+i_spa+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_spa+is_latn,#adm2+name+alt2+i_spa+is_latn,#adm1+name+i_spa+is_latn,#adm1+code+v_pcode,#country+name+i_spa+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:558:2:555,555,1603:45:16:558:0,1603:45:16:558:1:5,1603:45:16:558:2:555,Quilalí,NI0555,Quilali,,,Nueva Segovia,NI05,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:560,560,1603:45:16:558:0,1603:45:16:558:1:5,1603:45:16:558:2:560,Wiwilí de Nueva Segovia,NI0560,Wiwili de Nueva Segovia,,,Nueva Segovia,NI05,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:1005,1005,1603:45:16:558:0,1603:45:16:558:1:10,1603:45:16:558:2:1005,Wiwilí de Jinotega,NI1005,Wiwili de Jinotega,,,Jinotega,NI10,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:1010,1010,1603:45:16:558:0,1603:45:16:558:1:10,1603:45:16:558:2:1010,El Cuá,NI1010,El Cua,,,Jinotega,NI10,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:1012,1012,1603:45:16:558:0,1603:45:16:558:1:10,1603:45:16:558:2:1012,San José de Bocay,NI1012,San Jose de Bocay,,,Jinotega,NI10,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:1015,1015,1603:45:16:558:0,1603:45:16:558:1:10,1603:45:16:558:2:1015,Santa María de Pantasma,NI1015,Santa Maria de Pantasma,,,Jinotega,NI10,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:1020,1020,1603:45:16:558:0,1603:45:16:558:1:10,1603:45:16:558:2:1020,San Rafael del Norte,NI1020,,,,Jinotega,NI10,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:1025,1025,1603:45:16:558:0,1603:45:16:558:1:10,1603:45:16:558:2:1025,San Sebastián de Yalí,NI1025,San Sebastian de Yalí,,,Jinotega,NI10,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:1030,1030,1603:45:16:558:0,1603:45:16:558:1:10,1603:45:16:558:2:1030,La Concordia,NI1030,,,,Jinotega,NI10,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:1035,1035,1603:45:16:558:0,1603:45:16:558:1:10,1603:45:16:558:2:1035,Jinotega,NI1035,,,,Jinotega,NI10,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:2005,2005,1603:45:16:558:0,1603:45:16:558:1:20,1603:45:16:558:2:2005,Somoto,NI2005,,,,Madriz,NI20,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:2010,2010,1603:45:16:558:0,1603:45:16:558:1:20,1603:45:16:558:2:2010,Totogalpa,NI2010,,,,Madriz,NI20,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:2015,2015,1603:45:16:558:0,1603:45:16:558:1:20,1603:45:16:558:2:2015,Telpaneca,NI2015,,,,Madriz,NI20,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:2020,2020,1603:45:16:558:0,1603:45:16:558:1:20,1603:45:16:558:2:2020,San Juan del Río Coco,NI2020,San Juan del Rio Coco,,,Madriz,NI20,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:2025,2025,1603:45:16:558:0,1603:45:16:558:1:20,1603:45:16:558:2:2025,Palacagüina,NI2025,Palacaguina,,,Madriz,NI20,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:2030,2030,1603:45:16:558:0,1603:45:16:558:1:20,1603:45:16:558:2:2030,Yalagüina,NI2030,Yalaguina,,,Madriz,NI20,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:2035,2035,1603:45:16:558:0,1603:45:16:558:1:20,1603:45:16:558:2:2035,San Lucas,NI2035,,,,Madriz,NI20,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:2040,2040,1603:45:16:558:0,1603:45:16:558:1:20,1603:45:16:558:2:2040,Las Sabanas,NI2040,,,,Madriz,NI20,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:2045,2045,1603:45:16:558:0,1603:45:16:558:1:20,1603:45:16:558:2:2045,San José de Cusmapa,NI2045,San Jose de Cusmapa,,,Madriz,NI20,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:2505,2505,1603:45:16:558:0,1603:45:16:558:1:25,1603:45:16:558:2:2505,Pueblo Nuevo,NI2505,,,,Estelí,NI25,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:2510,2510,1603:45:16:558:0,1603:45:16:558:1:25,1603:45:16:558:2:2510,Condega,NI2510,,,,Estelí,NI25,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:2515,2515,1603:45:16:558:0,1603:45:16:558:1:25,1603:45:16:558:2:2515,Estelí,NI2515,Esteli,,,Estelí,NI25,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:2520,2520,1603:45:16:558:0,1603:45:16:558:1:25,1603:45:16:558:2:2520,San Juan de Limay,NI2520,,,,Estelí,NI25,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:2525,2525,1603:45:16:558:0,1603:45:16:558:1:25,1603:45:16:558:2:2525,La Trinidad,NI2525,,,,Estelí,NI25,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:2530,2530,1603:45:16:558:0,1603:45:16:558:1:25,1603:45:16:558:2:2530,San Nicolás,NI2530,San Nicolas,,,Estelí,NI25,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:3000,3000,1603:45:16:558:0,1603:45:16:558:1:30,1603:45:16:558:2:3000,San Francisco del Norte,NI3000,,,,Chinandega,NI30,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:3005,3005,1603:45:16:558:0,1603:45:16:558:1:30,1603:45:16:558:2:3005,San Pedro del Norte,NI3005,,,,Chinandega,NI30,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:3015,3015,1603:45:16:558:0,1603:45:16:558:1:30,1603:45:16:558:2:3015,Cinco Pinos,NI3015,,,,Chinandega,NI30,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:3020,3020,1603:45:16:558:0,1603:45:16:558:1:30,1603:45:16:558:2:3020,Santo Tomás del Norte,NI3020,Santo Tomas del Norte,,,Chinandega,NI30,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:3025,3025,1603:45:16:558:0,1603:45:16:558:1:30,1603:45:16:558:2:3025,El Viejo,NI3025,,,,Chinandega,NI30,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:3030,3030,1603:45:16:558:0,1603:45:16:558:1:30,1603:45:16:558:2:3030,Puerto Morazán,NI3030,Puerto Morazan,,,Chinandega,NI30,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:3035,3035,1603:45:16:558:0,1603:45:16:558:1:30,1603:45:16:558:2:3035,Somotillo,NI3035,,,,Chinandega,NI30,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:3040,3040,1603:45:16:558:0,1603:45:16:558:1:30,1603:45:16:558:2:3040,Villanueva,NI3040,,,,Chinandega,NI30,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:3045,3045,1603:45:16:558:0,1603:45:16:558:1:30,1603:45:16:558:2:3045,Chinandega,NI3045,,,,Chinandega,NI30,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:3050,3050,1603:45:16:558:0,1603:45:16:558:1:30,1603:45:16:558:2:3050,El Realejo,NI3050,,,,Chinandega,NI30,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:3055,3055,1603:45:16:558:0,1603:45:16:558:1:30,1603:45:16:558:2:3055,Corinto,NI3055,,,,Chinandega,NI30,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:3060,3060,1603:45:16:558:0,1603:45:16:558:1:30,1603:45:16:558:2:3060,Chichigalpa,NI3060,,,,Chinandega,NI30,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:3065,3065,1603:45:16:558:0,1603:45:16:558:1:30,1603:45:16:558:2:3065,Posoltega,NI3065,,,,Chinandega,NI30,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:3505,3505,1603:45:16:558:0,1603:45:16:558:1:35,1603:45:16:558:2:3505,Achuapa,NI3505,,,,León,NI35,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:3510,3510,1603:45:16:558:0,1603:45:16:558:1:35,1603:45:16:558:2:3510,El Sauce,NI3510,,,,León,NI35,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:3515,3515,1603:45:16:558:0,1603:45:16:558:1:35,1603:45:16:558:2:3515,Santa Rosa del Peñón,NI3515,Santa Rosa del Penon,,,León,NI35,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:3520,3520,1603:45:16:558:0,1603:45:16:558:1:35,1603:45:16:558:2:3520,El Jicaral,NI3520,,,,León,NI35,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:3525,3525,1603:45:16:558:0,1603:45:16:558:1:35,1603:45:16:558:2:3525,Larreynaga,NI3525,,,,León,NI35,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:3530,3530,1603:45:16:558:0,1603:45:16:558:1:35,1603:45:16:558:2:3530,Telica,NI3530,,,,León,NI35,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:3535,3535,1603:45:16:558:0,1603:45:16:558:1:35,1603:45:16:558:2:3535,Quezalguaque,NI3535,,,,León,NI35,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:3540,3540,1603:45:16:558:0,1603:45:16:558:1:35,1603:45:16:558:2:3540,León,NI3540,Leon,,,León,NI35,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:3545,3545,1603:45:16:558:0,1603:45:16:558:1:35,1603:45:16:558:2:3545,La Paz Centro,NI3545,,,,León,NI35,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:3550,3550,1603:45:16:558:0,1603:45:16:558:1:35,1603:45:16:558:2:3550,Nagarote,NI3550,,,,León,NI35,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:4005,4005,1603:45:16:558:0,1603:45:16:558:1:40,1603:45:16:558:2:4005,Rancho Grande,NI4005,,,,Matagalpa,NI40,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:4010,4010,1603:45:16:558:0,1603:45:16:558:1:40,1603:45:16:558:2:4010,Río Blanco,NI4010,Rio Blanco,,,Matagalpa,NI40,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:4015,4015,1603:45:16:558:0,1603:45:16:558:1:40,1603:45:16:558:2:4015,El Tuma - La Dalia,NI4015,,,,Matagalpa,NI40,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:4020,4020,1603:45:16:558:0,1603:45:16:558:1:40,1603:45:16:558:2:4020,San Isidro,NI4020,,,,Matagalpa,NI40,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:4025,4025,1603:45:16:558:0,1603:45:16:558:1:40,1603:45:16:558:2:4025,Sébaco,NI4025,Sebaco,,,Matagalpa,NI40,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:4030,4030,1603:45:16:558:0,1603:45:16:558:1:40,1603:45:16:558:2:4030,Matagalpa,NI4030,,,,Matagalpa,NI40,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:4035,4035,1603:45:16:558:0,1603:45:16:558:1:40,1603:45:16:558:2:4035,San Ramón,NI4035,San Ramon,,,Matagalpa,NI40,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:4040,4040,1603:45:16:558:0,1603:45:16:558:1:40,1603:45:16:558:2:4040,Matiguás,NI4040,Matiguas,,,Matagalpa,NI40,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:4045,4045,1603:45:16:558:0,1603:45:16:558:1:40,1603:45:16:558:2:4045,Muy Muy,NI4045,,,,Matagalpa,NI40,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:4050,4050,1603:45:16:558:0,1603:45:16:558:1:40,1603:45:16:558:2:4050,Esquipulas,NI4050,,,,Matagalpa,NI40,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:4055,4055,1603:45:16:558:0,1603:45:16:558:1:40,1603:45:16:558:2:4055,San Dionisio,NI4055,,,,Matagalpa,NI40,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:4060,4060,1603:45:16:558:0,1603:45:16:558:1:40,1603:45:16:558:2:4060,Terrabona,NI4060,,,,Matagalpa,NI40,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:4065,4065,1603:45:16:558:0,1603:45:16:558:1:40,1603:45:16:558:2:4065,Ciudad Darío,NI4065,Ciudad Dario,,,Matagalpa,NI40,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:5005,5005,1603:45:16:558:0,1603:45:16:558:1:50,1603:45:16:558:2:5005,San José de Los Remates,NI5005,San Jose de Los Remates,,,Boaco,NI50,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:5010,5010,1603:45:16:558:0,1603:45:16:558:1:50,1603:45:16:558:2:5010,Boaco,NI5010,,,,Boaco,NI50,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:5015,5015,1603:45:16:558:0,1603:45:16:558:1:50,1603:45:16:558:2:5015,Camoapa,NI5015,,,,Boaco,NI50,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:5020,5020,1603:45:16:558:0,1603:45:16:558:1:50,1603:45:16:558:2:5020,Santa Lucía,NI5020,Santa Lucia,,,Boaco,NI50,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:5025,5025,1603:45:16:558:0,1603:45:16:558:1:50,1603:45:16:558:2:5025,Teustepe,NI5025,,,,Boaco,NI50,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:5030,5030,1603:45:16:558:0,1603:45:16:558:1:50,1603:45:16:558:2:5030,San Lorenzo,NI5030,,,,Boaco,NI50,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:5500,5500,1603:45:16:558:0,1603:45:16:558:1:55,1603:45:16:558:2:5500,Mateare,NI5500,,,,Managua,NI55,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:5505,5505,1603:45:16:558:0,1603:45:16:558:1:55,1603:45:16:558:2:5505,San Francisco Libre,NI5505,,,,Managua,NI55,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:5510,5510,1603:45:16:558:0,1603:45:16:558:1:55,1603:45:16:558:2:5510,Tipitapa,NI5510,,,,Managua,NI55,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:5520,5520,1603:45:16:558:0,1603:45:16:558:1:55,1603:45:16:558:2:5520,Villa El Carmen,NI5520,,,,Managua,NI55,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:5525,5525,1603:45:16:558:0,1603:45:16:558:1:55,1603:45:16:558:2:5525,Managua,NI5525,,,,Managua,NI55,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:5530,5530,1603:45:16:558:0,1603:45:16:558:1:55,1603:45:16:558:2:5530,Ticuantepe,NI5530,,,,Managua,NI55,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:5535,5535,1603:45:16:558:0,1603:45:16:558:1:55,1603:45:16:558:2:5535,San Rafael del Sur,NI5535,,,,Managua,NI55,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:5540,5540,1603:45:16:558:0,1603:45:16:558:1:55,1603:45:16:558:2:5540,Ciudad Sandino,NI5540,,,,Managua,NI55,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:5545,5545,1603:45:16:558:0,1603:45:16:558:1:55,1603:45:16:558:2:5545,El Crucero,NI5545,,,,Managua,NI55,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:6005,6005,1603:45:16:558:0,1603:45:16:558:1:60,1603:45:16:558:2:6005,Nindirí,NI6005,Nindiri,,,Masaya,NI60,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:6010,6010,1603:45:16:558:0,1603:45:16:558:1:60,1603:45:16:558:2:6010,Masaya,NI6010,,,,Masaya,NI60,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:6015,6015,1603:45:16:558:0,1603:45:16:558:1:60,1603:45:16:558:2:6015,Tisma,NI6015,,,,Masaya,NI60,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:6020,6020,1603:45:16:558:0,1603:45:16:558:1:60,1603:45:16:558:2:6020,La Concepción,NI6020,La Concepcion,,,Masaya,NI60,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:6025,6025,1603:45:16:558:0,1603:45:16:558:1:60,1603:45:16:558:2:6025,Masatepe,NI6025,,,,Masaya,NI60,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:6030,6030,1603:45:16:558:0,1603:45:16:558:1:60,1603:45:16:558:2:6030,Nandasmo,NI6030,,,,Masaya,NI60,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:6035,6035,1603:45:16:558:0,1603:45:16:558:1:60,1603:45:16:558:2:6035,Catarina,NI6035,,,,Masaya,NI60,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:6040,6040,1603:45:16:558:0,1603:45:16:558:1:60,1603:45:16:558:2:6040,San Juan de Oriente,NI6040,,,,Masaya,NI60,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:6045,6045,1603:45:16:558:0,1603:45:16:558:1:60,1603:45:16:558:2:6045,Niquinohomo,NI6045,,,,Masaya,NI60,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:6505,6505,1603:45:16:558:0,1603:45:16:558:1:65,1603:45:16:558:2:6505,Comalapa,NI6505,,,,Chontales,NI65,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:6510,6510,1603:45:16:558:0,1603:45:16:558:1:65,1603:45:16:558:2:6510,Juigalpa,NI6510,,,,Chontales,NI65,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:6515,6515,1603:45:16:558:0,1603:45:16:558:1:65,1603:45:16:558:2:6515,La Libertad,NI6515,,,,Chontales,NI65,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:6520,6520,1603:45:16:558:0,1603:45:16:558:1:65,1603:45:16:558:2:6520,Santo Domingo,NI6520,,,,Chontales,NI65,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:6525,6525,1603:45:16:558:0,1603:45:16:558:1:65,1603:45:16:558:2:6525,Santo Tomás,NI6525,Santo Tomas,,,Chontales,NI65,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:6530,6530,1603:45:16:558:0,1603:45:16:558:1:65,1603:45:16:558:2:6530,San Pedro de Lóvago,NI6530,San Pedro de Lovago,,,Chontales,NI65,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:6535,6535,1603:45:16:558:0,1603:45:16:558:1:65,1603:45:16:558:2:6535,Acoyapa,NI6535,,,,Chontales,NI65,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:6540,6540,1603:45:16:558:0,1603:45:16:558:1:65,1603:45:16:558:2:6540,Villa Sandino,NI6540,,,,Chontales,NI65,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:6545,6545,1603:45:16:558:0,1603:45:16:558:1:65,1603:45:16:558:2:6545,San Francisco de Cuapa,NI6545,,,,Chontales,NI65,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:6550,6550,1603:45:16:558:0,1603:45:16:558:1:65,1603:45:16:558:2:6550,El Coral,NI6550,,,,Chontales,NI65,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:7005,7005,1603:45:16:558:0,1603:45:16:558:1:70,1603:45:16:558:2:7005,Diriá,NI7005,Diria,,,Granada,NI70,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:7010,7010,1603:45:16:558:0,1603:45:16:558:1:70,1603:45:16:558:2:7010,Diriomo,NI7010,,,,Granada,NI70,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:7015,7015,1603:45:16:558:0,1603:45:16:558:1:70,1603:45:16:558:2:7015,Granada,NI7015,,,,Granada,NI70,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:7020,7020,1603:45:16:558:0,1603:45:16:558:1:70,1603:45:16:558:2:7020,Nandaime,NI7020,,,,Granada,NI70,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:7505,7505,1603:45:16:558:0,1603:45:16:558:1:75,1603:45:16:558:2:7505,San Marcos,NI7505,,,,Carazo,NI75,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:7510,7510,1603:45:16:558:0,1603:45:16:558:1:75,1603:45:16:558:2:7510,Jinotepe,NI7510,,,,Carazo,NI75,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:7515,7515,1603:45:16:558:0,1603:45:16:558:1:75,1603:45:16:558:2:7515,Dolores,NI7515,,,,Carazo,NI75,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:7520,7520,1603:45:16:558:0,1603:45:16:558:1:75,1603:45:16:558:2:7520,Diriamba,NI7520,,,,Carazo,NI75,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:7525,7525,1603:45:16:558:0,1603:45:16:558:1:75,1603:45:16:558:2:7525,El Rosario,NI7525,,,,Carazo,NI75,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:7530,7530,1603:45:16:558:0,1603:45:16:558:1:75,1603:45:16:558:2:7530,La Paz de Carazo,NI7530,,,,Carazo,NI75,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:7535,7535,1603:45:16:558:0,1603:45:16:558:1:75,1603:45:16:558:2:7535,Santa Teresa,NI7535,,,,Carazo,NI75,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:7540,7540,1603:45:16:558:0,1603:45:16:558:1:75,1603:45:16:558:2:7540,La Conquista,NI7540,,,,Carazo,NI75,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:8005,8005,1603:45:16:558:0,1603:45:16:558:1:80,1603:45:16:558:2:8005,Tola,NI8005,,,,Rivas,NI80,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:8010,8010,1603:45:16:558:0,1603:45:16:558:1:80,1603:45:16:558:2:8010,Belén,NI8010,Belen,,,Rivas,NI80,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:8015,8015,1603:45:16:558:0,1603:45:16:558:1:80,1603:45:16:558:2:8015,Potosí,NI8015,Potosi,,,Rivas,NI80,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:8020,8020,1603:45:16:558:0,1603:45:16:558:1:80,1603:45:16:558:2:8020,Buenos Aires,NI8020,,,,Rivas,NI80,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:8025,8025,1603:45:16:558:0,1603:45:16:558:1:80,1603:45:16:558:2:8025,Moyogalpa,NI8025,,,,Rivas,NI80,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:8030,8030,1603:45:16:558:0,1603:45:16:558:1:80,1603:45:16:558:2:8030,Altagracia,NI8030,,,,Rivas,NI80,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:8035,8035,1603:45:16:558:0,1603:45:16:558:1:80,1603:45:16:558:2:8035,San Jorge,NI8035,,,,Rivas,NI80,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:8040,8040,1603:45:16:558:0,1603:45:16:558:1:80,1603:45:16:558:2:8040,Rivas,NI8040,,,,Rivas,NI80,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:2:8045,8045,1603:45:16:558:0,1603:45:16:558:1:80,1603:45:16:558:2:8045,San Juan del Sur,NI8045,,,,Rivas,NI80,Nicaragua,NI,2017-10-11,2021-09-28,
