qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,eng-Latn-r-pSKOS-pprefLabel-ps5002,ara-Arab-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,ara-Arab-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,ara-Arab-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:818:2:140,140,1603:45:16:818:0,1603:45:16:818:1:1,1603:45:16:818:2:140,Shroq,قسم الشروق,EG0140,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:141,141,1603:45:16:818:0,1603:45:16:818:1:1,1603:45:16:818:2:141,Badr,قسم بدر,EG0141,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:200,200,1603:45:16:818:0,1603:45:16:818:1:2,1603:45:16:818:2:200,Zemam Out,خارج الزمام,EG0200,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:201,201,1603:45:16:818:0,1603:45:16:818:1:2,1603:45:16:818:2:201,Muntazah,قسم  المنتزة,EG0201,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:202,202,1603:45:16:818:0,1603:45:16:818:1:2,1603:45:16:818:2:202,Al Raml,قسم أول الرمل,EG0202,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:203,203,1603:45:16:818:0,1603:45:16:818:1:2,1603:45:16:818:2:203,Sidi Gabir,قسم  سيدى جابر,EG0203,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:204,204,1603:45:16:818:0,1603:45:16:818:1:2,1603:45:16:818:2:204,Bab Sharqi,قسم  باب شرقى,EG0204,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:205,205,1603:45:16:818:0,1603:45:16:818:1:2,1603:45:16:818:2:205,Muharam Bik,قسم  محرم بك,EG0205,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:206,206,1603:45:16:818:0,1603:45:16:818:1:2,1603:45:16:818:2:206,Al Attarin,قسم  العطارين,EG0206,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:207,207,1603:45:16:818:0,1603:45:16:818:1:2,1603:45:16:818:2:207,Al Manshiyya,قسم  المنشية,EG0207,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:208,208,1603:45:16:818:0,1603:45:16:818:1:2,1603:45:16:818:2:208,Karmuz,قسم  كرموز,EG0208,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:209,209,1603:45:16:818:0,1603:45:16:818:1:2,1603:45:16:818:2:209,A L Labban,قسم  اللبان,EG0209,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:210,210,1603:45:16:818:0,1603:45:16:818:1:2,1603:45:16:818:2:210,Al Gumruk,قسم  الجمرك,EG0210,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:211,211,1603:45:16:818:0,1603:45:16:818:1:2,1603:45:16:818:2:211,Mina Al-Basal,قسم  مينا البصل,EG0211,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:212,212,1603:45:16:818:0,1603:45:16:818:1:2,1603:45:16:818:2:212,Al Dikhila,قسم  الدخيلة,EG0212,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,2017-08-14,2020-12-01,
