#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_sqi+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_sqi+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_sqi+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_sqi+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_sqi+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:8:2:302,302,1603:45:16:8:0,1603:45:16:8:1:3,1603:45:16:8:2:302,Bashkia Kruje,Bashkia Krujë,AL0302,,,,,,Durres,Durrës,AL03,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:303,303,1603:45:16:8:0,1603:45:16:8:1:3,1603:45:16:8:2:303,Bashkia Shijak,Bashkia Shijak,AL0303,,,,,,Durres,Durrës,AL03,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:401,401,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:401,Bashkia Belsh,Bashkia Belsh,AL0401,,,,,,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:402,402,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:402,Bashkia Cerrik,Bashkia Cërrik,AL0402,,,,,,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:403,403,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:403,Bashkia Elbasan,Bashkia Elbasan,AL0403,,,,,,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:404,404,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:404,Bashkia Gramsh,Bashkia Gramsh,AL0404,,,,,,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:405,405,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:405,Bashkia Librazhd,Bashkia Librazhd,AL0405,,,,,,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:406,406,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:406,Bashkia Peqin,Bashkia Peqin,AL0406,,,,,,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:407,407,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:407,Bashkia Prrenjas,Bashkia Prrenjas,AL0407,,,,,,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:501,501,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:501,Bashkia Divjake,Bashkia Divjakë,AL0501,,,,,,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:502,502,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:502,Bashkia Fier,Bashkia Fier,AL0502,,,,,,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:503,503,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:503,Bashkia Lushnje,Bashkia Lushnjës,AL0503,,,,,,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:504,504,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:504,Bashkia Mallakaster,Bashkia Mallakastrës,AL0504,,,,,,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:505,505,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:505,Bashkia Patos,Bashkia Patos,AL0505,,,,,,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:506,506,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:506,Bashkia Roskovec,Bashkia Roskovec,AL0506,,,,,,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:601,601,1603:45:16:8:0,1603:45:16:8:1:6,1603:45:16:8:2:601,Bashkia Dropull,Bashkia Dropull,AL0601,,,,,,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:602,602,1603:45:16:8:0,1603:45:16:8:1:6,1603:45:16:8:2:602,Bashkia Gjirokaster,Bashkia Gjirokastër,AL0602,,,,,,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:603,603,1603:45:16:8:0,1603:45:16:8:1:6,1603:45:16:8:2:603,Bashkia Kelcyre,Bashkia Këlcyrë,AL0603,,,,,,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:604,604,1603:45:16:8:0,1603:45:16:8:1:6,1603:45:16:8:2:604,Bashkia Libohove,Bashkia Libohovë,AL0604,,,,,,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:605,605,1603:45:16:8:0,1603:45:16:8:1:6,1603:45:16:8:2:605,Bashkia Memaliaj,Bashkia Memaliaj,AL0605,,,,,,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:606,606,1603:45:16:8:0,1603:45:16:8:1:6,1603:45:16:8:2:606,Bashkia Permet,Bashkia Përmet,AL0606,,,,,,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:607,607,1603:45:16:8:0,1603:45:16:8:1:6,1603:45:16:8:2:607,Bashkia Tepelene,Bashkia Tepelenë,AL0607,,,,,,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:701,701,1603:45:16:8:0,1603:45:16:8:1:7,1603:45:16:8:2:701,Bashkia Devoll,Bashkia Devollit,AL0701,,,,,,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:702,702,1603:45:16:8:0,1603:45:16:8:1:7,1603:45:16:8:2:702,Bashkia Kolonje,Bashkia Kolonjës,AL0702,,,,,,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:703,703,1603:45:16:8:0,1603:45:16:8:1:7,1603:45:16:8:2:703,Bashkia Korce,Bashkia Korçë,AL0703,,,,,,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:704,704,1603:45:16:8:0,1603:45:16:8:1:7,1603:45:16:8:2:704,Bashkia Maliq,Bashkia Maliq,AL0704,,,,,,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:705,705,1603:45:16:8:0,1603:45:16:8:1:7,1603:45:16:8:2:705,Bashkia Pogradec,Bashkia Pogradec,AL0705,,,,,,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:706,706,1603:45:16:8:0,1603:45:16:8:1:7,1603:45:16:8:2:706,Bashkia Pustec,Bashkia Pustec,AL0706,,,,,,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:801,801,1603:45:16:8:0,1603:45:16:8:1:8,1603:45:16:8:2:801,Bashkia Krume,Bashkia Krumë,AL0801,,,,,,Kukes,Kukës,AL08,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:802,802,1603:45:16:8:0,1603:45:16:8:1:8,1603:45:16:8:2:802,Bashkia Kukes,Bashkia Kukës,AL0802,,,,,,Kukes,Kukës,AL08,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:803,803,1603:45:16:8:0,1603:45:16:8:1:8,1603:45:16:8:2:803,Bashkia Tropoje,Bashkia Topojë,AL0803,,,,,,Kukes,Kukës,AL08,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:901,901,1603:45:16:8:0,1603:45:16:8:1:9,1603:45:16:8:2:901,Bashkia Kurbin,Bashkia Kurbinit,AL0901,,,,,,Lezhe,Lezhë,AL09,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:902,902,1603:45:16:8:0,1603:45:16:8:1:9,1603:45:16:8:2:902,Bashkia Lezhe,Bashkia Lezhë,AL0902,,,,,,Lezhe,Lezhë,AL09,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:903,903,1603:45:16:8:0,1603:45:16:8:1:9,1603:45:16:8:2:903,Bashkia Mirdite,Bashkia Mirditës,AL0903,,,,,,Lezhe,Lezhë,AL09,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:1001,1001,1603:45:16:8:0,1603:45:16:8:1:10,1603:45:16:8:2:1001,Bashkia Fushe Arrez,Bashkia Fushë Arrëz,AL1001,,,,,,Shkoder,Shkodër,AL10,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:1002,1002,1603:45:16:8:0,1603:45:16:8:1:10,1603:45:16:8:2:1002,Bashkia Malesi e Madhe,Bashkia Malësi e Madhe,AL1002,,,,,,Shkoder,Shkodër,AL10,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:1003,1003,1603:45:16:8:0,1603:45:16:8:1:10,1603:45:16:8:2:1003,Bashkia Puke,Bashkia Pukë,AL1003,,,,,,Shkoder,Shkodër,AL10,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:1004,1004,1603:45:16:8:0,1603:45:16:8:1:10,1603:45:16:8:2:1004,Bashkia Shkoder,Bashkia Shkodër,AL1004,,,,,,Shkoder,Shkodër,AL10,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:1005,1005,1603:45:16:8:0,1603:45:16:8:1:10,1603:45:16:8:2:1005,Bashkia Vau Dejes,Bashkia Vau i Dejës,AL1005,,,,,,Shkoder,Shkodër,AL10,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:1101,1101,1603:45:16:8:0,1603:45:16:8:1:11,1603:45:16:8:2:1101,Bashkia Kamez,Bashkia Kavajë,AL1101,,,,,,Tirane,Tiranë,AL11,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:1102,1102,1603:45:16:8:0,1603:45:16:8:1:11,1603:45:16:8:2:1102,Bashkia Kavaje,Bashkia Kavajë,AL1102,,,,,,Tirane,Tiranë,AL11,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:1103,1103,1603:45:16:8:0,1603:45:16:8:1:11,1603:45:16:8:2:1103,Bashkia Rrogozhine,Bashkia Rrogozhinë,AL1103,,,,,,Tirane,Tiranë,AL11,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:1104,1104,1603:45:16:8:0,1603:45:16:8:1:11,1603:45:16:8:2:1104,Bashkia Vore,Bashkia Vorë,AL1104,,,,,,Tirane,Tiranë,AL11,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:1105,1105,1603:45:16:8:0,1603:45:16:8:1:11,1603:45:16:8:2:1105,Tirana Municipally,Tiranë Municipally,AL1105,,,,,,Tirane,Tiranë,AL11,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:1201,1201,1603:45:16:8:0,1603:45:16:8:1:12,1603:45:16:8:2:1201,Bashkia Delvine,Bashkia Delvinë,AL1201,,,,,,Vlore,Vlorë,AL12,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:1202,1202,1603:45:16:8:0,1603:45:16:8:1:12,1603:45:16:8:2:1202,Bashkia Finiq,Bashkia Finiq,AL1202,,,,,,Vlore,Vlorë,AL12,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:1203,1203,1603:45:16:8:0,1603:45:16:8:1:12,1603:45:16:8:2:1203,Bashkia Himare,Bashkia Himarë,AL1203,,,,,,Vlore,Vlorë,AL12,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:1204,1204,1603:45:16:8:0,1603:45:16:8:1:12,1603:45:16:8:2:1204,Bashkia Konispol,Bashkia Konispol,AL1204,,,,,,Vlore,Vlorë,AL12,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:1205,1205,1603:45:16:8:0,1603:45:16:8:1:12,1603:45:16:8:2:1205,Bashkia Sarande,Bashkia Sarandë,AL1205,,,,,,Vlore,Vlorë,AL12,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:1206,1206,1603:45:16:8:0,1603:45:16:8:1:12,1603:45:16:8:2:1206,Bashkia Selenice,Bashkia Selenicë,AL1206,,,,,,Vlore,Vlorë,AL12,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:2:1207,1207,1603:45:16:8:0,1603:45:16:8:1:12,1603:45:16:8:2:1207,Bashkia Vlore,Bashkia Vlorë,AL1207,,,,,,Vlore,Vlorë,AL12,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
