#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm2+name+i_fra+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_fra+is_latn,#adm2+name+alt2+i_fra+is_latn,#adm1+name+i_fra+is_latn,#adm1+code+v_pcode,#country+name+i_fra+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:466:2:703,703,Gao,ML0703,,,,Gao,ML07,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:801,801,Abeibara,ML0801,,,,Kidal,ML08,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:802,802,Kidal,ML0802,,,,Kidal,ML08,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:803,803,Tessalit,ML0803,,,,Kidal,ML08,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:804,804,Tin-Essako,ML0804,,,,Kidal,ML08,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:901,901,Bamako,ML0901,,,,Bamako,ML09,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:1001,1001,Ménaka,ML1001,Menaka,,,Menaka,ML10,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:1002,1002,Anderamboukane,ML1002,,,,Menaka,ML10,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:1003,1003,Inekar,ML1003,,,,Menaka,ML10,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:1004,1004,Tidermene,ML1004,,,,Menaka,ML10,Mali (le),ML,2015-06-01,2021-12-23,
