#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:466:2:602,602,1603:45:16:466:0,1603:45:16:466:1:6,1603:45:16:466:2:602,Goundam,ML0602,,,,Tombouctou,ML06,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:603,603,1603:45:16:466:0,1603:45:16:466:1:6,1603:45:16:466:2:603,Gourma-Rharous,ML0603,,,,Tombouctou,ML06,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:604,604,1603:45:16:466:0,1603:45:16:466:1:6,1603:45:16:466:2:604,Niafunké,ML0604,Niafunke,,,Tombouctou,ML06,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:605,605,1603:45:16:466:0,1603:45:16:466:1:6,1603:45:16:466:2:605,Tombouctou,ML0605,,,,Tombouctou,ML06,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:701,701,1603:45:16:466:0,1603:45:16:466:1:7,1603:45:16:466:2:701,Ansongo,ML0701,,,,Gao,ML07,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:702,702,1603:45:16:466:0,1603:45:16:466:1:7,1603:45:16:466:2:702,Bourem,ML0702,,,,Gao,ML07,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:703,703,1603:45:16:466:0,1603:45:16:466:1:7,1603:45:16:466:2:703,Gao,ML0703,,,,Gao,ML07,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:801,801,1603:45:16:466:0,1603:45:16:466:1:8,1603:45:16:466:2:801,Abeibara,ML0801,,,,Kidal,ML08,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:802,802,1603:45:16:466:0,1603:45:16:466:1:8,1603:45:16:466:2:802,Kidal,ML0802,,,,Kidal,ML08,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:803,803,1603:45:16:466:0,1603:45:16:466:1:8,1603:45:16:466:2:803,Tessalit,ML0803,,,,Kidal,ML08,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:804,804,1603:45:16:466:0,1603:45:16:466:1:8,1603:45:16:466:2:804,Tin-Essako,ML0804,,,,Kidal,ML08,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:901,901,1603:45:16:466:0,1603:45:16:466:1:9,1603:45:16:466:2:901,Bamako,ML0901,,,,Bamako,ML09,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:1001,1001,1603:45:16:466:0,1603:45:16:466:1:10,1603:45:16:466:2:1001,Ménaka,ML1001,Menaka,,,Menaka,ML10,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:1002,1002,1603:45:16:466:0,1603:45:16:466:1:10,1603:45:16:466:2:1002,Anderamboukane,ML1002,,,,Menaka,ML10,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:1003,1003,1603:45:16:466:0,1603:45:16:466:1:10,1603:45:16:466:2:1003,Inekar,ML1003,,,,Menaka,ML10,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:2:1004,1004,1603:45:16:466:0,1603:45:16:466:1:10,1603:45:16:466:2:1004,Tidermene,ML1004,,,,Menaka,ML10,Mali (le),ML,2015-06-01,2021-12-23,
