#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm3+code+v_numerodinatio,#adm4+code+v_numerodinatio,#adm4+name+i_spa+is_latn,#adm4+code+v_pcode,#adm4+name,#adm4+name+alt1+i_spa+is_latn,#adm4+name+alt2+i_spa+is_latn,#adm3+name+i_spa+is_latn,#adm3+code+v_pcode,#adm2+name+i_spa+is_latn,#adm2+code+v_pcode,#adm1+name+i_spa+is_latn,#adm1+code+v_pcode,#country+name+i_spa+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:214:4:1010501,1010501,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:101,1603:45:16:214:3:10105,1603:45:16:214:4:1010501,Villa Riva,DO01010501,,,,Municipio Villa Riva,DO010105,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:1010502,1010502,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:101,1603:45:16:214:3:10105,1603:45:16:214:4:1010502,Agua Santa del Yuna (D.M.),DO01010502,,,,Municipio Villa Riva,DO010105,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:1010503,1010503,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:101,1603:45:16:214:3:10105,1603:45:16:214:4:1010503,Cristo Rey de Guaraguao (D.M.),DO01010503,,,,Municipio Villa Riva,DO010105,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:1010504,1010504,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:101,1603:45:16:214:3:10105,1603:45:16:214:4:1010504,Las Taranas (D.M.),DO01010504,,,,Municipio Villa Riva,DO010105,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:1010505,1010505,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:101,1603:45:16:214:3:10105,1603:45:16:214:4:1010505,Barraquito (D.M.),DO01010505,,,,Municipio Villa Riva,DO010105,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:1010601,1010601,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:101,1603:45:16:214:3:10106,1603:45:16:214:4:1010601,Las Guáranas,DO01010601,Las Guaranas,,,Municipio Las Guáranas,DO010106,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:1010701,1010701,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:101,1603:45:16:214:3:10107,1603:45:16:214:4:1010701,Eugenio María de Hostos,DO01010701,Eugenio Maria de Hostos,,,Municipio Eugenio María de Hostos,DO010107,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:1010702,1010702,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:101,1603:45:16:214:3:10107,1603:45:16:214:4:1010702,Sabana Grande (D.M.),DO01010702,,,,Municipio Eugenio María de Hostos,DO010107,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:1020101,1020101,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:102,1603:45:16:214:3:10201,1603:45:16:214:4:1020101,Salcedo,DO01020101,,,,Municipio Salcedo,DO010201,Provincia Hermanas Mirabal,DO0102,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:1020102,1020102,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:102,1603:45:16:214:3:10201,1603:45:16:214:4:1020102,Jamao Afuera (D.M.),DO01020102,,,,Municipio Salcedo,DO010201,Provincia Hermanas Mirabal,DO0102,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:1020201,1020201,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:102,1603:45:16:214:3:10202,1603:45:16:214:4:1020201,Tenares,DO01020201,,,,Municipio Tenares,DO010202,Provincia Hermanas Mirabal,DO0102,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:1020202,1020202,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:102,1603:45:16:214:3:10202,1603:45:16:214:4:1020202,Blanco (D.M.),DO01020202,,,,Municipio Tenares,DO010202,Provincia Hermanas Mirabal,DO0102,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:1020301,1020301,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:102,1603:45:16:214:3:10203,1603:45:16:214:4:1020301,Villa Tapia,DO01020301,,,,Municipio Villa Tapia,DO010203,Provincia Hermanas Mirabal,DO0102,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:1030101,1030101,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:103,1603:45:16:214:3:10301,1603:45:16:214:4:1030101,Nagua,DO01030101,,,,Municipio Nagua,DO010301,Provincia María Trinidad Sánchez,DO0103,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:1030102,1030102,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:103,1603:45:16:214:3:10301,1603:45:16:214:4:1030102,San José de Matanzas (D.M.),DO01030102,San Jose de Matanzas (D.M.),,,Municipio Nagua,DO010301,Provincia María Trinidad Sánchez,DO0103,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:1030103,1030103,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:103,1603:45:16:214:3:10301,1603:45:16:214:4:1030103,Las Gordas (D.M.),DO01030103,,,,Municipio Nagua,DO010301,Provincia María Trinidad Sánchez,DO0103,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:1030104,1030104,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:103,1603:45:16:214:3:10301,1603:45:16:214:4:1030104,Arroyo al Medio (D.M.),DO01030104,,,,Municipio Nagua,DO010301,Provincia María Trinidad Sánchez,DO0103,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:1030201,1030201,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:103,1603:45:16:214:3:10302,1603:45:16:214:4:1030201,Cabrera,DO01030201,,,,Municipio Cabrera,DO010302,Provincia María Trinidad Sánchez,DO0103,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:1030202,1030202,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:103,1603:45:16:214:3:10302,1603:45:16:214:4:1030202,Arroyo Salado (D.M.),DO01030202,,,,Municipio Cabrera,DO010302,Provincia María Trinidad Sánchez,DO0103,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:1030203,1030203,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:103,1603:45:16:214:3:10302,1603:45:16:214:4:1030203,La Entrada (D.M.),DO01030203,,,,Municipio Cabrera,DO010302,Provincia María Trinidad Sánchez,DO0103,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:1030301,1030301,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:103,1603:45:16:214:3:10303,1603:45:16:214:4:1030301,El Factor,DO01030301,,,,Municipio El Factor,DO010303,Provincia María Trinidad Sánchez,DO0103,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:1030302,1030302,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:103,1603:45:16:214:3:10303,1603:45:16:214:4:1030302,El Pozo (D.M.),DO01030302,,,,Municipio El Factor,DO010303,Provincia María Trinidad Sánchez,DO0103,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:1030401,1030401,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:103,1603:45:16:214:3:10304,1603:45:16:214:4:1030401,Río San Juan,DO01030401,Rio San Juan,,,Municipio Río San Juan,DO010304,Provincia María Trinidad Sánchez,DO0103,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:1040101,1040101,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:104,1603:45:16:214:3:10401,1603:45:16:214:4:1040101,Samaná,DO01040101,Samana,,,Municipio Samaná,DO010401,Provincia Samaná,DO0104,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:1040102,1040102,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:104,1603:45:16:214:3:10401,1603:45:16:214:4:1040102,El Limón (D.M.),DO01040102,El Limon (D.M.),,,Municipio Samaná,DO010401,Provincia Samaná,DO0104,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:1040103,1040103,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:104,1603:45:16:214:3:10401,1603:45:16:214:4:1040103,Arroyo Barril (D.M.),DO01040103,,,,Municipio Samaná,DO010401,Provincia Samaná,DO0104,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:1040104,1040104,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:104,1603:45:16:214:3:10401,1603:45:16:214:4:1040104,Las Galeras (D.M.),DO01040104,,,,Municipio Samaná,DO010401,Provincia Samaná,DO0104,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:1040201,1040201,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:104,1603:45:16:214:3:10402,1603:45:16:214:4:1040201,Sánchez,DO01040201,Sanchez,,,Municipio Sánchez,DO010402,Provincia Samaná,DO0104,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:1040301,1040301,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:104,1603:45:16:214:3:10403,1603:45:16:214:4:1040301,Las Terrenas,DO01040301,,,,Municipio Las Terrenas,DO010403,Provincia Samaná,DO0104,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:2010101,2010101,1603:45:16:214:0,1603:45:16:214:1:2,1603:45:16:214:2:201,1603:45:16:214:3:20101,1603:45:16:214:4:2010101,Dajabón,DO02010101,Dajabon,,,Municipio Dajabón,DO020101,Provincia Dajabón,DO0201,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:2010102,2010102,1603:45:16:214:0,1603:45:16:214:1:2,1603:45:16:214:2:201,1603:45:16:214:3:20101,1603:45:16:214:4:2010102,Cañongo (D.M.),DO02010102,Canongo (D.M.),,,Municipio Dajabón,DO020101,Provincia Dajabón,DO0201,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:2010201,2010201,1603:45:16:214:0,1603:45:16:214:1:2,1603:45:16:214:2:201,1603:45:16:214:3:20102,1603:45:16:214:4:2010201,Loma de Cabrera,DO02010201,,,,Municipio Loma de Cabrera,DO020102,Provincia Dajabón,DO0201,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:2010202,2010202,1603:45:16:214:0,1603:45:16:214:1:2,1603:45:16:214:2:201,1603:45:16:214:3:20102,1603:45:16:214:4:2010202,Capotillo (D.M.),DO02010202,,,,Municipio Loma de Cabrera,DO020102,Provincia Dajabón,DO0201,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:2010203,2010203,1603:45:16:214:0,1603:45:16:214:1:2,1603:45:16:214:2:201,1603:45:16:214:3:20102,1603:45:16:214:4:2010203,Santiago de la Cruz (D.M.),DO02010203,,,,Municipio Loma de Cabrera,DO020102,Provincia Dajabón,DO0201,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:2010301,2010301,1603:45:16:214:0,1603:45:16:214:1:2,1603:45:16:214:2:201,1603:45:16:214:3:20103,1603:45:16:214:4:2010301,Partido,DO02010301,,,,Municipio Partido,DO020103,Provincia Dajabón,DO0201,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:2010401,2010401,1603:45:16:214:0,1603:45:16:214:1:2,1603:45:16:214:2:201,1603:45:16:214:3:20104,1603:45:16:214:4:2010401,Restauración,DO02010401,Restauracion,,,Municipio Restauración,DO020104,Provincia Dajabón,DO0201,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:2010501,2010501,1603:45:16:214:0,1603:45:16:214:1:2,1603:45:16:214:2:201,1603:45:16:214:3:20105,1603:45:16:214:4:2010501,El Pino,DO02010501,,,,Municipio El Pino,DO020105,Provincia Dajabón,DO0201,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:2010502,2010502,1603:45:16:214:0,1603:45:16:214:1:2,1603:45:16:214:2:201,1603:45:16:214:3:20105,1603:45:16:214:4:2010502,Manuel Bueno (D.M.),DO02010502,,,,Municipio El Pino,DO020105,Provincia Dajabón,DO0201,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:2020101,2020101,1603:45:16:214:0,1603:45:16:214:1:2,1603:45:16:214:2:202,1603:45:16:214:3:20201,1603:45:16:214:4:2020101,Monte Cristi,DO02020101,,,,Municipio Monte Cristi,DO020201,Provincia Monte Cristi,DO0202,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:2020201,2020201,1603:45:16:214:0,1603:45:16:214:1:2,1603:45:16:214:2:202,1603:45:16:214:3:20202,1603:45:16:214:4:2020201,Castañuelas,DO02020201,Castanuelas,,,Municipio Castañuelas,DO020202,Provincia Monte Cristi,DO0202,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:2020202,2020202,1603:45:16:214:0,1603:45:16:214:1:2,1603:45:16:214:2:202,1603:45:16:214:3:20202,1603:45:16:214:4:2020202,Palo Verde (D.M.),DO02020202,,,,Municipio Castañuelas,DO020202,Provincia Monte Cristi,DO0202,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:2020301,2020301,1603:45:16:214:0,1603:45:16:214:1:2,1603:45:16:214:2:202,1603:45:16:214:3:20203,1603:45:16:214:4:2020301,Guayubín,DO02020301,Guayubin,,,Municipio Guayubín,DO020203,Provincia Monte Cristi,DO0202,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:2020302,2020302,1603:45:16:214:0,1603:45:16:214:1:2,1603:45:16:214:2:202,1603:45:16:214:3:20203,1603:45:16:214:4:2020302,Villa Elisa (D.M.),DO02020302,,,,Municipio Guayubín,DO020203,Provincia Monte Cristi,DO0202,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:2020303,2020303,1603:45:16:214:0,1603:45:16:214:1:2,1603:45:16:214:2:202,1603:45:16:214:3:20203,1603:45:16:214:4:2020303,Hatillo Palma (D.M.),DO02020303,,,,Municipio Guayubín,DO020203,Provincia Monte Cristi,DO0202,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:2020304,2020304,1603:45:16:214:0,1603:45:16:214:1:2,1603:45:16:214:2:202,1603:45:16:214:3:20203,1603:45:16:214:4:2020304,Cana Chapetón (D.M.),DO02020304,Cana Chapeton (D.M.),,,Municipio Guayubín,DO020203,Provincia Monte Cristi,DO0202,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:2020401,2020401,1603:45:16:214:0,1603:45:16:214:1:2,1603:45:16:214:2:202,1603:45:16:214:3:20204,1603:45:16:214:4:2020401,Las Matas de Santa Cruz,DO02020401,,,,Municipio Las Matas de Santa Cruz,DO020204,Provincia Monte Cristi,DO0202,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:2020501,2020501,1603:45:16:214:0,1603:45:16:214:1:2,1603:45:16:214:2:202,1603:45:16:214:3:20205,1603:45:16:214:4:2020501,Pepillo Salcedo (Manzanillo),DO02020501,,,,Municipio Pepillo Salcedo,DO020205,Provincia Monte Cristi,DO0202,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:2020601,2020601,1603:45:16:214:0,1603:45:16:214:1:2,1603:45:16:214:2:202,1603:45:16:214:3:20206,1603:45:16:214:4:2020601,Villa Vásquez,DO02020601,Villa Vasquez,,,Municipio Villa Vásquez,DO020206,Provincia Monte Cristi,DO0202,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:2030101,2030101,1603:45:16:214:0,1603:45:16:214:1:2,1603:45:16:214:2:203,1603:45:16:214:3:20301,1603:45:16:214:4:2030101,San Ignacio de Sabaneta,DO02030101,,,,Municipio San Ignacio de Sabaneta,DO020301,Provincia Santiago Rodríguez,DO0203,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:2030201,2030201,1603:45:16:214:0,1603:45:16:214:1:2,1603:45:16:214:2:203,1603:45:16:214:3:20302,1603:45:16:214:4:2030201,Villa Los Almácigos,DO02030201,Villa Los Almacigos,,,Municipio Villa Los Almácigos,DO020302,Provincia Santiago Rodríguez,DO0203,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:2030301,2030301,1603:45:16:214:0,1603:45:16:214:1:2,1603:45:16:214:2:203,1603:45:16:214:3:20303,1603:45:16:214:4:2030301,Monción,DO02030301,Moncion,,,Municipio Monción,DO020303,Provincia Santiago Rodríguez,DO0203,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:2040101,2040101,1603:45:16:214:0,1603:45:16:214:1:2,1603:45:16:214:2:204,1603:45:16:214:3:20401,1603:45:16:214:4:2040101,Mao,DO02040101,,,,Municipio Mao,DO020401,Provincia Valverde,DO0204,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:2040102,2040102,1603:45:16:214:0,1603:45:16:214:1:2,1603:45:16:214:2:204,1603:45:16:214:3:20401,1603:45:16:214:4:2040102,Amina (D.M.),DO02040102,,,,Municipio Mao,DO020401,Provincia Valverde,DO0204,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:2040103,2040103,1603:45:16:214:0,1603:45:16:214:1:2,1603:45:16:214:2:204,1603:45:16:214:3:20401,1603:45:16:214:4:2040103,Jaibón (Pueblo Nuevo) (D.M.),DO02040103,Jaibon (Pueblo Nuevo) (D.M.),,,Municipio Mao,DO020401,Provincia Valverde,DO0204,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:2040104,2040104,1603:45:16:214:0,1603:45:16:214:1:2,1603:45:16:214:2:204,1603:45:16:214:3:20401,1603:45:16:214:4:2040104,Guatapanal (D.M.),DO02040104,,,,Municipio Mao,DO020401,Provincia Valverde,DO0204,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:2040201,2040201,1603:45:16:214:0,1603:45:16:214:1:2,1603:45:16:214:2:204,1603:45:16:214:3:20402,1603:45:16:214:4:2040201,Esperanza,DO02040201,,,,Municipio Esperanza,DO020402,Provincia Valverde,DO0204,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:2040202,2040202,1603:45:16:214:0,1603:45:16:214:1:2,1603:45:16:214:2:204,1603:45:16:214:3:20402,1603:45:16:214:4:2040202,Maizal (D.M.),DO02040202,,,,Municipio Esperanza,DO020402,Provincia Valverde,DO0204,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:2040203,2040203,1603:45:16:214:0,1603:45:16:214:1:2,1603:45:16:214:2:204,1603:45:16:214:3:20402,1603:45:16:214:4:2040203,Jicomé (D.M.),DO02040203,Jicome (D.M.),,,Municipio Esperanza,DO020402,Provincia Valverde,DO0204,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:2040204,2040204,1603:45:16:214:0,1603:45:16:214:1:2,1603:45:16:214:2:204,1603:45:16:214:3:20402,1603:45:16:214:4:2040204,Boca de Mao (D.M.),DO02040204,,,,Municipio Esperanza,DO020402,Provincia Valverde,DO0204,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:2040205,2040205,1603:45:16:214:0,1603:45:16:214:1:2,1603:45:16:214:2:204,1603:45:16:214:3:20402,1603:45:16:214:4:2040205,Paradero (D.M.),DO02040205,,,,Municipio Esperanza,DO020402,Provincia Valverde,DO0204,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:2040301,2040301,1603:45:16:214:0,1603:45:16:214:1:2,1603:45:16:214:2:204,1603:45:16:214:3:20403,1603:45:16:214:4:2040301,Laguna Salada,DO02040301,,,,Municipio Laguna Salada,DO020403,Provincia Valverde,DO0204,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:4:2040302,2040302,1603:45:16:214:0,1603:45:16:214:1:2,1603:45:16:214:2:204,1603:45:16:214:3:20403,1603:45:16:214:4:2040302,Jaibón (D.M.),DO02040302,Jaibon (D.M.),,,Municipio Laguna Salada,DO020403,Provincia Valverde,DO0204,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
