#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5003,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:140:3:1111,1111,1603:45:16:140:0,1603:45:16:140:1:11,1603:45:16:140:2:111,1603:45:16:140:3:1111,Bimbo,CF1111,Bimbo,,,Bimbo,CF111,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:1214,1214,1603:45:16:140:0,1603:45:16:140:1:12,1603:45:16:140:2:121,1603:45:16:140:3:1214,Bogongo Gaza,CF1214,Bogongo Gaza,,,Mbaïki,CF121,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:1215,1215,1603:45:16:140:0,1603:45:16:140:1:12,1603:45:16:140:2:121,1603:45:16:140:3:1215,Léssé,CF1215,Lesse,,,Mbaïki,CF121,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:1216,1216,1603:45:16:140:0,1603:45:16:140:1:12,1603:45:16:140:2:121,1603:45:16:140:3:1216,Nola,CF1216,Nola,,,Mbaïki,CF121,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:1217,1217,1603:45:16:140:0,1603:45:16:140:1:12,1603:45:16:140:2:121,1603:45:16:140:3:1217,Moboma,CF1217,Moboma,,,Mbaïki,CF121,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:1218,1218,1603:45:16:140:0,1603:45:16:140:1:12,1603:45:16:140:2:121,1603:45:16:140:3:1218,Balé-Loko,CF1218,Bale-Loko,,,Mbaïki,CF121,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:1221,1221,1603:45:16:140:0,1603:45:16:140:1:12,1603:45:16:140:2:122,1603:45:16:140:3:1221,Mongoumba,CF1221,Mongoumba,,,Mongoumba,CF122,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:1232,1232,1603:45:16:140:0,1603:45:16:140:1:12,1603:45:16:140:2:123,1603:45:16:140:3:1232,Lobaye,CF1232,Lobaye,,,Boda,CF123,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:1241,1241,1603:45:16:140:0,1603:45:16:140:1:12,1603:45:16:140:2:124,1603:45:16:140:3:1241,Boganangone,CF1241,Boganangone,,,Boganangone,CF124,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:1251,1251,1603:45:16:140:0,1603:45:16:140:1:12,1603:45:16:140:2:125,1603:45:16:140:3:1251,Boganda,CF1251,Boganda,,,Boganda,CF125,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:2112,2112,1603:45:16:140:0,1603:45:16:140:1:21,1603:45:16:140:2:211,1603:45:16:140:3:2112,Haute-Batouri,CF2112,Haute-Batouri,,,Berbérati,CF211,Mambéré-Kadéï,CF21,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:2113,2113,1603:45:16:140:0,1603:45:16:140:1:21,1603:45:16:140:2:211,1603:45:16:140:3:2113,Ouakanga,CF2113,Ouakanga,,,Berbérati,CF211,Mambéré-Kadéï,CF21,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:2114,2114,1603:45:16:140:0,1603:45:16:140:1:21,1603:45:16:140:2:211,1603:45:16:140:3:2114,Basse-Mambéré,CF2114,Basse-Mambere,,,Berbérati,CF211,Mambéré-Kadéï,CF21,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:2115,2115,1603:45:16:140:0,1603:45:16:140:1:21,1603:45:16:140:2:211,1603:45:16:140:3:2115,Basse-Batouri,CF2115,Basse-Batouri,,,Berbérati,CF211,Mambéré-Kadéï,CF21,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:2121,2121,1603:45:16:140:0,1603:45:16:140:1:21,1603:45:16:140:2:212,1603:45:16:140:3:2121,Basse-Boumné,CF2121,Basse-Boumne,,,Gamboula,CF212,Mambéré-Kadéï,CF21,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:2131,2131,1603:45:16:140:0,1603:45:16:140:1:21,1603:45:16:140:2:213,1603:45:16:140:3:2131,Carnot,CF2131,Carnot,,,Carnot,CF213,Mambéré-Kadéï,CF21,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:2132,2132,1603:45:16:140:0,1603:45:16:140:1:21,1603:45:16:140:2:213,1603:45:16:140:3:2132,Senkpa-Mbaéré,CF2132,Senkpa-Mbaere,,,Carnot,CF213,Mambéré-Kadéï,CF21,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:2141,2141,1603:45:16:140:0,1603:45:16:140:1:21,1603:45:16:140:2:214,1603:45:16:140:3:2141,Haute-Boumbé,CF2141,Haute-Boumbe,,,Amada-Gaza,CF214,Mambéré-Kadéï,CF21,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:2151,2151,1603:45:16:140:0,1603:45:16:140:1:21,1603:45:16:140:2:215,1603:45:16:140:3:2151,Basse-Kadéi,CF2151,Basse-Kadei,,,Sosso-Nakombo,CF215,Mambéré-Kadéï,CF21,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:2161,2161,1603:45:16:140:0,1603:45:16:140:1:21,1603:45:16:140:2:216,1603:45:16:140:3:2161,Haute-Kadéi,CF2161,Haute-Kade,,,Dédé-Mokouba,CF216,Mambéré-Kadéï,CF21,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:2171,2171,1603:45:16:140:0,1603:45:16:140:1:21,1603:45:16:140:2:217,1603:45:16:140:3:2171,Topia,CF2171,Topia,,,Gadzi,CF217,Mambéré-Kadéï,CF21,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:2172,2172,1603:45:16:140:0,1603:45:16:140:1:21,1603:45:16:140:2:217,1603:45:16:140:3:2172,Mbali,CF2172,Mbali,,,Gadzi,CF217,Mambéré-Kadéï,CF21,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:2212,2212,1603:45:16:140:0,1603:45:16:140:1:22,1603:45:16:140:2:221,1603:45:16:140:3:2212,Niem-Yelewa,CF2212,Niem-Yelewa,,,Bouar,CF221,Nana-Mambéré,CF22,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:2213,2213,1603:45:16:140:0,1603:45:16:140:1:22,1603:45:16:140:2:221,1603:45:16:140:3:2213,Herman-Brousse,CF2213,Herman-Brousse,,,Bouar,CF221,Nana-Mambéré,CF22,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:2214,2214,1603:45:16:140:0,1603:45:16:140:1:22,1603:45:16:140:2:221,1603:45:16:140:3:2214,Zotoua-Bangarem,CF2214,Zotoua-Bangarem,,,Bouar,CF221,Nana-Mambéré,CF22,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:2215,2215,1603:45:16:140:0,1603:45:16:140:1:22,1603:45:16:140:2:221,1603:45:16:140:3:2215,Yénga,CF2215,Yenga,,,Bouar,CF221,Nana-Mambéré,CF22,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:2216,2216,1603:45:16:140:0,1603:45:16:140:1:22,1603:45:16:140:2:221,1603:45:16:140:3:2216,Béa-Nana,CF2216,Bea-Nana,,,Bouar,CF221,Nana-Mambéré,CF22,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:2217,2217,1603:45:16:140:0,1603:45:16:140:1:22,1603:45:16:140:2:221,1603:45:16:140:3:2217,Doaka-Koursou,CF2217,Doaka-Koursou,,,Bouar,CF221,Nana-Mambéré,CF22,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:2221,2221,1603:45:16:140:0,1603:45:16:140:1:22,1603:45:16:140:2:222,1603:45:16:140:3:2221,Bawi Tédoa,CF2221,Bawi Tedoa,,,Baoro,CF222,Nana-Mambéré,CF22,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:2222,2222,1603:45:16:140:0,1603:45:16:140:1:22,1603:45:16:140:2:222,1603:45:16:140:3:2222,Yoro-Samba Bougoulou,CF2222,Yoro-Samba Bougoulou,,,Baoro,CF222,Nana-Mambéré,CF22,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:2231,2231,1603:45:16:140:0,1603:45:16:140:1:22,1603:45:16:140:2:223,1603:45:16:140:3:2231,Baboua,CF2231,Baboua,,,Baboua,CF223,Nana-Mambéré,CF22,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:2232,2232,1603:45:16:140:0,1603:45:16:140:1:22,1603:45:16:140:2:223,1603:45:16:140:3:2232,Goudrot,CF2232,Goudrot,,,Baboua,CF223,Nana-Mambéré,CF22,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:2233,2233,1603:45:16:140:0,1603:45:16:140:1:22,1603:45:16:140:2:223,1603:45:16:140:3:2233,Bingué,CF2233,Bingue,,,Baboua,CF223,Nana-Mambéré,CF22,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:2234,2234,1603:45:16:140:0,1603:45:16:140:1:22,1603:45:16:140:2:223,1603:45:16:140:3:2234,Koundé,CF2234,Kounde,,,Baboua,CF223,Nana-Mambéré,CF22,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:2235,2235,1603:45:16:140:0,1603:45:16:140:1:22,1603:45:16:140:2:223,1603:45:16:140:3:2235,Fo,CF2235,Fo,,,Baboua,CF223,Nana-Mambéré,CF22,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:2241,2241,1603:45:16:140:0,1603:45:16:140:1:22,1603:45:16:140:2:224,1603:45:16:140:3:2241,Abba,CF2241,Abba,,,Abba,CF224,Nana-Mambéré,CF22,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:2242,2242,1603:45:16:140:0,1603:45:16:140:1:22,1603:45:16:140:2:224,1603:45:16:140:3:2242,Nadziboro,CF2242,Nadziboro,,,Abba,CF224,Nana-Mambéré,CF22,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:2311,2311,1603:45:16:140:0,1603:45:16:140:1:23,1603:45:16:140:2:231,1603:45:16:140:3:2311,Nola,CF2311,Nola,,,Nola,CF231,Sangha-Mbaéré,CF23,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:2312,2312,1603:45:16:140:0,1603:45:16:140:1:23,1603:45:16:140:2:231,1603:45:16:140:3:2312,Bilolo,CF2312,Bilolo,,,Nola,CF231,Sangha-Mbaéré,CF23,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:2313,2313,1603:45:16:140:0,1603:45:16:140:1:23,1603:45:16:140:2:231,1603:45:16:140:3:2313,Salo,CF2313,Salo,,,Nola,CF231,Sangha-Mbaéré,CF23,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:2321,2321,1603:45:16:140:0,1603:45:16:140:1:23,1603:45:16:140:2:232,1603:45:16:140:3:2321,Mbaéré,CF2321,Mbaere,,,Bambio,CF232,Sangha-Mbaéré,CF23,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:2331,2331,1603:45:16:140:0,1603:45:16:140:1:23,1603:45:16:140:2:233,1603:45:16:140:3:2331,Yobé-Sangha,CF2331,Yobe-Sangha,,,Bayanga,CF233,Sangha-Mbaéré,CF23,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:3111,3111,1603:45:16:140:0,1603:45:16:140:1:31,1603:45:16:140:2:311,1603:45:16:140:3:3111,Bozoum,CF3111,Bozoum,,,Bozoum,CF311,Ouham Pendé,CF31,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:3112,3112,1603:45:16:140:0,1603:45:16:140:1:31,1603:45:16:140:2:311,1603:45:16:140:3:3112,Dan-Gbabiri,CF3112,Dan-Gbabiri,,,Bozoum,CF311,Ouham Pendé,CF31,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:3113,3113,1603:45:16:140:0,1603:45:16:140:1:31,1603:45:16:140:2:311,1603:45:16:140:3:3113,Birvan-Bolé,CF3113,Birvan-Bole,,,Bozoum,CF311,Ouham Pendé,CF31,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:3114,3114,1603:45:16:140:0,1603:45:16:140:1:31,1603:45:16:140:2:311,1603:45:16:140:3:3114,Kouazo,CF3114,Kouazo,,,Bozoum,CF311,Ouham Pendé,CF31,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:3115,3115,1603:45:16:140:0,1603:45:16:140:1:31,1603:45:16:140:2:311,1603:45:16:140:3:3115,Danayéré,CF3115,Danayere,,,Bozoum,CF311,Ouham Pendé,CF31,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:3121,3121,1603:45:16:140:0,1603:45:16:140:1:31,1603:45:16:140:2:312,1603:45:16:140:3:3121,Bocaranga,CF3121,Bocaranga,,,Bocaranga,CF312,Ouham Pendé,CF31,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:3122,3122,1603:45:16:140:0,1603:45:16:140:1:31,1603:45:16:140:2:312,1603:45:16:140:3:3122,Loura,CF3122,Loura,,,Bocaranga,CF312,Ouham Pendé,CF31,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:3123,3123,1603:45:16:140:0,1603:45:16:140:1:31,1603:45:16:140:2:312,1603:45:16:140:3:3123,Péndé,CF3123,Pende,,,Bocaranga,CF312,Ouham Pendé,CF31,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:3131,3131,1603:45:16:140:0,1603:45:16:140:1:31,1603:45:16:140:2:313,1603:45:16:140:3:3131,Koui,CF3131,Koui,,,Koui,CF313,Ouham Pendé,CF31,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:3141,3141,1603:45:16:140:0,1603:45:16:140:1:31,1603:45:16:140:2:314,1603:45:16:140:3:3141,Paoua,CF3141,Paoua,,,Paoua,CF314,Ouham Pendé,CF31,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:3142,3142,1603:45:16:140:0,1603:45:16:140:1:31,1603:45:16:140:2:314,1603:45:16:140:3:3142,Mom,CF3142,Mom,,,Paoua,CF314,Ouham Pendé,CF31,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:3143,3143,1603:45:16:140:0,1603:45:16:140:1:31,1603:45:16:140:2:314,1603:45:16:140:3:3143,Bah-Bessar,CF3143,Bah-Bessar,,,Paoua,CF314,Ouham Pendé,CF31,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:3144,3144,1603:45:16:140:0,1603:45:16:140:1:31,1603:45:16:140:2:314,1603:45:16:140:3:3144,Mia-Péndé,CF3144,Mia-Pende,,,Paoua,CF314,Ouham Pendé,CF31,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:3145,3145,1603:45:16:140:0,1603:45:16:140:1:31,1603:45:16:140:2:314,1603:45:16:140:3:3145,Nana-Barya,CF3145,Nana-Barya,,,Paoua,CF314,Ouham Pendé,CF31,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:3146,3146,1603:45:16:140:0,1603:45:16:140:1:31,1603:45:16:140:2:314,1603:45:16:140:3:3146,Malé,CF3146,Male,,,Paoua,CF314,Ouham Pendé,CF31,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:3147,3147,1603:45:16:140:0,1603:45:16:140:1:31,1603:45:16:140:2:314,1603:45:16:140:3:3147,Bimbi,CF3147,Bimbi,,,Paoua,CF314,Ouham Pendé,CF31,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:3148,3148,1603:45:16:140:0,1603:45:16:140:1:31,1603:45:16:140:2:314,1603:45:16:140:3:3148,Banh,CF3148,Banh,,,Paoua,CF314,Ouham Pendé,CF31,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:3151,3151,1603:45:16:140:0,1603:45:16:140:1:31,1603:45:16:140:2:315,1603:45:16:140:3:3151,Dilouki,CF3151,Dilouki,,,Ngaoundaye,CF315,Ouham Pendé,CF31,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:3152,3152,1603:45:16:140:0,1603:45:16:140:1:31,1603:45:16:140:2:315,1603:45:16:140:3:3152,Lim,CF3152,Lim,,,Ngaoundaye,CF315,Ouham Pendé,CF31,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:3153,3153,1603:45:16:140:0,1603:45:16:140:1:31,1603:45:16:140:2:315,1603:45:16:140:3:3153,Kodi,CF3153,Kodi,,,Ngaoundaye,CF315,Ouham Pendé,CF31,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:3154,3154,1603:45:16:140:0,1603:45:16:140:1:31,1603:45:16:140:2:315,1603:45:16:140:3:3154,Yémé,CF3154,Yeme,,,Ngaoundaye,CF315,Ouham Pendé,CF31,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:3155,3155,1603:45:16:140:0,1603:45:16:140:1:31,1603:45:16:140:2:315,1603:45:16:140:3:3155,Mbili,CF3155,Mbili,,,Ngaoundaye,CF315,Ouham Pendé,CF31,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:3161,3161,1603:45:16:140:0,1603:45:16:140:1:31,1603:45:16:140:2:316,1603:45:16:140:3:3161,Binon,CF3161,Binon,,,Bossemtélé,CF316,Ouham Pendé,CF31,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:3211,3211,1603:45:16:140:0,1603:45:16:140:1:32,1603:45:16:140:2:321,1603:45:16:140:3:3211,Bossangoa,CF3211,Bossangoa,,,Bossangoa,CF321,Ouham,CF32,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:3212,3212,1603:45:16:140:0,1603:45:16:140:1:32,1603:45:16:140:2:321,1603:45:16:140:3:3212,Soumbé,CF3212,Soumbe,,,Bossangoa,CF321,Ouham,CF32,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:3213,3213,1603:45:16:140:0,1603:45:16:140:1:32,1603:45:16:140:2:321,1603:45:16:140:3:3213,Koro-M'poko,CF3213,Koro-Mpoko,,,Bossangoa,CF321,Ouham,CF32,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:3214,3214,1603:45:16:140:0,1603:45:16:140:1:32,1603:45:16:140:2:321,1603:45:16:140:3:3214,Ben Zambé,CF3214,Ben Zambe,,,Bossangoa,CF321,Ouham,CF32,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:3215,3215,1603:45:16:140:0,1603:45:16:140:1:32,1603:45:16:140:2:321,1603:45:16:140:3:3215,Ouham Bac,CF3215,Ouham Bac,,,Bossangoa,CF321,Ouham,CF32,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:3216,3216,1603:45:16:140:0,1603:45:16:140:1:32,1603:45:16:140:2:321,1603:45:16:140:3:3216,Ndoro Mboli,CF3216,Ndoro Mboli,,,Bossangoa,CF321,Ouham,CF32,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:3221,3221,1603:45:16:140:0,1603:45:16:140:1:32,1603:45:16:140:2:322,1603:45:16:140:3:3221,Nana-Bakassa,CF3221,Nana-Bakassa,,,Nana-Bakassa,CF322,Ouham,CF32,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:3231,3231,1603:45:16:140:0,1603:45:16:140:1:32,1603:45:16:140:2:323,1603:45:16:140:3:3231,Nana Markounda,CF3231,Nana Markounda,,,Markounda,CF323,Ouham,CF32,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:3241,3241,1603:45:16:140:0,1603:45:16:140:1:32,1603:45:16:140:2:324,1603:45:16:140:3:3241,Nangha Boguila,CF3241,Nangha Boguila,,,Nangha Boguila,CF324,Ouham,CF32,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:3251,3251,1603:45:16:140:0,1603:45:16:140:1:32,1603:45:16:140:2:325,1603:45:16:140:3:3251,Bouca Bobo,CF3251,Bouca Bobo,,,Bouca,CF325,Ouham,CF32,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:3252,3252,1603:45:16:140:0,1603:45:16:140:1:32,1603:45:16:140:2:325,1603:45:16:140:3:3252,Lady Gbawi,CF3252,Lady Gbawi,,,Bouca,CF325,Ouham,CF32,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:3253,3253,1603:45:16:140:0,1603:45:16:140:1:32,1603:45:16:140:2:325,1603:45:16:140:3:3253,Ouham Fafa,CF3253,Ouham Fafa,,,Bouca,CF325,Ouham,CF32,République centrafricaine,CF,2014-08-02,2020-12-01,
