#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003+ix_alt0,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt0,#meta+ERROR+adm3+code+v_pcode,#meta+ERROR+adm3+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#meta+ERROR+adm2+code+v_pcode,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:120:3:2008009,2008009,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2008,1603:45:16:120:3:2008009,Ngog-Mapubi,,CM002008009,,,,,,Nyong-et-Kellé,,CM002008,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2008010,2008010,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2008,1603:45:16:120:3:2008010,Nguibassal,,CM002008010,,,,,,Nyong-et-Kellé,,CM002008,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2009001,2009001,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2009,1603:45:16:120:3:2009001,Akonolinga,,CM002009001,,,,,,Nyong-et-Mfoumou,,CM002009,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2009002,2009002,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2009,1603:45:16:120:3:2009002,Ayos,,CM002009002,,,,,,Nyong-et-Mfoumou,,CM002009,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2009003,2009003,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2009,1603:45:16:120:3:2009003,Endom,,CM002009003,,,,,,Nyong-et-Mfoumou,,CM002009,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2009004,2009004,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2009,1603:45:16:120:3:2009004,Mengang,,CM002009004,,,,,,Nyong-et-Mfoumou,,CM002009,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2009005,2009005,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2009,1603:45:16:120:3:2009005,Nyakokombo,,CM002009005,,,,,,Nyong-et-Mfoumou,,CM002009,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2010001,2010001,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2010,1603:45:16:120:3:2010001,Akoeman,,CM002010001,,,,,,Nyong-et-So'o,,CM002010,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2010002,2010002,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2010,1603:45:16:120:3:2010002,Dzeng,,CM002010002,,,,,,Nyong-et-So'o,,CM002010,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2010003,2010003,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2010,1603:45:16:120:3:2010003,Mbalmayo,,CM002010003,,,,,,Nyong-et-So'o,,CM002010,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2010004,2010004,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2010,1603:45:16:120:3:2010004,Mengueme,,CM002010004,,,,,,Nyong-et-So'o,,CM002010,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2010005,2010005,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2010,1603:45:16:120:3:2010005,Ngomedzap,,CM002010005,,,,,,Nyong-et-So'o,,CM002010,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2010006,2010006,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2010,1603:45:16:120:3:2010006,Nkolmetet,,CM002010006,,,,,,Nyong-et-So'o,,CM002010,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:3001001,3001001,1603:45:16:120:0,1603:45:16:120:1:3,1603:45:16:120:2:3001,1603:45:16:120:3:3001001,Gari Gombo,,CM003001001,,,,,,Boumba-et-Ngoko,,CM003001,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:3001002,3001002,1603:45:16:120:0,1603:45:16:120:1:3,1603:45:16:120:2:3001,1603:45:16:120:3:3001002,Moloundou,,CM003001002,,,,,,Boumba-et-Ngoko,,CM003001,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:3001003,3001003,1603:45:16:120:0,1603:45:16:120:1:3,1603:45:16:120:2:3001,1603:45:16:120:3:3001003,Salapoumbe,,CM003001003,,,,,,Boumba-et-Ngoko,,CM003001,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:3001004,3001004,1603:45:16:120:0,1603:45:16:120:1:3,1603:45:16:120:2:3001,1603:45:16:120:3:3001004,Yokadouma,,CM003001004,,,,,,Boumba-et-Ngoko,,CM003001,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:3002001,3002001,1603:45:16:120:0,1603:45:16:120:1:3,1603:45:16:120:2:3002,1603:45:16:120:3:3002001,Abong-Mbang,,CM003002001,,,,,,Haut-Nyong,,CM003002,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:3002002,3002002,1603:45:16:120:0,1603:45:16:120:1:3,1603:45:16:120:2:3002,1603:45:16:120:3:3002002,Bebend,,CM003002002,,,,,,Haut-Nyong,,CM003002,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:3002003,3002003,1603:45:16:120:0,1603:45:16:120:1:3,1603:45:16:120:2:3002,1603:45:16:120:3:3002003,Dimako,,CM003002003,,,,,,Haut-Nyong,,CM003002,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:3002004,3002004,1603:45:16:120:0,1603:45:16:120:1:3,1603:45:16:120:2:3002,1603:45:16:120:3:3002004,Dja,,CM003002004,,,,,,Haut-Nyong,,CM003002,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:3002005,3002005,1603:45:16:120:0,1603:45:16:120:1:3,1603:45:16:120:2:3002,1603:45:16:120:3:3002005,Doumaintang,,CM003002005,,,,,,Haut-Nyong,,CM003002,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:3002006,3002006,1603:45:16:120:0,1603:45:16:120:1:3,1603:45:16:120:2:3002,1603:45:16:120:3:3002006,Doume,,CM003002006,,,,,,Haut-Nyong,,CM003002,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:3002007,3002007,1603:45:16:120:0,1603:45:16:120:1:3,1603:45:16:120:2:3002,1603:45:16:120:3:3002007,Lomie,,CM003002007,,,,,,Haut-Nyong,,CM003002,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:3002008,3002008,1603:45:16:120:0,1603:45:16:120:1:3,1603:45:16:120:2:3002,1603:45:16:120:3:3002008,Mboanz,,CM003002008,,,,,,Haut-Nyong,,CM003002,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:3002009,3002009,1603:45:16:120:0,1603:45:16:120:1:3,1603:45:16:120:2:3002,1603:45:16:120:3:3002009,Mboma,,CM003002009,,,,,,Haut-Nyong,,CM003002,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:3002010,3002010,1603:45:16:120:0,1603:45:16:120:1:3,1603:45:16:120:2:3002,1603:45:16:120:3:3002010,Messamena,,CM003002010,,,,,,Haut-Nyong,,CM003002,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:3002011,3002011,1603:45:16:120:0,1603:45:16:120:1:3,1603:45:16:120:2:3002,1603:45:16:120:3:3002011,Messok,,CM003002011,,,,,,Haut-Nyong,,CM003002,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:3002012,3002012,1603:45:16:120:0,1603:45:16:120:1:3,1603:45:16:120:2:3002,1603:45:16:120:3:3002012,Ngoyla,,CM003002012,,,,,,Haut-Nyong,,CM003002,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:3002013,3002013,1603:45:16:120:0,1603:45:16:120:1:3,1603:45:16:120:2:3002,1603:45:16:120:3:3002013,Nguelemendouka,,CM003002013,,,,,,Haut-Nyong,,CM003002,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:3002014,3002014,1603:45:16:120:0,1603:45:16:120:1:3,1603:45:16:120:2:3002,1603:45:16:120:3:3002014,Somalomo,,CM003002014,,,,,,Haut-Nyong,,CM003002,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:3003001,3003001,1603:45:16:120:0,1603:45:16:120:1:3,1603:45:16:120:2:3003,1603:45:16:120:3:3003001,Batouri,,CM003003001,,,,,,Kadey,,CM003003,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:3003002,3003002,1603:45:16:120:0,1603:45:16:120:1:3,1603:45:16:120:2:3003,1603:45:16:120:3:3003002,Bombe,,CM003003002,,,,,,Kadey,,CM003003,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:3003003,3003003,1603:45:16:120:0,1603:45:16:120:1:3,1603:45:16:120:2:3003,1603:45:16:120:3:3003003,Kette,,CM003003003,,,,,,Kadey,,CM003003,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:3003004,3003004,1603:45:16:120:0,1603:45:16:120:1:3,1603:45:16:120:2:3003,1603:45:16:120:3:3003004,Mbang,,CM003003004,,,,,,Kadey,,CM003003,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:3003005,3003005,1603:45:16:120:0,1603:45:16:120:1:3,1603:45:16:120:2:3003,1603:45:16:120:3:3003005,Mbotoro,,CM003003005,,,,,,Kadey,,CM003003,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:3003006,3003006,1603:45:16:120:0,1603:45:16:120:1:3,1603:45:16:120:2:3003,1603:45:16:120:3:3003006,Ndelele,,CM003003006,,,,,,Kadey,,CM003003,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:3003007,3003007,1603:45:16:120:0,1603:45:16:120:1:3,1603:45:16:120:2:3003,1603:45:16:120:3:3003007,Ndem Nam,,CM003003007,,,,,,Kadey,,CM003003,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:3004001,3004001,1603:45:16:120:0,1603:45:16:120:1:3,1603:45:16:120:2:3004,1603:45:16:120:3:3004001,Belabo,,CM003004001,,,,,,Lom-et-Djérem,,CM003004,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:3004002,3004002,1603:45:16:120:0,1603:45:16:120:1:3,1603:45:16:120:2:3004,1603:45:16:120:3:3004002,Bertoua 1er,,CM003004002,,,,,,Lom-et-Djérem,,CM003004,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:3004003,3004003,1603:45:16:120:0,1603:45:16:120:1:3,1603:45:16:120:2:3004,1603:45:16:120:3:3004003,Bertoua 2e,,CM003004003,,,,,,Lom-et-Djérem,,CM003004,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:3004004,3004004,1603:45:16:120:0,1603:45:16:120:1:3,1603:45:16:120:2:3004,1603:45:16:120:3:3004004,Betare-Oya,,CM003004004,,,,,,Lom-et-Djérem,,CM003004,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:3004005,3004005,1603:45:16:120:0,1603:45:16:120:1:3,1603:45:16:120:2:3004,1603:45:16:120:3:3004005,Diang,,CM003004005,,,,,,Lom-et-Djérem,,CM003004,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:3004006,3004006,1603:45:16:120:0,1603:45:16:120:1:3,1603:45:16:120:2:3004,1603:45:16:120:3:3004006,Garoua-Boulai,,CM003004006,,,,,,Lom-et-Djérem,,CM003004,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:3004007,3004007,1603:45:16:120:0,1603:45:16:120:1:3,1603:45:16:120:2:3004,1603:45:16:120:3:3004007,Mandjou,,CM003004007,,,,,,Lom-et-Djérem,,CM003004,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:3004008,3004008,1603:45:16:120:0,1603:45:16:120:1:3,1603:45:16:120:2:3004,1603:45:16:120:3:3004008,Ngoura,,CM003004008,,,,,,Lom-et-Djérem,,CM003004,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:4001001,4001001,1603:45:16:120:0,1603:45:16:120:1:4,1603:45:16:120:2:4001,1603:45:16:120:3:4001001,Bogo,,CM004001001,,,,,,Diamaré,,CM004001,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:4001002,4001002,1603:45:16:120:0,1603:45:16:120:1:4,1603:45:16:120:2:4001,1603:45:16:120:3:4001002,Dargala,,CM004001002,,,,,,Diamaré,,CM004001,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:4001003,4001003,1603:45:16:120:0,1603:45:16:120:1:4,1603:45:16:120:2:4001,1603:45:16:120:3:4001003,Gazawa,,CM004001003,,,,,,Diamaré,,CM004001,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:4001004,4001004,1603:45:16:120:0,1603:45:16:120:1:4,1603:45:16:120:2:4001,1603:45:16:120:3:4001004,Maroua 1er,,CM004001004,,,,,,Diamaré,,CM004001,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:4001005,4001005,1603:45:16:120:0,1603:45:16:120:1:4,1603:45:16:120:2:4001,1603:45:16:120:3:4001005,Maroua 2e,,CM004001005,,,,,,Diamaré,,CM004001,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:4001006,4001006,1603:45:16:120:0,1603:45:16:120:1:4,1603:45:16:120:2:4001,1603:45:16:120:3:4001006,Maroua 3e,,CM004001006,,,,,,Diamaré,,CM004001,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:4001007,4001007,1603:45:16:120:0,1603:45:16:120:1:4,1603:45:16:120:2:4001,1603:45:16:120:3:4001007,Meri,,CM004001007,,,,,,Diamaré,,CM004001,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:4001008,4001008,1603:45:16:120:0,1603:45:16:120:1:4,1603:45:16:120:2:4001,1603:45:16:120:3:4001008,Ndoukoula,,CM004001008,,,,,,Diamaré,,CM004001,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:4001009,4001009,1603:45:16:120:0,1603:45:16:120:1:4,1603:45:16:120:2:4001,1603:45:16:120:3:4001009,Pette,,CM004001009,,,,,,Diamaré,,CM004001,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:4002001,4002001,1603:45:16:120:0,1603:45:16:120:1:4,1603:45:16:120:2:4002,1603:45:16:120:3:4002001,Blangoua,,CM004002001,,,,,,Logone-et-Chari,,CM004002,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:4002002,4002002,1603:45:16:120:0,1603:45:16:120:1:4,1603:45:16:120:2:4002,1603:45:16:120:3:4002002,Darak,,CM004002002,,,,,,Logone-et-Chari,,CM004002,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:4002003,4002003,1603:45:16:120:0,1603:45:16:120:1:4,1603:45:16:120:2:4002,1603:45:16:120:3:4002003,Fotokol,,CM004002003,,,,,,Logone-et-Chari,,CM004002,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:4002004,4002004,1603:45:16:120:0,1603:45:16:120:1:4,1603:45:16:120:2:4002,1603:45:16:120:3:4002004,Goulfey,,CM004002004,,,,,,Logone-et-Chari,,CM004002,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:4002005,4002005,1603:45:16:120:0,1603:45:16:120:1:4,1603:45:16:120:2:4002,1603:45:16:120:3:4002005,Hile-Alifa,,CM004002005,,,,,,Logone-et-Chari,,CM004002,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:4002006,4002006,1603:45:16:120:0,1603:45:16:120:1:4,1603:45:16:120:2:4002,1603:45:16:120:3:4002006,Kousseri,,CM004002006,,,,,,Logone-et-Chari,,CM004002,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:4002007,4002007,1603:45:16:120:0,1603:45:16:120:1:4,1603:45:16:120:2:4002,1603:45:16:120:3:4002007,Logone-Birni,,CM004002007,,,,,,Logone-et-Chari,,CM004002,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:4002008,4002008,1603:45:16:120:0,1603:45:16:120:1:4,1603:45:16:120:2:4002,1603:45:16:120:3:4002008,Makary,,CM004002008,,,,,,Logone-et-Chari,,CM004002,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:4002009,4002009,1603:45:16:120:0,1603:45:16:120:1:4,1603:45:16:120:2:4002,1603:45:16:120:3:4002009,Waza,,CM004002009,,,,,,Logone-et-Chari,,CM004002,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:4002010,4002010,1603:45:16:120:0,1603:45:16:120:1:4,1603:45:16:120:2:4002,1603:45:16:120:3:4002010,Zina,,CM004002010,,,,,,Logone-et-Chari,,CM004002,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:4003001,4003001,1603:45:16:120:0,1603:45:16:120:1:4,1603:45:16:120:2:4003,1603:45:16:120:3:4003001,Datcheka,,CM004003001,,,,,,Mayo-Danay,,CM004003,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:4003002,4003002,1603:45:16:120:0,1603:45:16:120:1:4,1603:45:16:120:2:4003,1603:45:16:120:3:4003002,Gobo,,CM004003002,,,,,,Mayo-Danay,,CM004003,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:4003003,4003003,1603:45:16:120:0,1603:45:16:120:1:4,1603:45:16:120:2:4003,1603:45:16:120:3:4003003,Guere,,CM004003003,,,,,,Mayo-Danay,,CM004003,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:4003004,4003004,1603:45:16:120:0,1603:45:16:120:1:4,1603:45:16:120:2:4003,1603:45:16:120:3:4003004,Kai-Kai,,CM004003004,,,,,,Mayo-Danay,,CM004003,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:4003005,4003005,1603:45:16:120:0,1603:45:16:120:1:4,1603:45:16:120:2:4003,1603:45:16:120:3:4003005,Kalfou,,CM004003005,,,,,,Mayo-Danay,,CM004003,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:4003006,4003006,1603:45:16:120:0,1603:45:16:120:1:4,1603:45:16:120:2:4003,1603:45:16:120:3:4003006,Kar-Hay,,CM004003006,,,,,,Mayo-Danay,,CM004003,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:4003007,4003007,1603:45:16:120:0,1603:45:16:120:1:4,1603:45:16:120:2:4003,1603:45:16:120:3:4003007,Maga,,CM004003007,,,,,,Mayo-Danay,,CM004003,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:4003008,4003008,1603:45:16:120:0,1603:45:16:120:1:4,1603:45:16:120:2:4003,1603:45:16:120:3:4003008,Tchatibali,,CM004003008,,,,,,Mayo-Danay,,CM004003,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:4003009,4003009,1603:45:16:120:0,1603:45:16:120:1:4,1603:45:16:120:2:4003,1603:45:16:120:3:4003009,Vele,,CM004003009,,,,,,Mayo-Danay,,CM004003,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:4003010,4003010,1603:45:16:120:0,1603:45:16:120:1:4,1603:45:16:120:2:4003,1603:45:16:120:3:4003010,Wina,,CM004003010,,,,,,Mayo-Danay,,CM004003,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:4003011,4003011,1603:45:16:120:0,1603:45:16:120:1:4,1603:45:16:120:2:4003,1603:45:16:120:3:4003011,Yagoua,,CM004003011,,,,,,Mayo-Danay,,CM004003,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:4004001,4004001,1603:45:16:120:0,1603:45:16:120:1:4,1603:45:16:120:2:4004,1603:45:16:120:3:4004001,Guidiguis,,CM004004001,,,,,,Mayo-Kani,,CM004004,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:4004002,4004002,1603:45:16:120:0,1603:45:16:120:1:4,1603:45:16:120:2:4004,1603:45:16:120:3:4004002,Kaele,,CM004004002,,,,,,Mayo-Kani,,CM004004,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:4004003,4004003,1603:45:16:120:0,1603:45:16:120:1:4,1603:45:16:120:2:4004,1603:45:16:120:3:4004003,Mindif,,CM004004003,,,,,,Mayo-Kani,,CM004004,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:4004004,4004004,1603:45:16:120:0,1603:45:16:120:1:4,1603:45:16:120:2:4004,1603:45:16:120:3:4004004,Moulvoudaye,,CM004004004,,,,,,Mayo-Kani,,CM004004,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:4004005,4004005,1603:45:16:120:0,1603:45:16:120:1:4,1603:45:16:120:2:4004,1603:45:16:120:3:4004005,Moutourwa,,CM004004005,,,,,,Mayo-Kani,,CM004004,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:4004006,4004006,1603:45:16:120:0,1603:45:16:120:1:4,1603:45:16:120:2:4004,1603:45:16:120:3:4004006,Porhi,,CM004004006,,,,,,Mayo-Kani,,CM004004,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:4004007,4004007,1603:45:16:120:0,1603:45:16:120:1:4,1603:45:16:120:2:4004,1603:45:16:120:3:4004007,Taibong,,CM004004007,,,,,,Mayo-Kani,,CM004004,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:4005001,4005001,1603:45:16:120:0,1603:45:16:120:1:4,1603:45:16:120:2:4005,1603:45:16:120:3:4005001,Kolofata,,CM004005001,,,,,,Mayo-Sava,,CM004005,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:4005002,4005002,1603:45:16:120:0,1603:45:16:120:1:4,1603:45:16:120:2:4005,1603:45:16:120:3:4005002,Mora,,CM004005002,,,,,,Mayo-Sava,,CM004005,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
