#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt0,#meta+ERROR+adm3+code+v_pcode,#meta+ERROR+adm3+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#meta+ERROR+adm2+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:450:3:11101001,11101001,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11101001,1603:45:16:450:3:11101001,1er Arrondissement,MG11101001,,,,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11103252,11103252,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11103,1603:45:16:450:3:11103252,Antsahafilo,MG11103252,,,,Ambohidratrimo,MG11103,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11103270,11103270,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11103,1603:45:16:450:3:11103270,Ambohimanjaka,MG11103270,,,,Ambohidratrimo,MG11103,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11103290,11103290,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11103,1603:45:16:450:3:11103290,Fiadanana,MG11103290,,,,Ambohidratrimo,MG11103,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11103310,11103310,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11103,1603:45:16:450:3:11103310,Mahabo,MG11103310,,,,Ambohidratrimo,MG11103,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11103330,11103330,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11103,1603:45:16:450:3:11103330,Mahereza,MG11103330,,,,Ambohidratrimo,MG11103,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11103350,11103350,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11103,1603:45:16:450:3:11103350,Antanetibe,MG11103350,,,,Ambohidratrimo,MG11103,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11103370,11103370,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11103,1603:45:16:450:3:11103370,Ambohipihaonana,MG11103370,,,,Ambohidratrimo,MG11103,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11103390,11103390,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11103,1603:45:16:450:3:11103390,Ambato,MG11103390,,,,Ambohidratrimo,MG11103,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11103410,11103410,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11103,1603:45:16:450:3:11103410,Anjanadoria,MG11103410,,,,Ambohidratrimo,MG11103,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11103430,11103430,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11103,1603:45:16:450:3:11103430,Avaratsena,MG11103430,,,,Ambohidratrimo,MG11103,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11104010,11104010,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11104,1603:45:16:450:3:11104010,Ankazobe,MG11104010,,,,Ankazobe,MG11104,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11104030,11104030,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11104,1603:45:16:450:3:11104030,Talata Angavo,MG11104030,,,,Ankazobe,MG11104,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11104050,11104050,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11104,1603:45:16:450:3:11104050,Ambohitromby,MG11104050,,,,Ankazobe,MG11104,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11104071,11104071,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11104,1603:45:16:450:3:11104071,Antotohazo,MG11104071,,,,Ankazobe,MG11104,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11104072,11104072,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11104,1603:45:16:450:3:11104072,Marondry,MG11104072,,,,Ankazobe,MG11104,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11104090,11104090,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11104,1603:45:16:450:3:11104090,Fihaonana,MG11104090,,,,Ankazobe,MG11104,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11104110,11104110,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11104,1603:45:16:450:3:11104110,Mahavelona,MG11104110,,,,Ankazobe,MG11104,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11104130,11104130,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11104,1603:45:16:450:3:11104130,Fiadanana,MG11104130,,,,Ankazobe,MG11104,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11104150,11104150,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11104,1603:45:16:450:3:11104150,Tsaramasoandro,MG11104150,,,,Ankazobe,MG11104,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11104170,11104170,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11104,1603:45:16:450:3:11104170,Ambolotarakely,MG11104170,,,,Ankazobe,MG11104,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11104190,11104190,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11104,1603:45:16:450:3:11104190,Antakavana,MG11104190,,,,Ankazobe,MG11104,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11104210,11104210,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11104,1603:45:16:450:3:11104210,Kiangara,MG11104210,,,,Ankazobe,MG11104,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11104230,11104230,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11104,1603:45:16:450:3:11104230,Miantso,MG11104230,,,,Ankazobe,MG11104,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11106011,11106011,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11106,1603:45:16:450:3:11106011,Manjakandriana,MG11106011,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11106012,11106012,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11106,1603:45:16:450:3:11106012,Ambatolaona,MG11106012,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11106030,11106030,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11106,1603:45:16:450:3:11106030,Sambaina,MG11106030,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11106050,11106050,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11106,1603:45:16:450:3:11106050,Ambohibary,MG11106050,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11106070,11106070,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11106,1603:45:16:450:3:11106070,Ambatomanga,MG11106070,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11106090,11106090,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11106,1603:45:16:450:3:11106090,Alarobia,MG11106090,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11106110,11106110,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11106,1603:45:16:450:3:11106110,Mantasoa,MG11106110,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11106130,11106130,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11106,1603:45:16:450:3:11106130,Ranovao,MG11106130,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11106150,11106150,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11106,1603:45:16:450:3:11106150,Miadanandriana,MG11106150,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11106170,11106170,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11106,1603:45:16:450:3:11106170,Nandihizana,MG11106170,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11106190,11106190,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11106,1603:45:16:450:3:11106190,Anjepy,MG11106190,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11106210,11106210,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11106,1603:45:16:450:3:11106210,Ambanitsena,MG11106210,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11106230,11106230,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11106,1603:45:16:450:3:11106230,Ambohitrandriamanitra,MG11106230,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11106251,11106251,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11106,1603:45:16:450:3:11106251,Ambatomena,MG11106251,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11106252,11106252,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11106,1603:45:16:450:3:11106252,Ambohibao Sud,MG11106252,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11106271,11106271,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11106,1603:45:16:450:3:11106271,Ambohitseheno,MG11106271,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11106272,11106272,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11106,1603:45:16:450:3:11106272,Antsahalalina,MG11106272,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11106290,11106290,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11106,1603:45:16:450:3:11106290,Ambohitrony,MG11106290,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11106310,11106310,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11106,1603:45:16:450:3:11106310,Merikanjaka,MG11106310,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11106330,11106330,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11106,1603:45:16:450:3:11106330,Anjoma Betoho,MG11106330,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11106351,11106351,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11106,1603:45:16:450:3:11106351,Ankazondandy,MG11106351,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11106352,11106352,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11106,1603:45:16:450:3:11106352,Soavinandriana,MG11106352,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11106371,11106371,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11106,1603:45:16:450:3:11106371,Ambohitrolomahitsy,MG11106371,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11106372,11106372,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11106,1603:45:16:450:3:11106372,Ampaneva,MG11106372,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11106390,11106390,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11106,1603:45:16:450:3:11106390,Sadabe,MG11106390,,,,Manjakandriana,MG11106,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11107019,11107019,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11107,1603:45:16:450:3:11107019,Anjozorobe,MG11107019,,,,Anjozorobe,MG11107,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11107070,11107070,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11107,1603:45:16:450:3:11107070,Mangamila,MG11107070,,,,Anjozorobe,MG11107,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11107099,11107099,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11107,1603:45:16:450:3:11107099,Ambongamarina,MG11107099,,,,Anjozorobe,MG11107,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11107110,11107110,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11107,1603:45:16:450:3:11107110,Tsarasaotra,MG11107110,,,,Anjozorobe,MG11107,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11107130,11107130,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11107,1603:45:16:450:3:11107130,Ambohimanarina Marovazaha,MG11107130,,,,Anjozorobe,MG11107,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
