#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm2+name+i_spa+is_latn,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_spa+is_latn,#adm2+name+alt2+i_spa+is_latn,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm1+name+i_spa+is_latn,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_spa+is_latn,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:862:2:101,101,1603:45:16:862:0,1603:45:16:862:1:1,1603:45:16:862:2:101,Libertador,,VE0101,,,,,,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:506,506,1603:45:16:862:0,1603:45:16:862:1:5,1603:45:16:862:2:506,Jose Rafael Reveng,,VE0506,,,,,,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:507,507,1603:45:16:862:0,1603:45:16:862:1:5,1603:45:16:862:2:507,Libertador,,VE0507,,,,,,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:508,508,1603:45:16:862:0,1603:45:16:862:1:5,1603:45:16:862:2:508,Mario Briceño Irag,,VE0508,,,,,,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:509,509,1603:45:16:862:0,1603:45:16:862:1:5,1603:45:16:862:2:509,San Casimiro,,VE0509,,,,,,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:510,510,1603:45:16:862:0,1603:45:16:862:1:5,1603:45:16:862:2:510,San Sebastian,,VE0510,,,,,,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:511,511,1603:45:16:862:0,1603:45:16:862:1:5,1603:45:16:862:2:511,Santiago Mariño,,VE0511,,,,,,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:512,512,1603:45:16:862:0,1603:45:16:862:1:5,1603:45:16:862:2:512,Santos Michelena,,VE0512,,,,,,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:513,513,1603:45:16:862:0,1603:45:16:862:1:5,1603:45:16:862:2:513,Sucre,,VE0513,,,,,,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:514,514,1603:45:16:862:0,1603:45:16:862:1:5,1603:45:16:862:2:514,Tovar,,VE0514,,,,,,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:515,515,1603:45:16:862:0,1603:45:16:862:1:5,1603:45:16:862:2:515,Urdaneta,,VE0515,,,,,,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:516,516,1603:45:16:862:0,1603:45:16:862:1:5,1603:45:16:862:2:516,Zamora,,VE0516,,,,,,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:517,517,1603:45:16:862:0,1603:45:16:862:1:5,1603:45:16:862:2:517,Francisco Linares,,VE0517,,,,,,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:518,518,1603:45:16:862:0,1603:45:16:862:1:5,1603:45:16:862:2:518,Ocumare De La Cost,,VE0518,,,,,,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:601,601,1603:45:16:862:0,1603:45:16:862:1:6,1603:45:16:862:2:601,Alberto Arvelo Tor,,VE0601,,,,,,Barinas,,VE06,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:602,602,1603:45:16:862:0,1603:45:16:862:1:6,1603:45:16:862:2:602,Antonio Jose De Su,,VE0602,,,,,,Barinas,,VE06,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:603,603,1603:45:16:862:0,1603:45:16:862:1:6,1603:45:16:862:2:603,Arismendi,,VE0603,,,,,,Barinas,,VE06,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:604,604,1603:45:16:862:0,1603:45:16:862:1:6,1603:45:16:862:2:604,Barinas,,VE0604,,,,,,Barinas,,VE06,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:605,605,1603:45:16:862:0,1603:45:16:862:1:6,1603:45:16:862:2:605,Bolivar,,VE0605,,,,,,Barinas,,VE06,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:606,606,1603:45:16:862:0,1603:45:16:862:1:6,1603:45:16:862:2:606,Cruz Paredes,,VE0606,,,,,,Barinas,,VE06,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:607,607,1603:45:16:862:0,1603:45:16:862:1:6,1603:45:16:862:2:607,Ezequiel Zamora,,VE0607,,,,,,Barinas,,VE06,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:608,608,1603:45:16:862:0,1603:45:16:862:1:6,1603:45:16:862:2:608,Obispos,,VE0608,,,,,,Barinas,,VE06,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:609,609,1603:45:16:862:0,1603:45:16:862:1:6,1603:45:16:862:2:609,Pedraza,,VE0609,,,,,,Barinas,,VE06,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:610,610,1603:45:16:862:0,1603:45:16:862:1:6,1603:45:16:862:2:610,Rojas,,VE0610,,,,,,Barinas,,VE06,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:611,611,1603:45:16:862:0,1603:45:16:862:1:6,1603:45:16:862:2:611,Sosa,,VE0611,,,,,,Barinas,,VE06,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:612,612,1603:45:16:862:0,1603:45:16:862:1:6,1603:45:16:862:2:612,Andres Eloy Blanco,,VE0612,,,,,,Barinas,,VE06,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:701,701,1603:45:16:862:0,1603:45:16:862:1:7,1603:45:16:862:2:701,Caroni,,VE0701,,,,,,Bolivar,,VE07,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:702,702,1603:45:16:862:0,1603:45:16:862:1:7,1603:45:16:862:2:702,Cedeño,,VE0702,,,,,,Bolivar,,VE07,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:703,703,1603:45:16:862:0,1603:45:16:862:1:7,1603:45:16:862:2:703,El Callao,,VE0703,,,,,,Bolivar,,VE07,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:704,704,1603:45:16:862:0,1603:45:16:862:1:7,1603:45:16:862:2:704,Gran Sabana,,VE0704,,,,,,Bolivar,,VE07,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:705,705,1603:45:16:862:0,1603:45:16:862:1:7,1603:45:16:862:2:705,Heres,,VE0705,,,,,,Bolivar,,VE07,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:706,706,1603:45:16:862:0,1603:45:16:862:1:7,1603:45:16:862:2:706,Piar,,VE0706,,,,,,Bolivar,,VE07,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:707,707,1603:45:16:862:0,1603:45:16:862:1:7,1603:45:16:862:2:707,Raul Leoni,,VE0707,,,,,,Bolivar,,VE07,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:708,708,1603:45:16:862:0,1603:45:16:862:1:7,1603:45:16:862:2:708,Roscio,,VE0708,,,,,,Bolivar,,VE07,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:709,709,1603:45:16:862:0,1603:45:16:862:1:7,1603:45:16:862:2:709,Sifontes,,VE0709,,,,,,Bolivar,,VE07,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:710,710,1603:45:16:862:0,1603:45:16:862:1:7,1603:45:16:862:2:710,Sucre,,VE0710,,,,,,Bolivar,,VE07,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:711,711,1603:45:16:862:0,1603:45:16:862:1:7,1603:45:16:862:2:711,Padre Pedro Chien,,VE0711,,,,,,Bolivar,,VE07,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:801,801,1603:45:16:862:0,1603:45:16:862:1:8,1603:45:16:862:2:801,Bejuma,,VE0801,,,,,,Carabobo,,VE08,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:802,802,1603:45:16:862:0,1603:45:16:862:1:8,1603:45:16:862:2:802,Carlos Arvelo,,VE0802,,,,,,Carabobo,,VE08,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:803,803,1603:45:16:862:0,1603:45:16:862:1:8,1603:45:16:862:2:803,Diego Ibarra,,VE0803,,,,,,Carabobo,,VE08,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:804,804,1603:45:16:862:0,1603:45:16:862:1:8,1603:45:16:862:2:804,Guacara,,VE0804,,,,,,Carabobo,,VE08,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:805,805,1603:45:16:862:0,1603:45:16:862:1:8,1603:45:16:862:2:805,Juan Jose Mora,,VE0805,,,,,,Carabobo,,VE08,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:806,806,1603:45:16:862:0,1603:45:16:862:1:8,1603:45:16:862:2:806,Libertador,,VE0806,,,,,,Carabobo,,VE08,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:807,807,1603:45:16:862:0,1603:45:16:862:1:8,1603:45:16:862:2:807,Los Guayos,,VE0807,,,,,,Carabobo,,VE08,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:808,808,1603:45:16:862:0,1603:45:16:862:1:8,1603:45:16:862:2:808,Miranda,,VE0808,,,,,,Carabobo,,VE08,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:809,809,1603:45:16:862:0,1603:45:16:862:1:8,1603:45:16:862:2:809,Montalban,,VE0809,,,,,,Carabobo,,VE08,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:810,810,1603:45:16:862:0,1603:45:16:862:1:8,1603:45:16:862:2:810,Naguanagua,,VE0810,,,,,,Carabobo,,VE08,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:811,811,1603:45:16:862:0,1603:45:16:862:1:8,1603:45:16:862:2:811,Puerto Cabello,,VE0811,,,,,,Carabobo,,VE08,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:812,812,1603:45:16:862:0,1603:45:16:862:1:8,1603:45:16:862:2:812,San Diego,,VE0812,,,,,,Carabobo,,VE08,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:813,813,1603:45:16:862:0,1603:45:16:862:1:8,1603:45:16:862:2:813,San Joaquin,,VE0813,,,,,,Carabobo,,VE08,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:814,814,1603:45:16:862:0,1603:45:16:862:1:8,1603:45:16:862:2:814,Valencia,,VE0814,,,,,,Carabobo,,VE08,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:901,901,1603:45:16:862:0,1603:45:16:862:1:9,1603:45:16:862:2:901,Anzoategui,,VE0901,,,,,,Cojedes,,VE09,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:902,902,1603:45:16:862:0,1603:45:16:862:1:9,1603:45:16:862:2:902,Falcon,,VE0902,,,,,,Cojedes,,VE09,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:903,903,1603:45:16:862:0,1603:45:16:862:1:9,1603:45:16:862:2:903,Girardot,,VE0903,,,,,,Cojedes,,VE09,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:904,904,1603:45:16:862:0,1603:45:16:862:1:9,1603:45:16:862:2:904,Lima Blanco,,VE0904,,,,,,Cojedes,,VE09,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:905,905,1603:45:16:862:0,1603:45:16:862:1:9,1603:45:16:862:2:905,Pao De San Juan Ba,,VE0905,,,,,,Cojedes,,VE09,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:906,906,1603:45:16:862:0,1603:45:16:862:1:9,1603:45:16:862:2:906,Ricaurte,,VE0906,,,,,,Cojedes,,VE09,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:907,907,1603:45:16:862:0,1603:45:16:862:1:9,1603:45:16:862:2:907,Romulo Gallegos,,VE0907,,,,,,Cojedes,,VE09,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:908,908,1603:45:16:862:0,1603:45:16:862:1:9,1603:45:16:862:2:908,San Carlos,,VE0908,,,,,,Cojedes,,VE09,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
