#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm2+name+i_eng+is_latn,#adm2+name+i_ukr+is_cyrl,#adm2+name+i_rus+is_cyrl,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm2+name+alt1+i_ukr+is_cyrl,#adm2+name+alt2+i_ukr+is_cyrl,#adm2+name+alt1+i_rus+is_cyrl,#adm2+name+alt2+i_rus+is_cyrl,#adm1+name+i_eng+is_latn,#adm1+name+i_ukr+is_cyrl,#adm1+name+i_rus+is_cyrl,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_ukr+is_cyrl,#country+name+i_rus+is_cyrl,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:804:2:502,502,1603:45:16:804:0,1603:45:16:804:1:5,1603:45:16:804:2:502,Vinnytskyi,Вінницький,Винницкий,UA0502,,,,,,,,Vinnytska,Вінницька,Винницкая,UA05,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:504,504,1603:45:16:804:0,1603:45:16:804:1:5,1603:45:16:804:2:504,Haisynskyi,Гайсинський,Гайсинский,UA0504,,,,,,,,Vinnytska,Вінницька,Винницкая,UA05,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:506,506,1603:45:16:804:0,1603:45:16:804:1:5,1603:45:16:804:2:506,Zhmerynskyi,Жмеринський,Жмеринский,UA0506,,,,,,,,Vinnytska,Вінницька,Винницкая,UA05,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:508,508,1603:45:16:804:0,1603:45:16:804:1:5,1603:45:16:804:2:508,Mohyliv-Podilskyi,Могилів-Подільський,Могилев-Подольский,UA0508,,,,,,,,Vinnytska,Вінницька,Винницкая,UA05,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:510,510,1603:45:16:804:0,1603:45:16:804:1:5,1603:45:16:804:2:510,Tulchynskyi,Тульчинський,Тульчинский,UA0510,,,,,,,,Vinnytska,Вінницька,Винницкая,UA05,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:512,512,1603:45:16:804:0,1603:45:16:804:1:5,1603:45:16:804:2:512,Khmilnytskyi,Хмільницький,Хмельницкий,UA0512,,,,,,,,Vinnytska,Вінницька,Винницкая,UA05,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:702,702,1603:45:16:804:0,1603:45:16:804:1:7,1603:45:16:804:2:702,Volodymyr-Volynskyi,Володимир-Волинський,Владимир-Волынский,UA0702,,,,,,,,Volynska,Волинська,Волынская,UA07,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:704,704,1603:45:16:804:0,1603:45:16:804:1:7,1603:45:16:804:2:704,Kamin-Kashyrskyi,Камінь-Каширський,Камень-Каширский,UA0704,,,,,,,,Volynska,Волинська,Волынская,UA07,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:706,706,1603:45:16:804:0,1603:45:16:804:1:7,1603:45:16:804:2:706,Kovelskyi,Ковельський,Ковельский,UA0706,,,,,,,,Volynska,Волинська,Волынская,UA07,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:708,708,1603:45:16:804:0,1603:45:16:804:1:7,1603:45:16:804:2:708,Lutskyi,Луцький,Луцкий,UA0708,,,,,,,,Volynska,Волинська,Волынская,UA07,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:1202,1202,1603:45:16:804:0,1603:45:16:804:1:12,1603:45:16:804:2:1202,Dniprovskyi,Дніпровський,Днипровский,UA1202,,,,,,,,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:1204,1204,1603:45:16:804:0,1603:45:16:804:1:12,1603:45:16:804:2:1204,Kamianskyi,Кам’янський,Каменский,UA1204,,,,,,,,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:1206,1206,1603:45:16:804:0,1603:45:16:804:1:12,1603:45:16:804:2:1206,Kryvorizkyi,Криворізький,Криворожский,UA1206,,,,,,,,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:1208,1208,1603:45:16:804:0,1603:45:16:804:1:12,1603:45:16:804:2:1208,Nikopolskyi,Нікопольський,Никопольский,UA1208,,,,,,,,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:1210,1210,1603:45:16:804:0,1603:45:16:804:1:12,1603:45:16:804:2:1210,Novomoskovskyi,Новомосковський,Новомосковский,UA1210,,,,,,,,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:1212,1212,1603:45:16:804:0,1603:45:16:804:1:12,1603:45:16:804:2:1212,Pavlohradskyi,Павлоградський,Павлоградский,UA1212,,,,,,,,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:1214,1214,1603:45:16:804:0,1603:45:16:804:1:12,1603:45:16:804:2:1214,Synelnykivskyi,Синельниківський,Синельниковский,UA1214,,,,,,,,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:1402,1402,1603:45:16:804:0,1603:45:16:804:1:14,1603:45:16:804:2:1402,Bakhmutskyi,Бахмутський,Бахмутский,UA1402,,,,,,,,Donetska,Донецька,Донецкая,UA14,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:1404,1404,1603:45:16:804:0,1603:45:16:804:1:14,1603:45:16:804:2:1404,Volnovaskyi,Волноваський,Волновахский,UA1404,,,,,,,,Donetska,Донецька,Донецкая,UA14,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:1406,1406,1603:45:16:804:0,1603:45:16:804:1:14,1603:45:16:804:2:1406,Horlivskyi,Горлівський,Горловский,UA1406,,,,,,,,Donetska,Донецька,Донецкая,UA14,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:1408,1408,1603:45:16:804:0,1603:45:16:804:1:14,1603:45:16:804:2:1408,Donetskyi,Донецький,Донецкий,UA1408,,,,,,,,Donetska,Донецька,Донецкая,UA14,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:1410,1410,1603:45:16:804:0,1603:45:16:804:1:14,1603:45:16:804:2:1410,Kalmiuskyi,Кальміуський,Кальмиусский,UA1410,,,,,,,,Donetska,Донецька,Донецкая,UA14,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:1412,1412,1603:45:16:804:0,1603:45:16:804:1:14,1603:45:16:804:2:1412,Kramatorskyi,Краматорський,Краматорский,UA1412,,,,,,,,Donetska,Донецька,Донецкая,UA14,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:1414,1414,1603:45:16:804:0,1603:45:16:804:1:14,1603:45:16:804:2:1414,Mariupolskyi,Маріупольський,Мариупольский,UA1414,,,,,,,,Donetska,Донецька,Донецкая,UA14,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:1416,1416,1603:45:16:804:0,1603:45:16:804:1:14,1603:45:16:804:2:1416,Pokrovskyi,Покровський,Покровский,UA1416,,,,,,,,Donetska,Донецька,Донецкая,UA14,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:1802,1802,1603:45:16:804:0,1603:45:16:804:1:18,1603:45:16:804:2:1802,Berdychivskyi,Бердичівський,Бердичевский,UA1802,,,,,,,,Zhytomyrska,Житомирська,Житомирская,UA18,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:1804,1804,1603:45:16:804:0,1603:45:16:804:1:18,1603:45:16:804:2:1804,Zhytomyrskyi,Житомирський,Житомирский,UA1804,,,,,,,,Zhytomyrska,Житомирська,Житомирская,UA18,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:1806,1806,1603:45:16:804:0,1603:45:16:804:1:18,1603:45:16:804:2:1806,Korostenskyi,Коростенський,Коростенский,UA1806,,,,,,,,Zhytomyrska,Житомирська,Житомирская,UA18,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:1808,1808,1603:45:16:804:0,1603:45:16:804:1:18,1603:45:16:804:2:1808,Novohrad-Volynskyi,Новоград-Волинський,Новоград-Волынский,UA1808,,,,,,,,Zhytomyrska,Житомирська,Житомирская,UA18,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:2102,2102,1603:45:16:804:0,1603:45:16:804:1:21,1603:45:16:804:2:2102,Berehivskyi,Берегівський,Береговский,UA2102,,,,,,,,Zakarpatska,Закарпатська,Закарпатская,UA21,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:2104,2104,1603:45:16:804:0,1603:45:16:804:1:21,1603:45:16:804:2:2104,Mukachivskyi,Мукачівський,Мукачевский,UA2104,,,,,,,,Zakarpatska,Закарпатська,Закарпатская,UA21,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:2106,2106,1603:45:16:804:0,1603:45:16:804:1:21,1603:45:16:804:2:2106,Rakhivskyi,Рахівський,Раховский,UA2106,,,,,,,,Zakarpatska,Закарпатська,Закарпатская,UA21,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:2108,2108,1603:45:16:804:0,1603:45:16:804:1:21,1603:45:16:804:2:2108,Tiachivskyi,Тячівський,Тячевский,UA2108,,,,,,,,Zakarpatska,Закарпатська,Закарпатская,UA21,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:2110,2110,1603:45:16:804:0,1603:45:16:804:1:21,1603:45:16:804:2:2110,Uzhhorodskyi,Ужгородський,Ужгородский,UA2110,,,,,,,,Zakarpatska,Закарпатська,Закарпатская,UA21,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:2112,2112,1603:45:16:804:0,1603:45:16:804:1:21,1603:45:16:804:2:2112,Khustskyi,Хустський,Хустский,UA2112,,,,,,,,Zakarpatska,Закарпатська,Закарпатская,UA21,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:2302,2302,1603:45:16:804:0,1603:45:16:804:1:23,1603:45:16:804:2:2302,Berdianskyi,Бердянський,Бердянский,UA2302,,,,,,,,Zaporizka,Запорізька,Запорожская,UA23,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:2304,2304,1603:45:16:804:0,1603:45:16:804:1:23,1603:45:16:804:2:2304,Vasylivskyi,Василівський,Васильевский,UA2304,,,,,,,,Zaporizka,Запорізька,Запорожская,UA23,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:2306,2306,1603:45:16:804:0,1603:45:16:804:1:23,1603:45:16:804:2:2306,Zaporizkyi,Запорізький,Запорожский,UA2306,,,,,,,,Zaporizka,Запорізька,Запорожская,UA23,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:2308,2308,1603:45:16:804:0,1603:45:16:804:1:23,1603:45:16:804:2:2308,Melitopolskyi,Мелітопольський,Мелитопольский,UA2308,,,,,,,,Zaporizka,Запорізька,Запорожская,UA23,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:2310,2310,1603:45:16:804:0,1603:45:16:804:1:23,1603:45:16:804:2:2310,Polohivskyi,Пологівський,Пологовский,UA2310,,,,,,,,Zaporizka,Запорізька,Запорожская,UA23,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:2602,2602,1603:45:16:804:0,1603:45:16:804:1:26,1603:45:16:804:2:2602,Verkhovynskyi,Верховинський,Верховинский,UA2602,,,,,,,,Ivano-Frankivska,Івано-Франківська,Ивано-Франковская,UA26,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:2604,2604,1603:45:16:804:0,1603:45:16:804:1:26,1603:45:16:804:2:2604,Ivano-Frankivskyi,Івано-Франківський,Ивано-Франковский,UA2604,,,,,,,,Ivano-Frankivska,Івано-Франківська,Ивано-Франковская,UA26,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:2606,2606,1603:45:16:804:0,1603:45:16:804:1:26,1603:45:16:804:2:2606,Kaluskyi,Калуський,Калушский,UA2606,,,,,,,,Ivano-Frankivska,Івано-Франківська,Ивано-Франковская,UA26,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:2608,2608,1603:45:16:804:0,1603:45:16:804:1:26,1603:45:16:804:2:2608,Kolomyiskyi,Коломийський,Коломыйский,UA2608,,,,,,,,Ivano-Frankivska,Івано-Франківська,Ивано-Франковская,UA26,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:2610,2610,1603:45:16:804:0,1603:45:16:804:1:26,1603:45:16:804:2:2610,Kosivskyi,Косівський,Косовский,UA2610,,,,,,,,Ivano-Frankivska,Івано-Франківська,Ивано-Франковская,UA26,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:2612,2612,1603:45:16:804:0,1603:45:16:804:1:26,1603:45:16:804:2:2612,Nadvirnianskyi,Надвірнянський,Надворнянский,UA2612,,,,,,,,Ivano-Frankivska,Івано-Франківська,Ивано-Франковская,UA26,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:3200,3200,1603:45:16:804:0,1603:45:16:804:1:32,1603:45:16:804:2:3200,Chornobylska zona vidchuzhennia,Чорнобильська зона відчуження,Чернобыльская зона отчуждения,UA3200,,,,,,,,Kyivska,Київська,Киевская,UA32,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:3202,3202,1603:45:16:804:0,1603:45:16:804:1:32,1603:45:16:804:2:3202,Bilotserkivskyi,Білоцерківський,Белоцерковский,UA3202,,,,,,,,Kyivska,Київська,Киевская,UA32,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:3204,3204,1603:45:16:804:0,1603:45:16:804:1:32,1603:45:16:804:2:3204,Boryspilskyi,Бориспільський,Бориспольский,UA3204,,,,,,,,Kyivska,Київська,Киевская,UA32,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:3206,3206,1603:45:16:804:0,1603:45:16:804:1:32,1603:45:16:804:2:3206,Brovarskyi,Броварський,Броварский,UA3206,,,,,,,,Kyivska,Київська,Киевская,UA32,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:3208,3208,1603:45:16:804:0,1603:45:16:804:1:32,1603:45:16:804:2:3208,Buchanskyi,Бучанський,Бучанский,UA3208,,,,,,,,Kyivska,Київська,Киевская,UA32,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:3210,3210,1603:45:16:804:0,1603:45:16:804:1:32,1603:45:16:804:2:3210,Vyshhorodskyi,Вишгородський,Вышгородский,UA3210,,,,,,,,Kyivska,Київська,Киевская,UA32,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:3212,3212,1603:45:16:804:0,1603:45:16:804:1:32,1603:45:16:804:2:3212,Obukhivskyi,Обухівський,Обуховский,UA3212,,,,,,,,Kyivska,Київська,Киевская,UA32,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:3214,3214,1603:45:16:804:0,1603:45:16:804:1:32,1603:45:16:804:2:3214,Fastivskyi,Фастівський,Фастовский,UA3214,,,,,,,,Kyivska,Київська,Киевская,UA32,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:3502,3502,1603:45:16:804:0,1603:45:16:804:1:35,1603:45:16:804:2:3502,Holovanivskyi,Голованівський,Голованевский,UA3502,,,,,,,,Kirovohradska,Кіровоградська,Кировоградская,UA35,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:3504,3504,1603:45:16:804:0,1603:45:16:804:1:35,1603:45:16:804:2:3504,Kropyvnytskyi,Кропивницький,Кропивницкий,UA3504,,,,,,,,Kirovohradska,Кіровоградська,Кировоградская,UA35,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:3506,3506,1603:45:16:804:0,1603:45:16:804:1:35,1603:45:16:804:2:3506,Novoukrainskyi,Новоукраїнський,Новоукраинский,UA3506,,,,,,,,Kirovohradska,Кіровоградська,Кировоградская,UA35,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:3508,3508,1603:45:16:804:0,1603:45:16:804:1:35,1603:45:16:804:2:3508,Oleksandriiskyi,Олександрійський,Александрийский,UA3508,,,,,,,,Kirovohradska,Кіровоградська,Кировоградская,UA35,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:4402,4402,1603:45:16:804:0,1603:45:16:804:1:44,1603:45:16:804:2:4402,Alchevskyi,Алчевський,Алчевский,UA4402,,,,,,,,Luhanska,Луганська,Луганская,UA44,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:4404,4404,1603:45:16:804:0,1603:45:16:804:1:44,1603:45:16:804:2:4404,Dovzhanskyi,Довжанський,Должанский,UA4404,,,,,,,,Luhanska,Луганська,Луганская,UA44,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:4406,4406,1603:45:16:804:0,1603:45:16:804:1:44,1603:45:16:804:2:4406,Luhanskyi,Луганський,Луганский,UA4406,,,,,,,,Luhanska,Луганська,Луганская,UA44,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:4408,4408,1603:45:16:804:0,1603:45:16:804:1:44,1603:45:16:804:2:4408,Rovenkivskyi,Ровеньківський,Ровеньковский,UA4408,,,,,,,,Luhanska,Луганська,Луганская,UA44,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:4410,4410,1603:45:16:804:0,1603:45:16:804:1:44,1603:45:16:804:2:4410,Svativskyi,Сватівський,Сватовский,UA4410,,,,,,,,Luhanska,Луганська,Луганская,UA44,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:4412,4412,1603:45:16:804:0,1603:45:16:804:1:44,1603:45:16:804:2:4412,Sievierodonetskyi,Сєвєродонецький,Северодонецкий,UA4412,,,,,,,,Luhanska,Луганська,Луганская,UA44,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:4414,4414,1603:45:16:804:0,1603:45:16:804:1:44,1603:45:16:804:2:4414,Starobilskyi,Старобільський,Старобельский,UA4414,,,,,,,,Luhanska,Луганська,Луганская,UA44,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:4416,4416,1603:45:16:804:0,1603:45:16:804:1:44,1603:45:16:804:2:4416,Shchastynskyi,Щастинський,Счастьинский,UA4416,,,,,,,,Luhanska,Луганська,Луганская,UA44,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:4602,4602,1603:45:16:804:0,1603:45:16:804:1:46,1603:45:16:804:2:4602,Drohobytskyi,Дрогобицький,Дрогобычский,UA4602,,,,,,,,Lvivska,Львівська,Львовская,UA46,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:4604,4604,1603:45:16:804:0,1603:45:16:804:1:46,1603:45:16:804:2:4604,Zolochivskyi,Золочівський,Золочевский,UA4604,,,,,,,,Lvivska,Львівська,Львовская,UA46,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:4606,4606,1603:45:16:804:0,1603:45:16:804:1:46,1603:45:16:804:2:4606,Lvivskyi,Львівський,Львовский,UA4606,,,,,,,,Lvivska,Львівська,Львовская,UA46,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:4608,4608,1603:45:16:804:0,1603:45:16:804:1:46,1603:45:16:804:2:4608,Sambirskyi,Самбірський,Самборский,UA4608,,,,,,,,Lvivska,Львівська,Львовская,UA46,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:4610,4610,1603:45:16:804:0,1603:45:16:804:1:46,1603:45:16:804:2:4610,Stryiskyi,Стрийський,Стрыйский,UA4610,,,,,,,,Lvivska,Львівська,Львовская,UA46,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:4612,4612,1603:45:16:804:0,1603:45:16:804:1:46,1603:45:16:804:2:4612,Chervonohradskyi,Червоноградський,Червоноградский,UA4612,,,,,,,,Lvivska,Львівська,Львовская,UA46,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:4614,4614,1603:45:16:804:0,1603:45:16:804:1:46,1603:45:16:804:2:4614,Yavorivskyi,Яворівський,Яворовский,UA4614,,,,,,,,Lvivska,Львівська,Львовская,UA46,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:4802,4802,1603:45:16:804:0,1603:45:16:804:1:48,1603:45:16:804:2:4802,Bashtanskyi,Баштанський,Баштанский,UA4802,,,,,,,,Mykolaivska,Миколаївська,Николаевская,UA48,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:4804,4804,1603:45:16:804:0,1603:45:16:804:1:48,1603:45:16:804:2:4804,Voznesenskyi,Вознесенський,Вознесенский,UA4804,,,,,,,,Mykolaivska,Миколаївська,Николаевская,UA48,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:4806,4806,1603:45:16:804:0,1603:45:16:804:1:48,1603:45:16:804:2:4806,Mykolaivskyi,Миколаївський,Николаевский,UA4806,,,,,,,,Mykolaivska,Миколаївська,Николаевская,UA48,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:4808,4808,1603:45:16:804:0,1603:45:16:804:1:48,1603:45:16:804:2:4808,Pervomaiskyi,Первомайський,Первомайский,UA4808,,,,,,,,Mykolaivska,Миколаївська,Николаевская,UA48,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:5102,5102,1603:45:16:804:0,1603:45:16:804:1:51,1603:45:16:804:2:5102,Berezivskyi,Березівський,Березовский,UA5102,,,,,,,,Odeska,Одеська,Одесская,UA51,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
