#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:152:2:82,82,1603:45:16:152:0,1603:45:16:152:1:8,1603:45:16:152:2:82,Arauco,CL082,,,,Región del Bío-Bío,CL08,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:83,83,1603:45:16:152:0,1603:45:16:152:1:8,1603:45:16:152:2:83,Bío-Bío,CL083,Bio-Bio,,,Región del Bío-Bío,CL08,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:91,91,1603:45:16:152:0,1603:45:16:152:1:9,1603:45:16:152:2:91,Cautín,CL091,Cautin,,,Región de La Araucanía,CL09,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:92,92,1603:45:16:152:0,1603:45:16:152:1:9,1603:45:16:152:2:92,Malleco,CL092,,,,Región de La Araucanía,CL09,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:101,101,1603:45:16:152:0,1603:45:16:152:1:10,1603:45:16:152:2:101,Llanquihue,CL101,,,,Región de Los Lagos,CL10,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:102,102,1603:45:16:152:0,1603:45:16:152:1:10,1603:45:16:152:2:102,Chiloe,CL102,,,,Región de Los Lagos,CL10,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:103,103,1603:45:16:152:0,1603:45:16:152:1:10,1603:45:16:152:2:103,Osorno,CL103,,,,Región de Los Lagos,CL10,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:104,104,1603:45:16:152:0,1603:45:16:152:1:10,1603:45:16:152:2:104,Palena,CL104,,,,Región de Los Lagos,CL10,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:111,111,1603:45:16:152:0,1603:45:16:152:1:11,1603:45:16:152:2:111,Coyhaique,CL111,,,,Región de Aysén del Gral. Ibañez del Campo,CL11,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:112,112,1603:45:16:152:0,1603:45:16:152:1:11,1603:45:16:152:2:112,Aysén,CL112,Aysen,,,Región de Aysén del Gral. Ibañez del Campo,CL11,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:113,113,1603:45:16:152:0,1603:45:16:152:1:11,1603:45:16:152:2:113,Capitán Prat,CL113,Capitan Prat,,,Región de Aysén del Gral. Ibañez del Campo,CL11,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:114,114,1603:45:16:152:0,1603:45:16:152:1:11,1603:45:16:152:2:114,General Carrera,CL114,,,,Región de Aysén del Gral. Ibañez del Campo,CL11,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:121,121,1603:45:16:152:0,1603:45:16:152:1:12,1603:45:16:152:2:121,Magallanes,CL121,,,,Región de Magallanes y Antártica Chilena,CL12,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:122,122,1603:45:16:152:0,1603:45:16:152:1:12,1603:45:16:152:2:122,Antártica Chilena,CL122,Antartica Chilena,,,Región de Magallanes y Antártica Chilena,CL12,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:123,123,1603:45:16:152:0,1603:45:16:152:1:12,1603:45:16:152:2:123,Tierra del Fuego,CL123,,,,Región de Magallanes y Antártica Chilena,CL12,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:124,124,1603:45:16:152:0,1603:45:16:152:1:12,1603:45:16:152:2:124,Ultima Esperanza,CL124,,,,Región de Magallanes y Antártica Chilena,CL12,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:131,131,1603:45:16:152:0,1603:45:16:152:1:13,1603:45:16:152:2:131,Santiago,CL131,,,,Región Metropolitana de Santiago,CL13,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:132,132,1603:45:16:152:0,1603:45:16:152:1:13,1603:45:16:152:2:132,Cordillera,CL132,,,,Región Metropolitana de Santiago,CL13,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:133,133,1603:45:16:152:0,1603:45:16:152:1:13,1603:45:16:152:2:133,Chacabuco,CL133,,,,Región Metropolitana de Santiago,CL13,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:134,134,1603:45:16:152:0,1603:45:16:152:1:13,1603:45:16:152:2:134,Maipo,CL134,,,,Región Metropolitana de Santiago,CL13,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:135,135,1603:45:16:152:0,1603:45:16:152:1:13,1603:45:16:152:2:135,Melipilla,CL135,,,,Región Metropolitana de Santiago,CL13,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:136,136,1603:45:16:152:0,1603:45:16:152:1:13,1603:45:16:152:2:136,Talagante,CL136,,,,Región Metropolitana de Santiago,CL13,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:141,141,1603:45:16:152:0,1603:45:16:152:1:14,1603:45:16:152:2:141,Valdivia,CL141,,,,Región de Los Ríos,CL14,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:142,142,1603:45:16:152:0,1603:45:16:152:1:14,1603:45:16:152:2:142,Ranco,CL142,,,,Región de Los Ríos,CL14,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:151,151,1603:45:16:152:0,1603:45:16:152:1:15,1603:45:16:152:2:151,Arica,CL151,,,,Región de Arica y Parinacota,CL15,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:152,152,1603:45:16:152:0,1603:45:16:152:1:15,1603:45:16:152:2:152,Parinacota,CL152,,,,Región de Arica y Parinacota,CL15,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:161,161,1603:45:16:152:0,1603:45:16:152:1:16,1603:45:16:152:2:161,Diguillín,CL161,Diguillin,,,Región de Ñuble,CL16,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:162,162,1603:45:16:152:0,1603:45:16:152:1:16,1603:45:16:152:2:162,Itata,CL162,,,,Región de Ñuble,CL16,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:163,163,1603:45:16:152:0,1603:45:16:152:1:16,1603:45:16:152:2:163,Punilla,CL163,,,,Región de Ñuble,CL16,Chile,CL,2021-08-03,2021-11-13,
