Codicem,Statūs conceptum [1-100] (/How well explained it is?/@eng-Latn),Statūs conceptum codicem [1-100] (/How likely stable the local code is?/@eng-Latn),Wikidata Property (P code),Wikidata Property (P code) meta,HXL hashtag BCP47 alias ,"HXL hashtag BCP47 alias, metadata",HXL hashtag vocabulary,"HXL hashtag, metadata"
343,1,1,P5930,/Open Food Facts ingredient ID/,,,,
344,1,1,P5949,/Unicode range/,,,,
345,1,1,P6001,/applies to people/,,,,
346,1,1,P6099,/clinical trial phase/,,,,
347,1,1,P6193,/ratified by/,,,,
348,1,1,P6216,/copyright status/,,,,
349,1,1,P6275,/copyright representative	/,,,,
350,1,1,P6333,/title of broader work/,,,,
351,1,1,P6339,/reports periodicity/,,,,
352,1,1,P6343,/urban population/,,,,
353,1,1,P6344,/rural population/,,,,
354,1,1,P6375,/street address/,,,,
355,1,1,P6498,/illiterate population/,,,,
356,1,1,P6499,/literate population/,,,,
357,1,1,P6440,/maintenance method/,,,,
358,1,1,P6500,/non-free artwork image URL/,,,,
359,1,1,P6507,/taxon author citation/,,,,
360,1,1,P6531,/observed in/,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
400,1,1,P4496,/NACE code/,,,,
401,1,1,P4511,/vertical depth/,,,,
402,1,1,P4575,/HTML entity/,,,,
403,1,1,P4602,/date of burial or cremation/,,,,
404,1,1,P4669,/tabular software version/,,,,
405,1,1,P4743,/animal breed/,,,,
406,1,1,P4841,/total fertility rate/,,,,
407,1,1,P4844,/research intervention/,,,,
408,1,1,P4222,/United Nations Treaty Series Volume Number/,,,,
409,1,1,P4231,/United Nations Treaty Series registration number/,,,,
410,1,1,P6512,/UN/CEFACT Common Code/,,,,
