#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt0,#meta+ERROR+adm3+code+v_pcode,#meta+ERROR+adm3+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#meta+ERROR+adm2+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:626:3:20402,20402,1603:45:16:626:0,1603:45:16:626:1:2,1603:45:16:626:2:204,1603:45:16:626:3:20402,Talitu,TL020402,,,,Laulara,TL0204,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:20403,20403,1603:45:16:626:0,1603:45:16:626:1:2,1603:45:16:626:2:204,1603:45:16:626:3:20403,Madabeno,TL020403,,,,Laulara,TL0204,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:20404,20404,1603:45:16:626:0,1603:45:16:626:1:2,1603:45:16:626:2:204,1603:45:16:626:3:20404,Tohumeta,TL020404,,,,Laulara,TL0204,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:20405,20405,1603:45:16:626:0,1603:45:16:626:1:2,1603:45:16:626:2:204,1603:45:16:626:3:20405,Fatisi,TL020405,,,,Laulara,TL0204,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30101,30101,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:301,1603:45:16:626:3:30101,Bahu,TL030101,,,,Baucau,TL0301,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30102,30102,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:301,1603:45:16:626:3:30102,Bucoli,TL030102,,,,Baucau,TL0301,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30103,30103,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:301,1603:45:16:626:3:30103,Buruma,TL030103,,,,Baucau,TL0301,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30104,30104,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:301,1603:45:16:626:3:30104,Buibau,TL030104,,,,Baucau,TL0301,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30105,30105,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:301,1603:45:16:626:3:30105,Wailili,TL030105,,,,Baucau,TL0301,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30106,30106,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:301,1603:45:16:626:3:30106,Samalari,TL030106,,,,Baucau,TL0301,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30107,30107,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:301,1603:45:16:626:3:30107,Fariuai,TL030107,,,,Baucau,TL0301,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30108,30108,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:301,1603:45:16:626:3:30108,Triloca,TL030108,,,,Baucau,TL0301,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30109,30109,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:301,1603:45:16:626:3:30109,Trilolo,TL030109,,,,Baucau,TL0301,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30110,30110,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:301,1603:45:16:626:3:30110,Seical,TL030110,,,,Baucau,TL0301,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30111,30111,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:301,1603:45:16:626:3:30111,Caibada,TL030111,,,,Baucau,TL0301,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30201,30201,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:302,1603:45:16:626:3:30201,Atelari,TL030201,,,,Laga,TL0302,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30202,30202,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:302,1603:45:16:626:3:30202,Tequino Mata,TL030202,,,,Laga,TL0302,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30203,30203,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:302,1603:45:16:626:3:30203,Soba,TL030203,,,,Laga,TL0302,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30204,30204,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:302,1603:45:16:626:3:30204,Samalari,TL030204,,,,Laga,TL0302,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30205,30205,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:302,1603:45:16:626:3:30205,Sagadati,TL030205,,,,Laga,TL0302,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30206,30206,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:302,1603:45:16:626:3:30206,Nunira,TL030206,,,,Laga,TL0302,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30207,30207,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:302,1603:45:16:626:3:30207,Libagua,TL030207,,,,Laga,TL0302,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30208,30208,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:302,1603:45:16:626:3:30208,Saelari,TL030208,,,,Laga,TL0302,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30301,30301,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:303,1603:45:16:626:3:30301,Baguia,TL030301,,,,Quelicai,TL0303,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30302,30302,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:303,1603:45:16:626:3:30302,Locoliu,TL030302,,,,Quelicai,TL0303,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30303,30303,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:303,1603:45:16:626:3:30303,Letemuno,TL030303,,,,Quelicai,TL0303,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30304,30304,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:303,1603:45:16:626:3:30304,Waitame,TL030304,,,,Quelicai,TL0303,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30305,30305,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:303,1603:45:16:626:3:30305,Macalaco,TL030305,,,,Quelicai,TL0303,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30306,30306,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:303,1603:45:16:626:3:30306,Bualale,TL030306,,,,Quelicai,TL0303,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30307,30307,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:303,1603:45:16:626:3:30307,Lelalai,TL030307,,,,Quelicai,TL0303,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30308,30308,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:303,1603:45:16:626:3:30308,Abo,TL030308,,,,Quelicai,TL0303,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30309,30309,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:303,1603:45:16:626:3:30309,Guruca,TL030309,,,,Quelicai,TL0303,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30310,30310,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:303,1603:45:16:626:3:30310,Afaca,TL030310,,,,Quelicai,TL0303,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30311,30311,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:303,1603:45:16:626:3:30311,Laisorolai de Cima,TL030311,,,,Quelicai,TL0303,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30312,30312,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:303,1603:45:16:626:3:30312,Laisorolai de Baixo,TL030312,,,,Quelicai,TL0303,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30313,30313,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:303,1603:45:16:626:3:30313,Maluro,TL030313,,,,Quelicai,TL0303,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30314,30314,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:303,1603:45:16:626:3:30314,Namanei,TL030314,,,,Quelicai,TL0303,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30315,30315,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:303,1603:45:16:626:3:30315,Abafala,TL030315,,,,Quelicai,TL0303,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30401,30401,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:304,1603:45:16:626:3:30401,Afaloicai,TL030401,,,,Baguia,TL0304,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30402,30402,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:304,1603:45:16:626:3:30402,Alaua Craic,TL030402,,,,Baguia,TL0304,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30403,30403,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:304,1603:45:16:626:3:30403,Alaua Leten,TL030403,,,,Baguia,TL0304,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30404,30404,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:304,1603:45:16:626:3:30404,Haeconi,TL030404,,,,Baguia,TL0304,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30405,30405,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:304,1603:45:16:626:3:30405,Ossu-Huna,TL030405,,,,Baguia,TL0304,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30406,30406,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:304,1603:45:16:626:3:30406,Lari Sula,TL030406,,,,Baguia,TL0304,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30407,30407,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:304,1603:45:16:626:3:30407,Samalari,TL030407,,,,Baguia,TL0304,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30408,30408,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:304,1603:45:16:626:3:30408,Defa Uassi,TL030408,,,,Baguia,TL0304,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30409,30409,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:304,1603:45:16:626:3:30409,Lavateri,TL030409,,,,Baguia,TL0304,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30410,30410,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:304,1603:45:16:626:3:30410,Uacala,TL030410,,,,Baguia,TL0304,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
