#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5003,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5003,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+name,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:591:3:40302,40302,1603:45:16:591:0,1603:45:16:591:1:4,1603:45:16:591:2:403,1603:45:16:591:3:40302,El Guásimo,PA040302,El Guasimo,,,Donoso,PA0403,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:40303,40303,1603:45:16:591:0,1603:45:16:591:1:4,1603:45:16:591:2:403,1603:45:16:591:3:40303,Gobea,PA040303,,,,Donoso,PA0403,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:40304,40304,1603:45:16:591:0,1603:45:16:591:1:4,1603:45:16:591:2:403,1603:45:16:591:3:40304,Miguel de la Borda,PA040304,Miguel de la Borda,,,Donoso,PA0403,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:40305,40305,1603:45:16:591:0,1603:45:16:591:1:4,1603:45:16:591:2:403,1603:45:16:591:3:40305,Río Indio,PA040305,Rio Indio,,,Donoso,PA0403,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:40306,40306,1603:45:16:591:0,1603:45:16:591:1:4,1603:45:16:591:2:403,1603:45:16:591:3:40306,San José del General,PA040306,San Jose del General,,,Donoso,PA0403,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:40401,40401,1603:45:16:591:0,1603:45:16:591:1:4,1603:45:16:591:2:404,1603:45:16:591:3:40401,Cacique,PA040401,,,,Portobelo,PA0404,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:40402,40402,1603:45:16:591:0,1603:45:16:591:1:4,1603:45:16:591:2:404,1603:45:16:591:3:40402,Garrote,PA040402,,,,Portobelo,PA0404,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:40403,40403,1603:45:16:591:0,1603:45:16:591:1:4,1603:45:16:591:2:404,1603:45:16:591:3:40403,Isla Grande,PA040403,Isla Grande,,,Portobelo,PA0404,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:40404,40404,1603:45:16:591:0,1603:45:16:591:1:4,1603:45:16:591:2:404,1603:45:16:591:3:40404,María Chiquita,PA040404,Maria Chiquita,,,Portobelo,PA0404,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:40405,40405,1603:45:16:591:0,1603:45:16:591:1:4,1603:45:16:591:2:404,1603:45:16:591:3:40405,Portobelo,PA040405,,,,Portobelo,PA0404,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:40501,40501,1603:45:16:591:0,1603:45:16:591:1:4,1603:45:16:591:2:405,1603:45:16:591:3:40501,Cuango,PA040501,,,,Santa Isabel,PA0405,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:40502,40502,1603:45:16:591:0,1603:45:16:591:1:4,1603:45:16:591:2:405,1603:45:16:591:3:40502,Miramar,PA040502,,,,Santa Isabel,PA0405,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:40503,40503,1603:45:16:591:0,1603:45:16:591:1:4,1603:45:16:591:2:405,1603:45:16:591:3:40503,Nombre de Dios,PA040503,Nombre de Dios,,,Santa Isabel,PA0405,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:40504,40504,1603:45:16:591:0,1603:45:16:591:1:4,1603:45:16:591:2:405,1603:45:16:591:3:40504,Palenque,PA040504,,,,Santa Isabel,PA0405,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:40505,40505,1603:45:16:591:0,1603:45:16:591:1:4,1603:45:16:591:2:405,1603:45:16:591:3:40505,Palmira,PA040505,,,,Santa Isabel,PA0405,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:40506,40506,1603:45:16:591:0,1603:45:16:591:1:4,1603:45:16:591:2:405,1603:45:16:591:3:40506,Playa Chiquita,PA040506,Playa Chiquita,,,Santa Isabel,PA0405,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:40507,40507,1603:45:16:591:0,1603:45:16:591:1:4,1603:45:16:591:2:405,1603:45:16:591:3:40507,Santa Isabel,PA040507,Santa Isabel,,,Santa Isabel,PA0405,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:40508,40508,1603:45:16:591:0,1603:45:16:591:1:4,1603:45:16:591:2:405,1603:45:16:591:3:40508,Viento Frío,PA040508,Viento Frio,,,Santa Isabel,PA0405,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:50101,50101,1603:45:16:591:0,1603:45:16:591:1:5,1603:45:16:591:2:501,1603:45:16:591:3:50101,Agua Fría,PA050101,Agua Fria,,,Chepigana,PA0501,Darién,PA05,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:50102,50102,1603:45:16:591:0,1603:45:16:591:1:5,1603:45:16:591:2:501,1603:45:16:591:3:50102,Camogantí,PA050102,Camoganti,,,Chepigana,PA0501,Darién,PA05,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:50103,50103,1603:45:16:591:0,1603:45:16:591:1:5,1603:45:16:591:2:501,1603:45:16:591:3:50103,Chepigana,PA050103,,,,Chepigana,PA0501,Darién,PA05,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:50104,50104,1603:45:16:591:0,1603:45:16:591:1:5,1603:45:16:591:2:501,1603:45:16:591:3:50104,Cucunatí,PA050104,Cucunati,,,Chepigana,PA0501,Darién,PA05,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:50105,50105,1603:45:16:591:0,1603:45:16:591:1:5,1603:45:16:591:2:501,1603:45:16:591:3:50105,Garachiné,PA050105,Garachine,,,Chepigana,PA0501,Darién,PA05,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:50106,50106,1603:45:16:591:0,1603:45:16:591:1:5,1603:45:16:591:2:501,1603:45:16:591:3:50106,Jaqué,PA050106,Jaque,,,Chepigana,PA0501,Darién,PA05,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:50107,50107,1603:45:16:591:0,1603:45:16:591:1:5,1603:45:16:591:2:501,1603:45:16:591:3:50107,La Palma,PA050107,La Palma,,,Chepigana,PA0501,Darién,PA05,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:50108,50108,1603:45:16:591:0,1603:45:16:591:1:5,1603:45:16:591:2:501,1603:45:16:591:3:50108,Puerto Piña,PA050108,Puerto Pina,,,Chepigana,PA0501,Darién,PA05,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:50109,50109,1603:45:16:591:0,1603:45:16:591:1:5,1603:45:16:591:2:501,1603:45:16:591:3:50109,Río Congo Arriba,PA050109,Rio Congo Arriba,,,Chepigana,PA0501,Darién,PA05,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:50110,50110,1603:45:16:591:0,1603:45:16:591:1:5,1603:45:16:591:2:501,1603:45:16:591:3:50110,Río Congo,PA050110,Rio Congo,,,Chepigana,PA0501,Darién,PA05,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:50111,50111,1603:45:16:591:0,1603:45:16:591:1:5,1603:45:16:591:2:501,1603:45:16:591:3:50111,Río Iglesias,PA050111,Rio Iglesias,,,Chepigana,PA0501,Darién,PA05,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:50112,50112,1603:45:16:591:0,1603:45:16:591:1:5,1603:45:16:591:2:501,1603:45:16:591:3:50112,Sambú,PA050112,Sambu,,,Chepigana,PA0501,Darién,PA05,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:50113,50113,1603:45:16:591:0,1603:45:16:591:1:5,1603:45:16:591:2:501,1603:45:16:591:3:50113,Santa Fé,PA050113,Santa Fe,,,Chepigana,PA0501,Darién,PA05,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:50114,50114,1603:45:16:591:0,1603:45:16:591:1:5,1603:45:16:591:2:501,1603:45:16:591:3:50114,Setegantí,PA050114,Seteganti,,,Chepigana,PA0501,Darién,PA05,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:50115,50115,1603:45:16:591:0,1603:45:16:591:1:5,1603:45:16:591:2:501,1603:45:16:591:3:50115,Taimatí,PA050115,Taimati,,,Chepigana,PA0501,Darién,PA05,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:50116,50116,1603:45:16:591:0,1603:45:16:591:1:5,1603:45:16:591:2:501,1603:45:16:591:3:50116,Tucutí,PA050116,Tucuti,,,Chepigana,PA0501,Darién,PA05,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:50201,50201,1603:45:16:591:0,1603:45:16:591:1:5,1603:45:16:591:2:502,1603:45:16:591:3:50201,Boca de Cupé,PA050201,Boca de Cupe,,,Pinogana,PA0502,Darién,PA05,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:50202,50202,1603:45:16:591:0,1603:45:16:591:1:5,1603:45:16:591:2:502,1603:45:16:591:3:50202,El Real de Santa María,PA050202,El Real de Santa Maria,,,Pinogana,PA0502,Darién,PA05,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:50203,50203,1603:45:16:591:0,1603:45:16:591:1:5,1603:45:16:591:2:502,1603:45:16:591:3:50203,Kuna de Wargandí,PA050203,Kuna de Wargandi,,,Pinogana,PA0502,Darién,PA05,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:50204,50204,1603:45:16:591:0,1603:45:16:591:1:5,1603:45:16:591:2:502,1603:45:16:591:3:50204,Metetí,PA050204,Meteti,,,Pinogana,PA0502,Darién,PA05,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:50205,50205,1603:45:16:591:0,1603:45:16:591:1:5,1603:45:16:591:2:502,1603:45:16:591:3:50205,Púcuro,PA050205,Pucuro,,,Pinogana,PA0502,Darién,PA05,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:50206,50206,1603:45:16:591:0,1603:45:16:591:1:5,1603:45:16:591:2:502,1603:45:16:591:3:50206,Paya,PA050206,,,,Pinogana,PA0502,Darién,PA05,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:50207,50207,1603:45:16:591:0,1603:45:16:591:1:5,1603:45:16:591:2:502,1603:45:16:591:3:50207,Pinogana,PA050207,,,,Pinogana,PA0502,Darién,PA05,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:50208,50208,1603:45:16:591:0,1603:45:16:591:1:5,1603:45:16:591:2:502,1603:45:16:591:3:50208,Yape,PA050208,,,,Pinogana,PA0502,Darién,PA05,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:50209,50209,1603:45:16:591:0,1603:45:16:591:1:5,1603:45:16:591:2:502,1603:45:16:591:3:50209,Yaviza,PA050209,,,,Pinogana,PA0502,Darién,PA05,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:60101,60101,1603:45:16:591:0,1603:45:16:591:1:6,1603:45:16:591:2:601,1603:45:16:591:3:60101,Cirilo Guainora,PA060101,Cirilo Guainora,,,Cémaco,PA0601,Emberá,PA06,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:60102,60102,1603:45:16:591:0,1603:45:16:591:1:6,1603:45:16:591:2:601,1603:45:16:591:3:60102,Lajas Blancas,PA060102,Lajas Blancas,,,Cémaco,PA0601,Emberá,PA06,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:60103,60103,1603:45:16:591:0,1603:45:16:591:1:6,1603:45:16:591:2:601,1603:45:16:591:3:60103,Manuel Ortega,PA060103,Manuel Ortega,,,Cémaco,PA0601,Emberá,PA06,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:60201,60201,1603:45:16:591:0,1603:45:16:591:1:6,1603:45:16:591:2:602,1603:45:16:591:3:60201,Jingurudó,PA060201,Jingurudo,,,Sambú,PA0602,Emberá,PA06,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:60202,60202,1603:45:16:591:0,1603:45:16:591:1:6,1603:45:16:591:2:602,1603:45:16:591:3:60202,Río Sábalo,PA060202,Rio Sabalo,,,Sambú,PA0602,Emberá,PA06,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:70101,70101,1603:45:16:591:0,1603:45:16:591:1:7,1603:45:16:591:2:701,1603:45:16:591:3:70101,Chitré,PA070101,Chitre,,,Chitré,PA0701,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:70102,70102,1603:45:16:591:0,1603:45:16:591:1:7,1603:45:16:591:2:701,1603:45:16:591:3:70102,La Arena,PA070102,La Arena,,,Chitré,PA0701,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:70103,70103,1603:45:16:591:0,1603:45:16:591:1:7,1603:45:16:591:2:701,1603:45:16:591:3:70103,Llano Bonito,PA070103,Llano Bonito,,,Chitré,PA0701,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:70104,70104,1603:45:16:591:0,1603:45:16:591:1:7,1603:45:16:591:2:701,1603:45:16:591:3:70104,Monagrillo,PA070104,,,,Chitré,PA0701,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:70105,70105,1603:45:16:591:0,1603:45:16:591:1:7,1603:45:16:591:2:701,1603:45:16:591:3:70105,San Juan Bautista,PA070105,San Juan Bautista,,,Chitré,PA0701,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:70201,70201,1603:45:16:591:0,1603:45:16:591:1:7,1603:45:16:591:2:702,1603:45:16:591:3:70201,Chepo,PA070201,,,,Las Minas,PA0702,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:70202,70202,1603:45:16:591:0,1603:45:16:591:1:7,1603:45:16:591:2:702,1603:45:16:591:3:70202,Chumical,PA070202,,,,Las Minas,PA0702,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:70203,70203,1603:45:16:591:0,1603:45:16:591:1:7,1603:45:16:591:2:702,1603:45:16:591:3:70203,El Toro,PA070203,El Toro,,,Las Minas,PA0702,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:70204,70204,1603:45:16:591:0,1603:45:16:591:1:7,1603:45:16:591:2:702,1603:45:16:591:3:70204,Las Minas,PA070204,Las Minas,,,Las Minas,PA0702,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:70205,70205,1603:45:16:591:0,1603:45:16:591:1:7,1603:45:16:591:2:702,1603:45:16:591:3:70205,Leones,PA070205,,,,Las Minas,PA0702,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:70206,70206,1603:45:16:591:0,1603:45:16:591:1:7,1603:45:16:591:2:702,1603:45:16:591:3:70206,Quebrada del Rosario,PA070206,Quebrada del Rosario,,,Las Minas,PA0702,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:70301,70301,1603:45:16:591:0,1603:45:16:591:1:7,1603:45:16:591:2:703,1603:45:16:591:3:70301,Capurí,PA070301,Capuri,,,Los Pozos,PA0703,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:70302,70302,1603:45:16:591:0,1603:45:16:591:1:7,1603:45:16:591:2:703,1603:45:16:591:3:70302,El Calabacito,PA070302,El Calabacito,,,Los Pozos,PA0703,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:70303,70303,1603:45:16:591:0,1603:45:16:591:1:7,1603:45:16:591:2:703,1603:45:16:591:3:70303,El Cedro,PA070303,El Cedro,,,Los Pozos,PA0703,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:70304,70304,1603:45:16:591:0,1603:45:16:591:1:7,1603:45:16:591:2:703,1603:45:16:591:3:70304,La Arena,PA070304,La Arena,,,Los Pozos,PA0703,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:70305,70305,1603:45:16:591:0,1603:45:16:591:1:7,1603:45:16:591:2:703,1603:45:16:591:3:70305,La Pitalosa,PA070305,La Pitalosa,,,Los Pozos,PA0703,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:70306,70306,1603:45:16:591:0,1603:45:16:591:1:7,1603:45:16:591:2:703,1603:45:16:591:3:70306,Los Cerritos,PA070306,Los Cerritos,,,Los Pozos,PA0703,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:70307,70307,1603:45:16:591:0,1603:45:16:591:1:7,1603:45:16:591:2:703,1603:45:16:591:3:70307,Los Cerros de Paja,PA070307,Los Cerros de Paja,,,Los Pozos,PA0703,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:70308,70308,1603:45:16:591:0,1603:45:16:591:1:7,1603:45:16:591:2:703,1603:45:16:591:3:70308,Los Pozos,PA070308,Los Pozos,,,Los Pozos,PA0703,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:70401,70401,1603:45:16:591:0,1603:45:16:591:1:7,1603:45:16:591:2:704,1603:45:16:591:3:70401,Cerro Largo,PA070401,Cerro Largo,,,Ocú,PA0704,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:70402,70402,1603:45:16:591:0,1603:45:16:591:1:7,1603:45:16:591:2:704,1603:45:16:591:3:70402,El Tijera,PA070402,El Tijera,,,Ocú,PA0704,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:70403,70403,1603:45:16:591:0,1603:45:16:591:1:7,1603:45:16:591:2:704,1603:45:16:591:3:70403,Llano Grande,PA070403,Llano Grande,,,Ocú,PA0704,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:70404,70404,1603:45:16:591:0,1603:45:16:591:1:7,1603:45:16:591:2:704,1603:45:16:591:3:70404,Los Llanos,PA070404,Los Llanos,,,Ocú,PA0704,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:70405,70405,1603:45:16:591:0,1603:45:16:591:1:7,1603:45:16:591:2:704,1603:45:16:591:3:70405,Ocú,PA070405,Ocu,,,Ocú,PA0704,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:70406,70406,1603:45:16:591:0,1603:45:16:591:1:7,1603:45:16:591:2:704,1603:45:16:591:3:70406,Peñas Chatas,PA070406,Penas Chatas,,,Ocú,PA0704,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:70501,70501,1603:45:16:591:0,1603:45:16:591:1:7,1603:45:16:591:2:705,1603:45:16:591:3:70501,Cabuya,PA070501,,,,Parita,PA0705,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:70502,70502,1603:45:16:591:0,1603:45:16:591:1:7,1603:45:16:591:2:705,1603:45:16:591:3:70502,Llano de la Cruz,PA070502,Llano de la Cruz,,,Parita,PA0705,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:70503,70503,1603:45:16:591:0,1603:45:16:591:1:7,1603:45:16:591:2:705,1603:45:16:591:3:70503,Los Castillos,PA070503,Los Castillos,,,Parita,PA0705,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:70504,70504,1603:45:16:591:0,1603:45:16:591:1:7,1603:45:16:591:2:705,1603:45:16:591:3:70504,París,PA070504,Paris,,,Parita,PA0705,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:70505,70505,1603:45:16:591:0,1603:45:16:591:1:7,1603:45:16:591:2:705,1603:45:16:591:3:70505,Parita,PA070505,,,,Parita,PA0705,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:70506,70506,1603:45:16:591:0,1603:45:16:591:1:7,1603:45:16:591:2:705,1603:45:16:591:3:70506,Portobelillo,PA070506,,,,Parita,PA0705,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:70507,70507,1603:45:16:591:0,1603:45:16:591:1:7,1603:45:16:591:2:705,1603:45:16:591:3:70507,Potuga,PA070507,,,,Parita,PA0705,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:70601,70601,1603:45:16:591:0,1603:45:16:591:1:7,1603:45:16:591:2:706,1603:45:16:591:3:70601,El Barrero,PA070601,El Barrero,,,Pesé,PA0706,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:70602,70602,1603:45:16:591:0,1603:45:16:591:1:7,1603:45:16:591:2:706,1603:45:16:591:3:70602,El Ciruelo,PA070602,El Ciruelo,,,Pesé,PA0706,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:70603,70603,1603:45:16:591:0,1603:45:16:591:1:7,1603:45:16:591:2:706,1603:45:16:591:3:70603,El Pájaro,PA070603,El Pajaro,,,Pesé,PA0706,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:70604,70604,1603:45:16:591:0,1603:45:16:591:1:7,1603:45:16:591:2:706,1603:45:16:591:3:70604,El Pedregoso,PA070604,El Pedregoso,,,Pesé,PA0706,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:70605,70605,1603:45:16:591:0,1603:45:16:591:1:7,1603:45:16:591:2:706,1603:45:16:591:3:70605,Las Cabras,PA070605,Las Cabras,,,Pesé,PA0706,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:70606,70606,1603:45:16:591:0,1603:45:16:591:1:7,1603:45:16:591:2:706,1603:45:16:591:3:70606,Pesé,PA070606,Pese,,,Pesé,PA0706,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:70607,70607,1603:45:16:591:0,1603:45:16:591:1:7,1603:45:16:591:2:706,1603:45:16:591:3:70607,Rincón Hondo,PA070607,Rincon Hondo,,,Pesé,PA0706,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:70608,70608,1603:45:16:591:0,1603:45:16:591:1:7,1603:45:16:591:2:706,1603:45:16:591:3:70608,Sabanagrande,PA070608,,,,Pesé,PA0706,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:70701,70701,1603:45:16:591:0,1603:45:16:591:1:7,1603:45:16:591:2:707,1603:45:16:591:3:70701,Chupampa,PA070701,,,,Santa María,PA0707,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:70702,70702,1603:45:16:591:0,1603:45:16:591:1:7,1603:45:16:591:2:707,1603:45:16:591:3:70702,El Limón,PA070702,El Limon,,,Santa María,PA0707,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:70703,70703,1603:45:16:591:0,1603:45:16:591:1:7,1603:45:16:591:2:707,1603:45:16:591:3:70703,El Rincón,PA070703,El Rincon,,,Santa María,PA0707,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:70704,70704,1603:45:16:591:0,1603:45:16:591:1:7,1603:45:16:591:2:707,1603:45:16:591:3:70704,Los Canelos,PA070704,Los Canelos,,,Santa María,PA0707,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:70705,70705,1603:45:16:591:0,1603:45:16:591:1:7,1603:45:16:591:2:707,1603:45:16:591:3:70705,Santa María,PA070705,Santa Maria,,,Santa María,PA0707,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:80101,80101,1603:45:16:591:0,1603:45:16:591:1:8,1603:45:16:591:2:801,1603:45:16:591:3:80101,Ailigandí,PA080101,Ailigandi,,,Kuna Yala,PA0801,Kuna Yala,PA08,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:80102,80102,1603:45:16:591:0,1603:45:16:591:1:8,1603:45:16:591:2:801,1603:45:16:591:3:80102,Narganá,PA080102,Nargana,,,Kuna Yala,PA0801,Kuna Yala,PA08,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:80103,80103,1603:45:16:591:0,1603:45:16:591:1:8,1603:45:16:591:2:801,1603:45:16:591:3:80103,Puerto Obaldía,PA080103,Puerto Obaldia,,,Kuna Yala,PA0801,Kuna Yala,PA08,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:80104,80104,1603:45:16:591:0,1603:45:16:591:1:8,1603:45:16:591:2:801,1603:45:16:591:3:80104,Tubualá,PA080104,Tubuala,,,Kuna Yala,PA0801,Kuna Yala,PA08,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:90101,90101,1603:45:16:591:0,1603:45:16:591:1:9,1603:45:16:591:2:901,1603:45:16:591:3:90101,El Espinal,PA090101,El Espinal,,,Guararé,PA0901,Los Santos,PA09,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:90102,90102,1603:45:16:591:0,1603:45:16:591:1:9,1603:45:16:591:2:901,1603:45:16:591:3:90102,El Hato,PA090102,El Hato,,,Guararé,PA0901,Los Santos,PA09,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:90103,90103,1603:45:16:591:0,1603:45:16:591:1:9,1603:45:16:591:2:901,1603:45:16:591:3:90103,El Macano,PA090103,El Macano,,,Guararé,PA0901,Los Santos,PA09,Panamá,PA,2020-06-15,2021-10-27,
