#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5003,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5003,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+name,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:591:3:20402,20402,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:204,1603:45:16:591:3:20402,Bajo Boquete,PA020402,Bajo Boquete,,,Boquete,PA0204,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20403,20403,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:204,1603:45:16:591:3:20403,Caldera,PA020403,,,,Boquete,PA0204,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20404,20404,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:204,1603:45:16:591:3:20404,Jaramillo,PA020404,,,,Boquete,PA0204,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20405,20405,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:204,1603:45:16:591:3:20405,Los Naranjos,PA020405,Los Naranjos,,,Boquete,PA0204,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20406,20406,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:204,1603:45:16:591:3:20406,Palmira,PA020406,,,,Boquete,PA0204,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20501,20501,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:205,1603:45:16:591:3:20501,Aserrío de Gariché,PA020501,Aserrio de Gariche,,,Bugaba,PA0205,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20502,20502,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:205,1603:45:16:591:3:20502,Bugaba,PA020502,,,,Bugaba,PA0205,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20503,20503,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:205,1603:45:16:591:3:20503,Cerro Punta,PA020503,Cerro Punta,,,Bugaba,PA0205,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20504,20504,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:205,1603:45:16:591:3:20504,El Bongo,PA020504,El Bongo,,,Bugaba,PA0205,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20505,20505,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:205,1603:45:16:591:3:20505,Gómez,PA020505,Gomez,,,Bugaba,PA0205,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
