qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,eng-Latn-r-pSKOS-pprefLabel-ps5002,rus-Cyrl-r-pSKOS-pprefLabel-ps5002,uzb-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,rus-Cyrl-r-pSKOS-pprefLabel-ps5001,uzb-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,rus-Cyrl-r-pSKOS-pprefLabel-ps5000,uzb-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:860:2:33226,33226,1603:45:16:860:0,1603:45:16:860:1:33,1603:45:16:860:2:33226,Khiva,Хивинский,Xiva,UZ33226,Khorezm,Хорезмская,Xorazm,UZ33,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:33230,33230,1603:45:16:860:0,1603:45:16:860:1:33,1603:45:16:860:2:33230,Shavat,Шаватский,Shovot,UZ33230,Khorezm,Хорезмская,Xorazm,UZ33,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:33233,33233,1603:45:16:860:0,1603:45:16:860:1:33,1603:45:16:860:2:33233,Yangiarik,Янгиарыкский,Yangiariq,UZ33233,Khorezm,Хорезмская,Xorazm,UZ33,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:33236,33236,1603:45:16:860:0,1603:45:16:860:1:33,1603:45:16:860:2:33236,Yangibazar,Янгибазарский,Yangibozor,UZ33236,Khorezm,Хорезмская,Xorazm,UZ33,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:33401,33401,1603:45:16:860:0,1603:45:16:860:1:33,1603:45:16:860:2:33401,Urgench city,г.Ургенч,Urganch ш.,UZ33401,Khorezm,Хорезмская,Xorazm,UZ33,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:33406,33406,1603:45:16:860:0,1603:45:16:860:1:33,1603:45:16:860:2:33406,Khiva city,г.Хивинский,Xiva ш.,UZ33406,Khorezm,Хорезмская,Xorazm,UZ33,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:35204,35204,1603:45:16:860:0,1603:45:16:860:1:35,1603:45:16:860:2:35204,Amudarya,Амударьинский,Amudaryo,UZ35204,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:35207,35207,1603:45:16:860:0,1603:45:16:860:1:35,1603:45:16:860:2:35207,Beruniy,Берунийский,Beruniy,UZ35207,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:35211,35211,1603:45:16:860:0,1603:45:16:860:1:35,1603:45:16:860:2:35211,Karauzyak,Караузякский,Qorao'zak,UZ35211,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:35212,35212,1603:45:16:860:0,1603:45:16:860:1:35,1603:45:16:860:2:35212,Kegeyli,Кегейлийский,Kegeyli,UZ35212,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:35215,35215,1603:45:16:860:0,1603:45:16:860:1:35,1603:45:16:860:2:35215,Kungrad,Кунградский,Qo'ng'irot,UZ35215,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:35218,35218,1603:45:16:860:0,1603:45:16:860:1:35,1603:45:16:860:2:35218,Kanlikul,Канлыкульский,Qanliko'l,UZ35218,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:35222,35222,1603:45:16:860:0,1603:45:16:860:1:35,1603:45:16:860:2:35222,Muynak,Муйнакский,Mo'ynoq,UZ35222,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:35225,35225,1603:45:16:860:0,1603:45:16:860:1:35,1603:45:16:860:2:35225,Nukus,Нукусский,Nukus,UZ35225,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:35230,35230,1603:45:16:860:0,1603:45:16:860:1:35,1603:45:16:860:2:35230,Takhtakupir,Тахтакупырский,Taxtako'pir,UZ35230,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:35233,35233,1603:45:16:860:0,1603:45:16:860:1:35,1603:45:16:860:2:35233,Turtkul,Турткульский,To'rtko'l,UZ35233,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:35236,35236,1603:45:16:860:0,1603:45:16:860:1:35,1603:45:16:860:2:35236,Khojeyli,Ходжейлийский,Xo'jayli,UZ35236,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:35240,35240,1603:45:16:860:0,1603:45:16:860:1:35,1603:45:16:860:2:35240,Chimbay,Чимбайский,Chimboy,UZ35240,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:35243,35243,1603:45:16:860:0,1603:45:16:860:1:35,1603:45:16:860:2:35243,Shumanay,Шуманайский,Shumanay,UZ35243,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:35250,35250,1603:45:16:860:0,1603:45:16:860:1:35,1603:45:16:860:2:35250,Ellikkala,Элликкалинский,Ellikkala,UZ35250,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:35401,35401,1603:45:16:860:0,1603:45:16:860:1:35,1603:45:16:860:2:35401,Nukus city,г.Нукус,Nukus ш.,UZ35401,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
