#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm2+name+i_fra+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_fra+is_latn,#adm2+name+alt2+i_fra+is_latn,#adm1+name+i_fra+is_latn,#adm1+code+v_pcode,#country+name+i_fra+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:148:2:1303,1303,1603:45:16:148:0,1603:45:16:148:1:13,1603:45:16:148:2:1303,Lac Iro,TD1303,Lac Iro,,,Moyen-Chari,TD13,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:1401,1401,1603:45:16:148:0,1603:45:16:148:1:14,1603:45:16:148:2:1401,Ouara,TD1401,Ouara,,,Ouaddaï,TD14,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:1402,1402,1603:45:16:148:0,1603:45:16:148:1:14,1603:45:16:148:2:1402,Abdi,TD1402,Abdi,,,Ouaddaï,TD14,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:1403,1403,1603:45:16:148:0,1603:45:16:148:1:14,1603:45:16:148:2:1403,Assoungha,TD1403,Assoungha,,,Ouaddaï,TD14,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:1501,1501,1603:45:16:148:0,1603:45:16:148:1:15,1603:45:16:148:2:1501,Bahr-Azoum,TD1501,Bahr-Azoum,,,Salamat,TD15,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:1502,1502,1603:45:16:148:0,1603:45:16:148:1:15,1603:45:16:148:2:1502,Aboudéia,TD1502,Aboudeia,,,Salamat,TD15,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:1503,1503,1603:45:16:148:0,1603:45:16:148:1:15,1603:45:16:148:2:1503,Haraze-Mangueigne,TD1503,Haraze-Mangueigne,,,Salamat,TD15,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:1601,1601,1603:45:16:148:0,1603:45:16:148:1:16,1603:45:16:148:2:1601,Tandjilé Est,TD1601,Tandjile Est,,,Tandjilé,TD16,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:1602,1602,1603:45:16:148:0,1603:45:16:148:1:16,1603:45:16:148:2:1602,Tandjile Ouest,TD1602,Tandjile Ouest,,,Tandjilé,TD16,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:1603,1603,1603:45:16:148:0,1603:45:16:148:1:16,1603:45:16:148:2:1603,Tandjilé Centre,TD1603,Tandjile Centre,,,Tandjilé,TD16,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:1701,1701,1603:45:16:148:0,1603:45:16:148:1:17,1603:45:16:148:2:1701,Biltine,TD1701,Biltine,,,Wadi Fira,TD17,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:1702,1702,1603:45:16:148:0,1603:45:16:148:1:17,1603:45:16:148:2:1702,Dar-Tama,TD1702,Dar-Tama,,,Wadi Fira,TD17,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:1703,1703,1603:45:16:148:0,1603:45:16:148:1:17,1603:45:16:148:2:1703,Kobé,TD1703,Kobe,,,Wadi Fira,TD17,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:1704,1704,1603:45:16:148:0,1603:45:16:148:1:17,1603:45:16:148:2:1704,Mégri,TD1704,Megri,,,Wadi Fira,TD17,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:1801,1801,1603:45:16:148:0,1603:45:16:148:1:18,1603:45:16:148:2:1801,N'Djaména,TD1801,NDjamena,,,N'Djamena,TD18,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:1901,1901,1603:45:16:148:0,1603:45:16:148:1:19,1603:45:16:148:2:1901,Barh-El-Gazel Sud,TD1901,Barh-El-Gazel Sud,,,Barh-El-Gazel,TD19,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:1902,1902,1603:45:16:148:0,1603:45:16:148:1:19,1603:45:16:148:2:1902,Barh-El-Gazel Nord,TD1902,Barh-El-Gazel Nord,,,Barh-El-Gazel,TD19,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:1903,1903,1603:45:16:148:0,1603:45:16:148:1:19,1603:45:16:148:2:1903,Barh-El-Gazel Ouest,TD1903,Barh-El-Gazel Ouest,,,Barh-El-Gazel,TD19,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:2001,2001,1603:45:16:148:0,1603:45:16:148:1:20,1603:45:16:148:2:2001,Am-Djarass,TD2001,Am-Djarass,,,Ennedi Est,TD20,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:2002,2002,1603:45:16:148:0,1603:45:16:148:1:20,1603:45:16:148:2:2002,Wadi Hawar,TD2002,Wadi Hawar,,,Ennedi Est,TD20,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:2101,2101,1603:45:16:148:0,1603:45:16:148:1:21,1603:45:16:148:2:2101,Kimiti,TD2101,Kimiti,,,Sila,TD21,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:2102,2102,1603:45:16:148:0,1603:45:16:148:1:21,1603:45:16:148:2:2102,Djourf Al Ahmar,TD2102,Djourf Al Ahmar,,,Sila,TD21,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:2201,2201,1603:45:16:148:0,1603:45:16:148:1:22,1603:45:16:148:2:2201,Tibesti Est,TD2201,Tibesti Est,,,Tibesti,TD22,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:2202,2202,1603:45:16:148:0,1603:45:16:148:1:22,1603:45:16:148:2:2202,Tibesti Ouest,TD2202,Tibesti Ouest,,,Tibesti,TD22,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:2301,2301,1603:45:16:148:0,1603:45:16:148:1:23,1603:45:16:148:2:2301,Fada,TD2301,Fada,,,Ennedi Ouest,TD23,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:2303,2303,1603:45:16:148:0,1603:45:16:148:1:23,1603:45:16:148:2:2303,Mourtcha,TD2303,Mourtcha,,,Ennedi Ouest,TD23,Tchad,TD,2016-07-01,2021-09-24,
