#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5003,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:231:3:10309,10309,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:103,1603:45:16:231:3:10309,Wukro town,ET010309,,,,Eastern,ET0103,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10310,10310,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:103,1603:45:16:231:3:10310,Bizet,ET010310,,,,Eastern,ET0103,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10311,10311,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:103,1603:45:16:231:3:10311,Edaga Hamus town,ET010311,,,,Eastern,ET0103,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10312,10312,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:103,1603:45:16:231:3:10312,Hawzen town,ET010312,,,,Eastern,ET0103,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10313,10313,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:103,1603:45:16:231:3:10313,Freweyni town,ET010313,,,,Eastern,ET0103,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10314,10314,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:103,1603:45:16:231:3:10314,Tsaeda Emba,ET010314,,,,Eastern,ET0103,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10315,10315,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:103,1603:45:16:231:3:10315,Atsbi town,ET010315,,,,Eastern,ET0103,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10316,10316,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:103,1603:45:16:231:3:10316,Agulae,ET010316,,Tsirae Wenberta,,Eastern,ET0103,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10317,10317,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:103,1603:45:16:231:3:10317,Geraleta,ET010317,,,,Eastern,ET0103,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10318,10318,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:103,1603:45:16:231:3:10318,Zala Anbesa town,ET010318,,,,Eastern,ET0103,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10401,10401,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:104,1603:45:16:231:3:10401,Selewa,ET010401,,,,Southern,ET0104,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10402,10402,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:104,1603:45:16:231:3:10402,Bora (TG),ET010402,,,,Southern,ET0104,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10403,10403,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:104,1603:45:16:231:3:10403,Neqsege,ET010403,,,,Southern,ET0104,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10404,10404,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:104,1603:45:16:231:3:10404,Emba Alaje,ET010404,,Alaje,,Southern,ET0104,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10405,10405,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:104,1603:45:16:231:3:10405,Endamehoni,ET010405,,,,Southern,ET0104,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10406,10406,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:104,1603:45:16:231:3:10406,Raya Azebo,ET010406,,,,Southern,ET0104,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10407,10407,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:104,1603:45:16:231:3:10407,Raya Alamata,ET010407,,,,Southern,ET0104,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10408,10408,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:104,1603:45:16:231:3:10408,Ofla,ET010408,,,,Southern,ET0104,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
