#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:368:2:501,501,1603:45:16:368:0,1603:45:16:368:1:5,1603:45:16:368:2:501,Afaq,عفك,IQG05Q01,,,,,,Al-Qadissiya,القادسية,IQG05,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:502,502,1603:45:16:368:0,1603:45:16:368:1:5,1603:45:16:368:2:502,Al-Diwaniya,الديوانية,IQG05Q02,,,,,,Al-Qadissiya,القادسية,IQG05,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:503,503,1603:45:16:368:0,1603:45:16:368:1:5,1603:45:16:368:2:503,Al-Hamza,الحمزة,IQG05Q03,,,,,,Al-Qadissiya,القادسية,IQG05,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:504,504,1603:45:16:368:0,1603:45:16:368:1:5,1603:45:16:368:2:504,Al-Shamiya,الشامية,IQG05Q04,,,,,,Al-Qadissiya,القادسية,IQG05,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:601,601,1603:45:16:368:0,1603:45:16:368:1:6,1603:45:16:368:2:601,Al-Sulaymaniyah,السليمانية,IQG06Q01,,,,,,Al-Sulaymaniyah,السليمانية,IQG06,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:602,602,1603:45:16:368:0,1603:45:16:368:1:6,1603:45:16:368:2:602,Chamchamal,جمجمال,IQG06Q02,,,,,,Al-Sulaymaniyah,السليمانية,IQG06,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:603,603,1603:45:16:368:0,1603:45:16:368:1:6,1603:45:16:368:2:603,Derbendikhan,دربندخان,IQG06Q03,,,,,,Al-Sulaymaniyah,السليمانية,IQG06,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:604,604,1603:45:16:368:0,1603:45:16:368:1:6,1603:45:16:368:2:604,Dokan,دوكان,IQG06Q04,,,,,,Al-Sulaymaniyah,السليمانية,IQG06,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:605,605,1603:45:16:368:0,1603:45:16:368:1:6,1603:45:16:368:2:605,Halabcha,حلبجة,IQG06Q05,,,,,,Al-Sulaymaniyah,السليمانية,IQG06,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:606,606,1603:45:16:368:0,1603:45:16:368:1:6,1603:45:16:368:2:606,Kalar,كلار,IQG06Q06,,,,,,Al-Sulaymaniyah,السليمانية,IQG06,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:607,607,1603:45:16:368:0,1603:45:16:368:1:6,1603:45:16:368:2:607,Panjwin,بنجوين,IQG06Q07,,,,,,Al-Sulaymaniyah,السليمانية,IQG06,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:608,608,1603:45:16:368:0,1603:45:16:368:1:6,1603:45:16:368:2:608,Pshdar,بشدر,IQG06Q08,,,,,,Al-Sulaymaniyah,السليمانية,IQG06,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:609,609,1603:45:16:368:0,1603:45:16:368:1:6,1603:45:16:368:2:609,Rania,رانية,IQG06Q09,,,,,,Al-Sulaymaniyah,السليمانية,IQG06,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:610,610,1603:45:16:368:0,1603:45:16:368:1:6,1603:45:16:368:2:610,Sharbazher,شهربازار,IQG06Q10,,,,,,Al-Sulaymaniyah,السليمانية,IQG06,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:701,701,1603:45:16:368:0,1603:45:16:368:1:7,1603:45:16:368:2:701,Al-Hashimiya,الهاشمية,IQG07Q01,,,,,,Babil,بابل,IQG07,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:702,702,1603:45:16:368:0,1603:45:16:368:1:7,1603:45:16:368:2:702,Al-Hilla,الحلة,IQG07Q02,,,,,,Babil,بابل,IQG07,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:703,703,1603:45:16:368:0,1603:45:16:368:1:7,1603:45:16:368:2:703,Al-Mahaweel,المحاويل,IQG07Q03,,,,,,Babil,بابل,IQG07,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:704,704,1603:45:16:368:0,1603:45:16:368:1:7,1603:45:16:368:2:704,Al-Mussyab,المسيب,IQG07Q04,,,,,,Babil,بابل,IQG07,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:801,801,1603:45:16:368:0,1603:45:16:368:1:8,1603:45:16:368:2:801,Al-Adhamiya,الاعظمية,IQG08Q01,,,,,,Baghdad,بغداد,IQG08,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:802,802,1603:45:16:368:0,1603:45:16:368:1:8,1603:45:16:368:2:802,Al-Kadhmiyah,الكاظمية,IQG08Q02,,,,,,Baghdad,بغداد,IQG08,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:803,803,1603:45:16:368:0,1603:45:16:368:1:8,1603:45:16:368:2:803,Al-Karkh,الكرخ,IQG08Q03,,,,,,Baghdad,بغداد,IQG08,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:804,804,1603:45:16:368:0,1603:45:16:368:1:8,1603:45:16:368:2:804,Al-Mada'in,المدائن,IQG08Q04,Al-Madain,,,,,Baghdad,بغداد,IQG08,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:805,805,1603:45:16:368:0,1603:45:16:368:1:8,1603:45:16:368:2:805,Al-Mahmoudiya,المحمودية,IQG08Q05,,,,,,Baghdad,بغداد,IQG08,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:806,806,1603:45:16:368:0,1603:45:16:368:1:8,1603:45:16:368:2:806,Al-Risafa,الرصافة,IQG08Q06,,,,,,Baghdad,بغداد,IQG08,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:807,807,1603:45:16:368:0,1603:45:16:368:1:8,1603:45:16:368:2:807,Al-Thawra,الثورة,IQG08Q07,,,,,,Baghdad,بغداد,IQG08,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:901,901,1603:45:16:368:0,1603:45:16:368:1:9,1603:45:16:368:2:901,Al-Amadiya,العمادية,IQG09Q01,,,,,,Duhok,دهوك,IQG09,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:902,902,1603:45:16:368:0,1603:45:16:368:1:9,1603:45:16:368:2:902,Duhok,دهوك,IQG09Q02,,,,,,Duhok,دهوك,IQG09,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:903,903,1603:45:16:368:0,1603:45:16:368:1:9,1603:45:16:368:2:903,Sumail,سميل,IQG09Q03,,,,,,Duhok,دهوك,IQG09,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:904,904,1603:45:16:368:0,1603:45:16:368:1:9,1603:45:16:368:2:904,Zakho,زاخو,IQG09Q04,,,,,,Duhok,دهوك,IQG09,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1001,1001,1603:45:16:368:0,1603:45:16:368:1:10,1603:45:16:368:2:1001,Al-Khalis,الخالص,IQG10Q01,,,,,,Diyala,ديالى,IQG10,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1002,1002,1603:45:16:368:0,1603:45:16:368:1:10,1603:45:16:368:2:1002,Al-Muqdadiya,المقدادية,IQG10Q02,,,,,,Diyala,ديالى,IQG10,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1003,1003,1603:45:16:368:0,1603:45:16:368:1:10,1603:45:16:368:2:1003,Baladruz,مندلي,IQG10Q03,,,,,,Diyala,ديالى,IQG10,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1004,1004,1603:45:16:368:0,1603:45:16:368:1:10,1603:45:16:368:2:1004,Baquba,بعقوبة,IQG10Q04,,,,,,Diyala,ديالى,IQG10,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1005,1005,1603:45:16:368:0,1603:45:16:368:1:10,1603:45:16:368:2:1005,Khanaqin,خانقين,IQG10Q05,,,,,,Diyala,ديالى,IQG10,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1006,1006,1603:45:16:368:0,1603:45:16:368:1:10,1603:45:16:368:2:1006,Kifri,كفري,IQG10Q06,,,,,,Diyala,ديالى,IQG10,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1101,1101,1603:45:16:368:0,1603:45:16:368:1:11,1603:45:16:368:2:1101,Al-Zibar,الزيبار,IQG11Q01,,,,,,Erbil,اربيل,IQG11,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1102,1102,1603:45:16:368:0,1603:45:16:368:1:11,1603:45:16:368:2:1102,Erbil,اربيل,IQG11Q02,,,,,,Erbil,اربيل,IQG11,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1103,1103,1603:45:16:368:0,1603:45:16:368:1:11,1603:45:16:368:2:1103,Koysinjaq,كويسنجق,IQG11Q03,,,,,,Erbil,اربيل,IQG11,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1104,1104,1603:45:16:368:0,1603:45:16:368:1:11,1603:45:16:368:2:1104,Makhmour,مخمور,IQG11Q04,,,,,,Erbil,اربيل,IQG11,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1105,1105,1603:45:16:368:0,1603:45:16:368:1:11,1603:45:16:368:2:1105,Rawanduz,راوندوز,IQG11Q05,,,,,,Erbil,اربيل,IQG11,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1106,1106,1603:45:16:368:0,1603:45:16:368:1:11,1603:45:16:368:2:1106,Shaqlawa,شقلاوة,IQG11Q06,,,,,,Erbil,اربيل,IQG11,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1201,1201,1603:45:16:368:0,1603:45:16:368:1:12,1603:45:16:368:2:1201,Ain Al-Tamur,عين التمر,IQG12Q01,,,,,,Kerbala,كربلاء,IQG12,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1202,1202,1603:45:16:368:0,1603:45:16:368:1:12,1603:45:16:368:2:1202,Al-Hindiya,الهندية,IQG12Q02,,,,,,Kerbala,كربلاء,IQG12,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1203,1203,1603:45:16:368:0,1603:45:16:368:1:12,1603:45:16:368:2:1203,Kerbela,كربلاء,IQG12Q03,,,,,,Kerbala,كربلاء,IQG12,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1301,1301,1603:45:16:368:0,1603:45:16:368:1:13,1603:45:16:368:2:1301,Al-Hawiga,الحويجة,IQG13Q01,,,,,,Kirkuk,كركوك,IQG13,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1302,1302,1603:45:16:368:0,1603:45:16:368:1:13,1603:45:16:368:2:1302,Daquq,داقوق,IQG13Q02,,,,,,Kirkuk,كركوك,IQG13,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1303,1303,1603:45:16:368:0,1603:45:16:368:1:13,1603:45:16:368:2:1303,Dibis,دبس,IQG13Q03,,,,,,Kirkuk,كركوك,IQG13,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1304,1304,1603:45:16:368:0,1603:45:16:368:1:13,1603:45:16:368:2:1304,Kirkuk,كركوك,IQG13Q04,,,,,,Kirkuk,كركوك,IQG13,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1401,1401,1603:45:16:368:0,1603:45:16:368:1:14,1603:45:16:368:2:1401,Al-Amara,العمارة,IQG14Q01,,,,,,Maysan,ميسان,IQG14,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1402,1402,1603:45:16:368:0,1603:45:16:368:1:14,1603:45:16:368:2:1402,Ali Al-Gharbi,علي الغربي,IQG14Q02,,,,,,Maysan,ميسان,IQG14,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1403,1403,1603:45:16:368:0,1603:45:16:368:1:14,1603:45:16:368:2:1403,Al-Kahla,الكحلاء,IQG14Q03,,,,,,Maysan,ميسان,IQG14,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1404,1404,1603:45:16:368:0,1603:45:16:368:1:14,1603:45:16:368:2:1404,Al-Maimouna,الميمونة,IQG14Q04,,,,,,Maysan,ميسان,IQG14,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1405,1405,1603:45:16:368:0,1603:45:16:368:1:14,1603:45:16:368:2:1405,Al-Mejar Al-Kabir,المجر الكبير,IQG14Q05,,,,,,Maysan,ميسان,IQG14,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1406,1406,1603:45:16:368:0,1603:45:16:368:1:14,1603:45:16:368:2:1406,Qalat Saleh,قلعة صالح,IQG14Q06,,,,,,Maysan,ميسان,IQG14,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1501,1501,1603:45:16:368:0,1603:45:16:368:1:15,1603:45:16:368:2:1501,Aqra,عقرة,IQG15Q01,,,,,,Ninewa,نينوى,IQG15,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1502,1502,1603:45:16:368:0,1603:45:16:368:1:15,1603:45:16:368:2:1502,Al-Baaj,البعاج,IQG15Q02,,,,,,Ninewa,نينوى,IQG15,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1503,1503,1603:45:16:368:0,1603:45:16:368:1:15,1603:45:16:368:2:1503,Al-Hamdaniya,الحمدانية,IQG15Q03,,,,,,Ninewa,نينوى,IQG15,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1504,1504,1603:45:16:368:0,1603:45:16:368:1:15,1603:45:16:368:2:1504,Al-Hatra,الحضر,IQG15Q04,,,,,,Ninewa,نينوى,IQG15,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1505,1505,1603:45:16:368:0,1603:45:16:368:1:15,1603:45:16:368:2:1505,Al-Mosul,الموصل,IQG15Q05,,,,,,Ninewa,نينوى,IQG15,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1506,1506,1603:45:16:368:0,1603:45:16:368:1:15,1603:45:16:368:2:1506,Al-Shikhan,الشيخان,IQG15Q06,,,,,,Ninewa,نينوى,IQG15,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1507,1507,1603:45:16:368:0,1603:45:16:368:1:15,1603:45:16:368:2:1507,Sinjar,سنجار,IQG15Q07,,,,,,Ninewa,نينوى,IQG15,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1508,1508,1603:45:16:368:0,1603:45:16:368:1:15,1603:45:16:368:2:1508,Telafar,تلعفر,IQG15Q08,,,,,,Ninewa,نينوى,IQG15,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1509,1509,1603:45:16:368:0,1603:45:16:368:1:15,1603:45:16:368:2:1509,Tilkaef,تلكيف,IQG15Q09,,,,,,Ninewa,نينوى,IQG15,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1601,1601,1603:45:16:368:0,1603:45:16:368:1:16,1603:45:16:368:2:1601,Al-Daur,الدور,IQG16Q01,,,,,,Salah Al-Din,صلاح الدين,IQG16,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1602,1602,1603:45:16:368:0,1603:45:16:368:1:16,1603:45:16:368:2:1602,Al-Shirqat,الشرقاط,IQG16Q02,,,,,,Salah Al-Din,صلاح الدين,IQG16,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1603,1603,1603:45:16:368:0,1603:45:16:368:1:16,1603:45:16:368:2:1603,Beygee,بيجي,IQG16Q03,,,,,,Salah Al-Din,صلاح الدين,IQG16,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1604,1604,1603:45:16:368:0,1603:45:16:368:1:16,1603:45:16:368:2:1604,Balad,بلد,IQG16Q04,,,,,,Salah Al-Din,صلاح الدين,IQG16,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1605,1605,1603:45:16:368:0,1603:45:16:368:1:16,1603:45:16:368:2:1605,Samarra,سامراء,IQG16Q05,,,,,,Salah Al-Din,صلاح الدين,IQG16,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1606,1606,1603:45:16:368:0,1603:45:16:368:1:16,1603:45:16:368:2:1606,Tikrit,تكريت,IQG16Q06,,,,,,Salah Al-Din,صلاح الدين,IQG16,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1607,1607,1603:45:16:368:0,1603:45:16:368:1:16,1603:45:16:368:2:1607,Tooz Khurmato,طوز خورماتو,IQG16Q07,,,,,,Salah Al-Din,صلاح الدين,IQG16,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1701,1701,1603:45:16:368:0,1603:45:16:368:1:17,1603:45:16:368:2:1701,Al-Chibayish,الجبايش,IQG17Q01,,,,,,Thi Qar,ذي قار,IQG17,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1702,1702,1603:45:16:368:0,1603:45:16:368:1:17,1603:45:16:368:2:1702,Al-Rifai,الرفاعي,IQG17Q02,,,,,,Thi Qar,ذي قار,IQG17,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1703,1703,1603:45:16:368:0,1603:45:16:368:1:17,1603:45:16:368:2:1703,Al-Shatra,الشطرة,IQG17Q03,,,,,,Thi Qar,ذي قار,IQG17,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1704,1704,1603:45:16:368:0,1603:45:16:368:1:17,1603:45:16:368:2:1704,Al-Nasiriya,الناصرية,IQG17Q04,,,,,,Thi Qar,ذي قار,IQG17,Iraq,العراق,IQ,2019-06-05,2021-02-11,
1603:45:16:368:2:1705,1705,1603:45:16:368:0,1603:45:16:368:1:17,1603:45:16:368:2:1705,Suq Al-Shoyokh,سوق الشيوخ,IQG17Q05,,,,,,Thi Qar,ذي قار,IQG17,Iraq,العراق,IQ,2019-06-05,2021-02-11,
