#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm3+name+i_spa+is_latn,#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_spa+is_latn,#adm3+name+alt2+i_spa+is_latn,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm2+name+i_spa+is_latn,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_spa+is_latn,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_spa+is_latn,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:862:3:31002,31002,Piar,,VE031002,,,,,,Jose Gregorio Mona,,VE0310,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:31003,31003,San Diego De Cabrutica,,VE031003,,,,,,Jose Gregorio Mona,,VE0310,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:31004,31004,Santa Clara,,VE031004,,,,,,Jose Gregorio Mona,,VE0310,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:31005,31005,Uverito,,VE031005,,,,,,Jose Gregorio Mona,,VE0310,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:31006,31006,Zuata,,VE031006,,,,,,Jose Gregorio Mona,,VE0310,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:31101,31101,Capital Libertad,,VE031101,,,,,,Libertad,,VE0311,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:31102,31102,El Carito,,VE031102,,,,,,Libertad,,VE0311,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:31103,31103,Santa Ines,,VE031103,,,,,,Libertad,,VE0311,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:31201,31201,Capital Clarines,,VE031201,,,,,,Manuel Ezequiel Br,,VE0312,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:31202,31202,Guanape,,VE031202,,,,,,Manuel Ezequiel Br,,VE0312,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:31203,31203,Sabana De Uchire,,VE031203,,,,,,Manuel Ezequiel Br,,VE0312,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:31301,31301,Capital Pedro Maria Freite,,VE031301,,,,,,Pedro Maria Freite,,VE0313,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:31302,31302,Libertador,,VE031302,,,,,,Pedro Maria Freite,,VE0313,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:31303,31303,Santa Rosa,,VE031303,,,,,,Pedro Maria Freite,,VE0313,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:31304,31304,Urica,,VE031304,,,,,,Pedro Maria Freite,,VE0313,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:31401,31401,Capital Piritu,,VE031401,,,,,,Piritu,,VE0314,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:31402,31402,San Francisco,,VE031402,,,,,,Piritu,,VE0314,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:31501,31501,Capital San Jose De Guanip,,VE031501,,,,,,San Jose De Guanip,,VE0315,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:31601,31601,Capital Boca De Uchire,,VE031601,,,,,,San Juan De Capist,,VE0316,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:31602,31602,Boca De Chavez,,VE031602,,,,,,San Juan De Capist,,VE0316,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:31701,31701,Capital Santa  Ana,,VE031701,,,,,,Santa Ana,,VE0317,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:31702,31702,Pueblo Nuevo,,VE031702,,,,,,Santa Ana,,VE0317,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:31801,31801,El Carmen,,VE031801,,,,,,Simon Bolivar,,VE0318,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:31802,31802,San Cristobal,,VE031802,,,,,,Simon Bolivar,,VE0318,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:31803,31803,Bergantin,,VE031803,,,,,,Simon Bolivar,,VE0318,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:31804,31804,Caigua,,VE031804,,,,,,Simon Bolivar,,VE0318,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:31805,31805,El Pilar,,VE031805,,,,,,Simon Bolivar,,VE0318,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:31806,31806,Naricual,,VE031806,,,,,,Simon Bolivar,,VE0318,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:31901,31901,Edmundo Barrios,,VE031901,,,,,,Simon Rodriguez,,VE0319,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:32001,32001,El Chaparro,,VE032001,,,,,,Sir Artur Mc Grego,,VE0320,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:32002,32002,Tomas Alfaro Calatrava,,VE032002,,,,,,Sir Artur Mc Grego,,VE0320,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:32101,32101,Lecherias,,VE032101,,,,,,Diego Bautista Urb,,VE0321,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:32102,32102,El Morro,,VE032102,,,,,,Diego Bautista Urb,,VE0321,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:40101,40101,Urbana Achaguas,,VE040101,,,,,,Achaguas,,VE0401,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:40102,40102,Apurito,,VE040102,,,,,,Achaguas,,VE0401,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:40103,40103,El Yagual,,VE040103,,,,,,Achaguas,,VE0401,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:40104,40104,Guachara,,VE040104,,,,,,Achaguas,,VE0401,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:40105,40105,Mucuritas,,VE040105,,,,,,Achaguas,,VE0401,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:40106,40106,Queseras Del Medio,,VE040106,,,,,,Achaguas,,VE0401,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:40201,40201,Biruaca,,VE040201,,,,,,Biruaca,,VE0402,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:40301,40301,Bruzual,,VE040301,,,,,,Muñoz,,VE0403,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:40302,40302,Mantecal,,VE040302,,,,,,Muñoz,,VE0403,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:40303,40303,Quintero,,VE040303,,,,,,Muñoz,,VE0403,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:40304,40304,Rincon Hondo,,VE040304,,,,,,Muñoz,,VE0403,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:40305,40305,San Vicente,,VE040305,,,,,,Muñoz,,VE0403,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:40401,40401,Guasdualito,,VE040401,,,,,,Paez,,VE0404,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:40402,40402,Aramendi,,VE040402,,,,,,Paez,,VE0404,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:40403,40403,El Amparo,,VE040403,,,,,,Paez,,VE0404,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:40404,40404,San Camilo,,VE040404,,,,,,Paez,,VE0404,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:40405,40405,Urdaneta,,VE040405,,,,,,Paez,,VE0404,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:40501,40501,San Juan De Payara,,VE040501,,,,,,Pedro Camejo,,VE0405,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:40502,40502,Codazzi,,VE040502,,,,,,Pedro Camejo,,VE0405,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:40503,40503,Cunaviche,,VE040503,,,,,,Pedro Camejo,,VE0405,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:40601,40601,Elorza,,VE040601,,,,,,Romulo Gallegos,,VE0406,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:40602,40602,La Trinidad,,VE040602,,,,,,Romulo Gallegos,,VE0406,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:40701,40701,San Fernando,,VE040701,,,,,,San Fernando,,VE0407,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:40702,40702,El Recreo,,VE040702,,,,,,San Fernando,,VE0407,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:40703,40703,Peñalver,,VE040703,,,,,,San Fernando,,VE0407,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:40704,40704,San Rafael De Atamaica,,VE040704,,,,,,San Fernando,,VE0407,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:50101,50101,Capital Bolivar,,VE050101,,,,,,Bolivar,,VE0501,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:50201,50201,Capital Camatagua,,VE050201,,,,,,Camatagua,,VE0502,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:50202,50202,Carmen De Cura,,VE050202,,,,,,Camatagua,,VE0502,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:50302,50302,Choroni,,VE050302,,,,,,Girardot,,VE0503,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:50303,50303,Las Delicias,,VE050303,,,,,,Girardot,,VE0503,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:50304,50304,Madre Maria De San Jose,,VE050304,,,,,,Girardot,,VE0503,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:50305,50305,Joaquin Crespo,,VE050305,,,,,,Girardot,,VE0503,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:50306,50306,Pedro Jose Ovalles,,VE050306,,,,,,Girardot,,VE0503,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:50307,50307,Jose Casanova Godoy,,VE050307,,,,,,Girardot,,VE0503,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
