#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm1+name+i_fra+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_fra+is_latn,#adm1+name+alt2+i_fra+is_latn,#country+name+i_fra+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:384:1:21,21,1603:45:16:384:0,1603:45:16:384:1:21,Kabadougou,CI21,,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:1:22,22,1603:45:16:384:0,1603:45:16:384:1:22,Loh-Djiboua,CI22,,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:1:23,23,1603:45:16:384:0,1603:45:16:384:1:23,Marahoue,CI23,,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:1:24,24,1603:45:16:384:0,1603:45:16:384:1:24,Me,CI24,,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:1:25,25,1603:45:16:384:0,1603:45:16:384:1:25,Moronou,CI25,,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:1:26,26,1603:45:16:384:0,1603:45:16:384:1:26,Nawa,CI26,,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:1:27,27,1603:45:16:384:0,1603:45:16:384:1:27,N'Zi,CI27,NZi,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:1:28,28,1603:45:16:384:0,1603:45:16:384:1:28,Poro,CI28,,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:1:29,29,1603:45:16:384:0,1603:45:16:384:1:29,San Pedro,CI29,,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:1:30,30,1603:45:16:384:0,1603:45:16:384:1:30,Sud-Comoe,CI30,,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:1:31,31,1603:45:16:384:0,1603:45:16:384:1:31,Tchologo,CI31,,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:1:32,32,1603:45:16:384:0,1603:45:16:384:1:32,Tonkpi,CI32,,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:1:33,33,1603:45:16:384:0,1603:45:16:384:1:33,Worodougou,CI33,,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
