#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003+ix_alt0,#meta+ERROR+adm3+code+v_pcode,#meta+ERROR+adm3+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002,#meta+ERROR+adm2+code+v_pcode,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:562:3:1001001,1001001,1603:45:16:562:0,1603:45:16:562:1:1,1603:45:16:562:2:1001,1603:45:16:562:3:1001001,Aderbissinat,NE001001001,,,,Aderbissinat,NE001001,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:2001002,2001002,1603:45:16:562:0,1603:45:16:562:1:2,1603:45:16:562:2:2001,1603:45:16:562:3:2001002,Toumour,NE002001002,,,,Bosso,NE002001,Diffa,NE002,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:2002001,2002001,1603:45:16:562:0,1603:45:16:562:1:2,1603:45:16:562:2:2002,1603:45:16:562:3:2002001,Chétimari,NE002002001,,,,Diffa,NE002002,Diffa,NE002,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:2002002,2002002,1603:45:16:562:0,1603:45:16:562:1:2,1603:45:16:562:2:2002,1603:45:16:562:3:2002002,Diffa,NE002002002,,,,Diffa,NE002002,Diffa,NE002,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:2002003,2002003,1603:45:16:562:0,1603:45:16:562:1:2,1603:45:16:562:2:2002,1603:45:16:562:3:2002003,Geskerou,NE002002003,,,,Diffa,NE002002,Diffa,NE002,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:2003001,2003001,1603:45:16:562:0,1603:45:16:562:1:2,1603:45:16:562:2:2003,1603:45:16:562:3:2003001,Goudoumaria,NE002003001,,,,Goudoumaria,NE002003,Diffa,NE002,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:2004001,2004001,1603:45:16:562:0,1603:45:16:562:1:2,1603:45:16:562:2:2004,1603:45:16:562:3:2004001,Foulatari,NE002004001,,,,Maine-Soroa,NE002004,Diffa,NE002,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:2004002,2004002,1603:45:16:562:0,1603:45:16:562:1:2,1603:45:16:562:2:2004,1603:45:16:562:3:2004002,Maine-Soroa,NE002004002,,,,Maine-Soroa,NE002004,Diffa,NE002,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:2004003,2004003,1603:45:16:562:0,1603:45:16:562:1:2,1603:45:16:562:2:2004,1603:45:16:562:3:2004003,N'Gelbely,NE002004003,,,,Maine-Soroa,NE002004,Diffa,NE002,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:2005001,2005001,1603:45:16:562:0,1603:45:16:562:1:2,1603:45:16:562:2:2005,1603:45:16:562:3:2005001,N'Gourti,NE002005001,,,,N'Gourti,NE002005,Diffa,NE002,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:2006001,2006001,1603:45:16:562:0,1603:45:16:562:1:2,1603:45:16:562:2:2006,1603:45:16:562:3:2006001,Kablewa,NE002006001,,,,N'Guigmi,NE002006,Diffa,NE002,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:2006002,2006002,1603:45:16:562:0,1603:45:16:562:1:2,1603:45:16:562:2:2006,1603:45:16:562:3:2006002,N'Guigmi,NE002006002,,,,N'Guigmi,NE002006,Diffa,NE002,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:3001001,3001001,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3001,1603:45:16:562:3:3001001,Birni N'Gaoure,NE003001001,,,,Boboye,NE003001,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:3001002,3001002,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3001,1603:45:16:562:3:3001002,Fabidji,NE003001002,,,,Boboye,NE003001,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:3001003,3001003,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3001,1603:45:16:562:3:3001003,Fakara,NE003001003,,,,Boboye,NE003001,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:3001004,3001004,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3001,1603:45:16:562:3:3001004,Harikanassou,NE003001004,,,,Boboye,NE003001,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:3001005,3001005,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3001,1603:45:16:562:3:3001005,Kankandi,NE003001005,,,,Boboye,NE003001,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:3001006,3001006,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3001,1603:45:16:562:3:3001006,Kiota,NE003001006,,,,Boboye,NE003001,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:3001007,3001007,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3001,1603:45:16:562:3:3001007,Koygolo,NE003001007,,,,Boboye,NE003001,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:3001008,3001008,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3001,1603:45:16:562:3:3001008,N'Gonga,NE003001008,,,,Boboye,NE003001,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:3002001,3002001,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3002,1603:45:16:562:3:3002001,Dioundiou,NE003002001,,,,Dioundiou,NE003002,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:3002002,3002002,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3002,1603:45:16:562:3:3002002,Karakara,NE003002002,,,,Dioundiou,NE003002,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:3002003,3002003,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3002,1603:45:16:562:3:3002003,Zabori,NE003002003,,,,Dioundiou,NE003002,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:3003001,3003001,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3003,1603:45:16:562:3:3003001,Dan - Kassari,NE003003001,,,,Dogondoutchi,NE003003,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:3003002,3003002,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3003,1603:45:16:562:3:3003002,Dogondoutchi,NE003003002,,,,Dogondoutchi,NE003003,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:3003003,3003003,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3003,1603:45:16:562:3:3003003,Dongonkiria,NE003003003,,,,Dogondoutchi,NE003003,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:3003004,3003004,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3003,1603:45:16:562:3:3003004,Kieche,NE003003004,,,,Dogondoutchi,NE003003,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:3003005,3003005,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3003,1603:45:16:562:3:3003005,Matankari,NE003003005,,,,Dogondoutchi,NE003003,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:3003006,3003006,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3003,1603:45:16:562:3:3003006,Soucoucoutane,NE003003006,,,,Dogondoutchi,NE003003,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:3004001,3004001,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3004,1603:45:16:562:3:3004001,Dosso,NE003004001,,,,Dosso,NE003004,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:3004002,3004002,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3004,1603:45:16:562:3:3004002,Farey,NE003004002,,,,Dosso,NE003004,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:3004003,3004003,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3004,1603:45:16:562:3:3004003,Garankedey,NE003004003,,,,Dosso,NE003004,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:3004004,3004004,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3004,1603:45:16:562:3:3004004,Golle,NE003004004,,,,Dosso,NE003004,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:3004005,3004005,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3004,1603:45:16:562:3:3004005,Goroubankassam,NE003004005,,,,Dosso,NE003004,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:3004006,3004006,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3004,1603:45:16:562:3:3004006,Karguibangou,NE003004006,,,,Dosso,NE003004,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:3004007,3004007,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3004,1603:45:16:562:3:3004007,Mokko,NE003004007,,,,Dosso,NE003004,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:3004008,3004008,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3004,1603:45:16:562:3:3004008,Sambera,NE003004008,,,,Dosso,NE003004,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:3004009,3004009,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3004,1603:45:16:562:3:3004009,Tessa,NE003004009,,,,Dosso,NE003004,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:3004010,3004010,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3004,1603:45:16:562:3:3004010,Tombokoirey I,NE003004010,,,,Dosso,NE003004,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:3004011,3004011,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3004,1603:45:16:562:3:3004011,Tombokoirey II,NE003004011,,,,Dosso,NE003004,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:3005001,3005001,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3005,1603:45:16:562:3:3005001,Falmeyfalmey Haoussa,NE003005001,,,,Falmey,NE003005,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:3005002,3005002,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3005,1603:45:16:562:3:3005002,Guilladjé,NE003005002,,,,Falmey,NE003005,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:3006001,3006001,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3006,1603:45:16:562:3:3006001,Bana,NE003006001,,,,Gaya,NE003006,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:3006002,3006002,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3006,1603:45:16:562:3:3006002,Bengou,NE003006002,,,,Gaya,NE003006,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:3006003,3006003,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3006,1603:45:16:562:3:3006003,Gaya,NE003006003,,,,Gaya,NE003006,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:3006004,3006004,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3006,1603:45:16:562:3:3006004,Tanda,NE003006004,,,,Gaya,NE003006,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:3006005,3006005,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3006,1603:45:16:562:3:3006005,Tounouga,NE003006005,,,,Gaya,NE003006,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:3006006,3006006,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3006,1603:45:16:562:3:3006006,Yelou,NE003006006,,,,Gaya,NE003006,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:3007001,3007001,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3007,1603:45:16:562:3:3007001,Falwel,NE003007001,,,,Loga,NE003007,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:3007002,3007002,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3007,1603:45:16:562:3:3007002,Loga,NE003007002,,,,Loga,NE003007,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:3007003,3007003,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3007,1603:45:16:562:3:3007003,Sokorbé,NE003007003,,,,Loga,NE003007,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:3008001,3008001,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3008,1603:45:16:562:3:3008001,Doumega,NE003008001,,,,Tibiri (Doutchi),NE003008,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:3008002,3008002,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3008,1603:45:16:562:3:3008002,Guecheme,NE003008002,,,,Tibiri (Doutchi),NE003008,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:3008003,3008003,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3008,1603:45:16:562:3:3008003,Kore Mairoua,NE003008003,,,,Tibiri (Doutchi),NE003008,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:3008004,3008004,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3008,1603:45:16:562:3:3008004,Tibiri (Doutchi),NE003008004,,,,Tibiri (Doutchi),NE003008,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4001001,4001001,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4001,1603:45:16:562:3:4001001,Aguie,NE004001001,,,,Aguie,NE004001,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4001002,4001002,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4001,1603:45:16:562:3:4001002,Tchadoua,NE004001002,,,,Aguie,NE004001,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4002001,4002001,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4002,1603:45:16:562:3:4002001,Bermo,NE004002001,,,,Bermo,NE004002,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4002002,4002002,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4002,1603:45:16:562:3:4002002,Gadabedji,NE004002002,,,,Bermo,NE004002,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4003001,4003001,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4003,1603:45:16:562:3:4003001,Adjekoria,NE004003001,,,,Dakoro,NE004003,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4003002,4003002,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4003,1603:45:16:562:3:4003002,Azagor,NE004003002,,,,Dakoro,NE004003,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4003003,4003003,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4003,1603:45:16:562:3:4003003,Bader Goula,NE004003003,,,,Dakoro,NE004003,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4003004,4003004,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4003,1603:45:16:562:3:4003004,Birni Lalle,NE004003004,,,,Dakoro,NE004003,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4003005,4003005,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4003,1603:45:16:562:3:4003005,Dakoro,NE004003005,,,,Dakoro,NE004003,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4003006,4003006,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4003,1603:45:16:562:3:4003006,Dan Goulbi,NE004003006,,,,Dakoro,NE004003,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4003007,4003007,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4003,1603:45:16:562:3:4003007,Korahane,NE004003007,,,,Dakoro,NE004003,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4003008,4003008,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4003,1603:45:16:562:3:4003008,Kornaka,NE004003008,,,,Dakoro,NE004003,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4003009,4003009,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4003,1603:45:16:562:3:4003009,Maiyara,NE004003009,,,,Dakoro,NE004003,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4003010,4003010,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4003,1603:45:16:562:3:4003010,Roumbou I,NE004003010,,,,Dakoro,NE004003,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4003011,4003011,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4003,1603:45:16:562:3:4003011,Sabon Machi,NE004003011,,,,Dakoro,NE004003,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4003012,4003012,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4003,1603:45:16:562:3:4003012,Tagriss,NE004003012,,,,Dakoro,NE004003,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4004001,4004001,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4004,1603:45:16:562:3:4004001,Gangara (Aguie) ,NE004004001,,,,Gazaoua,NE004004,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4004002,4004002,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4004,1603:45:16:562:3:4004002,Gazaoua,NE004004002,,,,Gazaoua,NE004004,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4005001,4005001,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4005,1603:45:16:562:3:4005001,Chadakori,NE004005001,,,,Guidan-Roumdji,NE004005,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4005002,4005002,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4005,1603:45:16:562:3:4005002,Guidan-Roumdji,NE004005002,,,,Guidan-Roumdji,NE004005,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4005003,4005003,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4005,1603:45:16:562:3:4005003,Guidan Sori,NE004005003,,,,Guidan-Roumdji,NE004005,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4005004,4005004,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4005,1603:45:16:562:3:4005004,Sae Saboua,NE004005004,,,,Guidan-Roumdji,NE004005,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4005005,4005005,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4005,1603:45:16:562:3:4005005,Tibiri (Maradi),NE004005005,,,,Guidan-Roumdji,NE004005,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4006001,4006001,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4006,1603:45:16:562:3:4006001,Dan-Issa,NE004006001,,,,Madarounfa,NE004006,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
