item__conceptum__codicem,item__rem__i_qcc__is_zxxx__ix_wikiq,item__rem__i_qcc__is_zxxx__ix_iso3166p2,item__rem__i_qcc__is_zxxx__ix_xzosmrel,item__rem__i_qcc__is_zxxx__ix_xzgeonames,item__rem__i_qcc__is_zxxx__ix_jpgeolod,item__rem__i_qcc__is_zxxx__ix_usworldnet,item__rem__i_qcc__is_zxxx__ix_zzwgs84point,item__rem__i_qcc__is_zxxx__ix_zzgeojson
204989,Q204989,KN-K,5283162,3575181,,09010249-n,Point(-62.747222 17.319722),
207794,Q207794,KN-N,5820117,3575263,,09010586-n,Point(-62.583333333 17.15),
208668,Q208668,MU-RO,,1547449,,,Point(63.416667 -19.716667),http://commons.wikimedia.org/data/main/Data:Mauritius/Rodrigues.map
210866,Q210866,IS-5,,3337403,,,Point(-20.0 65.33333),http://commons.wikimedia.org/data/main/Data:Iceland/Nor%C3%B0urland+vestra.map
212768,Q212768,IS-2,,3426183,,,Point(-22.25 63.91666667),http://commons.wikimedia.org/data/main/Data:Iceland/Su%C3%B0urnes.map
220663,Q220663,IS-7,,3337405,,,Point(-14.383333333 65.283333333),http://commons.wikimedia.org/data/main/Data:Iceland/Austurland.map
221734,Q221734,KP-13,,2054927,,,Point(130.384444444 42.344444444),http://commons.wikimedia.org/data/main/Data:North+Korea/Ras%C5%8Fn.map
241551,Q241551,IS-6,,3337404,,,Point(-17.0 65.5),http://commons.wikimedia.org/data/main/Data:Iceland/Nor%C3%B0urland+eystra.map
291279,Q291279,NI-AS,2195081,3830308,,,Point(-84.3 12.183333333),
484245,Q484245,UZ-QR,196241,453752,,,Point(58.86 43.04),http://commons.wikimedia.org/data/main/Data:Uzbekistan/Karakalpakstan.map
494869,Q494869,CV-B,3408412,3374871,,,Point(-24.33333 16.58333)|Point(-24.0 17.0),
498452,Q498452,NI-AN,2195034,3830307,,,Point(-83.879062 14.339205),http://commons.wikimedia.org/data/main/Data:Nicaragua/North+Caribbean+Coast+Autonomous+Region.map
500453,Q500453,CV-S,3408433,3374179,,,Point(-24.0 15.0)|Point(-23.583333333 15.0),
509300,Q509300,NG-FC,,2352776,,,Point(7.16666667 8.83333333),http://commons.wikimedia.org/data/main/Data:Nigeria/Federal+Capital+Territory.map
511859,Q511859,MU-CC,7058470,934647,,,Point(59.633333333 -16.633333333)|Point(59.616666666 -16.583333333),http://commons.wikimedia.org/data/main/Data:Mauritius/Cargados+Carajos+Shoals.map
579240,Q579240,PE-LMA,1944670,3936451,,,Point(-77.041666666 -12.058333333),http://commons.wikimedia.org/data/main/Data:Peru/Lima+Province.map
633490,Q633490,TJ-RA,3279615,6452615,,,Point(70.0 39.0),http://commons.wikimedia.org/data/main/Data:Tajikistan/Tadzhikistan+Territories.map
658161,Q658161,,,,,,Point(-43.467777777 -22.930277777),
676724,Q676724,,,,,,Point(57.483333333 -20.3),http://commons.wikimedia.org/data/main/Data:Mauritius/Vacoas-Phoenix.map
697840,Q697840,MH-L,3530704,2080013,,,Point(167.0 8.0),http://commons.wikimedia.org/data/main/Data:Marshall+Islands/Railik+Chain.map
697946,Q697946,,,,,,,
700048,Q700048,MH-T,3530722,2080009,,,Point(171.0 9.0),http://commons.wikimedia.org/data/main/Data:Marshall+Islands/Ratak+Chain.map
813337,Q813337,,,934765,,,Point(57.466666666 -20.233333333),http://commons.wikimedia.org/data/main/Data:Mauritius/Beau+Bassin-Rose+Hill.map
