#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm3+code+v_numerodinatio,#adm3+name+i_por+is_latn,#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_por+is_latn,#adm3+name+alt2+i_por+is_latn,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm2+name+i_por+is_latn,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_por+is_latn,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_por+is_latn,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:508:3:10305,10305,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:103,1603:45:16:508:3:10305,Namogelia,,MZ010305,,,,,,Chiure,,MZ0103,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:10306,10306,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:103,1603:45:16:508:3:10306,Ocua,,MZ010306,,,,,,Chiure,,MZ0103,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:10401,10401,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:104,1603:45:16:508:3:10401,Cidade De Pemba,,MZ010401,,,,,,Cidade De Pemba,,MZ0104,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:10501,10501,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:105,1603:45:16:508:3:10501,Ibo,,MZ010501,,,,,,Ibo,,MZ0105,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:10502,10502,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:105,1603:45:16:508:3:10502,Quirimba,,MZ010502,,,,,,Ibo,,MZ0105,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:10601,10601,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:106,1603:45:16:508:3:10601,Chai,,MZ010601,,,,,,Macomia,,MZ0106,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:10602,10602,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:106,1603:45:16:508:3:10602,Macomia,,MZ010602,,,,,,Macomia,,MZ0106,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:10603,10603,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:106,1603:45:16:508:3:10603,Mucojo,,MZ010603,,,,,,Macomia,,MZ0106,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:10604,10604,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:106,1603:45:16:508:3:10604,Quiterajo,,MZ010604,,,,,,Macomia,,MZ0106,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:10701,10701,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:107,1603:45:16:508:3:10701,Mecufi,,MZ010701,,,,,,Mecufi,,MZ0107,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:10702,10702,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:107,1603:45:16:508:3:10702,Murrebue,,MZ010702,,,,,,Mecufi,,MZ0107,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:10801,10801,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:108,1603:45:16:508:3:10801,Meluco,,MZ010801,,,,,,Meluco,,MZ0108,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:10802,10802,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:108,1603:45:16:508:3:10802,Muaguide,,MZ010802,,,,,,Meluco,,MZ0108,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:10901,10901,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:109,1603:45:16:508:3:10901,Metuge,,MZ010901,,,,,,Metuge,,MZ0109,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:10902,10902,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:109,1603:45:16:508:3:10902,Mieze,,MZ010902,,,,,,Metuge,,MZ0109,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:11001,11001,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:110,1603:45:16:508:3:11001,Diaca,,MZ011001,,,,,,Mocimboa Da Praia,,MZ0110,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:11002,11002,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:110,1603:45:16:508:3:11002,Mbau,,MZ011002,,,,,,Mocimboa Da Praia,,MZ0110,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:11003,11003,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:110,1603:45:16:508:3:11003,Mocimboa Da Praia,,MZ011003,,,,,,Mocimboa Da Praia,,MZ0110,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:11101,11101,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:111,1603:45:16:508:3:11101,Mapupulo,,MZ011101,,,,,,Montepuez,,MZ0111,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:11102,11102,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:111,1603:45:16:508:3:11102,Mirate,,MZ011102,,,,,,Montepuez,,MZ0111,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:11103,11103,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:111,1603:45:16:508:3:11103,Montepuez,,MZ011103,,,,,,Montepuez,,MZ0111,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:11104,11104,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:111,1603:45:16:508:3:11104,Nairoto,,MZ011104,,,,,,Montepuez,,MZ0111,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:11105,11105,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:111,1603:45:16:508:3:11105,Namanhumbir,,MZ011105,,,,,,Montepuez,,MZ0111,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:11201,11201,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:112,1603:45:16:508:3:11201,Chapa,,MZ011201,,,,,,Mueda,,MZ0112,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:11202,11202,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:112,1603:45:16:508:3:11202,Imbuo,,MZ011202,,,,,,Mueda,,MZ0112,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:11203,11203,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:112,1603:45:16:508:3:11203,Mueda,,MZ011203,,,,,,Mueda,,MZ0112,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:11204,11204,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:112,1603:45:16:508:3:11204,N'Gapa,,MZ011204,NGapa,,,,,Mueda,,MZ0112,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:11205,11205,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:112,1603:45:16:508:3:11205,Negomano,,MZ011205,,,,,,Mueda,,MZ0112,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:11301,11301,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:113,1603:45:16:508:3:11301,Chitunda,,MZ011301,,,,,,Muidumbe,,MZ0113,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:11302,11302,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:113,1603:45:16:508:3:11302,Miteda,,MZ011302,,,,,,Muidumbe,,MZ0113,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:11303,11303,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:113,1603:45:16:508:3:11303,Muidumbe,,MZ011303,,,,,,Muidumbe,,MZ0113,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:11401,11401,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:114,1603:45:16:508:3:11401,Hucula,,MZ011401,,,,,,Namuno,,MZ0114,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:11402,11402,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:114,1603:45:16:508:3:11402,Machoca,,MZ011402,,,,,,Namuno,,MZ0114,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:11403,11403,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:114,1603:45:16:508:3:11403,Meloco,,MZ011403,,,,,,Namuno,,MZ0114,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:11404,11404,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:114,1603:45:16:508:3:11404,N'Cumpe,,MZ011404,NCumpe,,,,,Namuno,,MZ0114,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:11405,11405,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:114,1603:45:16:508:3:11405,Namuno,,MZ011405,,,,,,Namuno,,MZ0114,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:11406,11406,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:114,1603:45:16:508:3:11406,Papai,,MZ011406,,,,,,Namuno,,MZ0114,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:11501,11501,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:115,1603:45:16:508:3:11501,M'Tamba,,MZ011501,MTamba,,,,,Nangade,,MZ0115,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:11502,11502,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:115,1603:45:16:508:3:11502,Nangade,,MZ011502,,,,,,Nangade,,MZ0115,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:11601,11601,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:116,1603:45:16:508:3:11601,Olumbi,,MZ011601,,,,,,Palma,,MZ0116,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:11602,11602,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:116,1603:45:16:508:3:11602,Palma,,MZ011602,,,,,,Palma,,MZ0116,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:11603,11603,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:116,1603:45:16:508:3:11603,Pundanhar,,MZ011603,,,,,,Palma,,MZ0116,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:11604,11604,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:116,1603:45:16:508:3:11604,Quionga,,MZ011604,,,,,,Palma,,MZ0116,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:11801,11801,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:118,1603:45:16:508:3:11801,Bilibiza,,MZ011801,,,,,,Quissanga,,MZ0118,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:11802,11802,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:118,1603:45:16:508:3:11802,Mahate,,MZ011802,,,,,,Quissanga,,MZ0118,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:11803,11803,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:118,1603:45:16:508:3:11803,Quissanga,,MZ011803,,,,,,Quissanga,,MZ0118,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:20101,20101,1603:45:16:508:0,1603:45:16:508:1:2,1603:45:16:508:2:201,1603:45:16:508:3:20101,Macia,,MZ020101,,,,,,Bilene,,MZ0201,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:20102,20102,1603:45:16:508:0,1603:45:16:508:1:2,1603:45:16:508:2:201,1603:45:16:508:3:20102,Makluane,,MZ020102,,,,,,Bilene,,MZ0201,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:20103,20103,1603:45:16:508:0,1603:45:16:508:1:2,1603:45:16:508:2:201,1603:45:16:508:3:20103,Mazivila,,MZ020103,,,,,,Bilene,,MZ0201,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:20104,20104,1603:45:16:508:0,1603:45:16:508:1:2,1603:45:16:508:2:201,1603:45:16:508:3:20104,Messano,,MZ020104,,,,,,Bilene,,MZ0201,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:20105,20105,1603:45:16:508:0,1603:45:16:508:1:2,1603:45:16:508:2:201,1603:45:16:508:3:20105,Praia De Bilene,,MZ020105,,,,,,Bilene,,MZ0201,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:20201,20201,1603:45:16:508:0,1603:45:16:508:1:2,1603:45:16:508:2:202,1603:45:16:508:3:20201,Alto Changane,,MZ020201,,,,,,Chibuto,,MZ0202,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:20202,20202,1603:45:16:508:0,1603:45:16:508:1:2,1603:45:16:508:2:202,1603:45:16:508:3:20202,Chaimite,,MZ020202,,,,,,Chibuto,,MZ0202,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:20203,20203,1603:45:16:508:0,1603:45:16:508:1:2,1603:45:16:508:2:202,1603:45:16:508:3:20203,Changanine,,MZ020203,,,,,,Chibuto,,MZ0202,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:20204,20204,1603:45:16:508:0,1603:45:16:508:1:2,1603:45:16:508:2:202,1603:45:16:508:3:20204,Chibuto,,MZ020204,,,,,,Chibuto,,MZ0202,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:20205,20205,1603:45:16:508:0,1603:45:16:508:1:2,1603:45:16:508:2:202,1603:45:16:508:3:20205,Godide,,MZ020205,,,,,,Chibuto,,MZ0202,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:20206,20206,1603:45:16:508:0,1603:45:16:508:1:2,1603:45:16:508:2:202,1603:45:16:508:3:20206,Malehice,,MZ020206,,,,,,Chibuto,,MZ0202,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:20301,20301,1603:45:16:508:0,1603:45:16:508:1:2,1603:45:16:508:2:203,1603:45:16:508:3:20301,Pafuri,,MZ020301,,,,,,Chicualacuala,,MZ0203,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:20302,20302,1603:45:16:508:0,1603:45:16:508:1:2,1603:45:16:508:2:203,1603:45:16:508:3:20302,Vila Eduardo Mondlane,,MZ020302,,,,,,Chicualacuala,,MZ0203,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:20401,20401,1603:45:16:508:0,1603:45:16:508:1:2,1603:45:16:508:2:204,1603:45:16:508:3:20401,Chigubo,,MZ020401,,,,,,Chigubo,,MZ0204,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:20402,20402,1603:45:16:508:0,1603:45:16:508:1:2,1603:45:16:508:2:204,1603:45:16:508:3:20402,Dindiza,,MZ020402,,,,,,Chigubo,,MZ0204,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:20501,20501,1603:45:16:508:0,1603:45:16:508:1:2,1603:45:16:508:2:205,1603:45:16:508:3:20501,Chokwe,,MZ020501,,,,,,Chokwe,,MZ0205,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:20502,20502,1603:45:16:508:0,1603:45:16:508:1:2,1603:45:16:508:2:205,1603:45:16:508:3:20502,Lionde,,MZ020502,,,,,,Chokwe,,MZ0205,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:20503,20503,1603:45:16:508:0,1603:45:16:508:1:2,1603:45:16:508:2:205,1603:45:16:508:3:20503,Macarretane,,MZ020503,,,,,,Chokwe,,MZ0205,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:20504,20504,1603:45:16:508:0,1603:45:16:508:1:2,1603:45:16:508:2:205,1603:45:16:508:3:20504,Xilembene,,MZ020504,,,,,,Chokwe,,MZ0205,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:20601,20601,1603:45:16:508:0,1603:45:16:508:1:2,1603:45:16:508:2:206,1603:45:16:508:3:20601,Chongoene,,MZ020601,,,,,,Chongoene,,MZ0206,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:20602,20602,1603:45:16:508:0,1603:45:16:508:1:2,1603:45:16:508:2:206,1603:45:16:508:3:20602,Madzucane,,MZ020602,,,,,,Chongoene,,MZ0206,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:20603,20603,1603:45:16:508:0,1603:45:16:508:1:2,1603:45:16:508:2:206,1603:45:16:508:3:20603,Nguzene,,MZ020603,,,,,,Chongoene,,MZ0206,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:20701,20701,1603:45:16:508:0,1603:45:16:508:1:2,1603:45:16:508:2:207,1603:45:16:508:3:20701,Cidade De Xai-Xai,,MZ020701,,,,,,Cidade De Xai-Xai,,MZ0207,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:20801,20801,1603:45:16:508:0,1603:45:16:508:1:2,1603:45:16:508:2:208,1603:45:16:508:3:20801,Caniçado,,MZ020801,Canicado,,,,,Guija,,MZ0208,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:20802,20802,1603:45:16:508:0,1603:45:16:508:1:2,1603:45:16:508:2:208,1603:45:16:508:3:20802,Chivongoene,,MZ020802,,,,,,Guija,,MZ0208,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:20803,20803,1603:45:16:508:0,1603:45:16:508:1:2,1603:45:16:508:2:208,1603:45:16:508:3:20803,Mubangoene,,MZ020803,,,,,,Guija,,MZ0208,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:20804,20804,1603:45:16:508:0,1603:45:16:508:1:2,1603:45:16:508:2:208,1603:45:16:508:3:20804,Nalazi,,MZ020804,,,,,,Guija,,MZ0208,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:20901,20901,1603:45:16:508:0,1603:45:16:508:1:2,1603:45:16:508:2:209,1603:45:16:508:3:20901,Chicumbane,,MZ020901,,,,,,Limpopo,,MZ0209,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:20902,20902,1603:45:16:508:0,1603:45:16:508:1:2,1603:45:16:508:2:209,1603:45:16:508:3:20902,Chissano,,MZ020902,,,,,,Limpopo,,MZ0209,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:20903,20903,1603:45:16:508:0,1603:45:16:508:1:2,1603:45:16:508:2:209,1603:45:16:508:3:20903,Zongoene,,MZ020903,,,,,,Limpopo,,MZ0209,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:21001,21001,1603:45:16:508:0,1603:45:16:508:1:2,1603:45:16:508:2:210,1603:45:16:508:3:21001,Combomune,,MZ021001,,,,,,Mabalane,,MZ0210,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:21002,21002,1603:45:16:508:0,1603:45:16:508:1:2,1603:45:16:508:2:210,1603:45:16:508:3:21002,Mabalane,,MZ021002,,,,,,Mabalane,,MZ0210,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:21003,21003,1603:45:16:508:0,1603:45:16:508:1:2,1603:45:16:508:2:210,1603:45:16:508:3:21003,Ntlavene,,MZ021003,,,,,,Mabalane,,MZ0210,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:21101,21101,1603:45:16:508:0,1603:45:16:508:1:2,1603:45:16:508:2:211,1603:45:16:508:3:21101,Chibonzane,,MZ021101,,,,,,Mandlakaze,,MZ0211,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
