#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:218:2:403,403,1603:45:16:218:0,1603:45:16:218:1:4,1603:45:16:218:2:403,Espejo,EC0403,,,,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:404,404,1603:45:16:218:0,1603:45:16:218:1:4,1603:45:16:218:2:404,Mira,EC0404,,,,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:405,405,1603:45:16:218:0,1603:45:16:218:1:4,1603:45:16:218:2:405,Montufar,EC0405,,,,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:406,406,1603:45:16:218:0,1603:45:16:218:1:4,1603:45:16:218:2:406,San Pedro de Huaca,EC0406,,,,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:501,501,1603:45:16:218:0,1603:45:16:218:1:5,1603:45:16:218:2:501,Latacunga,EC0501,,,,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:502,502,1603:45:16:218:0,1603:45:16:218:1:5,1603:45:16:218:2:502,La Mana,EC0502,,,,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:503,503,1603:45:16:218:0,1603:45:16:218:1:5,1603:45:16:218:2:503,Pangua,EC0503,,,,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:504,504,1603:45:16:218:0,1603:45:16:218:1:5,1603:45:16:218:2:504,Pujili,EC0504,,,,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:505,505,1603:45:16:218:0,1603:45:16:218:1:5,1603:45:16:218:2:505,Salcedo,EC0505,,,,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:506,506,1603:45:16:218:0,1603:45:16:218:1:5,1603:45:16:218:2:506,Saquisili,EC0506,,,,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:507,507,1603:45:16:218:0,1603:45:16:218:1:5,1603:45:16:218:2:507,Sigchos,EC0507,,,,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:601,601,1603:45:16:218:0,1603:45:16:218:1:6,1603:45:16:218:2:601,Riobamba,EC0601,,,,Chimborazo,EC06,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:602,602,1603:45:16:218:0,1603:45:16:218:1:6,1603:45:16:218:2:602,Alausi,EC0602,,,,Chimborazo,EC06,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:603,603,1603:45:16:218:0,1603:45:16:218:1:6,1603:45:16:218:2:603,Colta,EC0603,,,,Chimborazo,EC06,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:604,604,1603:45:16:218:0,1603:45:16:218:1:6,1603:45:16:218:2:604,Chambo,EC0604,,,,Chimborazo,EC06,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:605,605,1603:45:16:218:0,1603:45:16:218:1:6,1603:45:16:218:2:605,Chunchi,EC0605,,,,Chimborazo,EC06,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:606,606,1603:45:16:218:0,1603:45:16:218:1:6,1603:45:16:218:2:606,Guamote,EC0606,,,,Chimborazo,EC06,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:607,607,1603:45:16:218:0,1603:45:16:218:1:6,1603:45:16:218:2:607,Guano,EC0607,,,,Chimborazo,EC06,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:608,608,1603:45:16:218:0,1603:45:16:218:1:6,1603:45:16:218:2:608,Pallatanga,EC0608,,,,Chimborazo,EC06,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:609,609,1603:45:16:218:0,1603:45:16:218:1:6,1603:45:16:218:2:609,Penipe,EC0609,,,,Chimborazo,EC06,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:610,610,1603:45:16:218:0,1603:45:16:218:1:6,1603:45:16:218:2:610,Cumanda,EC0610,,,,Chimborazo,EC06,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:701,701,1603:45:16:218:0,1603:45:16:218:1:7,1603:45:16:218:2:701,Machala,EC0701,,,,El Oro,EC07,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:702,702,1603:45:16:218:0,1603:45:16:218:1:7,1603:45:16:218:2:702,Arenillas,EC0702,,,,El Oro,EC07,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:703,703,1603:45:16:218:0,1603:45:16:218:1:7,1603:45:16:218:2:703,Atahualpa,EC0703,,,,El Oro,EC07,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:704,704,1603:45:16:218:0,1603:45:16:218:1:7,1603:45:16:218:2:704,Balsas,EC0704,,,,El Oro,EC07,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:705,705,1603:45:16:218:0,1603:45:16:218:1:7,1603:45:16:218:2:705,Chilla,EC0705,,,,El Oro,EC07,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:706,706,1603:45:16:218:0,1603:45:16:218:1:7,1603:45:16:218:2:706,El Guabo,EC0706,,,,El Oro,EC07,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:707,707,1603:45:16:218:0,1603:45:16:218:1:7,1603:45:16:218:2:707,Huaquillas,EC0707,,,,El Oro,EC07,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:708,708,1603:45:16:218:0,1603:45:16:218:1:7,1603:45:16:218:2:708,Marcabeli,EC0708,,,,El Oro,EC07,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:709,709,1603:45:16:218:0,1603:45:16:218:1:7,1603:45:16:218:2:709,Pasaje,EC0709,,,,El Oro,EC07,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:710,710,1603:45:16:218:0,1603:45:16:218:1:7,1603:45:16:218:2:710,Piñas,EC0710,Pinas,,,El Oro,EC07,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:711,711,1603:45:16:218:0,1603:45:16:218:1:7,1603:45:16:218:2:711,Portovelo,EC0711,,,,El Oro,EC07,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:712,712,1603:45:16:218:0,1603:45:16:218:1:7,1603:45:16:218:2:712,Santa Rosa,EC0712,,,,El Oro,EC07,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:713,713,1603:45:16:218:0,1603:45:16:218:1:7,1603:45:16:218:2:713,Zaruma,EC0713,,,,El Oro,EC07,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:714,714,1603:45:16:218:0,1603:45:16:218:1:7,1603:45:16:218:2:714,Las Lajas,EC0714,,,,El Oro,EC07,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:801,801,1603:45:16:218:0,1603:45:16:218:1:8,1603:45:16:218:2:801,Esmeraldas,EC0801,,,,Esmeraldas,EC08,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:802,802,1603:45:16:218:0,1603:45:16:218:1:8,1603:45:16:218:2:802,Eloy Alfaro,EC0802,,,,Esmeraldas,EC08,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:803,803,1603:45:16:218:0,1603:45:16:218:1:8,1603:45:16:218:2:803,Muisne,EC0803,,,,Esmeraldas,EC08,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:804,804,1603:45:16:218:0,1603:45:16:218:1:8,1603:45:16:218:2:804,Quininde,EC0804,,,,Esmeraldas,EC08,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:805,805,1603:45:16:218:0,1603:45:16:218:1:8,1603:45:16:218:2:805,San Lorenzo,EC0805,,,,Esmeraldas,EC08,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:806,806,1603:45:16:218:0,1603:45:16:218:1:8,1603:45:16:218:2:806,Atacames,EC0806,,,,Esmeraldas,EC08,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:807,807,1603:45:16:218:0,1603:45:16:218:1:8,1603:45:16:218:2:807,Rioverde,EC0807,,,,Esmeraldas,EC08,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:808,808,1603:45:16:218:0,1603:45:16:218:1:8,1603:45:16:218:2:808,La Concordia,EC0808,,,,Esmeraldas,EC08,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:901,901,1603:45:16:218:0,1603:45:16:218:1:9,1603:45:16:218:2:901,Guayaquil,EC0901,,,,Guayas,EC09,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:902,902,1603:45:16:218:0,1603:45:16:218:1:9,1603:45:16:218:2:902,Alfredo Baquerizo Moreno,EC0902,,,,Guayas,EC09,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:903,903,1603:45:16:218:0,1603:45:16:218:1:9,1603:45:16:218:2:903,Balao,EC0903,,,,Guayas,EC09,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:904,904,1603:45:16:218:0,1603:45:16:218:1:9,1603:45:16:218:2:904,Balzar,EC0904,,,,Guayas,EC09,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:905,905,1603:45:16:218:0,1603:45:16:218:1:9,1603:45:16:218:2:905,Colimes,EC0905,,,,Guayas,EC09,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:906,906,1603:45:16:218:0,1603:45:16:218:1:9,1603:45:16:218:2:906,Daule,EC0906,,,,Guayas,EC09,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:907,907,1603:45:16:218:0,1603:45:16:218:1:9,1603:45:16:218:2:907,Duran,EC0907,,,,Guayas,EC09,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:908,908,1603:45:16:218:0,1603:45:16:218:1:9,1603:45:16:218:2:908,Empalme,EC0908,,,,Guayas,EC09,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:909,909,1603:45:16:218:0,1603:45:16:218:1:9,1603:45:16:218:2:909,El Triunfo,EC0909,,,,Guayas,EC09,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:910,910,1603:45:16:218:0,1603:45:16:218:1:9,1603:45:16:218:2:910,Milagro,EC0910,,,,Guayas,EC09,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:911,911,1603:45:16:218:0,1603:45:16:218:1:9,1603:45:16:218:2:911,Naranjal,EC0911,,,,Guayas,EC09,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:912,912,1603:45:16:218:0,1603:45:16:218:1:9,1603:45:16:218:2:912,Naranjito,EC0912,,,,Guayas,EC09,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:913,913,1603:45:16:218:0,1603:45:16:218:1:9,1603:45:16:218:2:913,Palestina,EC0913,,,,Guayas,EC09,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:914,914,1603:45:16:218:0,1603:45:16:218:1:9,1603:45:16:218:2:914,Pedro Carbo,EC0914,,,,Guayas,EC09,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:916,916,1603:45:16:218:0,1603:45:16:218:1:9,1603:45:16:218:2:916,Samborondon,EC0916,,,,Guayas,EC09,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:918,918,1603:45:16:218:0,1603:45:16:218:1:9,1603:45:16:218:2:918,Santa Lucia,EC0918,,,,Guayas,EC09,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:919,919,1603:45:16:218:0,1603:45:16:218:1:9,1603:45:16:218:2:919,Salitre,EC0919,,,,Guayas,EC09,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:920,920,1603:45:16:218:0,1603:45:16:218:1:9,1603:45:16:218:2:920,San Jacinto de Yaguachi,EC0920,,,,Guayas,EC09,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:921,921,1603:45:16:218:0,1603:45:16:218:1:9,1603:45:16:218:2:921,Playas,EC0921,,,,Guayas,EC09,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:922,922,1603:45:16:218:0,1603:45:16:218:1:9,1603:45:16:218:2:922,Simon Bolivar,EC0922,,,,Guayas,EC09,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:923,923,1603:45:16:218:0,1603:45:16:218:1:9,1603:45:16:218:2:923,Crnel. Marcelino Maridueña,EC0923,Crnel. Marcelino Mariduena,,,Guayas,EC09,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:924,924,1603:45:16:218:0,1603:45:16:218:1:9,1603:45:16:218:2:924,Lomas de Sargentillo,EC0924,,,,Guayas,EC09,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:925,925,1603:45:16:218:0,1603:45:16:218:1:9,1603:45:16:218:2:925,Nobol,EC0925,,,,Guayas,EC09,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:927,927,1603:45:16:218:0,1603:45:16:218:1:9,1603:45:16:218:2:927,Gnral. Antonio Elizalde,EC0927,,,,Guayas,EC09,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:928,928,1603:45:16:218:0,1603:45:16:218:1:9,1603:45:16:218:2:928,Isidro Ayora,EC0928,,,,Guayas,EC09,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:1001,1001,1603:45:16:218:0,1603:45:16:218:1:10,1603:45:16:218:2:1001,Ibarra,EC1001,,,,Imbabura,EC10,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:1002,1002,1603:45:16:218:0,1603:45:16:218:1:10,1603:45:16:218:2:1002,Antonio Ante,EC1002,,,,Imbabura,EC10,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:1003,1003,1603:45:16:218:0,1603:45:16:218:1:10,1603:45:16:218:2:1003,Cotacachi,EC1003,,,,Imbabura,EC10,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:1004,1004,1603:45:16:218:0,1603:45:16:218:1:10,1603:45:16:218:2:1004,Otavalo,EC1004,,,,Imbabura,EC10,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:1005,1005,1603:45:16:218:0,1603:45:16:218:1:10,1603:45:16:218:2:1005,Pimampiro,EC1005,,,,Imbabura,EC10,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:1006,1006,1603:45:16:218:0,1603:45:16:218:1:10,1603:45:16:218:2:1006,San Miguel de Urcuqui,EC1006,,,,Imbabura,EC10,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:1101,1101,1603:45:16:218:0,1603:45:16:218:1:11,1603:45:16:218:2:1101,Loja,EC1101,,,,Loja,EC11,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:1102,1102,1603:45:16:218:0,1603:45:16:218:1:11,1603:45:16:218:2:1102,Calvas,EC1102,,,,Loja,EC11,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:1103,1103,1603:45:16:218:0,1603:45:16:218:1:11,1603:45:16:218:2:1103,Catamayo,EC1103,,,,Loja,EC11,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:1104,1104,1603:45:16:218:0,1603:45:16:218:1:11,1603:45:16:218:2:1104,Celica,EC1104,,,,Loja,EC11,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:1105,1105,1603:45:16:218:0,1603:45:16:218:1:11,1603:45:16:218:2:1105,Chaguarpamba,EC1105,,,,Loja,EC11,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:1106,1106,1603:45:16:218:0,1603:45:16:218:1:11,1603:45:16:218:2:1106,Espindola,EC1106,,,,Loja,EC11,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:1107,1107,1603:45:16:218:0,1603:45:16:218:1:11,1603:45:16:218:2:1107,Gonzanama,EC1107,,,,Loja,EC11,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:1108,1108,1603:45:16:218:0,1603:45:16:218:1:11,1603:45:16:218:2:1108,Macara,EC1108,,,,Loja,EC11,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:1109,1109,1603:45:16:218:0,1603:45:16:218:1:11,1603:45:16:218:2:1109,Paltas,EC1109,,,,Loja,EC11,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:1110,1110,1603:45:16:218:0,1603:45:16:218:1:11,1603:45:16:218:2:1110,Puyango,EC1110,,,,Loja,EC11,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:1111,1111,1603:45:16:218:0,1603:45:16:218:1:11,1603:45:16:218:2:1111,Saraguro,EC1111,,,,Loja,EC11,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:1112,1112,1603:45:16:218:0,1603:45:16:218:1:11,1603:45:16:218:2:1112,Sozoranga,EC1112,,,,Loja,EC11,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:1113,1113,1603:45:16:218:0,1603:45:16:218:1:11,1603:45:16:218:2:1113,Zapotillo,EC1113,,,,Loja,EC11,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:1114,1114,1603:45:16:218:0,1603:45:16:218:1:11,1603:45:16:218:2:1114,Pindal,EC1114,,,,Loja,EC11,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:1115,1115,1603:45:16:218:0,1603:45:16:218:1:11,1603:45:16:218:2:1115,Quilanga,EC1115,,,,Loja,EC11,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:1116,1116,1603:45:16:218:0,1603:45:16:218:1:11,1603:45:16:218:2:1116,Olmedo,EC1116,,,,Loja,EC11,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:1201,1201,1603:45:16:218:0,1603:45:16:218:1:12,1603:45:16:218:2:1201,Babahoyo,EC1201,,,,Los Rios,EC12,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:1202,1202,1603:45:16:218:0,1603:45:16:218:1:12,1603:45:16:218:2:1202,Baba,EC1202,,,,Los Rios,EC12,Ecuador (el),EC,2018-12-17,2019-07-31,
