#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt0,#meta+ERROR+adm3+code+v_pcode,#meta+ERROR+adm3+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#meta+ERROR+adm2+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:174:3:131,131,1603:45:16:174:0,1603:45:16:174:1:1,1603:45:16:174:2:13,1603:45:16:174:3:131,Bandrani Ya Chironkamba,KM131,,,,Mutsamudu,KM13,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:132,132,1603:45:16:174:0,1603:45:16:174:1:1,1603:45:16:174:2:13,1603:45:16:174:3:132,Bandrani Ya Mtsangani,KM132,,,,Mutsamudu,KM13,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:133,133,1603:45:16:174:0,1603:45:16:174:1:1,1603:45:16:174:2:13,1603:45:16:174:3:133,Mirontsi,KM133,,,,Mutsamudu,KM13,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:134,134,1603:45:16:174:0,1603:45:16:174:1:1,1603:45:16:174:2:13,1603:45:16:174:3:134,Mutsamudu,KM134,,,,Mutsamudu,KM13,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:141,141,1603:45:16:174:0,1603:45:16:174:1:1,1603:45:16:174:2:14,1603:45:16:174:3:141,Bambao Mtrouni,KM141,,,,Ouani,KM14,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:142,142,1603:45:16:174:0,1603:45:16:174:1:1,1603:45:16:174:2:14,1603:45:16:174:3:142,Bazimini,KM142,,,,Ouani,KM14,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:143,143,1603:45:16:174:0,1603:45:16:174:1:1,1603:45:16:174:2:14,1603:45:16:174:3:143,Ouani,KM143,,,,Ouani,KM14,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:151,151,1603:45:16:174:0,1603:45:16:174:1:1,1603:45:16:174:2:15,1603:45:16:174:3:151,Moya,KM151,,,,Sima,KM15,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:152,152,1603:45:16:174:0,1603:45:16:174:1:1,1603:45:16:174:2:15,1603:45:16:174:3:152,Sima,KM152,,,,Sima,KM15,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:153,153,1603:45:16:174:0,1603:45:16:174:1:1,1603:45:16:174:2:15,1603:45:16:174:3:153,Vouani,KM153,,,,Sima,KM15,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:211,211,1603:45:16:174:0,1603:45:16:174:1:2,1603:45:16:174:2:21,1603:45:16:174:3:211,Mboinkou,KM211,,,,Hamahamet-Mboinkou,KM21,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:212,212,1603:45:16:174:0,1603:45:16:174:1:2,1603:45:16:174:2:21,1603:45:16:174:3:212,Nyuma Mro,KM212,,,,Hamahamet-Mboinkou,KM21,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:213,213,1603:45:16:174:0,1603:45:16:174:1:2,1603:45:16:174:2:21,1603:45:16:174:3:213,Nyuma Msiru,KM213,,,,Hamahamet-Mboinkou,KM21,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:221,221,1603:45:16:174:0,1603:45:16:174:1:2,1603:45:16:174:2:22,1603:45:16:174:3:221,Djoumoipangua,KM221,,,,Hambou,KM22,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:222,222,1603:45:16:174:0,1603:45:16:174:1:2,1603:45:16:174:2:22,1603:45:16:174:3:222,Tsinimoipangua,KM222,,,,Hambou,KM22,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:231,231,1603:45:16:174:0,1603:45:16:174:1:2,1603:45:16:174:2:23,1603:45:16:174:3:231,Bangaani,KM231,,,,Itsandra-Hamanvou,KM23,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:232,232,1603:45:16:174:0,1603:45:16:174:1:2,1603:45:16:174:2:23,1603:45:16:174:3:232,Djoumoichongo,KM232,,,,Itsandra-Hamanvou,KM23,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:233,233,1603:45:16:174:0,1603:45:16:174:1:2,1603:45:16:174:2:23,1603:45:16:174:3:233,Hamanvou,KM233,,,,Itsandra-Hamanvou,KM23,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:234,234,1603:45:16:174:0,1603:45:16:174:1:2,1603:45:16:174:2:23,1603:45:16:174:3:234,Isahari,KM234,,,,Itsandra-Hamanvou,KM23,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:235,235,1603:45:16:174:0,1603:45:16:174:1:2,1603:45:16:174:2:23,1603:45:16:174:3:235,Mbadani,KM235,,,,Itsandra-Hamanvou,KM23,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:241,241,1603:45:16:174:0,1603:45:16:174:1:2,1603:45:16:174:2:24,1603:45:16:174:3:241,Domba,KM241,,,,Mbadjini Est,KM24,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:242,242,1603:45:16:174:0,1603:45:16:174:1:2,1603:45:16:174:2:24,1603:45:16:174:3:242,Itsahidi,KM242,,,,Mbadjini Est,KM24,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:243,243,1603:45:16:174:0,1603:45:16:174:1:2,1603:45:16:174:2:24,1603:45:16:174:3:243,Pimba,KM243,,,,Mbadjini Est,KM24,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:251,251,1603:45:16:174:0,1603:45:16:174:1:2,1603:45:16:174:2:25,1603:45:16:174:3:251,Ngouengoe,KM251,,,,Mbadjini Ouest,KM25,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:252,252,1603:45:16:174:0,1603:45:16:174:1:2,1603:45:16:174:2:25,1603:45:16:174:3:252,Nioumagama,KM252,,,,Mbadjini Ouest,KM25,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:261,261,1603:45:16:174:0,1603:45:16:174:1:2,1603:45:16:174:2:26,1603:45:16:174:3:261,Cembenoi Lac Salé,KM261,Cembenoi Lac Sale,,,Mitsamiouli-Mboudé,KM26,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:262,262,1603:45:16:174:0,1603:45:16:174:1:2,1603:45:16:174:2:26,1603:45:16:174:3:262,Cembenoi Sada Djoulamlima,KM262,,,,Mitsamiouli-Mboudé,KM26,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:263,263,1603:45:16:174:0,1603:45:16:174:1:2,1603:45:16:174:2:26,1603:45:16:174:3:263,Mitsamiouli,KM263,,,,Mitsamiouli-Mboudé,KM26,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:264,264,1603:45:16:174:0,1603:45:16:174:1:2,1603:45:16:174:2:26,1603:45:16:174:3:264,Nyuma Komo,KM264,,,,Mitsamiouli-Mboudé,KM26,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:265,265,1603:45:16:174:0,1603:45:16:174:1:2,1603:45:16:174:2:26,1603:45:16:174:3:265,Nyumamro Kiblani,KM265,,,,Mitsamiouli-Mboudé,KM26,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:266,266,1603:45:16:174:0,1603:45:16:174:1:2,1603:45:16:174:2:26,1603:45:16:174:3:266,Nyumamro Souheili,KM266,,,,Mitsamiouli-Mboudé,KM26,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:271,271,1603:45:16:174:0,1603:45:16:174:1:2,1603:45:16:174:2:27,1603:45:16:174:3:271,Bambao Ya Hari,KM271,,,,Moroni-Bambao,KM27,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:272,272,1603:45:16:174:0,1603:45:16:174:1:2,1603:45:16:174:2:27,1603:45:16:174:3:272,Bambao Ya Mboini,KM272,,,,Moroni-Bambao,KM27,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:273,273,1603:45:16:174:0,1603:45:16:174:1:2,1603:45:16:174:2:27,1603:45:16:174:3:273,Bambao Yadjou,KM273,,,,Moroni-Bambao,KM27,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:274,274,1603:45:16:174:0,1603:45:16:174:1:2,1603:45:16:174:2:27,1603:45:16:174:3:274,Moroni,KM274,,,,Moroni-Bambao,KM27,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:281,281,1603:45:16:174:0,1603:45:16:174:1:2,1603:45:16:174:2:28,1603:45:16:174:3:281,Dimani,KM281,,,,Oichili-Dimani,KM28,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:282,282,1603:45:16:174:0,1603:45:16:174:1:2,1603:45:16:174:2:28,1603:45:16:174:3:282,Oichili Yadjou,KM282,,,,Oichili-Dimani,KM28,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:283,283,1603:45:16:174:0,1603:45:16:174:1:2,1603:45:16:174:2:28,1603:45:16:174:3:283,Oichili Yamboini,KM283,,,,Oichili-Dimani,KM28,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:291,291,1603:45:16:174:0,1603:45:16:174:1:2,1603:45:16:174:2:29,1603:45:16:174:3:291,Cratère du Karthala,KM291,Cratere du Karthala,,,Kartala,KM29,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:311,311,1603:45:16:174:0,1603:45:16:174:1:3,1603:45:16:174:2:31,1603:45:16:174:3:311,Djando,KM311,,,,Djando,KM31,Mohéli (Mwali),KM3,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:321,321,1603:45:16:174:0,1603:45:16:174:1:3,1603:45:16:174:2:32,1603:45:16:174:3:321,Fomboni,KM321,,,,Fomboni,KM32,Mohéli (Mwali),KM3,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:322,322,1603:45:16:174:0,1603:45:16:174:1:3,1603:45:16:174:2:32,1603:45:16:174:3:322,Moili Mdjini,KM322,,,,Fomboni,KM32,Mohéli (Mwali),KM3,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:323,323,1603:45:16:174:0,1603:45:16:174:1:3,1603:45:16:174:2:32,1603:45:16:174:3:323,Moimbassa,KM323,,,,Fomboni,KM32,Mohéli (Mwali),KM3,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:331,331,1603:45:16:174:0,1603:45:16:174:1:3,1603:45:16:174:2:33,1603:45:16:174:3:331,Mlédjélé,KM331,Mledjele,,,Nioumachioi,KM33,Mohéli (Mwali),KM3,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:332,332,1603:45:16:174:0,1603:45:16:174:1:3,1603:45:16:174:2:33,1603:45:16:174:3:332,Moimbao,KM332,,,,Nioumachioi,KM33,Mohéli (Mwali),KM3,Comoros (the),KM,2018-12-28,2019-12-12,
