#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:266:2:2007,2007,1603:45:16:266:0,1603:45:16:266:1:2,1603:45:16:266:2:2007,Ogooue-Letili,GA002007,,,,Haut-Ogooue,GA002,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:2008,2008,1603:45:16:266:0,1603:45:16:266:1:2,1603:45:16:266:2:2008,Passa,GA002008,,,,Haut-Ogooue,GA002,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:2009,2009,1603:45:16:266:0,1603:45:16:266:1:2,1603:45:16:266:2:2009,Plateaux,GA002009,,,,Haut-Ogooue,GA002,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:2010,2010,1603:45:16:266:0,1603:45:16:266:1:2,1603:45:16:266:2:2010,Sebe-Brikolo,GA002010,,,,Haut-Ogooue,GA002,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:2011,2011,1603:45:16:266:0,1603:45:16:266:1:2,1603:45:16:266:2:2011,Bayi-Brikolo,GA002011,,,,Haut-Ogooue,GA002,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:3001,3001,1603:45:16:266:0,1603:45:16:266:1:3,1603:45:16:266:2:3001,Abanga-Bigne,GA003001,,,,Moyen-Ogooue,GA003,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:3002,3002,1603:45:16:266:0,1603:45:16:266:1:3,1603:45:16:266:2:3002,Ogooue et Lacs,GA003002,,,,Moyen-Ogooue,GA003,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:4001,4001,1603:45:16:266:0,1603:45:16:266:1:4,1603:45:16:266:2:4001,Boumi-Louetsi,GA004001,,,,Ngounie,GA004,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:4002,4002,1603:45:16:266:0,1603:45:16:266:1:4,1603:45:16:266:2:4002,Dola,GA004002,,,,Ngounie,GA004,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:4003,4003,1603:45:16:266:0,1603:45:16:266:1:4,1603:45:16:266:2:4003,Douya-Onoye,GA004003,,,,Ngounie,GA004,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:4004,4004,1603:45:16:266:0,1603:45:16:266:1:4,1603:45:16:266:2:4004,Louetsi-Bibaka,GA004004,,,,Ngounie,GA004,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:4005,4005,1603:45:16:266:0,1603:45:16:266:1:4,1603:45:16:266:2:4005,Louetsi-Wano,GA004005,,,,Ngounie,GA004,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:4006,4006,1603:45:16:266:0,1603:45:16:266:1:4,1603:45:16:266:2:4006,Ndolou,GA004006,,,,Ngounie,GA004,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:4007,4007,1603:45:16:266:0,1603:45:16:266:1:4,1603:45:16:266:2:4007,Ogoulou,GA004007,,,,Ngounie,GA004,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:4008,4008,1603:45:16:266:0,1603:45:16:266:1:4,1603:45:16:266:2:4008,Tsamba-Magotsi,GA004008,,,,Ngounie,GA004,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:4009,4009,1603:45:16:266:0,1603:45:16:266:1:4,1603:45:16:266:2:4009,Mougalaba,GA004009,,,,Ngounie,GA004,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:5001,5001,1603:45:16:266:0,1603:45:16:266:1:5,1603:45:16:266:2:5001,Basse-Banio,GA005001,,,,Nyanga,GA005,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:5002,5002,1603:45:16:266:0,1603:45:16:266:1:5,1603:45:16:266:2:5002,Douigni,GA005002,,,,Nyanga,GA005,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:5003,5003,1603:45:16:266:0,1603:45:16:266:1:5,1603:45:16:266:2:5003,Doutsila,GA005003,,,,Nyanga,GA005,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:5004,5004,1603:45:16:266:0,1603:45:16:266:1:5,1603:45:16:266:2:5004,Haute-Banio,GA005004,,,,Nyanga,GA005,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:5005,5005,1603:45:16:266:0,1603:45:16:266:1:5,1603:45:16:266:2:5005,Mougoutsi,GA005005,,,,Nyanga,GA005,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:5006,5006,1603:45:16:266:0,1603:45:16:266:1:5,1603:45:16:266:2:5006,Mongo,GA005006,,,,Nyanga,GA005,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:6001,6001,1603:45:16:266:0,1603:45:16:266:1:6,1603:45:16:266:2:6001,Ivindo,GA006001,,,,Ogooue-Ivindo,GA006,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:6002,6002,1603:45:16:266:0,1603:45:16:266:1:6,1603:45:16:266:2:6002,Lope,GA006002,,,,Ogooue-Ivindo,GA006,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:6003,6003,1603:45:16:266:0,1603:45:16:266:1:6,1603:45:16:266:2:6003,Mvoung,GA006003,,,,Ogooue-Ivindo,GA006,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:6004,6004,1603:45:16:266:0,1603:45:16:266:1:6,1603:45:16:266:2:6004,Zadie,GA006004,,,,Ogooue-Ivindo,GA006,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:7001,7001,1603:45:16:266:0,1603:45:16:266:1:7,1603:45:16:266:2:7001,Lolo-Bouenguidi,GA007001,,,,Ogooue-Lolo,GA007,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:7002,7002,1603:45:16:266:0,1603:45:16:266:1:7,1603:45:16:266:2:7002,Lombo-Bouenguidi,GA007002,,,,Ogooue-Lolo,GA007,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:7003,7003,1603:45:16:266:0,1603:45:16:266:1:7,1603:45:16:266:2:7003,Mouloundou,GA007003,,,,Ogooue-Lolo,GA007,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:7004,7004,1603:45:16:266:0,1603:45:16:266:1:7,1603:45:16:266:2:7004,Offoue-Onoye,GA007004,,,,Ogooue-Lolo,GA007,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:8001,8001,1603:45:16:266:0,1603:45:16:266:1:8,1603:45:16:266:2:8001,Bendje,GA008001,,,,Ogooue-Maritime,GA008,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:8002,8002,1603:45:16:266:0,1603:45:16:266:1:8,1603:45:16:266:2:8002,Etimboue,GA008002,,,,Ogooue-Maritime,GA008,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:8003,8003,1603:45:16:266:0,1603:45:16:266:1:8,1603:45:16:266:2:8003,Ndougou,GA008003,,,,Ogooue-Maritime,GA008,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:9001,9001,1603:45:16:266:0,1603:45:16:266:1:9,1603:45:16:266:2:9001,Haut-Komo,GA009001,,,,Woleu-Ntem,GA009,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:9002,9002,1603:45:16:266:0,1603:45:16:266:1:9,1603:45:16:266:2:9002,Haut-Ntem,GA009002,,,,Woleu-Ntem,GA009,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:9003,9003,1603:45:16:266:0,1603:45:16:266:1:9,1603:45:16:266:2:9003,Ntem,GA009003,,,,Woleu-Ntem,GA009,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:9004,9004,1603:45:16:266:0,1603:45:16:266:1:9,1603:45:16:266:2:9004,Okano,GA009004,,,,Woleu-Ntem,GA009,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:9005,9005,1603:45:16:266:0,1603:45:16:266:1:9,1603:45:16:266:2:9005,Woleu,GA009005,,,,Woleu-Ntem,GA009,Gabon,GA,2015-02-17,2021-12-31,
