qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,eng-Latn-r-pSKOS-pprefLabel-ps5002,fra-Latn-r-pSKOS-pprefLabel-ps5002,kin-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,fra-Latn-r-pSKOS-pprefLabel-ps5001,kin-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,fra-Latn-r-pSKOS-pprefLabel-ps5000,kin-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:646:2:28,28,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:28,Kamonyi,,,RW28,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:31,31,1603:45:16:646:0,1603:45:16:646:1:3,1603:45:16:646:2:31,Karongi,,,RW31,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:32,32,1603:45:16:646:0,1603:45:16:646:1:3,1603:45:16:646:2:32,Rutsiro,,,RW32,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:33,33,1603:45:16:646:0,1603:45:16:646:1:3,1603:45:16:646:2:33,Rubavu,,,RW33,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:34,34,1603:45:16:646:0,1603:45:16:646:1:3,1603:45:16:646:2:34,Nyabihu,,,RW34,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:35,35,1603:45:16:646:0,1603:45:16:646:1:3,1603:45:16:646:2:35,Ngororero,,,RW35,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:36,36,1603:45:16:646:0,1603:45:16:646:1:3,1603:45:16:646:2:36,Rusizi,,,RW36,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:37,37,1603:45:16:646:0,1603:45:16:646:1:3,1603:45:16:646:2:37,Nyamasheke,,,RW37,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:41,41,1603:45:16:646:0,1603:45:16:646:1:4,1603:45:16:646:2:41,Rulindo,,,RW41,Northern Province,Province du Nord,Amajyaruguru,RW4,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:42,42,1603:45:16:646:0,1603:45:16:646:1:4,1603:45:16:646:2:42,Gakenke,,,RW42,Northern Province,Province du Nord,Amajyaruguru,RW4,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:43,43,1603:45:16:646:0,1603:45:16:646:1:4,1603:45:16:646:2:43,Musanze,,,RW43,Northern Province,Province du Nord,Amajyaruguru,RW4,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:44,44,1603:45:16:646:0,1603:45:16:646:1:4,1603:45:16:646:2:44,Burera,,,RW44,Northern Province,Province du Nord,Amajyaruguru,RW4,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:45,45,1603:45:16:646:0,1603:45:16:646:1:4,1603:45:16:646:2:45,Gicumbi,,,RW45,Northern Province,Province du Nord,Amajyaruguru,RW4,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:51,51,1603:45:16:646:0,1603:45:16:646:1:5,1603:45:16:646:2:51,Rwamagana,,,RW51,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:52,52,1603:45:16:646:0,1603:45:16:646:1:5,1603:45:16:646:2:52,Nyagatare,,,RW52,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:53,53,1603:45:16:646:0,1603:45:16:646:1:5,1603:45:16:646:2:53,Gatsibo,,,RW53,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:54,54,1603:45:16:646:0,1603:45:16:646:1:5,1603:45:16:646:2:54,Kayonza,,,RW54,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:55,55,1603:45:16:646:0,1603:45:16:646:1:5,1603:45:16:646:2:55,Kirehe,,,RW55,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:56,56,1603:45:16:646:0,1603:45:16:646:1:5,1603:45:16:646:2:56,Ngoma,,,RW56,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:57,57,1603:45:16:646:0,1603:45:16:646:1:5,1603:45:16:646:2:57,Bugesera,,,RW57,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
