#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:716:2:1021,1021,Bulawayo,ZW1021,,,,Bulawayo,ZW10,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1203,1203,Guruve,ZW1203,,,,Mashonaland Central,ZW12,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1204,1204,Mazowe,ZW1204,,,,Mashonaland Central,ZW12,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1205,1205,Mount Darwin,ZW1205,,,,Mashonaland Central,ZW12,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1206,1206,Rushinga,ZW1206,,,,Mashonaland Central,ZW12,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1207,1207,Shamva,ZW1207,,,,Mashonaland Central,ZW12,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1208,1208,Mbire,ZW1208,,,,Mashonaland Central,ZW12,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1209,1209,Mvurwi,ZW1209,,,,Mashonaland Central,ZW12,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1221,1221,Bindura Urban,ZW1221,,,,Mashonaland Central,ZW12,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1301,1301,Chikomba,ZW1301,,,,Mashonaland East,ZW13,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1302,1302,Goromonzi,ZW1302,,,,Mashonaland East,ZW13,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1303,1303,Hwedza,ZW1303,,,,Mashonaland East,ZW13,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1304,1304,Marondera,ZW1304,,,,Mashonaland East,ZW13,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1305,1305,Mudzi,ZW1305,,,,Mashonaland East,ZW13,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1306,1306,Murehwa,ZW1306,,,,Mashonaland East,ZW13,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1307,1307,Mutoko,ZW1307,,,,Mashonaland East,ZW13,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1308,1308,Seke,ZW1308,,,,Mashonaland East,ZW13,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1309,1309,Uzumba Maramba Pfungwe,ZW1309,,,,Mashonaland East,ZW13,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1321,1321,Marondera Urban,ZW1321,,,,Mashonaland East,ZW13,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1326,1326,Ruwa,ZW1326,,,,Mashonaland East,ZW13,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1401,1401,Chegutu,ZW1401,,,,Mashonaland West,ZW14,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1402,1402,Hurungwe,ZW1402,,,,Mashonaland West,ZW14,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1403,1403,Kadoma Urban,ZW1403,,,,Mashonaland West,ZW14,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1404,1404,Kariba,ZW1404,,,,Mashonaland West,ZW14,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1405,1405,Makonde,ZW1405,,,,Mashonaland West,ZW14,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1406,1406,Zvimba,ZW1406,,,,Mashonaland West,ZW14,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1421,1421,Chinhoyi,ZW1421,,,,Mashonaland West,ZW14,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1423,1423,Chegutu Urban,ZW1423,,,,Mashonaland West,ZW14,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1424,1424,Kariba Urban,ZW1424,,,,Mashonaland West,ZW14,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1425,1425,Norton,ZW1425,,,,Mashonaland West,ZW14,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1426,1426,Karoi,ZW1426,,,,Mashonaland West,ZW14,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1427,1427,Mhondoro-Ngezi,ZW1427,,,,Mashonaland West,ZW14,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1428,1428,Sanyati,ZW1428,,,,Mashonaland West,ZW14,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1501,1501,Binga,ZW1501,,,,Matabeleland North,ZW15,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1502,1502,Bubi,ZW1502,,,,Matabeleland North,ZW15,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1503,1503,Hwange,ZW1503,,,,Matabeleland North,ZW15,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1504,1504,Lupane,ZW1504,,,,Matabeleland North,ZW15,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1505,1505,Nkayi,ZW1505,,,,Matabeleland North,ZW15,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1506,1506,Tsholotsho,ZW1506,,,,Matabeleland North,ZW15,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1507,1507,Umguza,ZW1507,,,,Matabeleland North,ZW15,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1521,1521,Hwange Urban,ZW1521,,,,Matabeleland North,ZW15,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1522,1522,Victoria Falls,ZW1522,,,,Matabeleland North,ZW15,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1601,1601,Beitbridge,ZW1601,,,,Matabeleland South,ZW16,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1602,1602,Bulilima,ZW1602,,,,Matabeleland South,ZW16,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1603,1603,Mangwe,ZW1603,,,,Matabeleland South,ZW16,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1604,1604,Gwanda,ZW1604,,,,Matabeleland South,ZW16,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1605,1605,Insiza,ZW1605,,,,Matabeleland South,ZW16,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1606,1606,Matobo,ZW1606,,,,Matabeleland South,ZW16,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1607,1607,Umzingwane,ZW1607,,,,Matabeleland South,ZW16,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1621,1621,Gwanda Urban,ZW1621,,,,Matabeleland South,ZW16,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1622,1622,Beitbridge Urban,ZW1622,,,,Matabeleland South,ZW16,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1623,1623,Plumtree,ZW1623,,,,Matabeleland South,ZW16,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1701,1701,Chirumhanzu,ZW1701,,,,Midlands,ZW17,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1702,1702,Gokwe North,ZW1702,,,,Midlands,ZW17,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1703,1703,Gokwe South,ZW1703,,,,Midlands,ZW17,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1704,1704,Gweru,ZW1704,,,,Midlands,ZW17,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1705,1705,Kwekwe,ZW1705,,,,Midlands,ZW17,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1706,1706,Mberengwa,ZW1706,,,,Midlands,ZW17,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1707,1707,Shurugwi,ZW1707,,,,Midlands,ZW17,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1708,1708,Zvishavane,ZW1708,,,,Midlands,ZW17,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1721,1721,Gweru Urban,ZW1721,,,,Midlands,ZW17,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1722,1722,Kwekwe Urban,ZW1722,,,,Midlands,ZW17,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1723,1723,Redcliff,ZW1723,,,,Midlands,ZW17,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1725,1725,Zvishavane Urban,ZW1725,,,,Midlands,ZW17,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1728,1728,Shurugwi Town,ZW1728,,,,Midlands,ZW17,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1729,1729,Gokwe South Urban,ZW1729,,,,Midlands,ZW17,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1801,1801,Bikita,ZW1801,,,,Masvingo,ZW18,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1802,1802,Chiredzi,ZW1802,,,,Masvingo,ZW18,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1803,1803,Chivi,ZW1803,,,,Masvingo,ZW18,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1804,1804,Gutu,ZW1804,,,,Masvingo,ZW18,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1805,1805,Masvingo,ZW1805,,,,Masvingo,ZW18,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1806,1806,Mwenezi,ZW1806,,,,Masvingo,ZW18,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1807,1807,Zaka,ZW1807,,,,Masvingo,ZW18,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1821,1821,Masvingo Urban,ZW1821,,,,Masvingo,ZW18,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1822,1822,Chiredzi Urban,ZW1822,,,,Masvingo,ZW18,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1921,1921,Harare,ZW1921,,,,Harare,ZW19,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1922,1922,Chitungwiza,ZW1922,,,,Harare,ZW19,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1923,1923,Epworth,ZW1923,,,,Harare,ZW19,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1924,1924,Harare Rural,ZW1924,,,,Harare,ZW19,Zimbabwe,ZW,2018-08-31,2020-11-26,
