#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:214:2:303,303,1603:45:16:214:0,1603:45:16:214:1:3,1603:45:16:214:2:303,Provincia Santiago,DO0303,,,,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:2:401,401,1603:45:16:214:0,1603:45:16:214:1:4,1603:45:16:214:2:401,Provincia La Vega,DO0401,,,,Región Cibao Sur,DO04,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:2:402,402,1603:45:16:214:0,1603:45:16:214:1:4,1603:45:16:214:2:402,Provincia Monseñor Nouel,DO0402,Provincia Monsenor Nouel,,,Región Cibao Sur,DO04,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:2:403,403,1603:45:16:214:0,1603:45:16:214:1:4,1603:45:16:214:2:403,Provincia Sánchez Ramírez,DO0403,Provincia Sanchez Ramirez,,,Región Cibao Sur,DO04,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:2:501,501,1603:45:16:214:0,1603:45:16:214:1:5,1603:45:16:214:2:501,Provincia Elías Piña,DO0501,Provincia Elias Pina,,,Región El Valle,DO05,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:2:502,502,1603:45:16:214:0,1603:45:16:214:1:5,1603:45:16:214:2:502,Provincia San Juan,DO0502,,,,Región El Valle,DO05,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:2:601,601,1603:45:16:214:0,1603:45:16:214:1:6,1603:45:16:214:2:601,Provincia Baoruco,DO0601,,,,Región Enriquillo,DO06,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:2:602,602,1603:45:16:214:0,1603:45:16:214:1:6,1603:45:16:214:2:602,Provincia Barahona,DO0602,,,,Región Enriquillo,DO06,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:2:603,603,1603:45:16:214:0,1603:45:16:214:1:6,1603:45:16:214:2:603,Provincia Independencia,DO0603,,,,Región Enriquillo,DO06,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:2:604,604,1603:45:16:214:0,1603:45:16:214:1:6,1603:45:16:214:2:604,Provincia Pedernales,DO0604,,,,Región Enriquillo,DO06,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:2:701,701,1603:45:16:214:0,1603:45:16:214:1:7,1603:45:16:214:2:701,Provincia Hato Mayor,DO0701,,,,Región Higuamo,DO07,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:2:702,702,1603:45:16:214:0,1603:45:16:214:1:7,1603:45:16:214:2:702,Provincia Monte Plata,DO0702,,,,Región Higuamo,DO07,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:2:703,703,1603:45:16:214:0,1603:45:16:214:1:7,1603:45:16:214:2:703,Provincia San Pedro de Macorís,DO0703,Provincia San Pedro de Macoris,,,Región Higuamo,DO07,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:2:801,801,1603:45:16:214:0,1603:45:16:214:1:8,1603:45:16:214:2:801,Distrito Nacional,DO0801,,,,Región Ozama,DO08,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:2:802,802,1603:45:16:214:0,1603:45:16:214:1:8,1603:45:16:214:2:802,Provincia Santo Domingo,DO0802,,,,Región Ozama,DO08,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:2:901,901,1603:45:16:214:0,1603:45:16:214:1:9,1603:45:16:214:2:901,Provincia Azua,DO0901,,,,Región Valdesia,DO09,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:2:902,902,1603:45:16:214:0,1603:45:16:214:1:9,1603:45:16:214:2:902,Provincia Peravia,DO0902,,,,Región Valdesia,DO09,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:2:903,903,1603:45:16:214:0,1603:45:16:214:1:9,1603:45:16:214:2:903,Provincia San Cristóbal,DO0903,Provincia San Cristobal,,,Región Valdesia,DO09,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:2:904,904,1603:45:16:214:0,1603:45:16:214:1:9,1603:45:16:214:2:904,Provincia San José de Ocoa,DO0904,Provincia San Jose de Ocoa,,,Región Valdesia,DO09,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:2:1001,1001,1603:45:16:214:0,1603:45:16:214:1:10,1603:45:16:214:2:1001,Provincia El Seibo,DO1001,,,,Región Yuma,DO10,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:2:1002,1002,1603:45:16:214:0,1603:45:16:214:1:10,1603:45:16:214:2:1002,Provincia La Altagracia,DO1002,,,,Región Yuma,DO10,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:2:1003,1003,1603:45:16:214:0,1603:45:16:214:1:10,1603:45:16:214:2:1003,Provincia La Romana,DO1003,,,,Región Yuma,DO10,República Dominicana (la),DO,2017-09-06,2021-07-01,
