#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm3+code+v_numerodinatio,#adm3+name+i_spa+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_spa+is_latn,#adm3+name+alt2+i_spa+is_latn,#adm2+name+i_spa+is_latn,#adm2+code+v_pcode,#adm1+name+i_spa+is_latn,#adm1+code+v_pcode,#country+name+i_spa+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:68:3:20206,20206,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:202,1603:45:16:68:3:20206,Chua Cocani,BO020206,,,,Omasuyos,BO0202,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20301,20301,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:203,1603:45:16:68:3:20301,Corocoro,BO020301,,,,Pacajes,BO0203,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20302,20302,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:203,1603:45:16:68:3:20302,Caquiaviri,BO020302,,,,Pacajes,BO0203,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20303,20303,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:203,1603:45:16:68:3:20303,Calacoto,BO020303,,,,Pacajes,BO0203,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20304,20304,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:203,1603:45:16:68:3:20304,Comanche,BO020304,,,,Pacajes,BO0203,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20305,20305,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:203,1603:45:16:68:3:20305,Charaña,BO020305,Charana,,,Pacajes,BO0203,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20306,20306,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:203,1603:45:16:68:3:20306,Waldo Ballivian,BO020306,,,,Pacajes,BO0203,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20307,20307,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:203,1603:45:16:68:3:20307,Nazacara de Pacajes,BO020307,,,,Pacajes,BO0203,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20308,20308,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:203,1603:45:16:68:3:20308,Santiago de Callapa,BO020308,,,,Pacajes,BO0203,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20401,20401,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:204,1603:45:16:68:3:20401,Puerto Acosta,BO020401,,,,Camacho,BO0204,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20402,20402,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:204,1603:45:16:68:3:20402,Mocomoco,BO020402,,,,Camacho,BO0204,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20403,20403,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:204,1603:45:16:68:3:20403,Puerto Mayor de Carabuco,BO020403,,,,Camacho,BO0204,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20404,20404,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:204,1603:45:16:68:3:20404,Humanata,BO020404,,,,Camacho,BO0204,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20405,20405,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:204,1603:45:16:68:3:20405,Escoma,BO020405,,,,Camacho,BO0204,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20501,20501,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:205,1603:45:16:68:3:20501,Chuma,BO020501,,,,Muñecas,BO0205,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20502,20502,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:205,1603:45:16:68:3:20502,Ayata,BO020502,,,,Muñecas,BO0205,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20503,20503,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:205,1603:45:16:68:3:20503,Aucapata,BO020503,,,,Muñecas,BO0205,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20601,20601,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:206,1603:45:16:68:3:20601,Sorata,BO020601,,,,Larecaja,BO0206,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20602,20602,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:206,1603:45:16:68:3:20602,Guanay,BO020602,,,,Larecaja,BO0206,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20603,20603,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:206,1603:45:16:68:3:20603,Tacacoma,BO020603,,,,Larecaja,BO0206,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20604,20604,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:206,1603:45:16:68:3:20604,Quiabaya,BO020604,,,,Larecaja,BO0206,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20605,20605,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:206,1603:45:16:68:3:20605,Combaya,BO020605,,,,Larecaja,BO0206,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
