#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:776:2:24,24,1603:45:16:776:0,1603:45:16:776:1:2,1603:45:16:776:2:24,Leimatu'a,TO24,,,,Vava'u,TO2,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:2:25,25,1603:45:16:776:0,1603:45:16:776:1:2,1603:45:16:776:2:25,Hihifo,TO25,,,,Vava'u,TO2,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:2:26,26,1603:45:16:776:0,1603:45:16:776:1:2,1603:45:16:776:2:26,Motu,TO26,,,,Vava'u,TO2,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:2:31,31,1603:45:16:776:0,1603:45:16:776:1:3,1603:45:16:776:2:31,Pangai,TO31,,,,Ha'apai,TO3,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:2:32,32,1603:45:16:776:0,1603:45:16:776:1:3,1603:45:16:776:2:32,Foa,TO32,,,,Ha'apai,TO3,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:2:33,33,1603:45:16:776:0,1603:45:16:776:1:3,1603:45:16:776:2:33,Lulunga,TO33,,,,Ha'apai,TO3,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:2:34,34,1603:45:16:776:0,1603:45:16:776:1:3,1603:45:16:776:2:34,Mu'omu'a,TO34,,,,Ha'apai,TO3,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:2:35,35,1603:45:16:776:0,1603:45:16:776:1:3,1603:45:16:776:2:35,Ha`ano,TO35,,,,Ha'apai,TO3,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:2:36,36,1603:45:16:776:0,1603:45:16:776:1:3,1603:45:16:776:2:36,'Uiha,TO36,,,,Ha'apai,TO3,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:2:41,41,1603:45:16:776:0,1603:45:16:776:1:4,1603:45:16:776:2:41,'Eua Prope,TO41,,,,'Eua,TO4,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:2:42,42,1603:45:16:776:0,1603:45:16:776:1:4,1603:45:16:776:2:42,'Eua fo'ou,TO42,,,,'Eua,TO4,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:2:51,51,1603:45:16:776:0,1603:45:16:776:1:5,1603:45:16:776:2:51,Niuatoputapu,TO51,,,,Niuas,TO5,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:2:52,52,1603:45:16:776:0,1603:45:16:776:1:5,1603:45:16:776:2:52,Niuafo'ou,TO52,,,,Niuas,TO5,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
