#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm3+name+i_eng+is_latn,#adm3+name+i_tha+is_thai,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm3+name+alt1+i_tha+is_thai,#adm3+name+alt2+i_tha+is_thai,#adm2+name+i_eng+is_latn,#adm2+name+i_tha+is_thai,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+name+i_tha+is_thai,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_tha+is_thai,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:764:3:100306,100306,Khu Fung Nuea,คู้ฝั่งเหนือ,TH100306,,,,,,Nong Chok,หนองจอก,TH1003,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:100307,100307,Lam Phak Chi,ลำผักชี,TH100307,,,,,,Nong Chok,หนองจอก,TH1003,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:100308,100308,Lam Toiting,ลำต้อยติ่ง,TH100308,,,,,,Nong Chok,หนองจอก,TH1003,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:100401,100401,Maha Phruettharam,มหาพฤฒาราม,TH100401,,,,,,Bang Rak,บางรัก,TH1004,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:100402,100402,Si Lom,สีลม,TH100402,,,,,,Bang Rak,บางรัก,TH1004,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:100403,100403,Suriyawong,สุริยวงศ์,TH100403,,,,,,Bang Rak,บางรัก,TH1004,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:100404,100404,Bang Rak,บางรัก,TH100404,,,,,,Bang Rak,บางรัก,TH1004,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:100405,100405,Si Phraya,สี่พระยา,TH100405,,,,,,Bang Rak,บางรัก,TH1004,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:100502,100502,Anusawari,อนุสาวรีย์,TH100502,,,,,,Bang Khen,บางเขน,TH1005,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:100508,100508,Tha Raeng,ท่าแร้ง,TH100508,,,,,,Bang Khen,บางเขน,TH1005,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:100601,100601,Khlong Chan,คลองจั่น,TH100601,,,,,,Bang Kapi,บางกะปิ,TH1006,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:100608,100608,Hua Mak,หัวหมาก,TH100608,,,,,,Bang Kapi,บางกะปิ,TH1006,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:100701,100701,Rong Mueang,รองเมือง,TH100701,,,,,,Pathum Wan,ปทุมวัน,TH1007,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:100702,100702,Wang Mai,วังใหม่,TH100702,,,,,,Pathum Wan,ปทุมวัน,TH1007,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:100703,100703,Pathum Wan,ปทุมวัน,TH100703,,,,,,Pathum Wan,ปทุมวัน,TH1007,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:100704,100704,Lumphini,ลุมพินี,TH100704,,,,,,Pathum Wan,ปทุมวัน,TH1007,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:100801,100801,Pom Prap,ป้อมปราบ,TH100801,,,,,,Pom Prap Sattru Phai,ป้อมปราบศัตรูพ่า,TH1008,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:100802,100802,Wat Thepsirin,วัดเทพศิรินทร์,TH100802,,,,,,Pom Prap Sattru Phai,ป้อมปราบศัตรูพ่า,TH1008,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:100803,100803,Khlong Mahanak,คลองมหานาค,TH100803,,,,,,Pom Prap Sattru Phai,ป้อมปราบศัตรูพ่า,TH1008,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:100804,100804,Ban Bat,บ้านบาตร,TH100804,,,,,,Pom Prap Sattru Phai,ป้อมปราบศัตรูพ่า,TH1008,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:100805,100805,Wat Sommanat,วัดโสมนัส,TH100805,,,,,,Pom Prap Sattru Phai,ป้อมปราบศัตรูพ่า,TH1008,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:100905,100905,Bang Chak,บางจาก,TH100905,,,,,,Phra Khanong,พระโขนง,TH1009,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:101001,101001,Min Buri,มีนบุรี,TH101001,,,,,,Min Buri,มีนบุรี,TH1010,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:101002,101002,Saen Saep,แสนแสบ,TH101002,,,,,,Min Buri,มีนบุรี,TH1010,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:101101,101101,Lat Krabang,ลาดกระบัง,TH101101,,,,,,Lat Krabang,ลาดกระบัง,TH1011,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:101102,101102,Khlong Song Ton Nun,คลองสองต้นนุ่น,TH101102,,,,,,Lat Krabang,ลาดกระบัง,TH1011,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:101103,101103,Khlong Sam Prawet,คลองสามประเวศ,TH101103,,,,,,Lat Krabang,ลาดกระบัง,TH1011,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:101104,101104,Lam Pla Thio,ลำปลาทิว,TH101104,,,,,,Lat Krabang,ลาดกระบัง,TH1011,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:101105,101105,Thap Yao,ทับยาว,TH101105,,,,,,Lat Krabang,ลาดกระบัง,TH1011,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:101106,101106,Khum Thong,ขุมทอง,TH101106,,,,,,Lat Krabang,ลาดกระบัง,TH1011,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:101203,101203,Chong Nonsi,ช่องนนทรี,TH101203,,,,,,Yan Nawa,ยานนาวา,TH1012,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:101204,101204,Bang Phongphang,บางโพงพาง,TH101204,,,,,,Yan Nawa,ยานนาวา,TH1012,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:101301,101301,Chakkrawat,จักรวรรดิ,TH101301,,,,,,Samphanthawong,สัมพันธวงศ์,TH1013,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:101302,101302,Samphanthawong,สัมพันธวงศ์,TH101302,,,,,,Samphanthawong,สัมพันธวงศ์,TH1013,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:101303,101303,Talat Noi,ตลาดน้อย,TH101303,,,,,,Samphanthawong,สัมพันธวงศ์,TH1013,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:101401,101401,Sam Sen Nai,สามเสนใน,TH101401,,,,,,Phaya Thai,พญาไท,TH1014,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:101501,101501,Wat Kanlaya,วัดกัลยาณ์,TH101501,,,,,,Thon Buri,ธนบุรี,TH1015,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:101502,101502,Hiranruchi,หิรัญรูจี,TH101502,,,,,,Thon Buri,ธนบุรี,TH1015,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:101503,101503,Bang Yi Ruea,บางยี่เรือ,TH101503,,,,,,Thon Buri,ธนบุรี,TH1015,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:101504,101504,Bukkhalo,บุคคโล,TH101504,,,,,,Thon Buri,ธนบุรี,TH1015,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:101505,101505,Talat Phlu,ตลาดพลู,TH101505,,,,,,Thon Buri,ธนบุรี,TH1015,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:101506,101506,Dao Khanong,ดาวคะนอง,TH101506,,,,,,Thon Buri,ธนบุรี,TH1015,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:101507,101507,Samre,สำเหร่,TH101507,,,,,,Thon Buri,ธนบุรี,TH1015,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:101601,101601,Wat Arun,วัดอรุณ,TH101601,,,,,,Bangkok Yai,บางกอกใหญ่,TH1016,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:101602,101602,Wat Tha Phra,วัดท่าพระ,TH101602,,,,,,Bangkok Yai,บางกอกใหญ่,TH1016,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:101701,101701,Huai Khwang,ห้วยขวาง,TH101701,,,,,,Huai Khwang,ห้วยขวาง,TH1017,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:101702,101702,Bang Kapi,บางกะปิ,TH101702,,,,,,Huai Khwang,ห้วยขวาง,TH1017,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:101704,101704,Sam Sen Nok,สามเสนนอก,TH101704,,,,,,Huai Khwang,ห้วยขวาง,TH1017,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:101801,101801,Somdet Chaophraya,สมเด็จเจ้าพระยา,TH101801,,,,,,Khlong San,คลองสาน,TH1018,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:101802,101802,Khlong San,คลองสาน,TH101802,,,,,,Khlong San,คลองสาน,TH1018,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:101803,101803,Bang Lamphu Lang,บางลำภูล่าง,TH101803,,,,,,Khlong San,คลองสาน,TH1018,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:101804,101804,Khlong Ton Sai,คลองต้นไทร,TH101804,,,,,,Khlong San,คลองสาน,TH1018,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:101901,101901,Khlong Chak Phra,คลองชักพระ,TH101901,,,,,,Taling Chan,ตลิ่งชัน,TH1019,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:101902,101902,Taling Chan,ตลิ่งชัน,TH101902,,,,,,Taling Chan,ตลิ่งชัน,TH1019,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:101903,101903,Chimphli,ฉิมพลี,TH101903,,,,,,Taling Chan,ตลิ่งชัน,TH1019,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:101904,101904,Bang Phrom,บางพรม,TH101904,,,,,,Taling Chan,ตลิ่งชัน,TH1019,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:101905,101905,Bang Ramat,บางระมาด,TH101905,,,,,,Taling Chan,ตลิ่งชัน,TH1019,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:101907,101907,Bang Chueak Nang,บางเชือกหนัง,TH101907,,,,,,Taling Chan,ตลิ่งชัน,TH1019,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:102004,102004,Sirirat,ศิริราช,TH102004,,,,,,Bangkok Noi,บางกอกน้อย,TH1020,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:102005,102005,Ban Chang Lo,บ้านช่างหล่อ,TH102005,,,,,,Bangkok Noi,บางกอกน้อย,TH1020,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:102006,102006,Bang Khun Non,บางขุนนนท์,TH102006,,,,,,Bangkok Noi,บางกอกน้อย,TH1020,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:102007,102007,Bang Khun Si,บางขุนศรี,TH102007,,,,,,Bangkok Noi,บางกอกน้อย,TH1020,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:102009,102009,Arun Ammarin,อรุณอมรินทร์,TH102009,,,,,,Bangkok Noi,บางกอกน้อย,TH1020,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:102105,102105,Tha Kham,ท่าข้าม,TH102105,,,,,,Bang Khun Thian,บางขุนเทียน,TH1021,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:102107,102107,Samae Dam,แสมดำ,TH102107,,,,,,Bang Khun Thian,บางขุนเทียน,TH1021,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:102201,102201,Bang Wa,บางหว้า,TH102201,,,,,,Phasi Charoen,ภาษีเจริญ,TH1022,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:102202,102202,Bang Duan,บางด้วน,TH102202,,,,,,Phasi Charoen,ภาษีเจริญ,TH1022,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:102206,102206,Bang Chak,บางจาก,TH102206,,,,,,Phasi Charoen,ภาษีเจริญ,TH1022,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:102207,102207,Bang Waek,บางแวก,TH102207,,,,,,Phasi Charoen,ภาษีเจริญ,TH1022,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:102208,102208,Khlong Khwang,คลองขวาง,TH102208,,,,,,Phasi Charoen,ภาษีเจริญ,TH1022,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:102209,102209,Pak Khlong Phasi Charoen,ปากคลองภาษีเจริญ,TH102209,,,,,,Phasi Charoen,ภาษีเจริญ,TH1022,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:102210,102210,Khuha Sawan,คูหาสวรรค์,TH102210,,,,,,Phasi Charoen,ภาษีเจริญ,TH1022,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:102302,102302,Nong Khaem,หนองแขม,TH102302,,,,,,Nong Khaem,หนองแขม,TH1023,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:102303,102303,Nong Khang Phlu,หนองค้างพลู,TH102303,,,,,,Nong Khaem,หนองแขม,TH1023,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:102401,102401,Rat Burana,ราษฎร์บูรณะ,TH102401,,,,,,Rat Burana,ราษฎร์บูรณะ,TH1024,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:102402,102402,Bang Pakok,บางปะกอก,TH102402,,,,,,Rat Burana,ราษฎร์บูรณะ,TH1024,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:102501,102501,Bang Phlat,บางพลัด,TH102501,,,,,,Bang Phlat,บางพลัด,TH1025,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:102502,102502,Bang O,บางอ้อ,TH102502,,,,,,Bang Phlat,บางพลัด,TH1025,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:102503,102503,Bang Bamru,บางบำหรุ,TH102503,,,,,,Bang Phlat,บางพลัด,TH1025,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:102504,102504,Bang Yi Khan,บางยี่ขัน,TH102504,,,,,,Bang Phlat,บางพลัด,TH1025,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:102601,102601,Din Daeng,ดินแดง,TH102601,,,,,,Din Daeng,ดินแดง,TH1026,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:102701,102701,Khlong Kum,คลองกุ่ม,TH102701,,,,,,Bueng Kum,บึงกุ่ม,TH1027,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:102704,102704,Nawamin,นวมินทร์,TH102704,,,,,,Bueng Kum,บึงกุ่ม,TH1027,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:102705,102705,Nuan Chan,นวลจันทร์,TH102705,,,,,,Bueng Kum,บึงกุ่ม,TH1027,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:102801,102801,Thung Wat Don,ทุ่งวัดดอน,TH102801,,,,,,Sathon,สาทร,TH1028,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:102802,102802,Yan Nawa,ยานนาวา,TH102802,,,,,,Sathon,สาทร,TH1028,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
