#adm2+name+i_es,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_es,#adm2+name+alt2+i_es,#adm1+name+i_es,#adm1+code+v_pcode,#country+name+i_es,#country+code+v_iso2,#date+start,#date+updated,#date+end
Sur Chichas,BO0508,,,,Potosí,BO05,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Nor Lipez,BO0509,,,,Potosí,BO05,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Sur Lipez,BO0510,,,,Potosí,BO05,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
José María Linares,BO0511,Jose Maria Linares,,,Potosí,BO05,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Antonio Quijarro,BO0512,,,,Potosí,BO05,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
General Bilbao,BO0513,,,,Potosí,BO05,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Daniel Campos,BO0514,,,,Potosí,BO05,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Modesto Omiste,BO0515,,,,Potosí,BO05,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Enrique Baldivieso,BO0516,,,,Potosí,BO05,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Cercado,BO0601,,,,Tarija,BO06,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Arce,BO0602,,,,Tarija,BO06,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Gran Chaco,BO0603,,,,Tarija,BO06,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Avilés,BO0604,Aviles,,,Tarija,BO06,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Méndez,BO0605,Mendez,,,Tarija,BO06,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
O'Connor,BO0606,OConnor,,,Tarija,BO06,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Andrés Ibáñez,BO0701,Andres Ibanez,,,Santa Cruz,BO07,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Warnes,BO0702,,,,Santa Cruz,BO07,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Velasco,BO0703,,,,Santa Cruz,BO07,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Ichilo,BO0704,,,,Santa Cruz,BO07,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Chiquitos,BO0705,,,,Santa Cruz,BO07,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Sara,BO0706,,,,Santa Cruz,BO07,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Cordillera,BO0707,,,,Santa Cruz,BO07,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Vallegrande,BO0708,,,,Santa Cruz,BO07,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Florida,BO0709,,,,Santa Cruz,BO07,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Obispo Santistéban,BO0710,Obispo Santisteban,,,Santa Cruz,BO07,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Ñuflo De Chávez,BO0711,Nuflo De Chavez,,,Santa Cruz,BO07,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Angel Sandoval,BO0712,,,,Santa Cruz,BO07,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Manuel María Caballero,BO0713,Manuel Maria Caballero,,,Santa Cruz,BO07,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Germán Busch,BO0714,German Busch,,,Santa Cruz,BO07,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Guarayos,BO0715,,,,Santa Cruz,BO07,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Cercado,BO0801,,,,Beni,BO08,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Vaca Diez,BO0802,,,,Beni,BO08,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
General José Ballivián,BO0803,General Jose Ballivian,,,Beni,BO08,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Yacuma,BO0804,,,,Beni,BO08,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Moxos,BO0805,,,,Beni,BO08,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Marbán,BO0806,Marban,,,Beni,BO08,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Mamoré,BO0807,Mamore,,,Beni,BO08,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Iténez,BO0808,Itenez,,,Beni,BO08,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Nicolás Suárez,BO0901,Nicolas Suarez,,,Pando,BO09,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Manuripi,BO0902,,,,Pando,BO09,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Madre de Dios,BO0903,,,,Pando,BO09,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Abuná,BO0904,Abuna,,,Pando,BO09,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Federico Román,BO0905,Federico Roman,,,Pando,BO09,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
