#adm3+name+i_en,#adm3+name+i_sw,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_en,#adm3+name+alt2+i_en,#adm3+name+alt1+i_sw,#adm3+name+alt2+i_sw,#adm2+name+i_en,#adm2+name+i_sw,#adm2+code+v_pcode,#adm1+name+i_en,#adm1+name+i_sw,#adm1+code+v_pcode,#country+name+i_en,#country+name+i_sw,#country+code+v_iso2,#date+start,#date+updated,#date+end
Luhundwa,,TZ0102071,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Massa,,TZ0102081,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Ipera,,TZ0102091,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Rudi,,TZ0102101,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Mlunduzi,,TZ0102111,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Wotta,,TZ0102121,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Mima,,TZ0102131,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Berege,,TZ0102141,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Chunyu,,TZ0102151,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Mbuga,,TZ0102161,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Godegode,,TZ0102171,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Mpwapwa,,TZ0102183,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Lupeta,,TZ0102191,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Gulwe,,TZ0102201,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Nghambi,,TZ0102211,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Chitemo,,TZ0102221,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Iwondo,,TZ0102231,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Kingiti,,TZ0102241,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Lufu,,TZ0102251,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Pwaga,,TZ0102261,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Galigali,,TZ0102271,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Mtera,,TZ0102281,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Chipogoro,,TZ0102291,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Malolo,,TZ0102301,,,,,,Mpwapwa,,TZ0102,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Kongwa,,TZ0103013,,,,,,Kongwa,,TZ0103,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Sejeli,,TZ0103021,,,,,,Kongwa,,TZ0103,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Hogoro,,TZ0103031,,,,,,Kongwa,,TZ0103,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Zoissa,,TZ0103041,,,,,,Kongwa,,TZ0103,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Mkoka,,TZ0103051,,,,,,Kongwa,,TZ0103,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Njoge,,TZ0103061,,,,,,Kongwa,,TZ0103,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Mtanana,,TZ0103071,,,,,,Kongwa,,TZ0103,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Pandambili,,TZ0103081,,,,,,Kongwa,,TZ0103,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Mlali,,TZ0103091,,,,,,Kongwa,,TZ0103,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Iduo,,TZ0103101,,,,,,Kongwa,,TZ0103,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Sagara,,TZ0103111,,,,,,Kongwa,,TZ0103,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Kibaigwa,,TZ0103123,,,,,,Kongwa,,TZ0103,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Ugogoni,,TZ0103133,,,,,,Kongwa,,TZ0103,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Chamkoroma,,TZ0103141,,,,,,Kongwa,,TZ0103,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Makawa,,TZ0103151,,,,,,Kongwa,,TZ0103,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Chitego,,TZ0103161,,,,,,Kongwa,,TZ0103,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Matongoro,,TZ0103171,,,,,,Kongwa,,TZ0103,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Ngomai,,TZ0103181,,,,,,Kongwa,,TZ0103,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Songambele,,TZ0103191,,,,,,Kongwa,,TZ0103,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Chiwe,,TZ0103201,,,,,,Kongwa,,TZ0103,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Lenjulu,,TZ0103211,,,,,,Kongwa,,TZ0103,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Nghumbi,,TZ0103221,,,,,,Kongwa,,TZ0103,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Haneti,,TZ0104011,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Segala,,TZ0104021,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Itiso,,TZ0104031,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Dabalo,,TZ0104041,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Membe,,TZ0104051,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Msanga,,TZ0104061,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Chilonwa,,TZ0104071,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Buigiri,,TZ0104083,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Majeleko,,TZ0104091,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Manchali,,TZ0104101,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Ikowa,,TZ0104111,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Msamalo,,TZ0104121,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Igandu,,TZ0104131,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Muungano,,TZ0104141,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Mvumi Makulu,,TZ0104151,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Handali,,TZ0104161,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Mvumi Mission,,TZ0104173,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Idifu,,TZ0104181,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Makang'wa,,TZ0104191,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Iringamvumi,,TZ0104201,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Manzase,,TZ0104211,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Fufu,,TZ0104221,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Mlowa Bwawani,,TZ0104231,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Mpwayungu,,TZ0104241,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Nghambaku,,TZ0104251,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Chinugulu,,TZ0104261,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Manda,,TZ0104271,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Huzi,,TZ0104281,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Loje,,TZ0104291,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Chiboli,,TZ0104301,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Nhinhi,,TZ0104311,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Zajilwa,,TZ0104321,,,,,,Chamwino,,TZ0104,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Viwandani,,TZ0105012,,,,,,Dodoma Urban,,TZ0105,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Uhuru,,TZ0105022,,,,,,Dodoma Urban,,TZ0105,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Chamwino,,TZ0105032,,,,,,Dodoma Urban,,TZ0105,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Kiwanja cha ndege,,TZ0105042,,,,,,Dodoma Urban,,TZ0105,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Makole,,TZ0105052,,,,,,Dodoma Urban,,TZ0105,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Miyuji,,TZ0105062,,,,,,Dodoma Urban,,TZ0105,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Msalato,,TZ0105071,,,,,,Dodoma Urban,,TZ0105,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Makutupora,,TZ0105081,,,,,,Dodoma Urban,,TZ0105,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Chihanga,,TZ0105091,,,,,,Dodoma Urban,,TZ0105,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Hombolo,,TZ0105101,,,,,,Dodoma Urban,,TZ0105,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Ipala,,TZ0105111,,,,,,Dodoma Urban,,TZ0105,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Nzuguni,,TZ0105121,,,,,,Dodoma Urban,,TZ0105,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Dom-Makulu,,TZ0105131,,,,,,Dodoma Urban,,TZ0105,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Mtumba,,TZ0105141,,,,,,Dodoma Urban,,TZ0105,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Kikombo,,TZ0105151,,,,,,Dodoma Urban,,TZ0105,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Ngh'ongh'onha,,TZ0105161,,,,,,Dodoma Urban,,TZ0105,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Mpunguzi,,TZ0105171,,,,,,Dodoma Urban,,TZ0105,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Tambukareli,,TZ0105182,,,,,,Dodoma Urban,,TZ0105,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Kilimani,,TZ0105192,,,,,,Dodoma Urban,,TZ0105,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Kikuyu Kusini,,TZ0105202,,,,,,Dodoma Urban,,TZ0105,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Kikuyu Kaskazini,,TZ0105212,,,,,,Dodoma Urban,,TZ0105,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Mkonze,,TZ0105221,,,,,,Dodoma Urban,,TZ0105,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Mbabala,,TZ0105231,,,,,,Dodoma Urban,,TZ0105,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Zuzu,,TZ0105241,,,,,,Dodoma Urban,,TZ0105,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Hazina,,TZ0105252,,,,,,Dodoma Urban,,TZ0105,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Madukani,,TZ0105262,,,,,,Dodoma Urban,,TZ0105,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Majengo,,TZ0105272,,,,,,Dodoma Urban,,TZ0105,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Kizota,,TZ0105282,,,,,,Dodoma Urban,,TZ0105,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Nala,,TZ0105291,,,,,,Dodoma Urban,,TZ0105,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Mbalawala,,TZ0105301,,,,,,Dodoma Urban,,TZ0105,Dodoma,,TZ01,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
