#adm2+name+i_pl,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_pl,#adm2+name+alt2+i_pl,#adm1+name+i_pl,#adm1+code+v_pcode,#country+name+i_pl,#country+code+v_iso2,#date+start,#date+updated,#date+end
Nakielski,PL004010,,,,Kujawsko-Pomorskie,PL004,Polska,PL,2022-04-19,2022-04-19,
Radziejowski,PL004011,,,,Kujawsko-Pomorskie,PL004,Polska,PL,2022-04-19,2022-04-19,
Rypinski,PL004012,,,,Kujawsko-Pomorskie,PL004,Polska,PL,2022-04-19,2022-04-19,
Sepolenski,PL004013,,,,Kujawsko-Pomorskie,PL004,Polska,PL,2022-04-19,2022-04-19,
Swiecki,PL004014,,,,Kujawsko-Pomorskie,PL004,Polska,PL,2022-04-19,2022-04-19,
Torunski,PL004015,,,,Kujawsko-Pomorskie,PL004,Polska,PL,2022-04-19,2022-04-19,
Tucholski,PL004016,,,,Kujawsko-Pomorskie,PL004,Polska,PL,2022-04-19,2022-04-19,
Wabrzeski,PL004017,,,,Kujawsko-Pomorskie,PL004,Polska,PL,2022-04-19,2022-04-19,
Wloclawski,PL004018,,,,Kujawsko-Pomorskie,PL004,Polska,PL,2022-04-19,2022-04-19,
Zninski,PL004019,,,,Kujawsko-Pomorskie,PL004,Polska,PL,2022-04-19,2022-04-19,
Bydgoszcz,PL004061,,,,Kujawsko-Pomorskie,PL004,Polska,PL,2022-04-19,2022-04-19,
Grudziadz,PL004062,,,,Kujawsko-Pomorskie,PL004,Polska,PL,2022-04-19,2022-04-19,
Torun,PL004063,,,,Kujawsko-Pomorskie,PL004,Polska,PL,2022-04-19,2022-04-19,
Wloclawek,PL004064,,,,Kujawsko-Pomorskie,PL004,Polska,PL,2022-04-19,2022-04-19,
Bialski,PL006001,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
Bilgorajski,PL006002,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
Chelmski,PL006003,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
Hrubieszowski,PL006004,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
Janowski,PL006005,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
Krasnostawski,PL006006,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
Krasnicki,PL006007,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
Lubartowski,PL006008,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
Lubelski,PL006009,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
Leczynski,PL006010,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
Lukowski,PL006011,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
Opolski,PL006012,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
Parczewski,PL006013,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
Pulawski,PL006014,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
Radzynski,PL006015,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
Rycki,PL006016,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
Swidnicki,PL006017,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
Tomaszowski,PL006018,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
Wlodawski,PL006019,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
Zamojski,PL006020,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
Biala Podlaska,PL006061,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
Chelm,PL006062,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
Lublin,PL006063,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
Zamosc,PL006064,,,,Lubelskie,PL006,Polska,PL,2022-04-19,2022-04-19,
Gorzowski,PL008001,,,,Lubuskie,PL008,Polska,PL,2022-04-19,2022-04-19,
Krosnienski,PL008002,,,,Lubuskie,PL008,Polska,PL,2022-04-19,2022-04-19,
Miedzyrzecki,PL008003,,,,Lubuskie,PL008,Polska,PL,2022-04-19,2022-04-19,
Nowosolski,PL008004,,,,Lubuskie,PL008,Polska,PL,2022-04-19,2022-04-19,
Slubicki,PL008005,,,,Lubuskie,PL008,Polska,PL,2022-04-19,2022-04-19,
Strzelecko-Drezdenecki,PL008006,,,,Lubuskie,PL008,Polska,PL,2022-04-19,2022-04-19,
Sulecinski,PL008007,,,,Lubuskie,PL008,Polska,PL,2022-04-19,2022-04-19,
Swiebodzinski,PL008008,,,,Lubuskie,PL008,Polska,PL,2022-04-19,2022-04-19,
Zielonogorski,PL008009,,,,Lubuskie,PL008,Polska,PL,2022-04-19,2022-04-19,
Zaganski,PL008010,,,,Lubuskie,PL008,Polska,PL,2022-04-19,2022-04-19,
Zarski,PL008011,,,,Lubuskie,PL008,Polska,PL,2022-04-19,2022-04-19,
Wschowski,PL008012,,,,Lubuskie,PL008,Polska,PL,2022-04-19,2022-04-19,
Gorzow Wielkopolski,PL008061,,,,Lubuskie,PL008,Polska,PL,2022-04-19,2022-04-19,
Zielona Gora,PL008062,,,,Lubuskie,PL008,Polska,PL,2022-04-19,2022-04-19,
Belchatowski,PL010001,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
Kutnowski,PL010002,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
Laski,PL010003,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
Leczycki,PL010004,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
Lowicki,PL010005,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
Lodzki Wschodni,PL010006,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
Opoczynski,PL010007,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
Pabianicki,PL010008,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
Pajeczanski,PL010009,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
Piotrkowski,PL010010,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
Poddebicki,PL010011,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
Radomszczanski,PL010012,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
Rawski,PL010013,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
Sieradzki,PL010014,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
Skierniewicki,PL010015,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
Tomaszowski,PL010016,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
Wielunski,PL010017,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
Wieruszowski,PL010018,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
Zdunskowolski,PL010019,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
Zgierski,PL010020,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
Brzezinski,PL010021,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
Lodz,PL010061,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
Piotrkow Trybunalski,PL010062,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
Skierniewice,PL010063,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
Bochenski,PL012001,,,,Małopolskie,PL012,Polska,PL,2022-04-19,2022-04-19,
Brzeski,PL012002,,,,Małopolskie,PL012,Polska,PL,2022-04-19,2022-04-19,
Chrzanowski,PL012003,,,,Małopolskie,PL012,Polska,PL,2022-04-19,2022-04-19,
Dabrowski,PL012004,,,,Małopolskie,PL012,Polska,PL,2022-04-19,2022-04-19,
Gorlicki,PL012005,,,,Małopolskie,PL012,Polska,PL,2022-04-19,2022-04-19,
Krakowski,PL012006,,,,Małopolskie,PL012,Polska,PL,2022-04-19,2022-04-19,
Limanowski,PL012007,,,,Małopolskie,PL012,Polska,PL,2022-04-19,2022-04-19,
Miechowski,PL012008,,,,Małopolskie,PL012,Polska,PL,2022-04-19,2022-04-19,
Myslenicki,PL012009,,,,Małopolskie,PL012,Polska,PL,2022-04-19,2022-04-19,
Nowosadecki,PL012010,,,,Małopolskie,PL012,Polska,PL,2022-04-19,2022-04-19,
Nowotarski,PL012011,,,,Małopolskie,PL012,Polska,PL,2022-04-19,2022-04-19,
Olkuski,PL012012,,,,Małopolskie,PL012,Polska,PL,2022-04-19,2022-04-19,
Oswiecimski,PL012013,,,,Małopolskie,PL012,Polska,PL,2022-04-19,2022-04-19,
Proszowicki,PL012014,,,,Małopolskie,PL012,Polska,PL,2022-04-19,2022-04-19,
Suski,PL012015,,,,Małopolskie,PL012,Polska,PL,2022-04-19,2022-04-19,
Tarnowski,PL012016,,,,Małopolskie,PL012,Polska,PL,2022-04-19,2022-04-19,
Tatrzanski,PL012017,,,,Małopolskie,PL012,Polska,PL,2022-04-19,2022-04-19,
Wadowicki,PL012018,,,,Małopolskie,PL012,Polska,PL,2022-04-19,2022-04-19,
Wielicki,PL012019,,,,Małopolskie,PL012,Polska,PL,2022-04-19,2022-04-19,
Krakow,PL012061,,,,Małopolskie,PL012,Polska,PL,2022-04-19,2022-04-19,
Nowy Sacz,PL012062,,,,Małopolskie,PL012,Polska,PL,2022-04-19,2022-04-19,
Tarnow,PL012063,,,,Małopolskie,PL012,Polska,PL,2022-04-19,2022-04-19,
Bialobrzeski,PL014001,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
Ciechanowski,PL014002,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
Garwolinski,PL014003,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
Gostyninski,PL014004,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
Grodziski,PL014005,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
Grojecki,PL014006,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
Kozienicki,PL014007,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
Legionowski,PL014008,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
Lipski,PL014009,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
Losicki,PL014010,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
Makowski,PL014011,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
Minski,PL014012,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
Mlawski,PL014013,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
Nowodworski,PL014014,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
Ostrolecki,PL014015,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
Ostrowski,PL014016,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
Otwocki,PL014017,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
Piaseczynski,PL014018,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
Plocki,PL014019,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
Plonski,PL014020,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
Pruszkowski,PL014021,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
Przasnyski,PL014022,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
Przysuski,PL014023,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
Pultuski,PL014024,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
Radomski,PL014025,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
Siedlecki,PL014026,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
Sierpecki,PL014027,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
Sochaczewski,PL014028,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
Sokolowski,PL014029,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
Szydlowiecki,PL014030,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
Warszawski Zachodni,PL014032,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
Wegrowski,PL014033,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
Wolominski,PL014034,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
Wyszkowski,PL014035,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
Zwolenski,PL014036,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
Zurominski,PL014037,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
Zyrardowski,PL014038,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
Ostroleka,PL014061,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
Plock,PL014062,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
Radom,PL014063,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
Siedlce,PL014064,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
Warszawa,PL014065,,,,Mazowieckie,PL014,Polska,PL,2022-04-19,2022-04-19,
Brzeski,PL016001,,,,Opolskie,PL016,Polska,PL,2022-04-19,2022-04-19,
Glubczycki,PL016002,,,,Opolskie,PL016,Polska,PL,2022-04-19,2022-04-19,
Kedzierzynsko-Kozielski,PL016003,,,,Opolskie,PL016,Polska,PL,2022-04-19,2022-04-19,
Kluczborski,PL016004,,,,Opolskie,PL016,Polska,PL,2022-04-19,2022-04-19,
Krapkowicki,PL016005,,,,Opolskie,PL016,Polska,PL,2022-04-19,2022-04-19,
Namyslowski,PL016006,,,,Opolskie,PL016,Polska,PL,2022-04-19,2022-04-19,
Nyski,PL016007,,,,Opolskie,PL016,Polska,PL,2022-04-19,2022-04-19,
Oleski,PL016008,,,,Opolskie,PL016,Polska,PL,2022-04-19,2022-04-19,
Opolski,PL016009,,,,Opolskie,PL016,Polska,PL,2022-04-19,2022-04-19,
Prudnicki,PL016010,,,,Opolskie,PL016,Polska,PL,2022-04-19,2022-04-19,
Strzelecki,PL016011,,,,Opolskie,PL016,Polska,PL,2022-04-19,2022-04-19,
Opole,PL016061,,,,Opolskie,PL016,Polska,PL,2022-04-19,2022-04-19,
Bieszczadzki,PL018001,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
Brzozowski,PL018002,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
Debicki,PL018003,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
Jaroslawski,PL018004,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
Jasielski,PL018005,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
Kolbuszowski,PL018006,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
Krosnienski,PL018007,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
Lezajski,PL018008,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
Lubaczowski,PL018009,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
Lancucki,PL018010,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
Mielecki,PL018011,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
Nizanski,PL018012,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
Przemyski,PL018013,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
Przeworski,PL018014,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
Ropczycko-Sedziszowski,PL018015,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
Rzeszowski,PL018016,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
Sanocki,PL018017,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
Stalowowolski,PL018018,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
Strzyzowski,PL018019,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
Tarnobrzeski,PL018020,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
Leski,PL018021,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
Krosno,PL018061,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
Przemysl,PL018062,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
Rzeszow,PL018063,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
Tarnobrzeg,PL018064,,,,Podkarpackie,PL018,Polska,PL,2022-04-19,2022-04-19,
Augustowski,PL020001,,,,Podlaskie,PL020,Polska,PL,2022-04-19,2022-04-19,
Bialostocki,PL020002,,,,Podlaskie,PL020,Polska,PL,2022-04-19,2022-04-19,
Bielski,PL020003,,,,Podlaskie,PL020,Polska,PL,2022-04-19,2022-04-19,
Grajewski,PL020004,,,,Podlaskie,PL020,Polska,PL,2022-04-19,2022-04-19,
Hajnowski,PL020005,,,,Podlaskie,PL020,Polska,PL,2022-04-19,2022-04-19,
Kolnenski,PL020006,,,,Podlaskie,PL020,Polska,PL,2022-04-19,2022-04-19,
Lomzynski,PL020007,,,,Podlaskie,PL020,Polska,PL,2022-04-19,2022-04-19,
Moniecki,PL020008,,,,Podlaskie,PL020,Polska,PL,2022-04-19,2022-04-19,
Sejnenski,PL020009,,,,Podlaskie,PL020,Polska,PL,2022-04-19,2022-04-19,
Siemiatycki,PL020010,,,,Podlaskie,PL020,Polska,PL,2022-04-19,2022-04-19,
Sokolski,PL020011,,,,Podlaskie,PL020,Polska,PL,2022-04-19,2022-04-19,
Suwalski,PL020012,,,,Podlaskie,PL020,Polska,PL,2022-04-19,2022-04-19,
Wysokomazowiecki,PL020013,,,,Podlaskie,PL020,Polska,PL,2022-04-19,2022-04-19,
Zambrowski,PL020014,,,,Podlaskie,PL020,Polska,PL,2022-04-19,2022-04-19,
Bialystok,PL020061,,,,Podlaskie,PL020,Polska,PL,2022-04-19,2022-04-19,
Lomza,PL020062,,,,Podlaskie,PL020,Polska,PL,2022-04-19,2022-04-19,
Suwalki,PL020063,,,,Podlaskie,PL020,Polska,PL,2022-04-19,2022-04-19,
Bytowski,PL022001,,,,Pomorskie,PL022,Polska,PL,2022-04-19,2022-04-19,
Chojnicki,PL022002,,,,Pomorskie,PL022,Polska,PL,2022-04-19,2022-04-19,
Czluchowski,PL022003,,,,Pomorskie,PL022,Polska,PL,2022-04-19,2022-04-19,
Gdanski,PL022004,,,,Pomorskie,PL022,Polska,PL,2022-04-19,2022-04-19,
Kartuski,PL022005,,,,Pomorskie,PL022,Polska,PL,2022-04-19,2022-04-19,
Koscierski,PL022006,,,,Pomorskie,PL022,Polska,PL,2022-04-19,2022-04-19,
Kwidzynski,PL022007,,,,Pomorskie,PL022,Polska,PL,2022-04-19,2022-04-19,
Leborski,PL022008,,,,Pomorskie,PL022,Polska,PL,2022-04-19,2022-04-19,
Malborski,PL022009,,,,Pomorskie,PL022,Polska,PL,2022-04-19,2022-04-19,
Nowodworski,PL022010,,,,Pomorskie,PL022,Polska,PL,2022-04-19,2022-04-19,
Pucki,PL022011,,,,Pomorskie,PL022,Polska,PL,2022-04-19,2022-04-19,
Slupski,PL022012,,,,Pomorskie,PL022,Polska,PL,2022-04-19,2022-04-19,
Starogardzki,PL022013,,,,Pomorskie,PL022,Polska,PL,2022-04-19,2022-04-19,
Tczewski,PL022014,,,,Pomorskie,PL022,Polska,PL,2022-04-19,2022-04-19,
Wejherowski,PL022015,,,,Pomorskie,PL022,Polska,PL,2022-04-19,2022-04-19,
Sztumski,PL022016,,,,Pomorskie,PL022,Polska,PL,2022-04-19,2022-04-19,
Gdansk,PL022061,,,,Pomorskie,PL022,Polska,PL,2022-04-19,2022-04-19,
Gdynia,PL022062,,,,Pomorskie,PL022,Polska,PL,2022-04-19,2022-04-19,
Slupsk,PL022063,,,,Pomorskie,PL022,Polska,PL,2022-04-19,2022-04-19,
Sopot,PL022064,,,,Pomorskie,PL022,Polska,PL,2022-04-19,2022-04-19,
Bedzinski,PL024001,,,,Śląskie,PL024,Polska,PL,2022-04-19,2022-04-19,
Bielski,PL024002,,,,Śląskie,PL024,Polska,PL,2022-04-19,2022-04-19,
Cieszynski,PL024003,,,,Śląskie,PL024,Polska,PL,2022-04-19,2022-04-19,
Czestochowski,PL024004,,,,Śląskie,PL024,Polska,PL,2022-04-19,2022-04-19,
Gliwicki,PL024005,,,,Śląskie,PL024,Polska,PL,2022-04-19,2022-04-19,
Klobucki,PL024006,,,,Śląskie,PL024,Polska,PL,2022-04-19,2022-04-19,
Lubliniecki,PL024007,,,,Śląskie,PL024,Polska,PL,2022-04-19,2022-04-19,
Mikolowski,PL024008,,,,Śląskie,PL024,Polska,PL,2022-04-19,2022-04-19,
Myszkowski,PL024009,,,,Śląskie,PL024,Polska,PL,2022-04-19,2022-04-19,
Pszczynski,PL024010,,,,Śląskie,PL024,Polska,PL,2022-04-19,2022-04-19,
Raciborski,PL024011,,,,Śląskie,PL024,Polska,PL,2022-04-19,2022-04-19,
Rybnicki,PL024012,,,,Śląskie,PL024,Polska,PL,2022-04-19,2022-04-19,
Tarnogorski,PL024013,,,,Śląskie,PL024,Polska,PL,2022-04-19,2022-04-19,
Bierunsko-Ledzinski,PL024014,,,,Śląskie,PL024,Polska,PL,2022-04-19,2022-04-19,
Wodzislawski,PL024015,,,,Śląskie,PL024,Polska,PL,2022-04-19,2022-04-19,
Zawiercianski,PL024016,,,,Śląskie,PL024,Polska,PL,2022-04-19,2022-04-19,
Zywiecki,PL024017,,,,Śląskie,PL024,Polska,PL,2022-04-19,2022-04-19,
Bielsko-Biala,PL024061,,,,Śląskie,PL024,Polska,PL,2022-04-19,2022-04-19,
Bytom,PL024062,,,,Śląskie,PL024,Polska,PL,2022-04-19,2022-04-19,
Chorzow,PL024063,,,,Śląskie,PL024,Polska,PL,2022-04-19,2022-04-19,
Czestochowa,PL024064,,,,Śląskie,PL024,Polska,PL,2022-04-19,2022-04-19,
Dabrowa Gornicza,PL024065,,,,Śląskie,PL024,Polska,PL,2022-04-19,2022-04-19,
Gliwice,PL024066,,,,Śląskie,PL024,Polska,PL,2022-04-19,2022-04-19,
Jastrzebie-Zdroj,PL024067,,,,Śląskie,PL024,Polska,PL,2022-04-19,2022-04-19,
Jaworzno,PL024068,,,,Śląskie,PL024,Polska,PL,2022-04-19,2022-04-19,
Katowice,PL024069,,,,Śląskie,PL024,Polska,PL,2022-04-19,2022-04-19,
Myslowice,PL024070,,,,Śląskie,PL024,Polska,PL,2022-04-19,2022-04-19,
Piekary Slaskie,PL024071,,,,Śląskie,PL024,Polska,PL,2022-04-19,2022-04-19,
