#adm3+name+i_fr,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_fr,#adm3+name+alt2+i_fr,#adm2+name+i_fr,#adm2+code+v_pcode,#adm1+name+i_fr,#adm1+code+v_pcode,#country+name+i_fr,#country+code+v_iso2,#date+start,#date+updated,#date+end
Kobadja,CF4332,Kobadja,,,Grimari,CF433,Ouaka,CF43,République centrafricaine,CF,2014-08-02,2015-06-15,
Lissa,CF4333,Lissa,,,Grimari,CF433,Ouaka,CF43,République centrafricaine,CF,2014-08-02,2015-06-15,
Pouyamba,CF4334,Pouyamba,,,Grimari,CF433,Ouaka,CF43,République centrafricaine,CF,2014-08-02,2015-06-15,
Kouango,CF4341,Kouango,,,Kouango,CF434,Ouaka,CF43,République centrafricaine,CF,2014-08-02,2015-06-15,
Azéngué-Mindou,CF4342,Azengue-Mindou,,,Kouango,CF434,Ouaka,CF43,République centrafricaine,CF,2014-08-02,2015-06-15,
Cochio-Toulou,CF4343,Cochio-Toulou,,,Kouango,CF434,Ouaka,CF43,République centrafricaine,CF,2014-08-02,2015-06-15,
Ippy,CF4351,Ippy,,,Ippy,CF435,Ouaka,CF43,République centrafricaine,CF,2014-08-02,2015-06-15,
Yéngou,CF4352,Yengou,,,Ippy,CF435,Ouaka,CF43,République centrafricaine,CF,2014-08-02,2015-06-15,
Baïdou-Ngoumbourou,CF4353,Baidou-Ngoumbourou,,,Ippy,CF435,Ouaka,CF43,République centrafricaine,CF,2014-08-02,2015-06-15,
Dar El Kouti,CF5111,Dar El Kouti,,,Ndélé,CF511,Bamingui-Bangoran,CF51,République centrafricaine,CF,2014-08-02,2015-06-15,
Mbolo-Pata,CF5112,Mbolo-Pata,,,Ndélé,CF511,Bamingui-Bangoran,CF51,République centrafricaine,CF,2014-08-02,2015-06-15,
Vassako,CF5121,Vassako,,,Bamingui,CF512,Bamingui-Bangoran,CF51,République centrafricaine,CF,2014-08-02,2015-06-15,
Samba-Boungou,CF5211,Samba-Boungou,,,Bria,CF521,Haute-Kotto,CF52,République centrafricaine,CF,2014-08-02,2015-06-15,
Daba Nydou,CF5212,Daba Nydou,,,Bria,CF521,Haute-Kotto,CF52,République centrafricaine,CF,2014-08-02,2015-06-15,
Daho-Mboutou,CF5213,Daho-Mboutou,,,Bria,CF521,Haute-Kotto,CF52,République centrafricaine,CF,2014-08-02,2015-06-15,
Ouadda,CF5221,Ouadda,,,Ouadda,CF522,Haute-Kotto,CF52,République centrafricaine,CF,2014-08-02,2015-06-15,
Ouandja Kotto,CF5222,Ouandja Kotto,,,Ouadda,CF522,Haute-Kotto,CF52,République centrafricaine,CF,2014-08-02,2015-06-15,
Yalinga,CF5231,Yalinga,,,Yalinga,CF523,Haute-Kotto,CF52,République centrafricaine,CF,2014-08-02,2015-06-15,
